Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
1,0 days 00:09:52.591000,10,0 days 00:01:23.165000,2.0,,,0 days 00:00:18.128000,0 days 00:00:39.028000,0 days 00:00:26.009000,0 days 00:08:47.554000,0 days 00:09:26.582000,0 days 00:09:52.591000,208.0,243.0,257.0,326.0,True,SOFT,1.0,True,Toro Rosso,0 days 00:08:29.426000,2018-07-22 13:14:36.458,1.0,18.0,False,0.0,False,False,83.165,18.128,39.028,26.009,527.554,566.582,592.591,592.591,509.426,197.5527231753934,331.0,70.50451504680173,10001.18015561951,12133.0,62.14742777830085,42.688327276250156,0.21870047543581617,138.0,1.0,631.0,18.298270677649274,0.0794444444363762,4.920760697305863,8.0,0,0.0,83.165,0.029850746268656716,18,0.05555555555555555,-17.0,3.9890000000000043,83.165,0.0,0.0,35.5,-33.5,0.051818114519358076,3.1779972085429433,604671.0474543025,12277.393595949423,27262.27579820429,10.236809633113578
2,0 days 00:11:16.011000,10,0 days 00:01:23.420000,3.0,,,0 days 00:00:18.782000,0 days 00:00:39.116000,0 days 00:00:25.522000,0 days 00:10:11.373000,0 days 00:10:50.489000,0 days 00:11:16.011000,203.0,248.0,259.0,333.0,False,SOFT,2.0,True,Toro Rosso,0 days 00:09:52.591000,2018-07-22 13:15:59.623,1.0,20.0,False,0.0,False,False,83.42,18.782,39.116,25.522,611.373,650.489,676.011,676.011,592.591,199.1665315896615,339.0,70.71202218250434,10173.350121347705,12045.0,63.2187222625716,42.6559077979648,0.21835443037974683,138.0,1.4636075949367089,925.0,30.955814656471187,0.001388888902511,4.862341772151899,8.0,0,0.25499999999999545,166.585,0.04477611940298507,18,0.1111111111111111,-16.0,4.244,83.2925,0.1803122292025664,0.0,35.5,-32.5,0.03129320941275067,4.621152160922869,616904.6693553152,12591.053644566504,27484.981359373287,6.232559981046499
3,0 days 00:12:37.023000,10,0 days 00:01:21.012000,4.0,,,0 days 00:00:17.823000,0 days 00:00:37.829000,0 days 00:00:25.360000,0 days 00:11:33.834000,0 days 00:12:11.663000,0 days 00:12:37.023000,200.0,251.0,261.0,324.0,True,SOFT,3.0,True,Toro Rosso,0 days 00:11:16.011000,2018-07-22 13:17:23.043,1.0,20.0,False,0.0,False,False,81.012,17.823,37.829,25.36,693.834,731.663,757.023,757.023,676.011,202.6587961813854,329.0,69.83906321696068,10124.617861848072,12005.0,65.4826342254886,42.319988765588555,0.20195439739413681,124.0,1.781758957654723,1094.0,39.8403487733642,0.0300000000061118,5.035830618892508,8.0,0,-2.4080000000000013,247.597,0.05970149253731343,18,0.16666666666666666,-15.0,1.8359999999999985,82.53233333333334,1.3228062342358926,0.0,35.5,-31.5,0.02448558913023273,5.371729679800556,567082.4830795893,13270.631822923506,25129.69072649179,4.962220016924981
4,0 days 00:13:58.422000,10,0 days 00:01:21.399000,5.0,,,0 days 00:00:17.713000,0 days 00:00:37.852000,0 days 00:00:25.834000,0 days 00:12:54.736000,0 days 00:13:32.588000,0 days 00:13:58.422000,201.0,249.0,263.0,326.0,False,SOFT,4.0,True,Toro Rosso,0 days 00:12:37.023000,2018-07-22 13:18:44.055,1.0,20.0,False,0.0,False,False,81.399,17.713,37.852,25.834,774.736,812.588,838.422,838.422,757.023,202.19591156111346,330.0,70.58806046106973,10109.423020386625,12519.0,64.62919373657674,42.05342285509472,0.1925566343042071,119.0,3.0841423948220066,1906.0,37.474896508446186,0.0519444444325927,5.024271844660194,8.0,0,0.38700000000000045,328.996,0.07462686567164178,18,0.2222222222222222,-14.0,2.222999999999999,82.249,1.2196947705607928,0.0,35.5,-30.5,0.025990973095417563,9.380109990189192,542883.8827682924,13067.758741026939,24061.313475772502,5.25526849738833
5,0 days 00:15:19.446000,10,0 days 00:01:21.024000,6.0,,,0 days 00:00:17.812000,0 days 00:00:37.660000,0 days 00:00:25.552000,0 days 00:14:16.234000,0 days 00:14:53.894000,0 days 00:15:19.446000,207.0,247.0,262.0,331.0,False,SOFT,5.0,True,Toro Rosso,0 days 00:13:58.422000,2018-07-22 13:20:05.454,1.0,20.0,False,0.0,False,False,81.024,17.812,37.66,25.552,856.234,893.894,919.446,919.446,838.422,202.55434031780547,333.0,71.06733466011377,10142.473632400352,12378.0,65.71627412638861,42.63768678224096,0.200652528548124,123.0,2.8156606851549757,1726.0,35.4486600862816,0.0133333332923939,5.00978792822186,8.0,0,-0.375,410.02,0.08955223880597014,18,0.2777777777777778,-13.0,1.847999999999999,82.00399999999999,1.1899018867116784,0.0,35.5,-29.5,0.027435850800352907,8.479308263853424,574444.4948525678,13311.116553814712,24914.183859090073,5.557250659923218
6,0 days 00:16:40.612000,10,0 days 00:01:21.166000,7.0,,,0 days 00:00:17.817000,0 days 00:00:37.746000,0 days 00:00:25.603000,0 days 00:15:37.263000,0 days 00:16:15.009000,0 days 00:16:40.612000,208.0,250.0,263.0,326.0,False,SOFT,6.0,True,Toro Rosso,0 days 00:15:19.446000,2018-07-22 13:21:26.478,1.0,20.0,False,0.0,False,False,81.166,17.817,37.746,25.603,937.263,975.009,1000.612,1000.612,919.446,202.05164511675866,329.0,71.52423313993293,10169.762338985136,12112.0,64.82799083799226,42.33051964357577,0.1970684039087948,121.0,3.1335504885993486,1924.0,46.201214648719635,0.0097222222248092,4.972312703583062,8.0,0,0.1419999999999959,491.18600000000004,0.1044776119402985,18,0.3333333333333333,-12.0,1.9899999999999949,81.60419999999999,1.0269601744955903,-0.6303000000000012,35.5,-28.5,0.02118589547837252,9.47542187552168,561049.4520134893,13098.602198430493,24448.249059127796,4.2806450346768665
7,0 days 00:18:01.781000,10,0 days 00:01:21.169000,8.0,,,0 days 00:00:17.678000,0 days 00:00:37.890000,0 days 00:00:25.601000,0 days 00:16:58.290000,0 days 00:17:36.180000,0 days 00:18:01.781000,206.0,249.0,263.0,334.0,False,SOFT,7.0,True,Toro Rosso,0 days 00:16:40.612000,2018-07-22 13:22:47.644,1.0,20.0,False,0.0,False,False,81.169,17.678,37.89,25.601,1018.29,1056.18,1081.781,1081.781,1000.612,201.70112605749375,338.0,72.65943478411738,10074.96069312331,11929.0,65.13267287409957,42.02199092400442,0.19738988580750408,121.0,3.0799347471451877,1888.0,48.872567188946746,0.4747222222431446,5.027732463295269,8.0,0,0.0030000000000001137,572.355,0.11940298507462686,18,0.3888888888888889,-11.0,1.992999999999995,81.15400000000001,0.15609131942556856,-0.44960000000000094,35.5,-27.5,0.020051103369341492,9.314205780309733,572632.8868383175,13137.33346184026,24405.836252956746,4.044330128291386
8,0 days 00:19:22.969000,10,0 days 00:01:21.188000,9.0,,,0 days 00:00:17.732000,0 days 00:00:37.703000,0 days 00:00:25.753000,0 days 00:18:19.513000,0 days 00:18:57.216000,0 days 00:19:22.969000,207.0,247.0,263.0,329.0,False,SOFT,8.0,True,Toro Rosso,0 days 00:18:01.781000,2018-07-22 13:24:08.813,1.0,20.0,False,0.0,False,False,81.188,17.732,37.703,25.753,1099.513,1137.216,1162.969,1162.969,1081.781,201.93373579382168,332.0,71.23868453542165,10109.550388671467,12010.0,66.06449722846455,42.606799377716264,0.1886178861788618,116.0,3.1349593495934958,1928.0,48.553959341544534,0.1625000000931322,5.009756097560976,8.0,0,0.019000000000005457,653.543,0.13432835820895522,18,0.4444444444444444,-10.0,2.0120000000000005,81.1892,0.13440126487505702,0.008099999999998886,35.5,-26.5,0.02018002220786484,9.500638188412525,545936.3537377795,13340.650728684424,23424.313352083314,4.075027272836433
9,0 days 00:20:43.901000,10,0 days 00:01:20.932000,10.0,,,0 days 00:00:17.723000,0 days 00:00:37.858000,0 days 00:00:25.351000,0 days 00:19:40.692000,0 days 00:20:18.550000,0 days 00:20:43.901000,202.0,251.0,263.0,311.0,True,SOFT,9.0,True,Toro Rosso,0 days 00:19:22.969000,2018-07-22 13:25:30.001,1.0,20.0,False,0.0,False,False,80.932,17.723,37.858,25.351,1180.692,1218.55,1243.901,1243.901,1162.969,202.65001474727563,314.0,69.12974177247531,10149.385213038311,12277.0,66.65413424636598,42.319497043487665,0.18107667210440456,111.0,1.5889070146818924,974.0,56.23447887735658,0.0102777777647133,5.071778140293638,8.0,0,-0.2560000000000002,734.475,0.14925373134328357,18,0.5,-9.0,1.7560000000000002,81.09580000000001,0.11266410253499591,-0.027700000000000103,35.5,-25.5,0.01747198576128952,4.782715096822893,511463.9228256294,13507.461287992957,22494.151636947594,3.5406981721895114
10,0 days 00:22:04.902000,10,0 days 00:01:21.001000,11.0,,,0 days 00:00:17.732000,0 days 00:00:38.003000,0 days 00:00:25.266000,0 days 00:21:01.633000,0 days 00:21:39.636000,0 days 00:22:04.902000,208.0,250.0,264.0,331.0,False,SOFT,10.0,True,Toro Rosso,0 days 00:20:43.901000,2018-07-22 13:26:50.933,1.0,20.0,False,0.0,False,False,81.001,17.732,38.003,25.266,1261.633,1299.636,1324.902,1324.902,1243.901,202.73184241981815,334.0,71.87934165020462,10157.863713850496,12097.0,65.143423592014,43.017705822470425,0.18241042345276873,112.0,3.0912052117263844,1898.0,60.43197864964847,0.1611111110905767,4.998371335504886,8.0,0,0.06900000000000261,815.476,0.16417910447761194,18,0.5555555555555556,-8.0,1.8250000000000028,81.0912,0.11672489023347196,-0.016199999999999194,35.5,-24.5,0.016278166876295498,9.316167651833746,524436.23687105,13206.646286343646,22705.966351019633,3.3001027620486423
