Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
14,0 days 00:43:59.446000,44,0 days 00:01:59.661000,15.0,0 days 00:42:21.270000,,0 days 00:00:55.737000,0 days 00:00:34.280000,0 days 00:00:29.644000,0 days 00:42:55.575000,0 days 00:43:29.855000,0 days 00:43:59.499000,251.0,327.0,157.0,303.0,False,SOFT,1.0,True,Mercedes,0 days 00:41:59.785000,2018-09-30 11:36:59.829,1,5.0,False,0.0,False,False,119.661,55.737,34.28,29.644,2575.575,2609.855,2639.499,2639.446,2519.785,174.12648494104658,330.0,84.79176988350258,9610.11238990118,12572.0,65.19804285404574,39.736237175994695,0.20828667413213886,186.0,0.8689809630459127,776.0,146.51830620871826,2.0958333336457144,4.371780515117581,8.0,0,0.0,119.661,0.2830188679245283,18,0.05555555555555555,-17.0,23.745000000000005,119.661,0.0,0.0,0.0,0.0,0.006778819698384664,4.431083055548266,1028255.8850555074,11352.706027210705,32387.526199034666,1.1803720461288472
15,0 days 00:45:39.062000,44,0 days 00:01:39.616000,16.0,,,0 days 00:00:36.116000,0 days 00:00:34.383000,0 days 00:00:29.117000,0 days 00:44:35.615000,0 days 00:45:09.998000,0 days 00:45:39.115000,253.0,308.0,162.0,314.0,False,SOFT,2.0,True,Mercedes,0 days 00:43:59.446000,2018-09-30 11:38:59.490,1,4.0,False,0.0,False,True,99.616,36.116,34.383,29.117,2675.615,2709.998,2739.115,2739.062,2639.446,210.01105899062262,340.0,68.98793893238873,10404.322527043025,12487.0,70.66916216610673,40.41372045237303,0.19086021505376344,142.0,1.043010752688172,776.0,83.94271727790303,33.59583333370392,5.301075268817204,8.0,0,-20.045,219.277,0.3018867924528302,18,0.1111111111111111,-16.0,3.700000000000003,109.6385,14.17395542888434,0.0,0.0,0.0,0.011772639633464371,3.677532370635065,692295.4178364195,14841.305584484116,29821.570376668413,2.4723845165388276
16,0 days 00:47:17.706000,44,0 days 00:01:38.644000,17.0,,,0 days 00:00:35.441000,0 days 00:00:33.943000,0 days 00:00:29.260000,0 days 00:46:14.556000,0 days 00:46:48.499000,0 days 00:47:17.759000,261.0,310.0,163.0,301.0,True,SOFT,3.0,True,Mercedes,0 days 00:45:39.062000,2018-09-30 11:40:39.106,1,4.0,False,0.0,False,True,98.644,35.441,33.943,29.26,2774.556,2808.499,2837.759,2837.706,2739.062,212.0589150079143,314.0,64.13153884129414,10237.888131346916,12225.0,70.3781730561342,40.686472491238696,0.18860244233378562,139.0,0.0,0.0,57.03224589199391,0.3205555559834465,5.502035278154681,8.0,0,-0.9719999999999942,317.921,0.32075471698113206,18,0.16666666666666666,-15.0,2.7280000000000086,105.97366666666666,11.863537260586876,0.0,0.0,0.0,0.017231799056358067,0.0,627371.014911102,14924.319018523047,29476.189186100088,3.654156611525693
17,0 days 00:48:56.243000,44,0 days 00:01:38.537000,18.0,,,0 days 00:00:35.342000,0 days 00:00:34.017000,0 days 00:00:29.178000,0 days 00:47:53.101000,0 days 00:48:27.118000,0 days 00:48:56.296000,253.0,313.0,163.0,301.0,True,SOFT,4.0,True,Mercedes,0 days 00:47:17.706000,2018-09-30 11:42:17.750,1,4.0,False,0.0,False,True,98.537,35.342,34.017,29.178,2873.101,2907.118,2936.296,2936.243,2837.706,212.20552334573264,318.0,64.31921044757011,10194.54404446771,12439.0,67.37770204226629,41.86391185361604,0.18095238095238095,133.0,0.0,0.0,132.04469106101612,0.0627777781919576,5.537414965986395,8.0,0,-0.10699999999999932,416.458,0.33962264150943394,18,0.2222222222222222,-14.0,2.6210000000000093,104.1145,10.375693406547173,0.0,0.0,0.0,0.007516271352318645,0.0,576379.5194183167,14297.920523711959,28223.334604982443,1.5949942959273158
18,0 days 00:50:35.069000,44,0 days 00:01:38.826000,19.0,,,0 days 00:00:35.500000,0 days 00:00:34.104000,0 days 00:00:29.222000,0 days 00:49:31.796000,0 days 00:50:05.900000,0 days 00:50:35.122000,250.0,311.0,160.0,292.0,False,SOFT,5.0,True,Mercedes,0 days 00:48:56.243000,2018-09-30 11:43:56.287,1,3.0,False,0.0,False,True,98.826,35.5,34.104,29.222,2971.796,3005.9,3035.122,3035.069,2936.243,211.51718687776457,315.0,64.4900323240751,10110.235500450119,12395.0,67.84638843975543,41.9988907992755,0.1910569105691057,141.0,0.0,0.0,124.11781576882568,0.2013888890651287,5.569105691056911,8.0,0,0.28899999999998727,515.284,0.3584905660377358,18,0.2777777777777778,-13.0,2.9099999999999966,103.0568,9.291657909113953,0.0,0.0,0.0,0.007992466890947434,0.0,616933.6254807733,14350.677222593155,29823.923349764806,1.6905441129868743
19,0 days 00:52:13.479000,44,0 days 00:01:38.410000,20.0,,,0 days 00:00:35.309000,0 days 00:00:33.829000,0 days 00:00:29.272000,0 days 00:51:10.431000,0 days 00:51:44.260000,0 days 00:52:13.532000,257.0,313.0,158.0,302.0,True,SOFT,6.0,True,Mercedes,0 days 00:50:35.069000,2018-09-30 11:45:35.113,1,3.0,False,0.0,False,True,98.41,35.309,33.829,29.272,3070.431,3104.26,3133.532,3133.479,3035.069,212.35117459380194,318.0,64.41124325191004,10140.591631066998,12334.0,69.13417700455932,41.62590762446018,0.20081411126187246,148.0,0.0,0.0,118.86590346552413,0.3088888889615191,5.563093622795115,8.0,0,-0.4159999999999968,613.694,0.37735849056603776,18,0.3333333333333333,-12.0,2.4939999999999998,98.8066,0.47747230286147263,-4.2749000000000015,0.0,0.0,0.00834265601049443,0.0,659046.7072250687,14680.723691493984,31427.97383988269,1.771572803060534
20,0 days 00:53:51.909000,44,0 days 00:01:38.430000,21.0,,,0 days 00:00:35.241000,0 days 00:00:33.844000,0 days 00:00:29.345000,0 days 00:52:48.773000,0 days 00:53:22.617000,0 days 00:53:51.962000,261.0,318.0,161.0,306.0,False,SOFT,7.0,True,Mercedes,0 days 00:52:13.479000,2018-09-30 11:47:13.523,1,3.0,False,0.0,False,True,98.43,35.241,33.844,29.345,3168.773,3202.617,3231.962,3231.909,3133.479,212.14403086863686,322.0,65.27059270248608,10192.05254946593,12276.0,69.64455944913345,41.27158773301656,0.19021739130434784,140.0,0.0,0.0,124.71985248969952,0.1238888886582572,5.544836956521739,8.0,0,0.020000000000010232,712.124,0.39622641509433965,18,0.3888888888888889,-11.0,2.51400000000001,98.5694,0.17124485393681205,-0.22300000000000184,0.0,0.0,0.007954193233578061,0.0,636403.8343247856,14774.677569609583,29700.16432160916,1.687434614879287
21,0 days 00:55:30.586000,44,0 days 00:01:38.677000,22.0,,,0 days 00:00:34.990000,0 days 00:00:33.699000,0 days 00:00:29.988000,0 days 00:54:26.952000,0 days 00:55:00.651000,0 days 00:55:30.639000,262.0,332.0,159.0,314.0,False,SOFT,8.0,True,Mercedes,0 days 00:53:51.909000,2018-09-30 11:48:51.953,1,3.0,False,0.0,False,True,98.677,34.99,33.699,29.988,3266.952,3300.651,3330.639,3330.586,3231.909,211.3076685554705,334.0,68.82013025055666,10386.939969323219,12782.0,69.00993670739359,41.11993691974435,0.20652173913043478,152.0,1.0733695652173914,790.0,109.38214322982711,1.3344444443646353,5.360054347826087,8.0,0,0.2469999999999999,810.801,0.41509433962264153,18,0.4444444444444444,-10.0,2.76100000000001,98.576,0.17542377261888004,-0.05550000000000069,0.0,0.0,0.00905943634304958,3.7210149090474016,721889.4705833958,14582.328832799923,32118.765620431517,1.9143283720765047
22,0 days 00:57:10.152000,44,0 days 00:01:39.566000,23.0,,,0 days 00:00:35.159000,0 days 00:00:34.410000,0 days 00:00:29.997000,0 days 00:56:05.798000,0 days 00:56:40.208000,0 days 00:57:10.205000,259.0,328.0,156.0,320.0,False,SOFT,9.0,True,Mercedes,0 days 00:55:30.586000,2018-09-30 11:50:30.630,1,3.0,False,0.0,False,True,99.566,35.159,34.41,29.997,3365.798,3400.208,3430.205,3430.152,3330.586,209.68155378647197,340.0,70.64980783983087,10198.113085701776,12546.0,68.105990031137,41.469316926423794,0.20053835800807537,149.0,2.0995962314939436,1560.0,100.31662900181607,0.1086111109616467,5.410497981157469,8.0,0,0.8889999999999958,910.367,0.4339622641509434,18,0.5,-9.0,3.6500000000000057,98.7818,0.47167382797845203,-0.011599999999998546,0.0,0.0,0.009870048084427239,7.404540036671064,716939.5911577486,14280.569811894777,31242.551514184324,2.0695670182898946
23,0 days 00:58:49.259000,44,0 days 00:01:39.107000,24.0,,,0 days 00:00:35.394000,0 days 00:00:34.208000,0 days 00:00:29.505000,0 days 00:57:45.599000,0 days 00:58:19.807000,0 days 00:58:49.312000,250.0,316.0,163.0,301.0,False,SOFT,10.0,True,Mercedes,0 days 00:57:10.152000,2018-09-30 11:52:10.196,1,3.0,False,0.0,False,True,99.107,35.394,34.208,29.505,3465.599,3499.807,3529.312,3529.259,3430.152,210.5808829310899,321.0,65.88140560831339,10191.726733967103,12383.0,68.46309060025966,41.127571394553556,0.20053835800807537,149.0,0.0,0.0,125.5838347042531,65.35305555560626,5.465679676985195,8.0,0,-0.4590000000000032,1009.474,0.4528301886792453,18,0.5555555555555556,-8.0,3.1910000000000025,98.83800000000001,0.4944476716497381,0.17470000000000285,0.0,0.0,0.007899902877301607,0.0,672056.2515141277,14417.01806679388,31376.551556732393,1.6635685229720296
