Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
15,0 days 00:50:57.296000,44,0 days 00:02:07.051000,16.0,0 days 00:49:12.537000,,0 days 00:00:48.856000,0 days 00:00:41.556000,0 days 00:00:36.639000,0 days 00:49:39.164000,0 days 00:50:20.720000,0 days 00:50:57.359000,295.0,268.0,250.0,286.0,False,SOFT,1.0,True,Mercedes,0 days 00:48:50.245000,2018-09-16 12:43:50.343,1,5.0,False,0.0,False,False,127.051,48.856,41.556,36.639,2979.164,3020.72,3057.359,3057.296,2930.245,142.54938467526205,300.0,68.79693210192654,8899.149643779034,12498.0,51.63419659363672,39.06292317778624,0.26064382139148495,251,0.0,0,529.5193375147885,1.8616666662856003,3.7185877466251296,8,0,0.0,127.051,0.26229508196721313,18,0.05555555555555555,-17.0,24.138000000000005,127.051,0.0,0.0,0.0,0.0,0.0018849454285389258,0.0,891620.853614678,7360.422952624426,35779.89555349077,0.268697810984672
16,0 days 00:52:42.651000,44,0 days 00:01:45.355000,17.0,,,0 days 00:00:28.504000,0 days 00:00:40.975000,0 days 00:00:35.876000,0 days 00:51:25.863000,0 days 00:52:06.838000,0 days 00:52:42.714000,288.0,264.0,251.0,291.0,False,SOFT,2.0,True,Mercedes,0 days 00:50:57.296000,2018-09-16 12:45:57.394,1,4.0,False,0.0,False,True,105.355,28.504,40.975,35.876,3085.863,3126.838,3162.714,3162.651,3057.296,171.90637840906186,294.0,59.47125674255805,9596.077354526622,12205.0,54.17438797316919,42.33866754594496,0.2659974905897114,212,0.0,0,615.9140383461873,271.6927777772362,4.476787954830614,7,0,-21.695999999999998,232.406,0.2786885245901639,18,0.1111111111111111,-16.0,2.4420000000000073,116.203,15.341388724623334,0.0,0.0,0.0,0.0016209713798713075,0.0,683025.6144369383,9312.922838994953,36444.15222272112,0.27865531941841615
17,0 days 00:54:28.453000,44,0 days 00:01:45.802000,18.0,,,0 days 00:00:28.725000,0 days 00:00:41.351000,0 days 00:00:35.726000,0 days 00:53:11.439000,0 days 00:53:52.790000,0 days 00:54:28.516000,285.0,267.0,252.0,282.0,False,SOFT,3.0,True,Mercedes,0 days 00:52:42.651000,2018-09-16 12:47:42.749,1,3.0,False,0.0,False,True,105.802,28.725,41.351,35.726,3191.439,3232.79,3268.516,3268.453,3162.651,170.7697514882929,287.0,59.46827634773617,9545.233998929865,12262.0,55.330217127840214,42.29598498942738,0.26433915211970077,212,0.0,0,601.409743068201,1.168333332752809,4.497506234413965,7,0,0.44700000000000273,338.208,0.29508196721311475,18,0.16666666666666666,-15.0,2.88900000000001,112.736,12.399168157582183,0.0,0.0,0.0,0.0016599997120013152,0.0,697563.2402181933,9448.727428714561,36203.187315518095,0.2834777382891024
18,0 days 00:56:14.387000,44,0 days 00:01:45.934000,19.0,,,0 days 00:00:28.571000,0 days 00:00:41.098000,0 days 00:00:36.265000,0 days 00:54:57.087000,0 days 00:55:38.185000,0 days 00:56:14.450000,286.0,269.0,251.0,284.0,False,SOFT,4.0,True,Mercedes,0 days 00:54:28.453000,2018-09-16 12:49:28.551,1,3.0,False,0.0,False,True,105.934,28.571,41.098,36.265,3297.087,3338.185,3374.45,3374.387,3268.453,170.89074213699755,291.0,59.91179684402347,9425.851181359636,12241.0,53.20471834210465,42.82339859619836,0.2704714640198511,218,0.0,0,607.1235005490072,1.2983333327574655,4.55955334987593,7,0,0.1319999999999908,444.142,0.3114754098360656,18,0.2222222222222222,-14.0,3.021000000000001,111.0355,10.67987429701305,0.0,0.0,0.0,0.0016444028212973369,0.0,694894.6802673345,9092.19380267219,37254.18178586546,0.28101321850367444
19,0 days 00:58:01.001000,44,0 days 00:01:46.614000,20.0,,,0 days 00:00:28.814000,0 days 00:00:41.323000,0 days 00:00:36.477000,0 days 00:56:43.264000,0 days 00:57:24.587000,0 days 00:58:01.064000,287.0,270.0,249.0,285.0,False,SOFT,5.0,True,Mercedes,0 days 00:56:14.387000,2018-09-16 12:51:14.485,1,3.0,False,0.0,False,True,106.614,28.814,41.323,36.477,3403.264,3444.587,3481.064,3481.001,3374.387,169.2710323744394,291.0,60.35076498904437,9459.849020508645,12292.0,52.65146425137032,42.367248455258,0.2571428571428571,207,0.0,0,619.8233679929641,5.557222221643315,4.491925465838509,7,0,0.6800000000000068,550.756,0.32786885245901637,18,0.2777777777777778,-13.0,3.7010000000000076,110.15119999999999,9.458050470366501,0.0,0.0,0.0,0.0016107641103021966,0.0,657754.122090249,8912.367709855343,35039.10370150895,0.27265570386254817
20,0 days 00:59:46.136000,44,0 days 00:01:45.135000,21.0,,,0 days 00:00:28.679000,0 days 00:00:40.538000,0 days 00:00:35.918000,0 days 00:58:29.743000,0 days 00:59:10.281000,0 days 00:59:46.199000,287.0,271.0,252.0,289.0,False,SOFT,6.0,True,Mercedes,0 days 00:58:01.001000,2018-09-16 12:53:01.099,1,3.0,False,0.0,False,True,105.135,28.679,40.538,35.918,3509.743,3550.281,3586.199,3586.136,3481.001,172.0755476664531,291.0,60.2673483516799,9685.66449205012,12637.0,56.22019370096633,42.16799083390795,0.25699745547073793,202,0.0,0,578.1520837655886,0.5377777769463137,4.482188295165394,8,0,-1.4789999999999992,655.8910000000001,0.3442622950819672,18,0.3333333333333333,-12.0,2.2220000000000084,105.768,0.5735167826664139,-4.0295000000000005,0.0,0.0,0.0017266621808525674,0.0,684424.8836313616,9674.120621007858,34759.260628623524,0.29711634040515783
21,0 days 01:01:31.966000,44,0 days 00:01:45.830000,22.0,,,0 days 00:00:28.702000,0 days 00:00:40.937000,0 days 00:00:36.191000,0 days 01:00:14.901000,0 days 01:00:55.838000,0 days 01:01:32.029000,290.0,270.0,250.0,286.0,False,SOFT,7.0,True,Mercedes,0 days 00:59:46.136000,2018-09-16 12:54:46.234,1,3.0,False,0.0,False,True,105.83,28.702,40.937,36.191,3614.901,3655.838,3692.029,3691.966,3586.136,170.48487385273106,292.0,60.23410442877134,9421.865898323373,12298.0,53.80001376377258,42.605927831834,0.2638888888888889,209,0.0,0,476.46103376785624,0.3405555547797121,4.559343434343434,8,0,0.6949999999999932,761.721,0.36065573770491804,18,0.3888888888888889,-11.0,2.9170000000000016,105.86300000000001,0.5253179989302024,0.03719999999999999,0.0,0.0,0.0020944117514858913,0.0,677284.4902891304,9172.088559791964,35631.33863522079,0.35706552324774965
22,0 days 01:03:17.780000,44,0 days 00:01:45.814000,23.0,,,0 days 00:00:28.892000,0 days 00:00:40.878000,0 days 00:00:36.044000,0 days 01:02:00.921000,0 days 01:02:41.799000,0 days 01:03:17.843000,287.0,267.0,251.0,285.0,False,SOFT,8.0,True,Mercedes,0 days 01:01:31.966000,2018-09-16 12:56:32.064,1,2.0,False,0.0,False,True,105.814,28.892,40.878,36.044,3720.921,3761.799,3797.843,3797.78,3691.966,170.37917038083967,290.0,59.990099610396406,9556.109188364888,12433.0,53.65098723635747,42.66605680729967,0.2626903553299492,207,0.0,0,516.0383082579032,0.415555554718594,4.467005076142132,7,0,-0.016000000000005343,867.535,0.3770491803278688,18,0.4444444444444444,-10.0,2.9009999999999962,105.8654,0.5249969523721375,-0.07430000000000092,0.0,0.0,0.001934092665917496,0.0,666235.3101805745,9141.010695443605,35268.48826883381,0.32952910385868944
23,0 days 01:05:03.530000,44,0 days 00:01:45.750000,24.0,,,0 days 00:00:28.833000,0 days 00:00:40.924000,0 days 00:00:35.993000,0 days 01:03:46.676000,0 days 01:04:27.600000,0 days 01:05:03.593000,291.0,265.0,252.0,285.0,False,SOFT,9.0,True,Mercedes,0 days 01:03:17.780000,2018-09-16 12:58:17.878,1,2.0,False,0.0,False,True,105.75,28.833,40.924,35.993,3826.676,3867.6,3903.593,3903.53,3797.78,170.55705425849845,292.0,60.05689853231196,9407.996265243457,12276.0,52.481419288328766,42.80670032346698,0.2593984962406015,207,0.0,0,491.9829438939771,1.0397222215106012,4.56015037593985,8,0,-0.06399999999999295,973.285,0.39344262295081966,18,0.5,-9.0,2.8370000000000033,105.82860000000001,0.5254348675145505,-0.10240000000000152,0.0,0.0,0.0020284677439369263,0.0,652437.3535173922,8951.076277122496,35305.31023150918,0.3459694830642643
24,0 days 01:06:49.144000,44,0 days 00:01:45.614000,25.0,,,0 days 00:00:28.713000,0 days 00:00:40.768000,0 days 00:00:36.133000,0 days 01:05:32.306000,0 days 01:06:13.074000,0 days 01:06:49.207000,290.0,265.0,252.0,284.0,False,SOFT,10.0,True,Mercedes,0 days 01:05:03.530000,2018-09-16 13:00:03.628,1,2.0,False,0.0,False,True,105.614,28.713,40.768,36.133,3932.306,3973.074,4009.207,4009.144,3903.53,171.2822606160716,292.0,60.3476738222177,9412.001118242008,12252.0,53.36073839390176,42.684988826239774,0.25561097256857856,205,0.0,0,512.9450238723462,0.8505555550364079,4.598503740648379,7,0,-0.13599999999999568,1078.8990000000001,0.4098360655737705,18,0.5555555555555556,-8.0,2.7010000000000076,105.6286,0.28875906912170934,-0.10490000000000209,0.0,0.0,0.001945733402505674,0.0,660140.2692791139,9139.747900250299,35112.86342629468,0.3332696157373726
