Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
10,0 days 00:53:46.260000,10,0 days 00:02:25.175000,11.0,0 days 00:51:44.039000,,0 days 00:00:53.435000,0 days 00:00:55.847000,0 days 00:00:35.893000,0 days 00:52:14.520000,0 days 00:53:10.367000,0 days 00:53:46.260000,133.0,171.0,201.0,257.0,False,SOFT,1.0,True,Toro Rosso,0 days 00:51:21.085000,2018-10-21 18:31:21.150,671,15.0,False,0.0,False,False,145.175,53.435,55.847,35.893,3134.52,3190.367,3226.26,3226.26,3081.085,135.26809241996898,268.0,55.24494488147006,9018.960199486082,12271.0,46.407446414032215,37.2433443977757,0.17603686635944701,191,0.8525345622119815,925,183.80750779252503,51.78361111112463,3.3797235023041474,7,0,0.0,145.175,0.19642857142857142,18,0.05555555555555555,-17.0,44.42100000000001,145.175,0.0,0.0,36.0,-25.0,0.005411035579369721,6.7880894461281,489681.37247350015,6277.446750508067,25836.205652214074,0.7319404608379239
11,0 days 00:55:27.014000,10,0 days 00:01:40.754000,12.0,,,0 days 00:00:27.022000,0 days 00:00:40.322000,0 days 00:00:33.410000,0 days 00:54:13.282000,0 days 00:54:53.604000,0 days 00:55:27.014000,217.0,178.0,201.0,302.0,True,SOFT,2.0,True,Toro Rosso,0 days 00:53:46.260000,2018-10-21 18:33:46.325,1,15.0,False,0.0,False,True,100.754,27.022,40.322,33.41,3253.282,3293.604,3327.014,3327.014,3226.26,195.5839710387287,306.0,66.45695946417636,9920.063070218763,12186.0,63.697333162280195,42.07738216899517,0.16578249336870027,125,0.0,0,218.46021509850098,118.40194444426744,4.974801061007957,8,0,-44.42100000000001,245.92900000000003,0.21428571428571427,18,0.1111111111111111,-16.0,0.0,122.96450000000002,31.410390327087637,0.0,36.0,-24.0,0.004556634556979574,0.0,529141.385992724,12458.177364455662,24447.996379841086,0.8912046812263633
12,0 days 00:57:08.174000,10,0 days 00:01:41.160000,13.0,,,0 days 00:00:27.037000,0 days 00:00:40.389000,0 days 00:00:33.734000,0 days 00:55:54.051000,0 days 00:56:34.440000,0 days 00:57:08.174000,210.0,179.0,200.0,301.0,False,SOFT,3.0,True,Toro Rosso,0 days 00:55:27.014000,2018-10-21 18:35:27.079,1,15.0,False,0.0,False,True,101.16,27.037,40.389,33.734,3354.051,3394.44,3428.174,3428.174,3327.014,194.05079391266008,306.0,67.76982801953409,9816.788599748696,12419.0,62.90540316507135,42.09514096861961,0.16226912928759896,123,0.0,0,209.5019844695474,118.33166666653416,4.988126649076517,8,0,0.4059999999999917,347.089,0.23214285714285715,18,0.16666666666666666,-15.0,0.4059999999999917,115.69633333333333,25.530081283327984,0.0,36.0,-23.0,0.004750549038860327,0.0,524359.8675415498,12206.843425578056,23868.24765125719,0.9218478125118709
13,0 days 00:58:49.768000,10,0 days 00:01:41.594000,14.0,,,0 days 00:00:27.071000,0 days 00:00:40.474000,0 days 00:00:34.049000,0 days 00:57:35.245000,0 days 00:58:15.719000,0 days 00:58:49.768000,206.0,180.0,199.0,302.0,False,SOFT,4.0,True,Toro Rosso,0 days 00:57:08.174000,2018-10-21 18:37:08.239,1,15.0,False,0.0,False,True,101.594,27.071,40.474,34.049,3455.245,3495.719,3529.768,3529.768,3428.174,192.72627168625363,306.0,67.92874276816447,9820.656802596413,12252.0,62.38566585485162,42.086331732902686,0.18289473684210528,139,0.0,0,205.77841271024175,110.0500000002503,4.9302631578947365,8,0,0.4339999999999975,448.683,0.25,18,0.2222222222222222,-14.0,0.8399999999999892,112.17075,22.005506543817628,0.0,36.0,-22.0,0.004836094768757599,0.0,589051.3989102079,12023.356786869968,26788.951764389254,0.9320425143040469
14,0 days 01:00:31.559000,10,0 days 00:01:41.791000,15.0,,,0 days 00:00:27.286000,0 days 00:00:40.501000,0 days 00:00:34.004000,0 days 00:59:17.054000,0 days 00:59:57.555000,0 days 01:00:31.559000,211.0,182.0,198.0,294.0,False,SOFT,5.0,True,Toro Rosso,0 days 00:58:49.768000,2018-10-21 18:38:49.833,1,15.0,False,0.0,False,True,101.791,27.286,40.501,34.004,3557.054,3597.555,3631.559,3631.559,3529.768,192.30410974187237,301.0,67.56588006521089,9882.679069564421,12264.0,62.914679015099416,41.64967595462011,0.17191601049868765,131,0.0,0,186.17010868284524,55.44666666693229,4.896325459317585,8,0,0.19700000000000273,550.474,0.26785714285714285,18,0.2777777777777778,-13.0,1.036999999999992,110.0948,19.61452473806083,0.0,36.0,-21.0,0.005342733447328779,0.0,556866.0210244836,12098.751337694353,25191.83837618528,1.0274295991766855
15,0 days 01:02:13.720000,10,0 days 00:01:42.161000,16.0,,,0 days 00:00:27.062000,0 days 00:00:40.833000,0 days 00:00:34.266000,0 days 01:00:58.621000,0 days 01:01:39.454000,0 days 01:02:13.720000,217.0,180.0,198.0,299.0,False,SOFT,6.0,True,Toro Rosso,0 days 01:00:31.559000,2018-10-21 18:40:31.624,1,15.0,False,0.0,False,True,102.161,27.062,40.833,34.266,3658.621,3699.454,3733.72,3733.72,3631.559,192.10448772830182,304.0,67.61495194690437,9810.172503280215,12216.0,61.01463104698006,42.34754803280775,0.17908496732026144,137,0.0,0,141.46752220066853,12.046388889473748,4.924183006535948,8,0,0.37000000000000455,652.635,0.2857142857142857,18,0.3333333333333333,-12.0,1.4069999999999965,101.49199999999999,0.5482321588524194,-8.592800000000004,36.0,-20.0,0.007019143623425126,0.0,565193.6844430529,11721.184441211444,26318.314818777348,1.34840899006946
16,0 days 01:03:55.864000,10,0 days 00:01:42.144000,17.0,,,0 days 00:00:27.158000,0 days 00:00:40.754000,0 days 00:00:34.232000,0 days 01:02:40.878000,0 days 01:03:21.632000,0 days 01:03:55.864000,210.0,180.0,197.0,302.0,False,SOFT,7.0,True,Toro Rosso,0 days 01:02:13.720000,2018-10-21 18:42:13.785,1,15.0,False,0.0,False,True,102.144,27.158,40.754,34.232,3760.878,3801.632,3835.864,3835.864,3733.72,191.71790939538155,305.0,68.21999189293761,9763.092333922186,12354.0,59.855076878353636,42.26189215503868,0.17408376963350786,133,0.0,0,113.12502528424334,0.5930555564555107,4.9109947643979055,8,0,-0.016999999999995907,754.779,0.30357142857142855,18,0.3888888888888889,-11.0,1.3900000000000006,101.77,0.41721517230320504,0.34449999999999936,36.0,-19.0,0.008762320074053599,0.0,543080.6102991948,11475.290205817799,25498.48194958575,1.679893686050741
17,0 days 01:05:38.075000,10,0 days 00:01:42.211000,18.0,,,0 days 00:00:27.438000,0 days 00:00:40.518000,0 days 00:00:34.255000,0 days 01:04:23.302000,0 days 01:05:03.820000,0 days 01:05:38.075000,210.0,181.0,201.0,307.0,False,SOFT,8.0,True,Toro Rosso,0 days 01:03:55.864000,2018-10-21 18:43:55.929,1,15.0,False,0.0,False,True,102.211,27.438,40.518,34.255,3863.302,3903.82,3938.075,3938.075,3835.864,191.38030956163223,308.0,68.29564672090535,9774.606016552187,12420.0,60.15293431530108,42.275495406491245,0.17754569190600522,136,0.0,0,102.79937537380832,0.1861111121543217,4.908616187989556,8,0,0.06699999999999307,856.99,0.32142857142857145,18,0.4444444444444444,-10.0,1.4569999999999936,101.9802,0.27282540204312505,0.2535000000000025,36.0,-18.0,0.009633969341325438,0.0,558712.9629664134,11512.087190302851,26027.722100381983,1.8437520348501364
18,0 days 01:07:20.324000,10,0 days 00:01:42.249000,19.0,,,0 days 00:00:27.360000,0 days 00:00:40.581000,0 days 00:00:34.308000,0 days 01:06:05.435000,0 days 01:06:46.016000,0 days 01:07:20.324000,207.0,179.0,202.0,305.0,False,SOFT,9.0,True,Toro Rosso,0 days 01:05:38.075000,2018-10-21 18:45:38.140,1,15.0,False,0.0,False,True,102.249,27.36,40.581,34.308,3965.435,4006.016,4040.324,4040.324,3938.075,191.9134702488496,307.0,68.68534782668684,9755.574029016336,12396.0,60.303162474048115,42.80129854532011,0.17801047120418848,136,0.0,0,114.84976358364909,0.7991666676534805,4.925392670157068,8,0,0.0379999999999967,959.239,0.3392857142857143,18,0.5,-9.0,1.4949999999999903,102.11120000000001,0.18373404692650522,0.15870000000000176,36.0,-17.0,0.008631869147302592,0.0,563304.3417827716,11572.989177374777,26100.231953843544,1.6565719627928188
19,0 days 01:09:03.159000,10,0 days 00:01:42.835000,20.0,,,0 days 00:00:27.308000,0 days 00:00:40.856000,0 days 00:00:34.671000,0 days 01:07:47.632000,0 days 01:08:28.488000,0 days 01:09:03.159000,210.0,179.0,201.0,304.0,False,SOFT,10.0,True,Toro Rosso,0 days 01:07:20.324000,2018-10-21 18:47:20.389,1,15.0,False,0.0,False,True,102.835,27.308,40.856,34.671,4067.632,4108.488,4143.159,4143.159,4040.324,190.83738095604625,307.0,69.34696259750555,9780.980014879524,12195.0,59.612341150437,43.01610657014459,0.19115734720416125,147,0.0,0,131.34530567551474,0.1808333344670245,4.889466840052016,8,0,0.5859999999999985,1062.074,0.35714285714285715,18,0.5555555555555556,-8.0,2.080999999999989,102.32000000000001,0.2908625104752948,0.09659999999999941,36.0,-16.0,0.007555991464115908,0.0,607688.414440037,11376.263057807737,28053.095000538797,1.4419656215381211
