Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
0,0 days 00:35:17.962000,10,0 days 00:01:45.008000,1.0,,,,0 days 00:00:24.917000,0 days 00:00:38.018000,,0 days 00:34:40.340000,0 days 00:35:18.706000,253.0,293.0,289.0,212.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:33:32.727000,2019-03-17 05:13:33.030,12,17.0,False,0.0,False,False,105.008,0.0,24.917,38.018,0.0,2080.34,2118.706,2117.962,2012.727,184.85997947128322,295.0,68.05015340204123,10460.97648111903,12627.0,60.11523087923538,43.35265518081872,0.24094881398252185,193.0,1.0,801.0,10.014103829988597,0.0122222222228174,4.420724094881399,8.0,0,0.0,105.008,0.017241379310344827,28,0.03571428571428571,-27.0,16.59599999999999,105.008,0.0,0.0,37.0,-36.0,0.09079267958935114,4.309695945725425,789534.1818443009,11112.900346246903,35677.97603795766,16.783932885030246
1,0 days 00:36:49.547000,10,0 days 00:01:31.585000,2.0,,,0 days 00:00:30.704000,0 days 00:00:24.245000,0 days 00:00:36.636000,0 days 00:35:48.703000,0 days 00:36:12.948000,0 days 00:36:49.584000,266.0,289.0,289.0,270.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:35:17.962000,2019-03-17 05:15:18.265,1,16.0,False,0.0,False,True,91.585,30.704,24.245,36.636,2148.703,2172.948,2209.584,2209.547,2117.962,206.9216693772181,299.0,60.84652347702384,10700.3248125212,12211.0,67.93327063820593,42.16152587089081,0.1930835734870317,134.0,0.9985590778097982,693.0,31.644057434297928,0.1269444444487817,5.105187319884727,8.0,0,-13.423000000000002,196.593,0.034482758620689655,28,0.07142857142857142,-26.0,3.1729999999999876,98.2965,9.491494323867029,0.0,37.0,-35.0,0.030633446899567585,3.332985936846906,553889.4484656538,14056.865766711926,27727.503696547228,6.338723971236891
2,0 days 00:38:20.953000,10,0 days 00:01:31.406000,3.0,,,0 days 00:00:30.920000,0 days 00:00:24.387000,0 days 00:00:36.099000,0 days 00:37:20.504000,0 days 00:37:44.891000,0 days 00:38:20.990000,268.0,286.0,307.0,283.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 00:36:49.547000,2019-03-17 05:16:49.850,1,16.0,False,0.0,False,True,91.406,30.92,24.387,36.099,2240.504,2264.891,2300.99,2300.953,2209.547,207.3136369088057,311.0,62.126066517297545,10633.999469971603,12320.0,66.99278476467381,42.446642437366314,0.1856115107913669,129.0,2.598561151079137,1806.0,33.58392452132396,0.2013888889050576,5.159712230215828,8.0,0,-0.17899999999998784,287.999,0.05172413793103448,28,0.10714285714285714,-25.0,2.9939999999999998,95.99966666666667,7.801958877957081,0.0,37.0,-34.0,0.028915168357582267,8.669619650443815,536897.7681185169,13888.517856213357,26743.459161235936,5.994508714040798
3,0 days 00:39:53.314000,10,0 days 00:01:32.361000,4.0,,,0 days 00:00:32.196000,0 days 00:00:24.238000,0 days 00:00:35.927000,0 days 00:38:53.186000,0 days 00:39:17.424000,0 days 00:39:53.351000,261.0,286.0,291.0,293.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:38:20.953000,2019-03-17 05:18:21.256,1,16.0,False,0.0,False,True,92.361,32.196,24.238,35.927,2333.186,2357.424,2393.351,2393.314,2300.953,205.34102140474548,322.0,63.086894226772394,10571.45557689766,12310.0,67.09859630074257,42.41205439092059,0.18,126.0,1.5142857142857142,1060.0,78.47492792975466,0.7680555555889441,5.065714285714286,8.0,0,0.9549999999999983,380.36,0.06896551724137931,28,0.14285714285714285,-24.0,3.948999999999998,95.09,6.6249791446212605,0.0,37.0,-33.0,0.01258258454646059,5.137126843628302,533363.2979963209,13778.094299219156,25872.96869699793,2.5837207626817835
4,0 days 00:41:24.485000,10,0 days 00:01:31.171000,5.0,,,0 days 00:00:30.366000,0 days 00:00:24.301000,0 days 00:00:36.504000,0 days 00:40:23.717000,0 days 00:40:48.018000,0 days 00:41:24.522000,266.0,286.0,303.0,292.0,True,MEDIUM,5.0,True,Red Bull Racing,0 days 00:39:53.314000,2019-03-17 05:19:53.617,1,16.0,False,0.0,False,True,91.171,30.366,24.301,36.504,2423.717,2448.018,2484.522,2484.485,2393.314,208.13766424648912,308.0,60.76058576482728,10363.594510850487,12292.0,67.32464620722918,42.14620796117485,0.17723342939481268,123.0,1.5100864553314122,1048.0,28.937452515075016,0.1702777777827577,5.361671469740634,8.0,0,-1.1899999999999977,471.531,0.08620689655172414,28,0.17857142857142858,-23.0,2.7590000000000003,94.3062,5.999122744201854,0.0,37.0,-32.0,0.033402975737379444,5.011053383310382,503154.24761520326,14012.794607793934,25600.93270231816,6.952417348860306
5,0 days 00:42:55.505000,10,0 days 00:01:31.020000,6.0,,,0 days 00:00:30.534000,0 days 00:00:24.444000,0 days 00:00:36.042000,0 days 00:41:55.056000,0 days 00:42:19.500000,0 days 00:42:55.542000,270.0,284.0,307.0,297.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 00:41:24.485000,2019-03-17 05:21:24.788,1,16.0,False,0.0,False,True,91.02,30.534,24.444,36.042,2515.056,2539.5,2575.542,2575.505,2484.485,207.89425644421388,318.0,63.08423954893806,10257.517493323,12332.0,66.20258913941557,42.477710055907934,0.1808972503617945,125.0,4.185238784370478,2892.0,20.117713876503498,0.2194444444830878,5.361794500723589,8.0,0,-0.15100000000001046,562.551,0.10344827586206896,28,0.21428571428571427,-22.0,2.60799999999999,91.5086,0.5233672706618567,-2.689799999999997,37.0,-31.0,0.04735361061561897,13.844325110835785,522042.499003852,13763.138043820589,25986.782055526735,9.844543668882938
6,0 days 00:44:26.670000,10,0 days 00:01:31.165000,7.0,,,0 days 00:00:30.592000,0 days 00:00:24.278000,0 days 00:00:36.295000,0 days 00:43:26.134000,0 days 00:43:50.412000,0 days 00:44:26.707000,268.0,286.0,307.0,291.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 00:42:55.505000,2019-03-17 05:22:55.808,1,16.0,False,0.0,False,True,91.165,30.592,24.278,36.295,2606.134,2630.412,2666.707,2666.67,2575.505,207.64514596809602,322.0,63.97561912197974,10218.57396488037,12349.0,66.99258096253783,42.23863665681355,0.1956521739130435,135.0,4.226086956521739,2916.0,13.36571808909958,0.0027777776922448,5.408695652173913,8.0,0,0.14500000000001023,653.716,0.1206896551724138,28,0.25,-21.0,2.753,91.4246,0.5414326366225461,-0.13649999999999948,37.0,-30.0,0.0696101645457445,13.97588228793919,578595.398893791,13910.684252745657,28032.09470569296,14.454212777964297
7,0 days 00:45:58.104000,10,0 days 00:01:31.434000,8.0,,,0 days 00:00:30.722000,0 days 00:00:24.391000,0 days 00:00:36.321000,0 days 00:44:57.429000,0 days 00:45:21.820000,0 days 00:45:58.141000,269.0,285.0,303.0,299.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 00:44:26.670000,2019-03-17 05:24:26.973,1,16.0,False,0.0,False,True,91.434,30.722,24.391,36.321,2697.429,2721.82,2758.141,2758.104,2666.67,207.02924310490013,320.0,63.16367523880533,10228.949007710875,12313.0,67.0230569197293,41.88972968987387,0.17097701149425287,119.0,4.077586206896552,2838.0,19.80700003250459,0.0272222221610718,5.372126436781609,8.0,0,0.26899999999999125,745.15,0.13793103448275862,28,0.2857142857142857,-20.0,3.0219999999999914,91.43019999999999,0.5413369560634504,-0.18230000000000077,37.0,-29.0,0.04806074871138583,13.642312771233415,503777.28949397977,13875.732744668196,24636.479929483117,9.949980428773014
8,0 days 00:47:29.265000,10,0 days 00:01:31.161000,9.0,,,0 days 00:00:30.521000,0 days 00:00:24.492000,0 days 00:00:36.148000,0 days 00:46:28.662000,0 days 00:46:53.154000,0 days 00:47:29.302000,269.0,283.0,302.0,303.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 00:45:58.104000,2019-03-17 05:25:58.407,1,16.0,False,0.0,False,True,91.161,30.521,24.492,36.148,2788.662,2813.154,2849.302,2849.265,2758.104,207.72469896395253,318.0,62.920274217007865,10298.976221277893,12154.0,66.4531073814592,42.04329803849842,0.17579250720461095,122.0,4.227665706051873,2934.0,22.74032978940219,0.1136111110681667,5.361671469740634,8.0,0,-0.27299999999999613,836.311,0.15517241379310345,28,0.32142857142857145,-19.0,2.7489999999999952,91.1902,0.1502188403631466,-0.1860000000000014,37.0,-28.0,0.04212241400481325,14.056793539832638,510112.2241596693,13803.951726032825,25342.413273602207,8.749865768784812
9,0 days 00:49:00.714000,10,0 days 00:01:31.449000,10.0,,,0 days 00:00:30.317000,0 days 00:00:24.350000,0 days 00:00:36.782000,0 days 00:47:59.619000,0 days 00:48:23.969000,0 days 00:49:00.751000,272.0,288.0,299.0,309.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 00:47:29.265000,2019-03-17 05:27:29.568,1,15.0,False,0.0,False,True,91.449,30.317,24.35,36.782,2879.619,2903.969,2940.751,2940.714,2849.265,207.0096489974564,320.0,63.626476143722506,10263.646921849724,12232.0,66.14103764818553,42.44208593580972,0.18705035971223022,130.0,4.261870503597122,2962.0,21.5095659550651,0.0052777777018491,5.364028776978417,8.0,0,0.2879999999999967,927.76,0.1724137931034483,28,0.35714285714285715,-18.0,3.036999999999992,91.2458,0.1880257961026784,0.03939999999999913,37.0,-27.0,0.04442555676090148,14.239724042975622,547081.7500256327,13691.832987878435,26911.254369669332,9.19651891159079
