Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
0,0 days 00:34:09.207000,33,0 days 00:01:16.629000,1.0,,,,0 days 00:00:32.619000,0 days 00:00:22.277000,,0 days 00:33:46.977000,0 days 00:34:09.394000,312.0,225.0,274.0,314.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 00:32:52.408000,2019-06-30 13:12:52.435,1,7.0,False,0.0,False,False,76.629,0.0,32.619,22.277,0.0,2026.977,2049.394,2049.207,1972.408,197.0560870862466,318.0,75.70039293014582,10462.16680902917,12420.0,64.23839948233537,43.64375930002758,0.20790378006872853,121,1.0,582,14.267619201453881,0.0,4.905498281786942,8,0,0.0,76.629,0.014084507042253521,28,0.14285714285714285,-24.0,7.484999999999999,76.629,0.0,0.0,31.0,-30.0,0.06549809677626578,2.9385615386138526,588407.5219239921,12658.567642672177,23843.78653743584,12.906798662327239
1,0 days 00:35:20.702000,33,0 days 00:01:11.495000,2.0,,,0 days 00:00:17.950000,0 days 00:00:31.755000,0 days 00:00:21.790000,0 days 00:34:27.174000,0 days 00:34:58.929000,0 days 00:35:20.719000,297.0,226.0,272.0,292.0,True,MEDIUM,5.0,False,Red Bull Racing,0 days 00:34:09.207000,2019-06-30 13:14:09.234,1,7.0,False,0.0,False,True,71.495,17.95,31.755,21.79,2067.174,2098.929,2120.719,2120.702,2049.207,216.73871679221938,301.0,62.868098790876296,10408.788418800761,12122.0,67.56403114145708,43.775363892200765,0.17962962962962964,97,1.0,540,36.46143993399357,0.3294444444445616,5.603703703703704,8,0,-5.134,148.12400000000002,0.028169014084507043,28,0.17857142857142858,-23.0,2.350999999999999,74.06200000000001,3.6302862146117403,0.0,31.0,-29.0,0.02669411538269707,2.4800366602477206,412019.3518975637,14643.741410908957,21023.65552884528,5.785648313949207
2,0 days 00:36:31.701000,33,0 days 00:01:10.999000,3.0,,,0 days 00:00:17.477000,0 days 00:00:31.601000,0 days 00:00:21.921000,0 days 00:35:38.196000,0 days 00:36:09.797000,0 days 00:36:31.718000,316.0,229.0,278.0,310.0,True,MEDIUM,6.0,False,Red Bull Racing,0 days 00:35:20.702000,2019-06-30 13:15:20.729,1,7.0,False,0.0,False,True,70.999,17.477,31.601,21.921,2138.196,2169.797,2191.718,2191.701,2120.702,218.45729140154882,322.0,65.11221831042502,10487.960671062923,12301.0,66.2200055788005,43.981722976091945,0.19144981412639406,103,3.8940520446096656,2095,52.70041468774725,0.1030555555553291,5.561338289962825,8,0,-0.4960000000000093,219.123,0.04225352112676056,28,0.21428571428571427,-22.0,1.8549999999999898,73.041,3.1171801359562235,0.0,31.0,-28.0,0.018621830125795446,9.546276574455227,444108.34035573533,14466.243055340208,22501.101014359527,4.068074570221037
3,0 days 00:37:42.801000,33,0 days 00:01:11.100000,4.0,,,0 days 00:00:17.384000,0 days 00:00:31.655000,0 days 00:00:22.061000,0 days 00:36:49.102000,0 days 00:37:20.757000,0 days 00:37:42.818000,309.0,220.0,277.0,303.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 00:36:31.701000,2019-06-30 13:16:31.728,1,7.0,False,0.0,False,True,71.1,17.384,31.655,22.061,2209.102,2240.757,2262.818,2262.801,2191.701,218.02786004325856,313.0,64.42931551159292,10410.869385370435,12108.0,64.98438075909998,44.21014693238451,0.2122905027932961,114,4.342644320297952,2332,25.834255634673156,0.0888888888839574,5.618249534450651,8,0,0.10099999999999909,290.223,0.056338028169014086,28,0.25,-21.0,1.9559999999999889,72.55575,2.723920871954015,0.0,31.0,-27.0,0.03726579986470268,10.647047364382887,477306.50552290364,14168.405473142873,24855.176044931475,8.124982597301479
4,0 days 00:38:53.640000,33,0 days 00:01:10.839000,5.0,,,0 days 00:00:17.175000,0 days 00:00:31.891000,0 days 00:00:21.773000,0 days 00:37:59.993000,0 days 00:38:31.884000,0 days 00:38:53.657000,325.0,228.0,280.0,309.0,True,MEDIUM,8.0,False,Red Bull Racing,0 days 00:37:42.801000,2019-06-30 13:17:42.828,1,7.0,False,0.0,False,True,70.839,17.175,31.891,21.773,2279.993,2311.884,2333.657,2333.64,2262.801,218.43029884946466,327.0,66.99940149708469,10427.222677316719,12306.0,67.57482125416902,43.329994358797336,0.2101313320825516,112,4.472795497185741,2384,23.371554782842036,0.089444444507535,5.594746716697936,8,0,-0.2609999999999957,361.062,0.07042253521126761,28,0.2857142857142857,-20.0,1.6949999999999932,72.2124,2.4807770556823607,0.0,31.0,-26.0,0.0410314405014495,10.864497804086257,507076.9289938019,14760.388401247297,24464.193471140043,8.962509810955643
5,0 days 00:40:04.076000,33,0 days 00:01:10.436000,6.0,,,0 days 00:00:17.405000,0 days 00:00:31.538000,0 days 00:00:21.493000,0 days 00:39:11.062000,0 days 00:39:42.600000,0 days 00:40:04.093000,307.0,227.0,280.0,306.0,True,MEDIUM,9.0,False,Red Bull Racing,0 days 00:38:53.640000,2019-06-30 13:18:53.667,1,7.0,False,0.0,False,True,70.436,17.405,31.538,21.493,2351.062,2382.6,2404.093,2404.076,2333.64,219.35850461346126,313.0,65.02084764543993,10424.799223492055,12052.0,66.90869071567813,43.584287337659006,0.19136960600375236,102,4.544090056285178,2422,15.125184959317895,0.035000000072614,5.645403377110695,8,0,-0.4029999999999916,431.498,0.08450704225352113,28,0.32142857142857145,-19.0,1.2920000000000016,70.9738,0.38587912615225695,-1.1975000000000022,31.0,-25.0,0.06201479254488505,10.991180051110424,443746.89808835683,14676.990341035735,22374.56747057305,13.603472156560011
6,0 days 00:41:13.819000,33,0 days 00:01:09.743000,7.0,,,0 days 00:00:17.303000,0 days 00:00:31.206000,0 days 00:00:21.234000,0 days 00:40:21.396000,0 days 00:40:52.602000,0 days 00:41:13.836000,316.0,230.0,273.0,304.0,True,MEDIUM,10.0,False,Red Bull Racing,0 days 00:40:04.076000,2019-06-30 13:20:04.103,1,6.0,False,0.0,False,True,69.743,17.303,31.206,21.234,2421.396,2452.602,2473.836,2473.819,2404.076,221.40512685809253,324.0,65.23160142619653,10288.7633230234,11722.0,69.49777636167369,42.851749594409036,0.20075757575757575,106,3.6893939393939394,1948,152.32209276702145,0.0158333333529299,5.770833333333333,8,0,-0.693000000000012,501.241,0.09859154929577464,28,0.35714285714285715,-18.0,0.5989999999999895,70.62339999999999,0.5533825982085309,-0.22779999999999917,31.0,-24.0,0.006522217261406266,8.758790894433552,480545.8322489539,15387.163991711706,23468.94344695781,1.444052340157695
7,0 days 00:42:24.393000,33,0 days 00:01:10.574000,8.0,,,0 days 00:00:17.397000,0 days 00:00:31.332000,0 days 00:00:21.845000,0 days 00:41:31.233000,0 days 00:42:02.565000,0 days 00:42:24.410000,306.0,228.0,279.0,301.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 00:41:13.819000,2019-06-30 13:21:13.846,1,6.0,False,0.0,False,True,70.574,17.397,31.332,21.845,2491.233,2522.565,2544.41,2544.393,2473.819,219.62385167941235,311.0,62.90801069227263,10363.662172046033,11977.0,67.7771367526277,43.34708941735272,0.19324577861163228,103,3.921200750469043,2090,177.33197495055146,5.386666666636302,5.716697936210132,8,0,0.8310000000000031,571.815,0.11267605633802817,28,0.39285714285714285,-17.0,1.4299999999999926,70.5384,0.5123888172082047,-0.31759999999999877,31.0,-23.0,0.005607519348548031,9.473137124978539,439163.6588831705,14885.475829414354,22621.256722979473,1.2315449976949477
8,0 days 00:43:34.337000,33,0 days 00:01:09.944000,9.0,,,0 days 00:00:17.560000,0 days 00:00:31.177000,0 days 00:00:21.207000,0 days 00:42:41.970000,0 days 00:43:13.147000,0 days 00:43:34.354000,306.0,227.0,273.0,294.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 00:42:24.393000,2019-06-30 13:22:24.420,1,5.0,False,0.0,False,True,69.944,17.56,31.177,21.207,2561.97,2593.147,2614.354,2614.337,2544.393,221.36985498110386,312.0,63.6335880365683,10438.089433993362,11917.0,69.74120133654532,42.52613353083381,0.17580340264650285,93,3.8714555765595464,2048,135.8339281038025,1.2247222222649723,5.722117202268431,8,0,-0.6299999999999955,641.759,0.1267605633802817,28,0.42857142857142855,-16.0,0.7999999999999972,70.3072,0.4529952538382876,-0.21479999999999963,31.0,-22.0,0.0073081290134519705,9.209881439073795,412723.10737733345,15438.599626079003,20587.39651324266,1.6177994598910603
9,0 days 00:44:44.208000,33,0 days 00:01:09.871000,10.0,,,0 days 00:00:17.706000,0 days 00:00:31.055000,0 days 00:00:21.110000,0 days 00:43:52.060000,0 days 00:44:23.115000,0 days 00:44:44.225000,281.0,234.0,271.0,281.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 00:43:34.337000,2019-06-30 13:23:34.364,1,5.0,False,0.0,False,True,69.871,17.706,31.055,21.11,2632.06,2663.115,2684.225,2684.208,2614.337,222.1644456017242,289.0,57.59458936447052,10309.05248352393,12055.0,70.41799905880882,42.67737978112339,0.16920152091254753,89,0.0,0,95.05789765908933,0.5886111111831269,5.857414448669202,8,0,-0.0730000000000075,711.63,0.14084507042253522,28,0.4642857142857143,-15.0,0.7269999999999897,70.11359999999999,0.36772041009441575,-0.16520000000000012,31.0,-21.0,0.010410388155162549,0.0,360956.92082971917,15644.375721282997,19772.635658553452,2.312818112990444
