Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
0,0 days 00:34:19.827000,10,0 days 00:01:20.480000,1.0,,,,0 days 00:00:39.742000,0 days 00:00:16.899000,,0 days 00:34:03.090000,0 days 00:34:20.111000,316.0,248.0,309.0,231.0,False,SOFT,4.0,True,Toro Rosso,0 days 00:32:59.284000,2019-11-17 17:13:00.100,1,6.0,False,0.0,False,False,80.48,0.0,39.742,16.899,0.0,2043.09,2060.111,2059.827,1979.284,188.91412010283042,318.0,74.75330369488981,10430.674411753529,12391.0,60.38360651257155,42.61723056576876,0.1927512355848435,117.0,1.0,607.0,19.276799222880374,0.0,4.535420098846788,8.0,0,0.0,80.48,0.014084507042253521,18,0.2222222222222222,-14.0,6.268000000000001,80.48,0.0,0.0,34.0,-33.0,0.049317448430006565,3.196181514419967,528123.2668717576,11407.315892957995,22102.95205203116,9.316762375871406
1,0 days 00:35:34.700000,10,0 days 00:01:14.873000,2.0,,,0 days 00:00:19.324000,0 days 00:00:38.434000,0 days 00:00:17.115000,0 days 00:34:39.241000,0 days 00:35:17.675000,0 days 00:35:34.790000,304.0,254.0,306.0,289.0,True,SOFT,5.0,True,Toro Rosso,0 days 00:34:19.827000,2019-11-17 17:14:20.643,1,6.0,False,0.0,False,True,74.873,19.324,38.434,17.115,2079.241,2117.675,2134.79,2134.7,2059.827,203.97034183220504,313.0,70.42595178872311,10341.629128836561,11829.0,64.06959804780155,42.86202714440182,0.15985790408525755,90.0,1.0,563.0,70.15908826683417,0.0752777777825031,5.172291296625222,8.0,0,-5.606999999999999,155.353,0.028169014084507043,18,0.2777777777777778,-13.0,0.6610000000000014,77.6765,3.964747722112971,0.0,34.0,-32.0,0.014053018726858534,2.746738845080763,406094.6180913606,13068.297814862059,18357.330764898452,2.8663990334917138
2,0 days 00:36:48.912000,10,0 days 00:01:14.212000,3.0,,,0 days 00:00:19.110000,0 days 00:00:38.178000,0 days 00:00:16.924000,0 days 00:35:53.900000,0 days 00:36:32.078000,0 days 00:36:49.002000,309.0,256.0,308.0,301.0,True,SOFT,6.0,True,Toro Rosso,0 days 00:35:34.700000,2019-11-17 17:15:35.516,1,6.0,False,0.0,False,True,74.212,19.11,38.178,16.924,2153.9,2192.078,2209.002,2208.912,2134.7,206.26524414658687,312.0,70.52718089640616,10371.706592422122,11948.0,66.317311561351,41.81661871797313,0.16636851520572452,93.0,0.0,0.0,98.91235319597828,0.1294444444192777,5.209302325581396,8.0,0,-0.6610000000000014,229.565,0.04225352112676056,18,0.3333333333333333,-12.0,0.0,76.52166666666666,3.4439123585441807,0.0,34.0,-31.0,0.010008772369103327,0.0,434977.0917017179,13678.956460347334,19182.66770563258,2.0644618763207103
3,0 days 00:38:03.529000,10,0 days 00:01:14.617000,4.0,,,0 days 00:00:19.067000,0 days 00:00:38.495000,0 days 00:00:17.055000,0 days 00:37:08.069000,0 days 00:37:46.564000,0 days 00:38:03.619000,308.0,251.0,305.0,301.0,False,SOFT,7.0,True,Toro Rosso,0 days 00:36:48.912000,2019-11-17 17:16:49.728,1,6.0,False,0.0,False,True,74.617,19.067,38.495,17.055,2228.069,2266.564,2283.619,2283.529,2208.912,205.77429821623173,312.0,71.1194613950959,10374.204642480528,12267.0,66.47445909590921,41.750837898503036,0.16163410301953818,91.0,0.0,0.0,117.02048308759825,50.30472222223398,5.19360568383659,8.0,0,0.40500000000000114,304.182,0.056338028169014086,18,0.3888888888888889,-11.0,0.40500000000000114,76.0455,2.968831476074946,0.0,34.0,-30.0,0.008473105463038741,0.0,430214.12319625705,13678.735169764319,18725.461137677088,1.743547330368916
4,0 days 00:39:17.901000,10,0 days 00:01:14.372000,5.0,,,0 days 00:00:19.040000,0 days 00:00:38.304000,0 days 00:00:17.028000,0 days 00:38:22.659000,0 days 00:39:00.963000,0 days 00:39:17.991000,308.0,255.0,304.0,302.0,False,SOFT,8.0,True,Toro Rosso,0 days 00:38:03.529000,2019-11-17 17:18:04.345,1,6.0,False,0.0,False,True,74.372,19.04,38.304,17.028,2302.659,2340.963,2357.991,2357.901,2283.529,205.62570687860415,311.0,70.30845722667783,10374.81933163903,12347.0,64.93055837028274,42.37883521654287,0.14464285714285716,81.0,0.0,0.0,131.14634864784225,47.24888888886562,5.146428571428571,8.0,0,-0.24500000000000455,378.55400000000003,0.07042253521126761,18,0.4444444444444444,-10.0,0.1599999999999966,75.7108,2.6777958660062215,0.0,34.0,-29.0,0.007567367621067664,0.0,369778.55825638794,13351.391962911855,16655.682257166936,1.5560453162922994
5,0 days 00:40:32.686000,10,0 days 00:01:14.785000,6.0,,,0 days 00:00:19.013000,0 days 00:00:38.589000,0 days 00:00:17.183000,0 days 00:39:37.004000,0 days 00:40:15.593000,0 days 00:40:32.776000,309.0,248.0,302.0,299.0,False,SOFT,9.0,True,Toro Rosso,0 days 00:39:17.901000,2019-11-17 17:19:18.717,1,6.0,False,0.0,False,True,74.785,19.013,38.589,17.183,2377.004,2415.593,2432.776,2432.686,2357.901,204.31205071863567,311.0,70.19466317416952,10316.63431556564,11818.0,64.02437161500963,42.134749312844185,0.15630550621669628,88.0,0.0,0.0,138.20110656422835,46.90333333330637,5.2060390763765545,8.0,0,0.4129999999999967,453.339,0.08450704225352113,18,0.5,-9.0,0.5729999999999933,74.5718,0.2773061485074052,-1.247200000000001,34.0,-28.0,0.007183850938272485,0.0,395486.8896399045,13080.950660634626,17979.46046323994,1.4677473172554465
6,0 days 00:41:47.625000,10,0 days 00:01:14.939000,7.0,,,0 days 00:00:19.093000,0 days 00:00:38.640000,0 days 00:00:17.206000,0 days 00:40:51.869000,0 days 00:41:30.509000,0 days 00:41:47.715000,309.0,249.0,303.0,301.0,False,SOFT,10.0,True,Toro Rosso,0 days 00:40:32.686000,2019-11-17 17:20:33.502,1,6.0,False,0.0,False,True,74.939,19.093,38.64,17.206,2451.869,2490.509,2507.715,2507.625,2432.686,204.59641096171964,312.0,70.84854361949326,10318.702027559195,11940.0,65.212506538654,41.87513997627117,0.16163410301953818,91.0,0.0,0.0,138.64134902456408,0.0747222221871197,5.2060390763765545,8.0,0,0.15399999999999636,528.278,0.09859154929577464,18,0.5555555555555556,-8.0,0.7269999999999897,74.58500000000001,0.29615789707520757,-0.0016000000000019555,34.0,-27.0,0.007161202659422114,0.0,420439.2113776689,13342.244787626283,18618.27339751649,1.4651563622872865
7,0 days 00:43:02.425000,10,0 days 00:01:14.800000,8.0,,,0 days 00:00:19.020000,0 days 00:00:38.674000,0 days 00:00:17.106000,0 days 00:42:06.735000,0 days 00:42:45.409000,0 days 00:43:02.515000,309.0,250.0,304.0,306.0,False,SOFT,11.0,True,Toro Rosso,0 days 00:41:47.625000,2019-11-17 17:21:48.441,12,6.0,False,0.0,False,True,74.8,19.02,38.674,17.106,2526.735,2565.409,2582.515,2582.425,2507.625,204.04877624744563,311.0,70.48879452604952,10331.4544538333,11947.0,64.92928489796095,41.81914235748905,0.15658362989323843,88.0,0.0,0.0,136.96902300756415,0.1022222221727133,5.181494661921708,8.0,0,-0.1389999999999958,603.078,0.11267605633802817,18,0.6111111111111112,-7.0,0.5879999999999939,74.7026,0.2172470943419309,0.16219999999999715,34.0,-26.0,0.007248003777958006,0.0,402757.2579268216,13248.741126050685,17956.292309775214,1.478946301129194
8,0 days 00:44:17.408000,10,0 days 00:01:14.983000,9.0,,,0 days 00:00:19.104000,0 days 00:00:38.750000,0 days 00:00:17.129000,0 days 00:43:21.619000,0 days 00:44:00.369000,0 days 00:44:17.498000,309.0,249.0,304.0,306.0,False,SOFT,12.0,True,Toro Rosso,0 days 00:43:02.425000,2019-11-17 17:23:03.241,1,6.0,False,0.0,False,True,74.983,19.104,38.75,17.129,2601.619,2640.369,2657.498,2657.408,2582.425,203.9419333470576,313.0,70.92101394750787,10305.198457259683,12272.0,64.89253489227193,41.863332189428164,0.1705150976909414,96.0,0.0,0.0,62.24302144483517,0.0097222221374977,5.182948490230906,8.0,0,0.18300000000000693,678.061,0.1267605633802817,18,0.6666666666666666,-6.0,0.7710000000000008,74.7758,0.24150093167525097,0.09329999999999786,34.0,-25.0,0.01581202126581298,0.0,441815.45972966,13234.309025721332,19578.425601317533,3.224734187074688
9,0 days 00:45:33.248000,10,0 days 00:01:15.840000,10.0,,,0 days 00:00:19.495000,0 days 00:00:39.221000,0 days 00:00:17.124000,0 days 00:44:36.993000,0 days 00:45:16.214000,0 days 00:45:33.338000,323.0,252.0,307.0,302.0,False,SOFT,13.0,True,Toro Rosso,0 days 00:44:17.408000,2019-11-17 17:24:18.224,1,7.0,False,0.0,False,True,75.84,19.495,39.221,17.124,2676.993,2716.214,2733.338,2733.248,2657.408,201.47916313019778,325.0,72.0520151362625,10252.735338285001,11959.0,62.1782217230608,42.074327678191445,0.18388791593695272,105.0,1.0893169877408055,622.0,103.43417157027592,26.948611111034797,5.084063047285464,8.0,0,0.8569999999999993,753.9010000000001,0.14084507042253522,18,0.7222222222222222,-5.0,1.6280000000000001,75.0694,0.43924742457984184,0.1237000000000009,34.0,-24.0,0.009575409896626405,3.071921033178326,470406.9481372656,12527.616077686174,21155.31212867077,1.9292455726009017
