Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
0,0 days 00:34:55.112000,10,0 days 00:01:34.820000,1.0,,,,0 days 00:00:31.637000,0 days 00:00:30.163000,,0 days 00:34:25.524000,0 days 00:34:55.304000,321.0,323.0,316.0,281.0,False,MEDIUM,1.0,True,Toro Rosso,0 days 00:33:20.098000,2019-09-08 13:13:21.425,12,14.0,False,,False,False,94.82,0.0,31.637,30.163,0.0,2065.524,2095.304,2095.112,2000.098,212.08987925866265,335.0,84.55356977732639,10621.170727867051,12561.0,66.63456799631844,42.5693834709155,0.1918194640338505,136.0,1.0,709.0,11.065803699536938,0.0013888888884139,5.133991537376587,8.0,0,0.0,94.82,0.018867924528301886,28,0.03571428571428571,-27.0,9.125,94.82,0.0,0.0,28.0,-27.0,0.08287885539181929,3.327234509994577,766249.9208735847,14132.517480792323,28844.22357917812,17.577766433147115
1,0 days 00:36:22.552000,10,0 days 00:01:27.440000,2.0,,,0 days 00:00:28.465000,0 days 00:00:30.036000,0 days 00:00:28.939000,0 days 00:35:23.608000,0 days 00:35:53.644000,0 days 00:36:22.583000,306.0,316.0,306.0,319.0,True,MEDIUM,2.0,True,Toro Rosso,0 days 00:34:55.112000,2019-09-08 13:14:56.439,1,13.0,False,,False,True,87.44,28.465,30.036,28.939,2123.608,2153.644,2182.583,2182.552,2095.112,237.90997761889273,338.0,75.4549811829047,10684.525722328211,12224.0,73.10935439367746,40.87650578634291,0.1452599388379205,95.0,1.0,654.0,34.808275480260974,0.0413888888915607,6.036697247706422,8.0,0,-7.3799999999999955,182.26,0.03773584905660377,28,0.07142857142857142,-26.0,1.7450000000000045,91.13,5.218448045156718,0.0,28.0,-26.0,0.027926505440096998,2.737432762407502,524064.1712065782,17393.444867531503,22601.44787379481,6.643994284227363
2,0 days 00:37:49.865000,10,0 days 00:01:27.313000,3.0,,,0 days 00:00:28.488000,0 days 00:00:29.415000,0 days 00:00:29.410000,0 days 00:36:51.071000,0 days 00:37:20.486000,0 days 00:37:49.896000,303.0,338.0,304.0,314.0,True,MEDIUM,3.0,True,Toro Rosso,0 days 00:36:22.552000,2019-09-08 13:16:23.879,12,13.0,False,,False,True,87.313,28.488,29.415,29.41,2211.071,2240.486,2269.896,2269.865,2182.552,237.88636747310358,339.0,74.24417308232753,10624.257992135454,12244.0,72.75971871681871,41.043035269096215,0.1441717791411043,94.0,0.7638036809815951,498.0,44.26860030957122,0.0055555555682076,6.041411042944786,8.0,0,-0.12699999999999534,269.573,0.05660377358490566,28,0.10714285714285714,-25.0,1.6180000000000092,89.85766666666666,4.297975841408754,0.0,28.0,-25.0,0.022090367123380403,2.084673166023466,507786.6040842977,17308.545183908787,22361.318542471738,5.254997191128236
3,0 days 00:39:16.986000,10,0 days 00:01:27.121000,4.0,,,0 days 00:00:28.257000,0 days 00:00:29.857000,0 days 00:00:29.007000,0 days 00:38:18.153000,0 days 00:38:48.010000,0 days 00:39:17.017000,308.0,322.0,303.0,338.0,True,MEDIUM,4.0,True,Toro Rosso,0 days 00:37:49.865000,2019-09-08 13:17:51.192,1,13.0,False,,False,True,87.121,28.257,29.857,29.007,2298.153,2328.01,2357.017,2356.986,2269.865,238.52732494879567,351.0,75.21101283136788,10729.649642645129,12725.0,73.16027437608645,41.15816079040637,0.14461538461538462,94.0,0.9723076923076923,632.0,28.732684162665855,0.2524999999623105,6.004615384615384,8.0,0,-0.19200000000000728,356.69399999999996,0.07547169811320754,28,0.14285714285714285,-24.0,1.426000000000002,89.17349999999999,3.7666165630885895,0.0,28.0,-24.0,0.03363302130843807,2.6385298634930447,517231.08347554586,17450.724539447823,22421.568545186794,8.022394602647578
4,0 days 00:40:43.501000,10,0 days 00:01:26.515000,5.0,,,0 days 00:00:28.415000,0 days 00:00:29.201000,0 days 00:00:28.899000,0 days 00:39:45.432000,0 days 00:40:14.633000,0 days 00:40:43.532000,301.0,318.0,301.0,321.0,True,MEDIUM,5.0,True,Toro Rosso,0 days 00:39:16.986000,2019-09-08 13:19:18.313,1,13.0,False,,False,True,86.515,28.415,29.201,28.899,2385.432,2414.633,2443.532,2443.501,2356.986,240.25532025372416,333.0,71.24378177558367,10735.979184061696,12065.0,76.81802188026448,38.87374784611492,0.13157894736842105,85.0,0.0,0.0,41.98556750535531,0.2055555555816681,6.078947368421052,8.0,0,-0.6059999999999945,443.209,0.09433962264150944,28,0.17857142857142858,-23.0,0.8200000000000074,88.6418,3.4718978527600663,0.0,28.0,-23.0,0.02326362214190649,0.0,465188.5429179138,18455.938448100533,20421.702221566553,5.589208987965373
5,0 days 00:42:17.795000,10,0 days 00:01:34.294000,6.0,,,0 days 00:00:28.417000,0 days 00:00:29.211000,0 days 00:00:36.666000,0 days 00:41:11.949000,0 days 00:41:41.160000,0 days 00:42:17.826000,301.0,316.0,307.0,316.0,False,MEDIUM,6.0,True,Toro Rosso,0 days 00:40:43.501000,2019-09-08 13:20:44.828,12,14.0,False,,False,True,94.294,28.417,29.211,36.666,2471.949,2501.16,2537.826,2537.795,2443.501,220.13857947683218,328.0,80.54475002746901,10368.198671675895,12144.0,67.1145069055318,42.846522434552874,0.14630681818181818,103.0,0.5909090909090909,416.0,39.21747164682568,0.2250000000058207,5.639204545454546,8.0,0,7.778999999999996,537.5029999999999,0.11320754716981132,28,0.21428571428571427,-22.0,8.599000000000004,88.53659999999999,3.237984450240607,-1.692899999999999,28.0,-22.0,0.024864815192302842,1.8811733392887364,556789.2817380589,14774.492212471814,22674.273686113713,5.473705095387504
6,0 days 00:43:45.633000,10,0 days 00:01:27.838000,7.0,,,0 days 00:00:28.413000,0 days 00:00:29.260000,0 days 00:00:30.165000,0 days 00:42:46.239000,0 days 00:43:15.499000,0 days 00:43:45.664000,309.0,331.0,302.0,330.0,False,MEDIUM,7.0,True,Toro Rosso,0 days 00:42:17.795000,2019-09-08 13:22:19.122,1,13.0,False,,False,True,87.838,28.413,29.26,30.165,2566.239,2595.499,2625.664,2625.633,2537.795,236.56160066571258,343.0,73.87978709858143,10685.152512003928,12403.0,72.9565161772219,41.0616038071202,0.16030534351145037,105.0,2.1954198473282442,1438.0,47.45503435214419,0.027499999916472,5.996946564885496,8.0,0,-6.456000000000003,625.341,0.1320754716981132,28,0.25,-21.0,2.1430000000000007,88.6162,3.209049812639244,1.2909999999999997,28.0,-21.0,0.020637690456115607,6.053166824816514,565951.2476758735,17258.710245877566,24838.96806989982,4.882085088342208
7,0 days 00:45:13.501000,10,0 days 00:01:27.868000,8.0,,,0 days 00:00:28.701000,0 days 00:00:30.324000,0 days 00:00:28.843000,0 days 00:44:14.365000,0 days 00:44:44.689000,0 days 00:45:13.532000,299.0,320.0,306.0,325.0,False,MEDIUM,8.0,True,Toro Rosso,0 days 00:43:45.633000,2019-09-08 13:23:46.960,1,14.0,False,,False,True,87.868,28.701,30.324,28.843,2654.365,2684.689,2713.532,2713.501,2625.633,235.9829276361439,329.0,75.1288639724762,10584.140543107353,12112.0,73.89396421018783,40.71209548405771,0.1552511415525114,102.0,1.8143074581430745,1192.0,117.69371464914467,0.0113888888809015,6.010654490106545,8.0,0,0.030000000000001137,713.209,0.1509433962264151,28,0.2857142857142857,-20.0,2.173000000000002,88.7272,3.1619563089960576,0.8222999999999985,28.0,-20.0,0.008425045950882675,5.029898195156738,566260.097724491,17437.714008960564,24070.258618886677,1.9881670089583336
8,0 days 00:46:40.094000,10,0 days 00:01:26.593000,9.0,,,0 days 00:00:28.408000,0 days 00:00:29.325000,0 days 00:00:28.860000,0 days 00:45:41.940000,0 days 00:46:11.265000,0 days 00:46:40.125000,305.0,315.0,303.0,325.0,False,MEDIUM,9.0,True,Toro Rosso,0 days 00:45:13.501000,2019-09-08 13:25:14.828,1,14.0,False,,False,True,86.593,28.408,29.325,28.86,2741.94,2771.265,2800.125,2800.094,2713.501,239.75579329576058,334.0,73.45969801199021,10758.225127838461,12038.0,75.42820407758816,39.68987618201401,0.14618973561430793,94.0,1.76049766718507,1132.0,57.4362310638151,0.179166666654055,6.082426127527216,8.0,0,-1.2749999999999915,799.802,0.16981132075471697,28,0.32142857142857145,-19.0,0.8980000000000103,88.6216,3.236937024410572,0.28169999999999934,28.0,-19.0,0.01711267105689881,4.701859857674848,520847.71075388114,18084.348905496674,22537.044569801496,4.102862024656177
9,0 days 00:48:06.177000,10,0 days 00:01:26.083000,10.0,,,0 days 00:00:28.347000,0 days 00:00:29.059000,0 days 00:00:28.677000,0 days 00:47:08.472000,0 days 00:47:37.531000,0 days 00:48:06.208000,304.0,319.0,304.0,326.0,True,MEDIUM,10.0,True,Toro Rosso,0 days 00:46:40.094000,2019-09-08 13:26:41.421,1,14.0,False,,False,True,86.083,28.347,29.059,28.677,2828.472,2857.531,2886.208,2886.177,2800.094,240.39307593864092,336.0,72.96102554684012,10783.17538148831,12148.0,75.64783354920797,39.54901876625931,0.1410459587955626,89.0,1.7591125198098256,1110.0,70.90630573219327,0.1913888889830559,6.063391442155309,8.0,0,-0.5100000000000051,885.885,0.18867924528301888,28,0.35714285714285715,-18.0,0.38800000000000523,88.5352,3.312115894711411,-0.6269999999999997,28.0,-18.0,0.013906986178992208,4.598309192108509,491221.5729370716,18185.21539498842,21394.98375853904,3.3431431846041035
