Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
0,0 days 00:34:39.589000,44,0 days 00:01:39.041000,1.0,,,,0 days 00:00:33.700000,0 days 00:00:32.027000,,0 days 00:34:09.529000,0 days 00:34:40.553000,282.0,284.0,151.0,316.0,False,MEDIUM,4.0,False,Mercedes,0 days 00:33:01.144000,2019-10-27 19:13:01.464,16,5.0,False,0.0,False,False,99.041,0.0,33.7,32.027,0.0,2049.529,2080.553,2079.589,1981.144,146.9470496045401,319.0,80.69795810614636,8735.179992735873,12344.0,43.46201463143272,41.01030324259956,0.20568335588633288,152,1.0,739,23.52870289522756,0.0,3.7956698240866036,8,0,0.0,99.041,0.014084507042253521,28,0.14285714285714285,-24.0,18.381,99.041,0.0,0.0,29.5,-28.5,0.0407685642519061,4.9950303299412475,533108.9670622839,6386.614819958392,22335.951539890095,5.990820233430726
1,0 days 00:36:25.593000,44,0 days 00:01:46.004000,2.0,,,0 days 00:00:37.047000,0 days 00:00:41.599000,0 days 00:00:27.358000,0 days 00:35:17.407000,0 days 00:35:59.006000,0 days 00:36:26.364000,194.0,218.0,160.0,284.0,True,MEDIUM,5.0,False,Mercedes,0 days 00:34:39.589000,2019-10-27 19:14:39.909,67,5.0,False,0.0,False,False,106.004,37.047,41.599,27.358,2117.407,2159.006,2186.364,2185.593,2079.589,144.75116570981353,285.0,56.48162177653855,8572.02379044353,12126.0,38.20267294735467,34.637323419843405,0.33207070707070707,263,1.0,792,100.92528483342214,0.5019444444515102,4.034090909090909,8,0,6.963000000000008,205.04500000000002,0.028169014084507043,28,0.17857142857142858,-23.0,25.34400000000001,102.52250000000001,4.923584517401931,0.0,29.5,-27.5,0.009811108221422324,5.43391880361938,567487.9670817707,5529.881442360346,38069.55658168096,1.4201693519560166
2,0 days 00:37:52.075000,44,0 days 00:01:26.482000,3.0,,,0 days 00:00:32.916000,0 days 00:00:32.198000,0 days 00:00:21.368000,0 days 00:36:59.280000,0 days 00:37:31.478000,0 days 00:37:52.846000,272.0,291.0,249.0,257.0,True,MEDIUM,6.0,False,Mercedes,0 days 00:36:25.593000,2019-10-27 19:16:25.913,71,5.0,False,0.0,False,False,86.482,32.916,32.198,21.368,2219.28,2251.478,2272.846,2272.075,2185.593,176.5731854053064,303.0,65.62274230664737,9590.458579091584,12348.0,53.62158529737284,39.92327039255365,0.2389937106918239,152,1.371069182389937,872,58.61146395397083,0.1516666666575474,4.6430817610062896,7,0,-19.522000000000006,291.527,0.04225352112676056,28,0.21428571428571427,-22.0,5.822000000000003,97.17566666666666,9.893771896164447,0.0,29.5,-26.5,0.01677529679143852,4.910651335164606,534856.9120545982,9468.134122439466,26839.12418160657,2.9620675905837155
3,0 days 00:39:13.350000,44,0 days 00:01:21.275000,4.0,,,0 days 00:00:28.300000,0 days 00:00:31.769000,0 days 00:00:21.206000,0 days 00:38:21.146000,0 days 00:38:52.915000,0 days 00:39:14.121000,279.0,284.0,246.0,352.0,True,MEDIUM,7.0,False,Mercedes,0 days 00:37:52.075000,2019-10-27 19:17:52.395,1,4.0,False,0.0,False,True,81.275,28.3,31.769,21.206,2301.146,2332.915,2354.121,2353.35,2272.075,189.4053203113105,353.0,83.3347614121623,9729.573736605756,12702.0,56.53636792063617,42.94076137853345,0.23051409618573798,139,3.485903814262023,2102,76.17462646294123,0.1355555555746832,4.902155887230514,8,0,-5.206999999999994,372.802,0.056338028169014086,28,0.25,-21.0,0.6150000000000091,93.2005,11.334267289948658,0.0,29.5,-25.5,0.012957626694574202,11.039607488715411,654890.8177169253,10708.288875246193,26327.33952327216,2.4542434345602144
4,0 days 00:40:35.332000,44,0 days 00:01:21.982000,5.0,,,0 days 00:00:28.804000,0 days 00:00:31.763000,0 days 00:00:21.415000,0 days 00:39:42.925000,0 days 00:40:14.688000,0 days 00:40:36.103000,284.0,284.0,248.0,329.0,False,MEDIUM,8.0,False,Mercedes,0 days 00:39:13.350000,2019-10-27 19:19:13.670,12,4.0,False,0.0,False,True,81.982,28.804,31.763,21.415,2382.925,2414.688,2436.103,2435.332,2353.35,186.59937519475102,330.0,79.46706316564276,9597.988994482084,12803.0,56.8131969965251,43.015718591880294,0.24378109452736318,147,0.0,0,113.96744747246895,58.491111111161445,4.925373134328358,8,0,0.7069999999999936,454.784,0.07042253521126761,28,0.2857142857142857,-20.0,1.3220000000000027,90.9568,11.023618267157117,0.0,29.5,-24.5,0.008698114309613321,0.0,663672.3534116499,10601.307062367889,27430.1081536284,1.623062695546369
5,0 days 00:41:56.973000,44,0 days 00:01:21.641000,6.0,,,0 days 00:00:28.771000,0 days 00:00:31.733000,0 days 00:00:21.137000,0 days 00:41:04.874000,0 days 00:41:36.607000,0 days 00:41:57.744000,288.0,282.0,247.0,330.0,False,MEDIUM,9.0,False,Mercedes,0 days 00:40:35.332000,2019-10-27 19:20:35.652,1,4.0,False,0.0,False,True,81.641,28.771,31.733,21.137,2464.874,2496.607,2517.744,2516.973,2435.332,187.22329752621292,331.0,79.38604943914648,9675.37247193955,12736.0,57.72896462626429,43.07941564658486,0.22749590834697217,139,0.0,0,111.4728923906583,59.95388888893649,4.895253682487725,8,0,-0.340999999999994,536.425,0.08450704225352113,28,0.32142857142857145,-19.0,0.9810000000000088,87.4768,10.570696273188444,-5.8847,29.5,-23.5,0.008891031240902429,0.0,637019.5471448984,10808.207120103301,26024.038356143596,1.6646081873303293
6,0 days 00:43:18.803000,44,0 days 00:01:21.830000,7.0,,,0 days 00:00:28.686000,0 days 00:00:31.811000,0 days 00:00:21.333000,0 days 00:42:26.430000,0 days 00:42:58.241000,0 days 00:43:19.574000,290.0,282.0,247.0,332.0,False,MEDIUM,10.0,False,Mercedes,0 days 00:41:56.973000,2019-10-27 19:21:57.293,1,4.0,False,0.0,False,True,81.83,28.686,31.811,21.333,2546.43,2578.241,2599.574,2598.803,2516.973,186.99945453200922,333.0,79.7519321456548,9548.413825598429,12596.0,57.157964399238566,42.95567938751663,0.22585924713584288,138,0.0,0,94.55144026633938,48.86611111112143,5.001636661211129,8,0,0.18899999999999295,618.255,0.09859154929577464,28,0.35714285714285715,-18.0,1.1700000000000017,82.642,2.162824195351996,-5.3226,29.5,-22.5,0.010465566999436193,0.0,629067.2175725522,10688.508164817615,25805.924725417273,1.9570553202627643
7,0 days 00:44:40.618000,44,0 days 00:01:21.815000,8.0,,,0 days 00:00:28.750000,0 days 00:00:31.810000,0 days 00:00:21.255000,0 days 00:43:48.324000,0 days 00:44:20.134000,0 days 00:44:41.389000,285.0,282.0,247.0,334.0,False,MEDIUM,11.0,False,Mercedes,0 days 00:43:18.803000,2019-10-27 19:23:19.123,1,4.0,False,0.0,False,True,81.815,28.75,31.81,21.255,2628.324,2660.134,2681.389,2680.618,2598.803,187.0431686293069,335.0,79.89755132554649,9671.573685505164,12745.0,56.531656273203815,42.67887008563787,0.2234910277324633,137,0.0,0,84.66446392502503,46.14249999999447,4.900489396411093,8,0,-0.015000000000000568,700.07,0.11267605633802817,28,0.39285714285714285,-17.0,1.1550000000000011,81.7086,0.270825220391296,-0.8938000000000003,29.5,-21.5,0.011673451909711554,0.0,618793.5044790842,10573.860117202878,25624.914102215047,2.183439434034283
8,0 days 00:46:02.472000,44,0 days 00:01:21.854000,9.0,,,0 days 00:00:28.680000,0 days 00:00:31.781000,0 days 00:00:21.393000,0 days 00:45:10.069000,0 days 00:45:41.850000,0 days 00:46:03.243000,282.0,282.0,247.0,334.0,False,MEDIUM,12.0,False,Mercedes,0 days 00:44:40.618000,2019-10-27 19:24:40.938,1,4.0,False,0.0,False,True,81.854,28.68,31.781,21.393,2710.069,2741.85,2763.243,2762.472,2680.618,186.7338620305119,335.0,80.20615091153087,9622.166863284994,12628.0,56.656493341909716,42.68552986074891,0.24675324675324675,152,0.23376623376623376,144,89.23418202187565,50.48666666660574,4.928571428571429,8,0,0.03900000000000148,781.924,0.1267605633802817,28,0.42857142857142855,-16.0,1.1940000000000026,81.8244,0.12193153816793818,0.09279999999999831,29.5,-20.5,0.011082274783158869,0.7670432943876478,690718.2867751019,10579.685810840785,28383.547028637808,2.0694359703426093
9,0 days 00:47:24.098000,44,0 days 00:01:21.626000,10.0,,,0 days 00:00:28.424000,0 days 00:00:31.859000,0 days 00:00:21.343000,0 days 00:46:31.667000,0 days 00:47:03.526000,0 days 00:47:24.869000,284.0,290.0,246.0,350.0,False,MEDIUM,13.0,False,Mercedes,0 days 00:46:02.472000,2019-10-27 19:26:02.792,1,4.0,False,0.0,False,True,81.626,28.424,31.859,21.343,2791.667,2823.526,2844.869,2844.098,2762.472,187.25686385011937,351.0,82.78169896625032,9555.00091241491,12581.0,55.28241925303491,42.779326377426166,0.23076923076923078,141,4.124386252045826,2520,83.34003137370556,53.45972222217824,4.991816693944354,8,0,-0.22799999999999443,863.55,0.14084507042253522,28,0.4642857142857143,-15.0,0.9660000000000082,81.7532,0.1102800979324769,-0.008200000000000785,29.5,-19.5,0.011856765805185212,13.385966112801587,645268.5350110395,10352.012455370776,26403.21780286683,2.220260780084318
