Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
0,0 days 00:34:52.538000,33,0 days 00:01:35.298000,1.0,,,,0 days 00:00:37.475000,0 days 00:00:25.546000,,0 days 00:34:27.046000,0 days 00:34:52.658000,297.0,257.0,245.0,305.0,False,HARD,4.0,False,Red Bull Racing,0 days 00:33:17.072000,2020-08-09 13:13:17.118,12,3.0,False,,False,False,95.298,0.0,37.475,25.546,0.0,2067.046,2092.658,2092.538,1997.072,215.49709049817494,308.0,72.55895833389991,10450.742834370543,12205.0,68.94108786471945,40.96537494969006,0.15078407720144751,125,1.0,829,45.57166529892266,0.0,5.434258142340169,8,0,0.0,95.298,0.019230769230769232,40,0.1,-36.0,4.853999999999999,95.298,0.0,0.0,28.0,-27.0,0.02147228349215017,3.8291507663794144,625286.6902337389,14856.603850626077,26937.13631227187,4.627214618910354
1,0 days 00:36:24.506000,33,0 days 00:01:31.968000,2.0,,,0 days 00:00:29.202000,0 days 00:00:37.476000,0 days 00:00:25.290000,0 days 00:35:21.745000,0 days 00:35:59.221000,0 days 00:36:24.511000,287.0,258.0,248.0,305.0,True,HARD,5.0,False,Red Bull Racing,0 days 00:34:52.538000,2020-08-09 13:14:52.584,1,3.0,False,,False,True,91.968,29.202,37.476,25.29,2121.745,2159.221,2184.511,2184.506,2092.538,228.0023752263305,308.0,65.55802240300164,10509.07214121665,11840.0,71.71489630063924,40.39895462513945,0.14375,115,1.0,800,104.24882225313145,27.79861111111404,5.79125,8,0,-3.3299999999999983,187.26600000000002,0.038461538461538464,40,0.125,-35.0,1.524000000000001,93.63300000000001,2.354665581351207,0.0,28.0,-26.0,0.009501293967878554,3.49341354738934,540670.9795052183,16351.16669565573,26220.27315102801,2.166317592399917
2,0 days 00:37:56.478000,33,0 days 00:01:31.972000,3.0,,,0 days 00:00:29.072000,0 days 00:00:37.527000,0 days 00:00:25.373000,0 days 00:36:53.583000,0 days 00:37:31.110000,0 days 00:37:56.483000,289.0,259.0,247.0,304.0,False,HARD,6.0,False,Red Bull Racing,0 days 00:36:24.506000,2020-08-09 13:16:24.552,1,3.0,False,,False,True,91.972,29.072,37.527,25.373,2213.583,2251.11,2276.483,2276.478,2184.506,228.1819336240094,307.0,64.91585236129673,10446.23932507742,11901.0,70.77897641329821,40.99558050820039,0.14536340852130325,116,0.0,0,143.8947867735836,52.26166666667268,5.830827067669173,8,0,0.003999999999990678,279.238,0.057692307692307696,40,0.15,-34.0,1.5279999999999916,93.07933333333334,1.9214227367587173,0.0,28.0,-25.0,0.006901559554124099,0.0,532982.5996430069,16150.483697914538,26469.10430038509,1.574811204081293
3,0 days 00:39:28.603000,33,0 days 00:01:32.125000,4.0,,,0 days 00:00:29.030000,0 days 00:00:37.655000,0 days 00:00:25.440000,0 days 00:38:25.513000,0 days 00:39:03.168000,0 days 00:39:28.608000,289.0,259.0,246.0,301.0,False,HARD,7.0,False,Red Bull Racing,0 days 00:37:56.478000,2020-08-09 13:17:56.524,1,3.0,False,,False,True,92.125,29.03,37.655,25.44,2305.513,2343.168,2368.608,2368.603,2276.478,227.44247162508853,303.0,64.58956877087402,10415.193587440881,11911.0,71.31977832291595,40.75343455465867,0.14481897627965043,116,0.0,0,156.76399331330583,55.5363888888387,5.837702871410737,8,0,0.1530000000000058,371.363,0.07692307692307693,40,0.175,-33.0,1.6809999999999974,92.84075,1.6397962017681806,0.0,28.0,-24.0,0.006338581947618969,0.0,534355.5922985305,16221.146657517414,26383.32670851027,1.4416627447646255
4,0 days 00:41:00.854000,33,0 days 00:01:32.251000,5.0,,,0 days 00:00:29.169000,0 days 00:00:37.646000,0 days 00:00:25.436000,0 days 00:39:57.777000,0 days 00:40:35.423000,0 days 00:41:00.859000,287.0,258.0,247.0,300.0,False,HARD,8.0,False,Red Bull Racing,0 days 00:39:28.603000,2020-08-09 13:19:28.649,1,3.0,False,,False,True,92.251,29.169,37.646,25.436,2397.777,2435.423,2460.859,2460.854,2368.603,227.51012071625823,304.0,64.5490743170947,10449.308961689929,12283.0,70.93244912623682,40.74806416902704,0.1414267834793492,113,0.0,0,148.41635596812168,59.781944444435794,5.826032540675845,8,0,0.12600000000000477,463.61400000000003,0.09615384615384616,40,0.2,-32.0,1.8070000000000022,92.7228,1.4443890403904391,0.0,28.0,-23.0,0.006692707726143129,0.0,517384.50410615903,16137.850063409984,25708.643640937178,1.5226587426934575
5,0 days 00:42:32.899000,33,0 days 00:01:32.045000,6.0,,,0 days 00:00:29.020000,0 days 00:00:37.444000,0 days 00:00:25.581000,0 days 00:41:29.879000,0 days 00:42:07.323000,0 days 00:42:32.904000,288.0,258.0,245.0,299.0,False,HARD,9.0,False,Red Bull Racing,0 days 00:41:00.854000,2020-08-09 13:21:00.900,1,3.0,False,,False,True,92.045,29.02,37.444,25.581,2489.879,2527.323,2552.904,2552.899,2460.854,227.58473791955618,303.0,65.36367265635863,10436.791798870494,12254.0,71.37976580636676,40.67954171505971,0.1297229219143577,103,0.0,0,114.65053188792486,36.81666666671663,5.772040302267002,8,0,-0.20600000000000307,555.659,0.11538461538461539,40,0.225,-31.0,1.600999999999999,92.0722,0.11873794675680284,-0.5936999999999998,28.0,-22.0,0.00864673930742562,0.0,480561.29558485444,16244.945293801276,23441.228005714285,1.9678658991391844
6,0 days 00:44:05.058000,33,0 days 00:01:32.159000,7.0,,,0 days 00:00:29.235000,0 days 00:00:37.506000,0 days 00:00:25.418000,0 days 00:43:02.139000,0 days 00:43:39.645000,0 days 00:44:05.063000,286.0,257.0,248.0,300.0,False,HARD,10.0,False,Red Bull Racing,0 days 00:42:32.899000,2020-08-09 13:22:32.945,1,3.0,False,,False,True,92.159,29.235,37.506,25.418,2582.139,2619.645,2645.063,2645.058,2552.899,227.21562501591131,303.0,65.18277424727587,10419.135474713563,11885.0,69.9724156748214,41.23739574737062,0.1523687580025608,119,0.0,0,91.5007814749422,26.61833333340473,5.833546734955186,8,0,0.11400000000000432,647.818,0.1346153846153846,40,0.25,-30.0,1.7150000000000034,92.1104,0.10697569817496373,0.0433000000000007,28.0,-21.0,0.010810719477768875,0.0,542758.5447617433,15898.826161427696,27038.659376893447,2.456364383012941
7,0 days 00:45:37.228000,33,0 days 00:01:32.170000,8.0,,,0 days 00:00:29.176000,0 days 00:00:37.592000,0 days 00:00:25.402000,0 days 00:44:34.239000,0 days 00:45:11.831000,0 days 00:45:37.233000,288.0,259.0,248.0,304.0,False,HARD,11.0,False,Red Bull Racing,0 days 00:44:05.058000,2020-08-09 13:24:05.104,1,3.0,False,,False,True,92.17,29.176,37.592,25.402,2674.239,2711.831,2737.233,2737.228,2645.058,226.38203181088656,307.0,66.0888481663028,10390.752344233135,11865.0,69.91272911155264,41.21620957965505,0.1343669250645995,104,0.0,0,76.66726710013408,12.964722222401178,5.825581395348837,8,0,0.01099999999999568,739.988,0.15384615384615385,40,0.275,-29.0,1.725999999999999,92.15,0.07471947537302116,0.029400000000002535,28.0,-20.0,0.012875436941932435,0.0,480526.98087110696,15826.985665717404,23543.7313083322,2.9147675753676126
8,0 days 00:47:09.677000,33,0 days 00:01:32.449000,9.0,,,0 days 00:00:29.262000,0 days 00:00:37.667000,0 days 00:00:25.520000,0 days 00:46:06.495000,0 days 00:46:44.162000,0 days 00:47:09.682000,287.0,259.0,249.0,301.0,False,HARD,12.0,False,Red Bull Racing,0 days 00:45:37.228000,2020-08-09 13:25:37.274,1,3.0,False,,False,True,92.449,29.262,37.667,25.52,2766.495,2804.162,2829.682,2829.677,2737.228,226.96342587638074,306.0,66.10649671957808,10389.960059097206,12026.0,69.31565651928344,41.68490146787273,0.1330749354005168,103,0.0,0,56.66861437752749,2.671666666858073,5.830749354005168,8,0,0.27899999999999636,832.437,0.17307692307692307,40,0.3,-28.0,2.0049999999999955,92.2148,0.15009397056517446,-0.00019999999999953388,28.0,-19.0,0.017340454782795743,0.0,471968.1676916633,15732.118870487053,23377.232865267215,3.9356490237577937
9,0 days 00:48:42.037000,33,0 days 00:01:32.360000,10.0,,,0 days 00:00:29.196000,0 days 00:00:37.624000,0 days 00:00:25.540000,0 days 00:47:38.878000,0 days 00:48:16.502000,0 days 00:48:42.042000,292.0,260.0,248.0,304.0,False,HARD,13.0,False,Red Bull Racing,0 days 00:47:09.677000,2020-08-09 13:27:09.723,1,3.0,False,,False,True,92.36,29.196,37.624,25.54,2858.878,2896.502,2922.042,2922.037,2829.677,226.9024639264618,307.0,66.81562018542702,10370.792438998233,12027.0,68.98923577167999,41.490973265424294,0.14303959131545338,112,0.0,0,38.653600008845146,0.4972222224241704,5.831417624521073,8,0,-0.08899999999999864,924.797,0.19230769230769232,40,0.325,-27.0,1.9159999999999968,92.2366,0.16394297789176443,0.05209999999999866,28.0,-18.0,0.025218391262758984,0.0,516270.56031078583,15653.827580997786,25413.075959763722,5.72211511378157
