Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
0,0 days 00:01:44.036000,10,0 days 00:01:43.776000,1.0,,,,0 days 00:00:42.142000,0 days 00:00:25.042000,,0 days 00:01:19.108000,0 days 00:01:44.179000,259.0,218.0,250.0,296.0,False,MEDIUM,1.0,True,AlphaTauri,0 days 00:00:07.171000,2020-10-11 12:13:21.762,1.0,13.0,False,,False,False,103.776,0.0,42.142,25.042,0.0,79.108,104.179,104.036,7.171,175.42022526856172,299.0,64.62111135204906,10398.729127346069,12304.0,54.26485505237306,43.678481154345825,0.2529832935560859,212.0,1.0,838.0,7.559769487019477,0.014722222222133,4.097852028639618,8.0,0,0.0,103.776,0.016666666666666666,28,0.03571428571428571,-27.0,10.543999999999997,103.776,0.0,0.0,23.5,-22.5,0.11682557591258236,4.750022276211959,743410.9110585466,9519.15309745313,37189.087756935085,20.493568843714655
1,0 days 00:03:21.947000,10,0 days 00:01:37.911000,2.0,,,0 days 00:00:32.788000,0 days 00:00:40.608000,0 days 00:00:24.515000,0 days 00:02:16.824000,0 days 00:02:57.432000,0 days 00:03:21.947000,252.0,222.0,245.0,293.0,True,MEDIUM,2.0,True,AlphaTauri,0 days 00:01:44.036000,2020-10-11 12:14:58.627,1.0,14.0,False,,False,True,97.911,32.788,40.608,24.515,136.824,177.432,201.947,201.947,104.036,188.26178896143998,307.0,66.3727129153544,10562.336510853343,12514.0,60.42951916838023,43.31157048521091,0.19834710743801653,168.0,1.0,847.0,22.99963567823507,0.0147222222140044,4.475796930342385,8.0,0,-5.864999999999995,201.687,0.03333333333333333,28,0.07142857142857142,-26.0,4.679000000000002,100.8435,4.147181271659103,0.0,23.5,-21.5,0.04166729917933237,4.475282647637696,673826.3493991354,11376.56938471889,31627.980545521918,7.844360284692652
2,0 days 00:04:57.437000,10,0 days 00:01:35.490000,3.0,,,0 days 00:00:31.382000,0 days 00:00:39.811000,0 days 00:00:24.297000,0 days 00:03:53.329000,0 days 00:04:33.140000,0 days 00:04:57.437000,258.0,221.0,247.0,293.0,True,MEDIUM,3.0,True,AlphaTauri,0 days 00:03:21.947000,2020-10-11 12:16:36.538,1.0,14.0,False,,False,True,95.49,31.382,39.811,24.297,233.329,273.14,297.437,297.437,201.947,192.71127875248555,297.0,64.82879817880504,10699.403899211355,12345.0,63.39309428511707,42.703098270623656,0.19082125603864733,158.0,0.0,0.0,50.595423626466584,0.1736111111058562,4.570048309178744,8.0,0,-2.4210000000000065,297.177,0.05,28,0.10714285714285714,-25.0,2.2579999999999956,99.05900000000001,4.260619321178558,0.0,23.5,-20.5,0.019381563900699058,0.0,649332.3022236907,12216.564263761795,30448.382042892717,3.7350459635267272
3,0 days 00:06:31.932000,10,0 days 00:01:34.495000,4.0,,,0 days 00:00:31.024000,0 days 00:00:39.478000,0 days 00:00:23.993000,0 days 00:05:28.461000,0 days 00:06:07.939000,0 days 00:06:31.932000,258.0,221.0,245.0,296.0,True,MEDIUM,4.0,True,AlphaTauri,0 days 00:04:57.437000,2020-10-11 12:18:12.028,1.0,14.0,False,,False,True,94.495,31.024,39.478,23.993,328.461,367.939,391.932,391.932,297.437,194.71598428440146,302.0,64.6106606380976,10675.429895853888,12630.0,64.56295420132389,42.705721958381,0.1799265605875153,147.0,0.0,0.0,80.28697053263558,0.0355555555543105,4.686658506731946,8.0,0,-0.9949999999999903,391.672,0.06666666666666667,28,0.14285714285714285,-24.0,1.2630000000000052,97.918,4.160461753219228,0.0,23.5,-19.5,0.012302094584746692,0.0,613203.903183132,12571.439175619515,28623.249689807013,2.395414455828757
4,0 days 00:08:06.099000,10,0 days 00:01:34.167000,5.0,,,0 days 00:00:30.961000,0 days 00:00:39.289000,0 days 00:00:23.917000,0 days 00:07:02.893000,0 days 00:07:42.182000,0 days 00:08:06.099000,259.0,222.0,249.0,312.0,True,MEDIUM,5.0,True,AlphaTauri,0 days 00:06:31.932000,2020-10-11 12:19:46.523,1.0,14.0,False,,False,True,94.167,30.961,39.289,23.917,422.893,462.182,486.099,486.099,391.932,195.1955999188584,315.0,65.85132745376026,10660.344780600777,12632.0,63.9757220899919,43.10171320303784,0.17481662591687042,143.0,1.784841075794621,1460.0,92.62372520313717,0.0405555555553291,4.6552567237163816,8.0,0,-0.32800000000000296,485.839,0.08333333333333333,28,0.17857142857142858,-23.0,0.9350000000000023,97.1678,3.9744284746363236,0.0,23.5,-18.5,0.0106810533102617,7.441553228532238,602442.7300947512,12487.77945359813,27912.97078839675,2.0848946086618407
5,0 days 00:09:40.492000,10,0 days 00:01:34.393000,6.0,,,0 days 00:00:31.007000,0 days 00:00:39.372000,0 days 00:00:24.014000,0 days 00:08:37.106000,0 days 00:09:16.478000,0 days 00:09:40.492000,258.0,218.0,253.0,313.0,False,MEDIUM,6.0,True,AlphaTauri,0 days 00:08:06.099000,2020-10-11 12:21:20.690,1.0,14.0,False,,False,True,94.393,31.007,39.372,24.014,517.106,556.478,580.492,580.492,486.099,194.72302046668665,319.0,67.72848819967064,10644.193256037124,12492.0,63.167596590657986,42.94491188968657,0.19852941176470587,162.0,2.502450980392157,2042.0,87.72935508491199,0.4041666666271339,4.661764705882353,8.0,0,0.2259999999999991,580.232,0.1,28,0.21428571428571427,-22.0,1.1610000000000014,95.2912,1.5497900502971436,-2.2633999999999985,23.5,-17.5,0.011270227300119815,10.433111011321031,693075.8228872934,12300.185203754101,31545.129315603237,2.1945727012254412
6,0 days 00:11:14.825000,10,0 days 00:01:34.333000,7.0,,,0 days 00:00:31.068000,0 days 00:00:39.470000,0 days 00:00:23.795000,0 days 00:10:11.560000,0 days 00:10:51.030000,0 days 00:11:14.825000,256.0,223.0,254.0,314.0,False,MEDIUM,7.0,True,AlphaTauri,0 days 00:09:40.492000,2020-10-11 12:22:55.083,1.0,14.0,False,,False,True,94.333,31.068,39.47,23.795,611.56,651.03,674.825,674.825,580.492,195.03436780281908,321.0,68.73893278195511,10622.990524152203,12554.0,63.10667630564737,43.19845104160116,0.18604651162790697,152.0,2.4871481028151776,2032.0,91.38945791498813,1.1019444444136752,4.679314565483476,8.0,0,-0.060000000000002274,674.565,0.11666666666666667,28,0.25,-21.0,1.100999999999999,94.5756,0.5248274001993675,-0.8358999999999995,23.5,-16.5,0.01082374572345848,10.365529385356982,659358.6082613071,12307.970717409076,29645.2239060285,2.1110024044331914
7,0 days 00:12:49.542000,10,0 days 00:01:34.717000,8.0,,,0 days 00:00:31.191000,0 days 00:00:39.574000,0 days 00:00:23.952000,0 days 00:11:46.016000,0 days 00:12:25.590000,0 days 00:12:49.542000,255.0,221.0,253.0,317.0,False,MEDIUM,8.0,True,AlphaTauri,0 days 00:11:14.825000,2020-10-11 12:24:29.416,1.0,13.0,False,,False,True,94.717,31.191,39.574,23.952,706.016,745.59,769.542,769.542,674.825,193.94380936863647,319.0,69.55968435553785,10586.577566135107,12612.0,62.78611492117459,43.021743527945446,0.18292682926829268,150.0,2.4634146341463414,2020.0,86.56522180003516,0.9647222221974516,4.660975609756098,8.0,0,0.38400000000000034,769.282,0.13333333333333333,28,0.2857142857142857,-20.0,1.4849999999999994,94.421,0.20379892050752527,-0.2415999999999997,23.5,-15.5,0.01142005900794279,10.361960231218236,655107.3503741145,12176.978303269585,29091.571405295468,2.214849747215036
8,0 days 00:14:24.261000,10,0 days 00:01:34.719000,9.0,,,0 days 00:00:31.030000,0 days 00:00:39.697000,0 days 00:00:23.992000,0 days 00:13:20.572000,0 days 00:14:00.269000,0 days 00:14:24.261000,259.0,220.0,253.0,315.0,False,MEDIUM,9.0,True,AlphaTauri,0 days 00:12:49.542000,2020-10-11 12:26:04.133,1.0,13.0,False,,False,True,94.719,31.03,39.697,23.992,800.572,840.269,864.261,864.261,769.542,193.634928625347,327.0,68.23227922557118,10651.105636397475,12544.0,62.00920470040268,42.743623244708886,0.19708029197080293,162.0,2.4014598540145986,1974.0,109.17815809679351,0.2897222221508855,4.593673965936739,8.0,0,0.001999999999995339,864.001,0.15,28,0.32142857142857145,-19.0,1.4869999999999948,94.4658,0.24465731135617313,0.06099999999999853,23.5,-14.5,0.009076209089658968,10.142064499634364,685426.7578871031,12007.147926277003,31368.85843730621,1.7574710992648397
9,0 days 00:15:59.078000,10,0 days 00:01:34.817000,10.0,,,0 days 00:00:31.365000,0 days 00:00:39.486000,0 days 00:00:23.966000,0 days 00:14:55.626000,0 days 00:15:35.112000,0 days 00:15:59.078000,259.0,221.0,253.0,314.0,False,MEDIUM,10.0,True,AlphaTauri,0 days 00:14:24.261000,2020-10-11 12:27:38.852,1.0,13.0,False,,False,True,94.817,31.365,39.486,23.966,895.626,935.112,959.078,959.078,864.261,193.4996246854427,317.0,68.28946512616615,10619.659040761846,12727.0,61.55555010705342,42.601331366684214,0.17783191230207065,146.0,2.297198538367844,1886.0,125.05267802490383,0.7213888887927169,4.627283800243605,8.0,0,0.09799999999999898,958.818,0.16666666666666666,28,0.35714285714285715,-18.0,1.5849999999999937,94.5958,0.21736421048560137,0.14279999999999832,23.5,-13.5,0.007933191231386874,9.696676808760738,613724.9564842093,11910.9758430208,28250.945204074636,1.5350695258312053
