Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
3,0 days 00:39:33.493000,44,0 days 00:01:53.821000,4.0,0 days 00:38:03.240000,,0 days 00:00:55.604000,0 days 00:00:32.267000,0 days 00:00:25.950000,0 days 00:38:35.363000,0 days 00:39:07.630000,0 days 00:39:33.580000,265.0,228.0,242.0,281.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:37:39.672000,2020-07-19 13:17:39.872,12,3.0,False,,False,False,113.821,55.604,32.267,25.95,2315.363,2347.63,2373.58,2373.493,2259.672,138.40178497442227,269.0,60.693478431825945,9014.237535768725,12248.0,49.74979001460445,34.33407117983435,0.2708547888774459,263,1.0,971,118.17729372145385,0.155833333323244,3.485066941297631,7,0,0.0,113.821,0.05714285714285714,28,0.03571428571428571,-27.0,32.623000000000005,113.821,0.0,0.0,46.25,-42.25,0.008390860110796287,6.965477523678489,794125.2933039267,6885.459740123945,36399.66944827306,1.1613100168048849
4,0 days 00:40:59.391000,44,0 days 00:01:25.898000,5.0,,,0 days 00:00:32.078000,0 days 00:00:30.551000,0 days 00:00:23.269000,0 days 00:40:05.658000,0 days 00:40:36.209000,0 days 00:40:59.478000,268.0,237.0,249.0,282.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:39:33.493000,2020-07-19 13:19:33.693,12,1.0,False,,False,True,85.898,32.078,30.551,23.269,2405.658,2436.209,2459.478,2459.391,2373.493,182.99414803049947,290.0,54.06527151621928,10024.747086976215,12411.0,59.14924800516701,40.21321528080376,0.24275862068965517,176,1.0,725,9.52084364826231,4.872777777723968,4.655172413793103,7,0,-27.923000000000002,199.719,0.07142857142857142,28,0.07142857142857142,-26.0,4.700000000000003,99.8595,19.744542651071967,0.0,46.25,-41.25,0.0950494117613055,3.940342710681329,562833.9469948001,10823.966245350257,32206.970053367906,17.39348612606024
5,0 days 00:42:23.382000,44,0 days 00:01:23.991000,6.0,,,0 days 00:00:30.868000,0 days 00:00:29.899000,0 days 00:00:23.224000,0 days 00:41:30.346000,0 days 00:42:00.245000,0 days 00:42:23.469000,270.0,239.0,248.0,284.0,True,MEDIUM,3.0,True,Mercedes,0 days 00:40:59.391000,2020-07-19 13:20:59.591,1,1.0,False,,False,True,83.991,30.868,29.899,23.224,2490.346,2520.245,2543.469,2543.382,2459.391,186.55041972055503,292.0,54.59378555566819,10090.385969094425,12283.0,59.70157241667103,41.72923794459648,0.21843971631205675,154,0.5914893617021276,417,6.280579708416816,6.063422319954238,4.778723404255319,7,0,-1.9069999999999965,283.71,0.08571428571428572,28,0.10714285714285714,-25.0,2.7930000000000064,94.57,16.699099167320373,0.0,46.25,-40.25,0.1373517000087144,2.2234021156621164,501937.5656451977,11137.35339230709,28728.764636965476,25.623017285957435
6,0 days 00:43:46.709000,44,0 days 00:01:23.327000,7.0,,,0 days 00:00:30.844000,0 days 00:00:29.482000,0 days 00:00:23.001000,0 days 00:42:54.313000,0 days 00:43:23.795000,0 days 00:43:46.796000,272.0,239.0,248.0,283.0,True,MEDIUM,4.0,True,Mercedes,0 days 00:42:23.382000,2020-07-19 13:22:23.582,1,1.0,False,,False,True,83.327,30.844,29.482,23.001,2574.313,2603.795,2626.796,2626.709,2543.382,188.82991155715538,291.0,54.83231396205193,10107.363553894504,12143.0,60.10073025505744,41.31745743906131,0.22913719943422914,162,0.0,0,5.846294039040046,5.6301749626304725,4.835926449787836,7,0,-0.6640000000000015,367.037,0.1,28,0.14285714285714285,-24.0,2.129000000000005,91.75925,14.74814805040506,0.0,46.25,-39.25,0.14606442467963515,0.0,533864.8619324123,11348.81557858295,30590.44567225917,27.58133239390229
7,0 days 00:45:08.879000,44,0 days 00:01:22.170000,8.0,,,0 days 00:00:30.058000,0 days 00:00:29.108000,0 days 00:00:23.004000,0 days 00:44:16.854000,0 days 00:44:45.962000,0 days 00:45:08.966000,274.0,241.0,249.0,283.0,True,MEDIUM,5.0,True,Mercedes,0 days 00:43:46.709000,2020-07-19 13:23:46.909,1,1.0,False,,False,True,82.17,30.058,29.108,23.004,2656.854,2685.962,2708.966,2708.879,2626.709,191.29186202997607,291.0,54.50054433525078,10185.561649378202,12187.0,61.20061967236493,41.96374581495024,0.22285714285714286,156,0.0,0,5.415713067992339,5.203161380232228,4.898571428571429,7,0,-1.1569999999999965,449.207,0.11428571428571428,28,0.17857142857142858,-23.0,0.9720000000000084,89.8414,13.472996930898482,0.0,46.25,-38.25,0.15586731971991521,0.0,520332.8653845731,11707.180494515072,29841.530476676267,29.81614981884419
8,0 days 00:46:31.009000,44,0 days 00:01:22.130000,9.0,,,0 days 00:00:29.887000,0 days 00:00:29.350000,0 days 00:00:22.893000,0 days 00:45:38.853000,0 days 00:46:08.203000,0 days 00:46:31.096000,274.0,239.0,249.0,285.0,True,MEDIUM,6.0,True,Mercedes,0 days 00:45:08.879000,2020-07-19 13:25:09.079,1,1.0,False,,False,True,82.13,29.887,29.35,22.893,2738.853,2768.203,2791.096,2791.009,2708.879,191.03620463468812,292.0,55.4797075728996,10001.105857150911,12103.0,61.78492094693178,42.355384489904885,0.2297872340425532,162,0.0,0,4.988832172784838,4.776765980846566,5.00709219858156,7,0,-0.04000000000000625,531.337,0.12857142857142856,28,0.21428571428571427,-22.0,0.9320000000000022,83.50319999999999,1.5546030683103096,-6.587299999999999,46.25,-37.25,0.16697746257514423,0.0,555305.11414118,11803.156801356088,30947.865150819474,31.89874070988623
9,0 days 00:47:52.531000,44,0 days 00:01:21.522000,10.0,,,0 days 00:00:29.624000,0 days 00:00:28.925000,0 days 00:00:22.973000,0 days 00:47:00.720000,0 days 00:47:29.645000,0 days 00:47:52.618000,276.0,241.0,247.0,286.0,True,MEDIUM,7.0,True,Mercedes,0 days 00:46:31.009000,2020-07-19 13:26:31.209,1,1.0,False,,False,True,81.522,29.624,28.925,22.973,2820.72,2849.645,2872.618,2872.531,2791.009,192.47085352715052,293.0,55.291495105523815,10106.101255700958,12440.0,62.43247062314205,42.19878090570659,0.22347949080622348,158,0.0,0,4.564154893947798,4.353191363617297,4.98019801980198,7,0,-0.6079999999999899,612.859,0.14285714285714285,28,0.25,-21.0,0.3240000000000123,82.628,1.0034159157596647,-0.9357,46.25,-36.25,0.1797218120379274,0.0,545413.5737338645,12016.430908644901,30410.394857289783,34.591210560386
10,0 days 00:49:14.658000,44,0 days 00:01:22.127000,11.0,,,0 days 00:00:29.738000,0 days 00:00:29.268000,0 days 00:00:23.121000,0 days 00:48:22.356000,0 days 00:48:51.624000,0 days 00:49:14.745000,276.0,239.0,247.0,285.0,False,MEDIUM,8.0,True,Mercedes,0 days 00:47:52.531000,2020-07-19 13:27:52.731,1,1.0,False,,False,True,82.127,29.738,29.268,23.121,2902.356,2931.624,2954.745,2954.658,2872.531,190.84084031256668,294.0,55.19211881785092,9993.342378439389,12236.0,61.173278817971685,42.35939519453637,0.2131837307152875,152,0.0,0,4.1396234808186545,3.9264790810053896,5.023842917251052,7,0,0.6049999999999898,694.986,0.15714285714285714,28,0.2857142857142857,-20.0,0.929000000000002,82.2552,0.6568308001302888,-0.6134999999999992,46.25,-35.25,0.19456678173645456,0.0,513194.9966958504,11674.359934296652,29007.807727510135,37.13128812349674
11,0 days 00:50:36.544000,44,0 days 00:01:21.886000,12.0,,,0 days 00:00:29.578000,0 days 00:00:29.269000,0 days 00:00:23.039000,0 days 00:49:44.323000,0 days 00:50:13.592000,0 days 00:50:36.631000,277.0,239.0,246.0,287.0,False,MEDIUM,9.0,True,Mercedes,0 days 00:49:14.658000,2020-07-19 13:29:14.858,1,1.0,False,,False,True,81.886,29.578,29.269,23.039,2984.323,3013.592,3036.631,3036.544,2954.658,191.23589700375385,297.0,55.186591189021335,9875.760154961617,12214.0,61.18486087457269,42.27890633283481,0.2180028129395218,155,0.0,0,3.713104271301616,3.500826538800948,5.125175808720113,7,0,-0.24099999999999966,776.872,0.17142857142857143,28,0.32142857142857145,-19.0,0.6880000000000024,81.96700000000001,0.27293039405641334,-0.3048000000000002,46.25,-34.25,0.21217438495665417,0.0,523370.5051265393,11700.741752398792,29641.564035581847,40.57535882840554
12,0 days 00:51:58.417000,44,0 days 00:01:21.873000,13.0,,,0 days 00:00:29.477000,0 days 00:00:29.238000,0 days 00:00:23.158000,0 days 00:51:06.108000,0 days 00:51:35.346000,0 days 00:51:58.504000,275.0,238.0,246.0,283.0,False,MEDIUM,10.0,True,Mercedes,0 days 00:50:36.544000,2020-07-19 13:30:36.744,1,1.0,False,,False,True,81.873,29.477,29.238,23.158,3066.108,3095.346,3118.504,3118.417,3036.544,191.1663489071408,292.0,54.735625230057686,9835.769457414688,12252.0,61.628953743663615,42.601434301392146,0.21237693389592124,151,0.0,0,3.2878543387332657,3.0753558166941737,5.163150492264417,7,0,-0.012999999999991019,858.745,0.18571428571428572,28,0.35714285714285715,-18.0,0.6750000000000114,81.9076,0.2489724884395589,-0.05710000000000122,46.25,-33.25,0.23321687748735975,0.0,509368.19663049356,11781.38207414324,28866.118684978257,44.583218972782525
