Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
0,0 days 00:34:06.605000,10,0 days 00:01:22.823000,1.0,,,,0 days 00:00:28.934000,0 days 00:00:30.072000,,0 days 00:33:36.653000,0 days 00:34:06.805000,290.0,86.0,244.0,241.0,False,SOFT,4.0,False,AlphaTauri,0 days 00:32:43.624000,2020-12-06 17:12:43.657,124,7.0,False,,False,False,82.823,0.0,28.934,30.072,0.0,2016.653,2046.805,2046.605,1963.624,144.8019857656605,307.0,62.27187153921303,9893.703462632762,12245.0,43.39482535005806,38.71135426112869,0.22531293463143254,162.0,1.0,719.0,30.07888703046402,0.0030555555555338,3.273991655076495,8.0,0,0.0,82.823,0.011494252873563218,18,0.2222222222222222,-14.0,24.264999999999993,82.823,0.0,0.0,27.5,-26.5,0.03217618439874581,4.931345730473171,437768.87232579495,6283.656882642431,23457.921694037002,4.659175395300458
1,0 days 00:35:40.158000,10,0 days 00:01:33.553000,2.0,,,0 days 00:00:27.420000,0 days 00:00:39.093000,0 days 00:00:27.040000,0 days 00:34:34.037000,0 days 00:35:13.130000,0 days 00:35:40.170000,153.0,159.0,169.0,247.0,True,SOFT,5.0,False,AlphaTauri,0 days 00:34:06.605000,2020-12-06 17:14:06.638,4,7.0,False,,False,False,93.553,27.42,39.093,27.04,2074.037,2113.13,2140.17,2140.158,2046.605,135.38631978832706,272.0,53.09005854507579,9466.162171988415,12032.0,33.954277229925644,30.115953813753737,0.12577065351418001,102.0,1.0,811.0,56.49720241644217,0.0144444444440523,3.12577065351418,7.0,0,10.730000000000004,176.37599999999998,0.022988505747126436,18,0.2777777777777778,-13.0,34.995,88.18799999999999,7.5872557621316625,0.0,27.5,-25.5,0.01739215053903275,5.946344188029124,183868.7257312336,4596.944635232225,13809.40461840936,2.354659254684213
2,0 days 00:37:11.567000,10,0 days 00:01:31.409000,3.0,,,0 days 00:00:31.303000,0 days 00:00:32.927000,0 days 00:00:27.179000,0 days 00:36:11.473000,0 days 00:36:44.400000,0 days 00:37:11.579000,163.0,155.0,213.0,123.0,True,SOFT,6.0,False,AlphaTauri,0 days 00:35:40.158000,2020-12-06 17:15:40.191,4,7.0,False,,False,False,91.409,31.303,32.927,27.179,2171.473,2204.4,2231.579,2231.567,2140.158,138.21160618289298,258.0,48.78666772719663,9726.9587080431,12244.0,38.402071503257524,31.976341005165512,0.14627994955863807,116.0,1.0,793.0,55.695420565053,0.3949999999931606,3.129886506935687,6.0,0,-2.1439999999999912,267.78499999999997,0.034482758620689655,18,0.3333333333333333,-12.0,32.851000000000006,89.26166666666666,5.678160382847022,0.0,27.5,-24.5,0.017638108863705988,5.696364130431589,217327.05588599466,5307.6119832155255,16032.546317215585,2.437791356081526
3,0 days 00:38:41.080000,10,0 days 00:01:29.513000,4.0,,,0 days 00:00:29.321000,0 days 00:00:33.814000,0 days 00:00:26.378000,0 days 00:37:40.900000,0 days 00:38:14.714000,0 days 00:38:41.092000,152.0,129.0,220.0,249.0,True,SOFT,7.0,False,AlphaTauri,0 days 00:37:11.567000,2020-12-06 17:17:11.600,4,7.0,False,,False,False,89.513,29.321,33.814,26.378,2260.9,2294.714,2321.092,2321.08,2231.567,141.67564470461917,267.0,54.50783843719953,9737.785178569906,12207.0,40.137347052289876,33.659846206242236,0.11211340206185567,87.0,1.0,776.0,43.68473691851387,0.4102777777625306,3.207474226804124,7.0,0,-1.8960000000000008,357.298,0.04597701149425287,18,0.3888888888888889,-11.0,30.955000000000005,89.3245,4.637901357295136,0.0,27.5,-23.5,0.0223790060982921,5.438910064899653,190338.60247289002,5686.484520366214,12325.781089301869,3.170560116824137
4,0 days 00:40:13.391000,10,0 days 00:01:32.311000,5.0,,,0 days 00:00:32.757000,0 days 00:00:34.981000,0 days 00:00:24.573000,0 days 00:39:13.849000,0 days 00:39:48.830000,0 days 00:40:13.403000,168.0,162.0,219.0,121.0,False,SOFT,8.0,False,AlphaTauri,0 days 00:38:41.080000,2020-12-06 17:18:41.113,4,7.0,False,,False,False,92.311,32.757,34.981,24.573,2353.849,2388.83,2413.403,2413.391,2321.08,136.96561273971875,236.0,44.48173050830268,9917.202842654086,12513.0,38.739787778194795,34.30901042960797,0.14643304130162704,117.0,1.0,799.0,46.37540548301416,0.0238888888798101,3.0100125156445556,6.0,0,2.798000000000002,449.60900000000004,0.05747126436781609,18,0.4444444444444444,-10.0,33.75300000000001,89.9218,4.2327807880871955,0.0,27.5,-22.5,0.021107998755990322,5.79129816577821,201615.89758812438,5306.018770447118,16024.976690547093,2.8910699833234355
5,0 days 00:41:34.863000,10,0 days 00:01:21.472000,6.0,,,0 days 00:00:29.346000,0 days 00:00:31.209000,0 days 00:00:20.917000,0 days 00:40:42.749000,0 days 00:41:13.958000,0 days 00:41:34.875000,204.0,88.0,288.0,265.0,True,SOFT,9.0,False,AlphaTauri,0 days 00:40:13.391000,2020-12-06 17:20:13.424,41,7.0,False,,False,False,81.472,29.346,31.209,20.917,2442.749,2473.958,2494.875,2494.863,2413.391,155.19874755715023,290.5499989333333,69.29174553344183,9896.97877333427,12447.0,47.22092397126893,42.45631186965715,0.1709039548022599,121.0,1.0,708.0,37.785569592717586,0.009722222250275,3.5480225988700567,7.0,0,-10.839000000000013,531.081,0.06896551724137931,18,0.5,-9.0,22.913999999999994,89.6516,4.803822727786704,1.4936000000000036,27.5,-21.5,0.02578278495071427,4.532686792132926,395914.4499682116,7328.62825883235,18779.048454415177,4.001455932886196
6,0 days 00:42:34.455000,10,0 days 00:00:59.592000,7.0,,,0 days 00:00:20.322000,0 days 00:00:21.789000,0 days 00:00:17.481000,0 days 00:41:55.197000,0 days 00:42:16.986000,0 days 00:42:34.467000,283.0,257.0,288.0,309.0,True,SOFT,10.0,False,AlphaTauri,0 days 00:41:34.863000,2020-12-06 17:21:34.896,1,7.0,False,,False,True,59.592,20.322,21.789,17.481,2515.197,2536.986,2554.467,2554.455,2494.863,211.33077435888507,312.0,74.09431748011296,10579.65761542908,12249.0,65.33201944303556,43.164495007082095,0.17988394584139264,93.0,1.0,517.0,6.727569898367556,0.0213888889193185,5.220502901353965,8.0,0,-21.879999999999995,590.673,0.08045977011494253,18,0.5555555555555556,-8.0,1.033999999999999,82.85940000000001,13.693023563114192,-2.3260000000000005,27.5,-20.5,0.12940678805263855,2.4348802078315686,450188.01929131465,13806.666259326441,19653.762015376313,27.347636726460223
7,0 days 00:43:33.778000,10,0 days 00:00:59.323000,8.0,,,0 days 00:00:20.469000,0 days 00:00:21.494000,0 days 00:00:17.360000,0 days 00:42:54.936000,0 days 00:43:16.430000,0 days 00:43:33.790000,282.0,260.0,284.0,298.0,True,SOFT,11.0,False,AlphaTauri,0 days 00:42:34.455000,2020-12-06 17:22:34.488,1,7.0,False,,False,True,59.323,20.469,21.494,17.36,2574.936,2596.43,2613.79,2613.778,2554.455,212.43085521284652,312.0,73.29659807721579,10586.986954545262,12396.0,67.352870213691,42.35044980251851,0.17738791423001948,91.0,1.0,513.0,10.303498730834201,0.0183333334243798,5.288499025341131,8.0,0,-0.26899999999999835,649.996,0.09195402298850575,18,0.6111111111111112,-7.0,0.7650000000000006,76.4422,16.00749639075395,-7.167500000000003,27.5,-19.5,0.08846818350783321,2.4035887383218535,449242.9994233808,14307.827820534238,19331.207824369034,18.793371881696054
8,0 days 00:44:32.775000,10,0 days 00:00:58.997000,9.0,,,0 days 00:00:20.462000,0 days 00:00:21.279000,0 days 00:00:17.256000,0 days 00:43:54.252000,0 days 00:44:15.531000,0 days 00:44:32.787000,290.0,257.0,293.0,290.0,True,SOFT,12.0,False,AlphaTauri,0 days 00:43:33.778000,2020-12-06 17:23:33.811,1,7.0,False,,False,True,58.997,20.462,21.279,17.256,2634.252,2655.531,2672.787,2672.775,2613.778,213.75962741012754,313.0,72.42335654529707,10674.402576778317,12243.0,66.91877184550594,42.86210637843067,0.1796875,92.0,2.5,1280.0,20.687332480958336,0.0586111111588252,5.34375,8.0,0,-0.3260000000000005,708.993,0.10344827586206896,18,0.6666666666666666,-6.0,0.43900000000000006,70.339,15.590090618723194,-9.309900000000003,27.5,-18.5,0.046109866249249815,5.96015189370569,445876.3507105227,14304.531736438683,19665.885721731735,9.856427829370455
9,0 days 00:45:31.333000,10,0 days 00:00:58.558000,10.0,,,0 days 00:00:19.999000,0 days 00:00:21.245000,0 days 00:00:17.314000,0 days 00:44:52.786000,0 days 00:45:14.031000,0 days 00:45:31.345000,288.0,259.0,295.0,318.0,True,SOFT,13.0,False,AlphaTauri,0 days 00:44:32.775000,2020-12-06 17:24:32.808,1,7.0,False,,False,True,58.558,19.999,21.245,17.314,2692.786,2714.031,2731.345,2731.333,2672.775,214.74274954656474,329.0,75.40802574571205,10670.726559089919,12349.0,67.36350907467587,41.70945326563262,0.17984189723320157,91.0,3.794466403162055,1920.0,16.810579166783167,0.367500000007567,5.33201581027668,8.0,0,-0.43900000000000006,767.551,0.11494252873563218,18,0.7222222222222222,-5.0,0.0,63.5884,10.004672373446372,-8.877700000000003,27.5,-17.5,0.05614640549505576,8.899487950512087,462257.1796228446,14465.825157800862,19541.59020873739,12.057033493164624
