Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
0,0 days 00:34:07.176000,44,0 days 00:01:18.184000,1.0,,,,0 days 00:00:30.354000,0 days 00:00:27.743000,,0 days 00:33:39.482000,0 days 00:34:07.379000,297.0,238.0,191.0,297.0,False,SOFT,1.0,True,Mercedes,0 days 00:32:48.804000,2020-07-12 13:12:50.826,14,1.0,False,,False,False,78.184,0.0,30.354,27.743,0.0,2019.482,2047.379,2047.176,1968.804,192.9905362769547,299.0,74.79249436950967,10179.16450033369,12893.0,62.00080060278425,42.96652287773488,0.19472913616398244,133,1.0,683,0.9855494827573184,0.0,4.806734992679356,7,0,0.0,78.184,0.014084507042253521,18,0.05555555555555555,-17.0,10.00099999999999,78.184,0.0,0.0,30.5,-29.5,0.5036389214593168,3.520790308166892,616746.8724885148,11965.56775793187,25667.741324834977,97.19754554238061
1,0 days 00:36:12.648000,44,0 days 00:02:05.472000,2.0,,,0 days 00:00:26.692000,0 days 00:01:03.909000,0 days 00:00:34.871000,0 days 00:34:33.880000,0 days 00:35:37.789000,0 days 00:36:12.660000,147.0,154.0,202.0,134.0,True,SOFT,2.0,True,Mercedes,0 days 00:34:07.176000,2020-07-12 13:14:09.198,4,1.0,False,,False,False,125.472,26.692,63.909,34.871,2073.88,2137.789,2172.66,2172.648,2047.176,123.86763038746764,260.0,53.5572549891926,7903.560566591305,11944.0,30.002287013580002,32.28255274026045,0.22935779816513763,250,1.0,1090,1.456039083098715,0.0497222222293203,3.422935779816514,7,0,47.288,203.656,0.028169014084507043,18,0.1111111111111111,-16.0,57.28899999999999,101.828,33.43766546874945,0.0,30.5,-28.5,0.407159644519308,8.729243893054592,401710.03396131145,3716.312198576848,30966.90759686691,50.43390035601036
2,0 days 00:38:00.248000,44,0 days 00:01:47.600000,3.0,,,0 days 00:00:27.534000,0 days 00:00:46.844000,0 days 00:00:33.222000,0 days 00:36:40.194000,0 days 00:37:27.038000,0 days 00:38:00.260000,155.0,160.0,274.0,205.0,True,SOFT,3.0,True,Mercedes,0 days 00:36:12.648000,2020-07-12 13:16:14.670,41,1.0,False,,False,False,107.6,27.534,46.844,33.222,2200.194,2247.038,2280.26,2280.248,2172.648,144.4468360934402,280.0,55.00057767714345,8836.143281262031,12382.0,40.504235800296875,36.03636667356685,0.3161843515541265,295,1.0,933,5.351748847029022,0.0613888889147347,3.8113612004287245,7,0,-17.872,311.256,0.04225352112676056,18,0.16666666666666666,-15.0,39.41699999999999,103.752,23.877689670485285,0.0,30.5,-27.5,0.15743695540917707,6.4147149918105315,657188.128379331,5850.708709735535,42611.81664756486,22.741270093039653
3,0 days 00:39:08.879000,44,0 days 00:01:08.631000,4.0,,,0 days 00:00:17.314000,0 days 00:00:30.323000,0 days 00:00:20.994000,0 days 00:38:17.574000,0 days 00:38:47.897000,0 days 00:39:08.891000,297.0,234.0,274.0,293.0,True,SOFT,4.0,True,Mercedes,0 days 00:38:00.248000,2020-07-12 13:18:02.270,12,1.0,False,,False,True,68.631,17.314,30.323,20.994,2297.574,2327.897,2348.891,2348.879,2280.248,226.20943543824865,302.0,59.76150158315392,10818.784904559767,12341.0,73.82893367786826,39.6984660330699,0.16946308724832215,101,1.0,596,1.8432348414744308,0.1830555555825412,5.677852348993288,7,0,-38.968999999999994,379.887,0.056338028169014086,18,0.2222222222222222,-14.0,0.4479999999999933,94.97175,26.238658557873464,0.0,30.5,-26.5,0.3517120659232724,2.6231305000622736,445624.9216241215,16700.801406278482,22847.15297926311,79.56058786932354
4,0 days 00:40:17.847000,44,0 days 00:01:08.968000,5.0,,,0 days 00:00:17.367000,0 days 00:00:30.667000,0 days 00:00:20.934000,0 days 00:39:26.258000,0 days 00:39:56.925000,0 days 00:40:17.859000,287.0,232.0,276.0,285.0,False,SOFT,5.0,True,Mercedes,0 days 00:39:08.879000,2020-07-12 13:19:10.901,1,1.0,False,,False,True,68.968,17.367,30.667,20.934,2366.258,2396.925,2417.859,2417.847,2348.879,225.17426796693587,302.0,59.175511499784506,10727.547465185853,12510.0,72.89515970221574,40.01582879752061,0.16555183946488294,99,1.0,598,1.0937865310534998,0.421047426306305,5.697324414715719,7,0,0.3370000000000033,448.855,0.07042253521126761,18,0.2777777777777778,-13.0,0.7849999999999966,89.771,25.52624933279466,0.0,30.5,-25.5,0.4776036072296467,2.6439789343649864,427047.22776247247,16414.11422427931,22292.25252872665,107.54404263630364
5,0 days 00:41:26.744000,44,0 days 00:01:08.897000,6.0,,,0 days 00:00:17.428000,0 days 00:00:30.488000,0 days 00:00:20.981000,0 days 00:40:35.287000,0 days 00:41:05.775000,0 days 00:41:26.756000,288.0,234.0,274.0,289.0,False,SOFT,6.0,True,Mercedes,0 days 00:40:17.847000,2020-07-12 13:20:19.869,1,1.0,False,,False,True,68.897,17.428,30.488,20.981,2435.287,2465.775,2486.756,2486.744,2417.847,225.26158217700146,294.0,58.583553346854956,10751.607626751134,12420.0,71.94541030032825,41.03081295088992,0.16666666666666666,100,0.08,48,0.9683314613530124,0.1194444444699911,5.695,7,0,-0.07099999999999795,517.752,0.08450704225352113,18,0.3333333333333333,-12.0,0.7139999999999986,87.9136,26.882025840698834,-7.5272999999999985,30.5,-24.5,0.5080445136575775,0.21214383607752832,421481.7782390648,16206.536954625479,22526.158217700147,114.44291096285114
6,0 days 00:42:35.354000,44,0 days 00:01:08.610000,7.0,,,0 days 00:00:17.317000,0 days 00:00:30.404000,0 days 00:00:20.889000,0 days 00:41:44.073000,0 days 00:42:14.477000,0 days 00:42:35.366000,294.0,235.0,274.0,291.0,True,SOFT,7.0,True,Mercedes,0 days 00:41:26.744000,2020-07-12 13:21:28.766,1,1.0,False,,False,True,68.61,17.317,30.404,20.889,2504.073,2534.477,2555.366,2555.354,2486.744,225.96740801509577,301.0,59.66688319934049,10770.592957655716,12241.0,72.64251039304568,40.607451289192205,0.17142857142857143,102,0.0,0,1.8888838342627032,1.3961235294432588,5.729411764705882,7,0,-0.28700000000000614,586.362,0.09859154929577464,18,0.3888888888888889,-11.0,0.4269999999999925,76.5412,17.363117568570456,-15.178199999999999,30.5,-23.5,0.3461544518127772,0.0,442103.9226587309,16414.839785226188,23048.675617539768,78.21962424901963
7,0 days 00:43:43.935000,44,0 days 00:01:08.581000,8.0,,,0 days 00:00:17.335000,0 days 00:00:30.394000,0 days 00:00:20.852000,0 days 00:42:52.701000,0 days 00:43:23.095000,0 days 00:43:43.947000,295.0,235.0,274.0,290.0,True,SOFT,8.0,True,Mercedes,0 days 00:42:35.354000,2020-07-12 13:22:37.376,1,1.0,False,,False,True,68.581,17.335,30.394,20.852,2572.701,2603.095,2623.947,2623.935,2555.354,226.3238284598414,301.0,59.53896820363092,10791.194497032024,12369.0,72.22342607643775,40.80152219166392,0.16220735785953178,97,0.0,0,2.411712454919847,2.2132334541728977,5.709030100334449,7,0,-0.028999999999996362,654.943,0.11267605633802817,18,0.4444444444444444,-10.0,0.39799999999999613,68.73740000000001,0.18073544201434852,-7.771399999999999,30.5,-22.5,0.29310793720553846,0.0,417110.50206606457,16345.882294105731,21953.411360604616,66.33731050032425
8,0 days 00:44:52.780000,44,0 days 00:01:08.845000,9.0,,,0 days 00:00:17.244000,0 days 00:00:30.775000,0 days 00:00:20.826000,0 days 00:44:01.191000,0 days 00:44:31.966000,0 days 00:44:52.792000,300.0,233.0,272.0,293.0,False,SOFT,9.0,True,Mercedes,0 days 00:43:43.935000,2020-07-12 13:23:45.957,1,1.0,False,,False,True,68.845,17.244,30.775,20.826,2641.191,2671.966,2692.792,2692.78,2623.935,225.4252438601963,301.0,60.90107810983207,10781.422681004922,12329.0,72.21170316519719,41.01442391948343,0.18030050083472454,108,0.0,0,2.810532380337778,2.6114645757288284,5.701168614357262,7,0,0.2639999999999958,723.788,0.1267605633802817,18,0.5,-9.0,0.6619999999999919,68.78020000000001,0.17446976815518048,-0.04579999999999984,30.5,-21.5,0.2624305215617553,0.0,474959.2220900297,16278.340795574686,24345.9263369012,59.15846431941719
9,0 days 00:46:01.554000,44,0 days 00:01:08.774000,10.0,,,0 days 00:00:17.409000,0 days 00:00:30.387000,0 days 00:00:20.978000,0 days 00:45:10.201000,0 days 00:45:40.588000,0 days 00:46:01.566000,295.0,235.0,273.0,291.0,False,SOFT,10.0,True,Mercedes,0 days 00:44:52.780000,2020-07-12 13:24:54.802,1,1.0,False,,False,True,68.774,17.409,30.387,20.978,2710.201,2740.588,2761.566,2761.554,2692.78,225.4679547288959,301.0,59.306711750587034,10824.891541574212,12523.0,72.2654905893231,40.6503658694589,0.17391304347826086,104,0.0,0,3.209784530673906,3.0108557063775523,5.683946488294314,7,0,-0.07099999999999795,792.562,0.14084507042253522,18,0.5555555555555556,-8.0,0.590999999999994,68.7414,0.14053576057403194,-0.056200000000001187,30.5,-20.5,0.23754184868932454,0.0,445726.17646915745,16293.552360654952,23448.667291805174,53.558074786502864
