Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
0,0 days 00:35:12.305000,10,,1.0,,,,,,,,,0.0,0.0,0.0,0.0,False,SOFT,1.0,True,AlphaTauri,0 days 00:33:25.335000,2020-09-13 13:13:25.607,124,0.0,False,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2112.305,2005.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.01694915254237288,18,0.05555555555555555,-17.0,0.0,0.0,0.0,0.0,37.0,-36.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0 days 00:35:22.569000,11,0 days 00:01:57.098000,1.0,,,,0 days 00:00:44.285000,0 days 00:00:33.087000,,0 days 00:34:49.548000,0 days 00:35:22.742000,249.0,221.0,276.0,257.0,False,SOFT,4.0,False,Racing Point,0 days 00:33:25.335000,2020-09-13 13:13:25.607,124,7.0,False,0.0,False,False,117.098,0.0,44.285,33.087,0.0,2089.548,2122.742,2122.569,2005.335,163.7084032398861,287.0,62.77322396534441,9401.45976000513,12731.0,45.94834128996093,38.98695890557622,0.1892156862745098,193.0,1.0,1020.0,39.74550244073221,0.0,4.257843137254902,7.0,0,0.0,117.098,0.01694915254237288,18,0.2222222222222222,-14.0,0.0,117.098,0.0,0.0,19.0,-18.0,0.02454258605485562,6.192762360244864,556674.8250957443,7522.129584100832,31595.72182529802,4.017827574417909
2,0 days 00:37:47.958000,11,0 days 00:02:25.389000,2.0,,,0 days 00:00:56.326000,0 days 00:00:42.781000,0 days 00:00:46.282000,0 days 00:36:18.935000,0 days 00:37:01.716000,0 days 00:37:47.998000,118.0,88.0,259.0,281.0,True,SOFT,5.0,False,Racing Point,0 days 00:35:22.569000,2020-09-13 13:15:22.841,4,7.0,False,0.0,False,False,145.389,56.326,42.781,46.282,2178.935,2221.716,2267.998,2267.958,2122.569,129.35427836107098,286.0,49.568107608335644,8486.665201528442,12311.0,30.239679696679584,30.25727073143228,0.2268041237113402,286.0,1.0,1261.0,41.41014992638666,0.196111111117716,3.430610626486915,7.0,0,28.29100000000001,262.487,0.03389830508474576,18,0.2777777777777778,-13.0,28.29100000000001,131.2435,20.00475794654862,0.0,19.0,-17.0,0.023579261137622674,9.673637228132478,428692.17741253227,3911.6319450339174,36995.3236112663,3.0500783087444265
3,0 days 00:40:05.151000,11,0 days 00:02:17.193000,3.0,,,0 days 00:00:53.834000,0 days 00:00:37.805000,0 days 00:00:45.554000,0 days 00:38:41.832000,0 days 00:39:19.637000,0 days 00:40:05.191000,196.0,220.0,258.0,271.0,True,SOFT,6.0,False,Racing Point,0 days 00:37:47.958000,2020-09-13 13:17:48.230,4,7.0,False,0.0,False,False,137.193,53.834,37.805,45.554,2321.832,2359.637,2405.191,2405.151,2267.958,137.20631235802742,275.0,53.292213738709286,8688.169761529261,12393.0,35.67143913631016,32.91851291893696,0.2936241610738255,350.0,1.0,1192.0,43.0706028145069,0.0158333333438349,3.6434563758389262,7.0,0,-8.195999999999998,399.68000000000006,0.05084745762711865,18,0.3333333333333333,-12.0,20.095000000000013,133.2266666666667,14.556579966919886,0.0,19.0,-16.0,0.02269086275513404,8.624786955548672,665353.4855868602,4894.346620396936,48022.209325309595,3.113329602854052
4,0 days 00:42:20.093000,11,0 days 00:02:14.942000,4.0,,,0 days 00:00:50.119000,0 days 00:00:38.756000,0 days 00:00:46.067000,0 days 00:40:55.310000,0 days 00:41:34.066000,0 days 00:42:20.133000,129.0,216.0,244.0,271.0,True,SOFT,7.0,False,Racing Point,0 days 00:40:05.151000,2020-09-13 13:20:05.423,4,7.0,False,0.0,False,False,134.942,50.119,38.756,46.067,2455.31,2494.066,2540.133,2540.093,2405.151,139.4091135014739,277.0,51.95045410471141,9096.378166376015,12305.0,34.99188285727404,32.87464747323523,0.18616567036720752,218.0,1.0,1171.0,42.634107872538884,0.0555555555874889,3.470538001707942,7.0,0,-2.2510000000000048,534.6220000000001,0.06779661016949153,18,0.3888888888888889,-11.0,17.84400000000001,133.65550000000002,11.91630279630949,0.0,19.0,-15.0,0.022917851395544395,8.339914488440295,396290.03656230716,4878.187368879996,30391.186743321312,3.194957346411361
5,0 days 00:44:32.695000,11,0 days 00:02:12.602000,5.0,,,0 days 00:00:51.430000,0 days 00:00:36.715000,0 days 00:00:44.457000,0 days 00:43:11.563000,0 days 00:43:48.278000,0 days 00:44:32.735000,211.0,233.0,236.0,264.0,True,SOFT,8.0,False,Racing Point,0 days 00:42:20.093000,2020-09-13 13:22:20.365,4,7.0,False,0.0,False,False,132.602,51.43,36.715,44.457,2591.563,2628.278,2672.735,2672.695,2540.093,142.168883231698,269.0,51.324086159399016,9297.2927317354,12594.0,35.45124573821536,29.292360669769778,0.21198957428323198,244.0,1.0,1151.0,45.40064229547226,0.0516666666590026,3.4552562988705473,7.0,0,-2.3400000000000034,667.224,0.0847457627118644,18,0.4444444444444444,-10.0,15.504000000000005,133.44480000000001,10.330570008474847,0.0,19.0,-14.0,0.021551425810706487,8.039456437871866,443958.68093719095,5040.064015774571,34689.20750853431,3.0639421395589332
6,0 days 00:46:50.055000,11,0 days 00:02:17.360000,6.0,,,0 days 00:00:51.703000,0 days 00:00:39.583000,0 days 00:00:46.074000,0 days 00:45:24.438000,0 days 00:46:04.021000,0 days 00:46:50.095000,136.0,130.0,235.0,255.0,False,SOFT,9.0,False,Racing Point,0 days 00:44:32.695000,2020-09-13 13:24:32.967,41,7.0,False,0.0,False,False,137.36,51.703,39.583,46.074,2724.438,2764.021,2810.095,2810.055,2672.695,136.8117810515898,262.0,47.46695382328489,8303.479912144101,12388.0,32.796593398471096,28.227157352337517,0.30427493713327747,363.0,1.0,1193.0,23.13487682768852,0.0011111110725323,3.983235540653814,7.0,0,4.75800000000001,804.5840000000001,0.1016949152542373,18,0.5,-9.0,20.262000000000015,137.49720000000002,4.818814657153753,2.0561000000000007,19.0,-13.0,0.04143381410808607,8.65673450336877,565101.8415394787,4486.9603552696435,49662.6765217271,5.668633903887743
7,0 days 00:48:59.480000,11,0 days 00:02:09.425000,7.0,,0 days 00:48:44.613000,0 days 00:00:46.124000,0 days 00:00:33.060000,0 days 00:00:50.241000,0 days 00:47:36.219000,0 days 00:48:09.279000,0 days 00:48:59.520000,139.0,210.0,0.0,283.0,False,SOFT,10.0,False,Racing Point,0 days 00:46:50.055000,2020-09-13 13:26:50.327,124,7.0,False,0.0,False,False,129.425,46.124,33.06,50.241,2856.219,2889.279,2939.52,2939.48,2810.055,145.27320578361548,316.0,55.85372095730173,8940.31447282112,12039.0,38.888500886505945,34.352654067928206,0.19715808170515098,222.0,1.0,1126.0,24.1364655964805,0.0533333333223708,3.791296625222025,8.0,1,-7.935000000000002,934.009,0.11864406779661017,18,0.5555555555555556,-8.0,12.327000000000012,134.3044,3.3464139463013116,-2.0649,19.0,-12.0,0.0397828404379976,7.697923853981238,482198.9798857158,5649.457191901691,32250.65168396264,5.779380765605965
8,0 days 01:15:20.341000,11,,8.0,0 days 00:49:02.228000,0 days 00:51:21.421000,0 days 00:00:51.944000,0 days 00:00:41.940000,,0 days 00:49:51.502000,0 days 00:50:33.400000,,118.0,174.0,0.0,0.0,False,SOFT,11.0,False,Racing Point,0 days 00:48:59.480000,2020-09-13 13:28:59.752,451,8.0,False,0.0,False,False,0.0,51.944,41.94,0.0,2991.502,3033.4,0.0,4520.341,2939.48,11.901809799081908,197.0,36.74738942277287,1721.2522786378665,11442.0,1.9828184489280678,8.298264274133968,0.02535211267605634,342.0,1.0,13490.0,72.49771640105348,0.2838888889746158,0.33876945885841364,5.0,1,0.0,0.0,0.13559322033898305,18,0.6111111111111112,-7.0,0.0,0.0,0.0,0.0,19.0,-11.0,0.013605864902568135,1045.5897436156552,24919.28338051702,23.599128045252467,4070.4189512860125,0.16193441622237006
9,0 days 01:18:36.935000,11,,9.0,0 days 01:15:22.970000,,0 days 00:00:53.921000,0 days 00:00:47.486000,0 days 00:01:35.309000,0 days 01:16:14.499000,0 days 01:17:03.558000,0 days 01:18:37.167000,62.0,234.0,159.0,283.0,False,SOFT,4.0,False,Racing Point,0 days 01:15:00.042000,2020-09-13 13:55:00.314,1,7.0,False,0.0,False,False,0.0,53.921,47.486,95.309,4574.499,4623.558,4717.167,4716.935,4500.042,88.17286068170739,251.0,63.39112482330112,7588.298301221777,12134.0,25.435683864489974,30.016061229022846,0.33531960996749727,619.0,1.0,1846.0,40.75322190096216,0.00222222226148,2.1007583965330445,6.0,0,0.0,0.0,0.15254237288135594,18,0.2222222222222222,-14.0,0.0,0.0,0.0,0.0,19.0,-10.0,0.023950247537111766,20.7013657057509,998073.5020975244,2242.737009727627,54579.00076197687,2.111761839382161
