Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
0,0 days 00:34:34.547000,10,0 days 00:01:31.557000,1.0,,,,0 days 00:00:34.309000,0 days 00:00:27.869000,,0 days 00:34:06.783000,0 days 00:34:34.778000,272.0,171.0,289.0,250.0,False,SOFT,5.0,False,AlphaTauri,0 days 00:33:02.841000,2021-05-02 14:03:02.851,1,9.0,False,,False,False,91.557,0.0,34.309,27.869,0.0,2046.783,2074.778,2074.547,1982.841,173.866771216787,292.0,68.09208178276623,10428.142938556222,12811.0,55.75032583113783,42.88172955874101,0.24310776942355888,194.0,1.0,798.0,10.299935458855465,0.012222222222249,3.9586466165413534,8.0,0,0.0,91.557,0.015151515151515152,18,0.2777777777777778,-13.0,0.0,91.557,0.0,0.0,9.666666666666666,-8.666666666666666,0.08849608067595874,4.563474206375654,736454.2147064821,9693.12914654377,33730.153616056676,15.386527812469241
1,0 days 00:36:28.102000,10,0 days 00:01:53.555000,2.0,,0 days 00:36:25.142000,0 days 00:00:25.269000,0 days 00:00:48.066000,0 days 00:00:40.220000,0 days 00:34:59.819000,0 days 00:35:47.885000,0 days 00:36:28.105000,276.0,149.0,0.0,297.0,False,SOFT,6.0,False,AlphaTauri,0 days 00:34:34.547000,2021-05-02 14:04:34.557,14,9.0,False,,False,False,113.555,25.269,48.066,40.22,2099.819,2147.885,2188.105,2188.102,2074.547,146.561820346573,301.0,65.78010255036557,9600.216256980662,12405.0,41.37949177705946,38.06007841320047,0.21796165489404642,216.0,1.0,991.0,29.171533502433064,0.0316666666685705,3.3592330978809284,8.0,1,21.998000000000005,205.11200000000002,0.030303030303030304,18,0.3333333333333333,-12.0,21.998000000000005,102.55600000000001,15.554934972541671,0.0,9.666666666666666,-7.666666666666666,0.03314382412545783,6.7158293227372425,587940.5979166277,6064.653639861883,31657.353194859767,4.857619197073761
2,0 days 00:38:49.196000,10,0 days 00:02:21.094000,3.0,0 days 00:36:46.690000,0 days 00:38:46.409000,0 days 00:00:49.981000,0 days 00:00:42.204000,0 days 00:00:48.909000,0 days 00:37:18.086000,0 days 00:38:00.290000,0 days 00:38:49.199000,183.0,160.0,0.0,297.0,False,SOFT,7.0,False,AlphaTauri,0 days 00:36:28.102000,2021-05-02 14:06:28.112,4,9.0,False,,False,False,141.094,49.981,42.204,48.909,2238.086,2280.29,2329.199,2329.196,2188.102,117.8452629861112,234.0,42.199881803780364,9337.358081473245,12609.0,43.79271890307458,36.13682803125479,0.24065040650406505,296.0,1.0,1230.0,25.272984004746135,0.046944444435212,2.439837398373984,6.0,1,27.538999999999987,141.094,0.045454545454545456,18,0.3888888888888889,-11.0,0.0,141.094,0.0,0.0,9.666666666666666,-6.666666666666666,0.03806191180337007,10.349592142715386,547022.0782264739,5160.764476009666,34882.19784388891,4.485416006222316
3,0 days 00:41:04.613000,10,0 days 00:02:15.417000,4.0,0 days 00:39:08.903000,,0 days 00:00:50.485000,0 days 00:00:42.519000,0 days 00:00:42.413000,0 days 00:39:39.684000,0 days 00:40:22.203000,0 days 00:41:04.616000,190.0,162.0,194.0,297.0,False,SOFT,8.0,False,AlphaTauri,0 days 00:38:49.196000,2021-05-02 14:08:49.206,4,9.0,False,,False,False,135.417,50.485,42.519,42.413,2379.684,2422.203,2464.616,2464.613,2329.196,122.99124463358577,236.0,49.52478998996047,9440.839135103059,12663.0,47.19701677755795,39.119157463726445,0.2305084745762712,272.0,1.0,1180.0,46.316994577959555,1.4711111111028004,2.5305084745762714,6.0,0,-5.6769999999999925,135.417,0.06060606060606061,18,0.4444444444444444,-10.0,52.101,135.417,0.0,0.0,9.666666666666666,-5.666666666666666,0.021134055721827354,9.516800992578881,635778.8775846459,5804.819836464081,33453.61854033533,2.599303817383101
4,0 days 00:43:04.270000,10,0 days 00:01:59.657000,5.0,,,0 days 00:00:34.671000,0 days 00:00:42.990000,0 days 00:00:41.996000,0 days 00:41:39.287000,0 days 00:42:22.277000,0 days 00:43:04.273000,117.0,150.0,246.0,253.0,True,SOFT,9.0,False,AlphaTauri,0 days 00:41:04.613000,2021-05-02 14:11:04.623,4,9.0,False,,False,False,119.657,34.671,42.99,41.996,2499.287,2542.277,2584.273,2584.27,2464.613,139.1205642012816,257.0,53.56238825590562,10007.02866172169,12838.0,46.082551873896236,37.96881389271417,0.2533589251439539,264.0,1.0,1042.0,40.7242797488561,0.0038888889030204,2.90978886756238,6.0,0,-15.760000000000005,255.074,0.07575757575757576,18,0.5,-9.0,36.340999999999994,127.537,11.144002871499998,0.0,9.666666666666666,-4.666666666666666,0.02396686068685022,7.436453071250689,651628.9653172308,6411.030616531271,36727.82894913835,3.3342831808881184
5,0 days 00:45:06.655000,10,0 days 00:02:02.385000,6.0,,,0 days 00:00:34.339000,0 days 00:00:43.635000,0 days 00:00:44.411000,0 days 00:43:38.612000,0 days 00:44:22.247000,0 days 00:45:06.658000,161.0,146.0,259.0,263.0,False,SOFT,10.0,False,AlphaTauri,0 days 00:43:04.270000,2021-05-02 14:13:04.280,41,9.0,False,,False,False,122.385,34.339,43.635,44.411,2618.612,2662.247,2706.658,2706.655,2584.27,135.85123786162356,265.0,50.55634857007811,9841.863718528844,12768.0,41.74207408032049,35.49521990823444,0.2861163227016886,305.0,1.0,1066.0,33.056924902447236,0.1050000000468571,2.907129455909944,6.0,0,2.7280000000000086,377.459,0.09090909090909091,18,0.5555555555555556,-8.0,39.069,125.81966666666666,8.422713418687202,0.0,9.666666666666666,-3.666666666666666,0.02936260401854845,7.789480143963919,643649.6884090251,5670.712434723131,41434.627547795186,3.9889461027604893
6,0 days 00:46:36.067000,10,0 days 00:01:29.412000,7.0,,,0 days 00:00:26.972000,0 days 00:00:34.705000,0 days 00:00:27.735000,0 days 00:45:33.630000,0 days 00:46:08.335000,0 days 00:46:36.070000,277.0,171.0,292.0,286.0,True,SOFT,11.0,False,AlphaTauri,0 days 00:45:06.655000,2021-05-02 14:15:06.665,1,9.0,False,,False,True,89.412,26.972,34.705,27.735,2733.63,2768.335,2796.07,2796.067,2706.655,186.75564336110196,316.0,69.46493411577895,10350.797324566875,12769.0,55.29050507239198,43.695725908916614,0.258974358974359,202.0,1.0,780.0,9.916203686581484,0.0422222223169228,4.42948717948718,8.0,0,-32.973,466.871,0.10606060606060606,18,0.6111111111111112,-7.0,6.096000000000004,116.71775,19.459555037307513,0.0,9.666666666666666,-2.666666666666666,0.09160693852105646,4.154335848642702,775831.7610005338,10325.813846554836,37724.63995894259,17.108112739840813
7,0 days 00:48:01.238000,10,0 days 00:01:25.171000,8.0,,,0 days 00:00:25.237000,0 days 00:00:32.828000,0 days 00:00:27.106000,0 days 00:47:01.307000,0 days 00:47:34.135000,0 days 00:48:01.241000,275.0,180.0,294.0,305.0,True,SOFT,12.0,False,AlphaTauri,0 days 00:46:36.067000,2021-05-02 14:16:36.077,1,9.0,False,,False,True,85.171,25.237,32.828,27.106,2821.307,2854.135,2881.241,2881.238,2796.067,195.2167153981733,308.0,70.42138944395033,10432.86205812859,12477.0,62.84685850464027,42.65872400109302,0.203778677462888,151.0,1.0,741.0,23.807243913354995,0.1102777778505696,4.728744939271255,8.0,0,-4.241,552.042,0.12121212121212122,18,0.6666666666666666,-6.0,1.855000000000004,110.4084,21.97828926008574,0.0,9.666666666666666,-1.666666666666666,0.04031080612956159,3.7764366735847337,668290.2278107012,12268.757290369627,29477.72402512417,7.869343167665565
8,0 days 00:49:25.662000,10,0 days 00:01:24.424000,9.0,,,0 days 00:00:24.771000,0 days 00:00:32.581000,0 days 00:00:27.072000,0 days 00:48:26.012000,0 days 00:48:58.593000,0 days 00:49:25.665000,277.0,179.0,296.0,302.0,True,SOFT,13.0,False,AlphaTauri,0 days 00:48:01.238000,2021-05-02 14:18:01.248,1,9.0,False,,False,True,84.424,24.771,32.581,27.072,2906.012,2938.593,2965.665,2965.662,2881.238,197.16904048746252,305.0,70.61082635190266,10421.681172287155,12646.0,64.18987574105282,42.592165103329904,0.20516304347826086,151.0,0.4782608695652174,352.0,32.807272421059224,0.0400000001245643,4.8084239130434785,8.0,0,-0.7469999999999999,636.466,0.13636363636363635,18,0.7222222222222222,-5.0,1.108000000000004,100.2098,19.117286384317218,-13.073699999999997,9.666666666666666,-0.6666666666666661,0.02957943449401378,1.7762613127365363,684407.5255947551,12656.256208872832,29772.52511360684,5.832148717346449
9,0 days 00:50:50.052000,10,0 days 00:01:24.390000,10.0,,,0 days 00:00:24.668000,0 days 00:00:32.679000,0 days 00:00:27.043000,0 days 00:49:50.333000,0 days 00:50:23.012000,0 days 00:50:50.055000,282.0,179.0,296.0,318.0,True,SOFT,14.0,False,AlphaTauri,0 days 00:49:25.662000,2021-05-02 14:19:25.672,1,9.0,False,,False,True,84.39,24.668,32.679,27.043,2990.333,3023.012,3050.055,3050.052,2965.662,194.8749218800091,321.0,70.79849497606091,10487.534531792266,12481.0,62.4198522027109,43.05080255849805,0.2116991643454039,152.0,1.7548746518105849,1260.0,25.674283441826475,0.002500000213331,4.6824512534818945,8.0,0,-0.034000000000006025,720.856,0.15151515151515152,18,0.7777777777777778,-4.0,1.073999999999998,93.1564,16.471208070448284,-10.767999999999999,9.666666666666666,0.3333333333333339,0.037489291968456594,6.43267646468731,671723.2020721739,12164.063821765001,29620.988125761385,7.305722843689832
