Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
0,0 days 01:03:15.044000,44,0 days 00:01:23.099000,1.0,,,,0 days 00:00:40.850000,0 days 00:00:16.994000,,0 days 01:02:58.122000,0 days 01:03:15.232000,318.0,238.0,313.0,237.0,False,MEDIUM,1.0,True,Mercedes,0 days 01:01:51.781000,2021-11-14 17:02:51.791,1,6.0,False,,False,False,83.099,0.0,40.85,16.994,0.0,3778.122,3795.232,3795.044,3711.781,185.50403884102735,320.0,75.15033261390793,9927.12935687501,12755.0,63.311188730808205,37.85676496087242,0.21517241379310345,156,1.0,725,22.561400660281254,0.0,4.726896551724138,8,0,0.0,83.099,0.014084507042253521,28,0.03571428571428571,-27.0,8.927000000000007,83.099,0.0,0.0,14.333333333333334,-13.333333333333334,0.04244229850416978,3.8873152801692235,742225.6750431332,11744.481213391458,28938.630059200266,7.8732177902199885
1,0 days 01:04:30.719000,44,0 days 00:01:15.675000,2.0,,,0 days 00:00:19.127000,0 days 00:00:39.451000,0 days 00:00:17.097000,0 days 01:03:34.210000,0 days 01:04:13.661000,0 days 01:04:30.758000,321.0,245.0,325.0,314.0,True,MEDIUM,2.0,True,Mercedes,0 days 01:03:15.044000,2021-11-14 17:04:15.054,1,6.0,False,,False,True,75.675,19.127,39.451,17.097,3814.21,3853.661,3870.758,3870.719,3795.044,203.21190845004253,323.2,74.066711571163,10007.75875113342,12328.0,64.68970832715654,40.81937282893784,0.19271623672230653,127,1.0,659,33.39047828967687,0.0738888888854489,5.298937784522003,8,0,-7.424000000000007,158.774,0.028169014084507043,28,0.07142857142857142,-26.0,1.5030000000000001,79.387,5.249560743528933,0.0,14.333333333333334,-12.333333333333334,0.02907781600409361,3.227040014472098,608501.9539728509,13145.719086238088,25807.912373155403,5.908958483751053
2,0 days 01:05:44.973000,44,0 days 00:01:14.254000,3.0,,,0 days 00:00:18.781000,0 days 00:00:38.688000,0 days 00:00:16.785000,0 days 01:04:49.539000,0 days 01:05:28.227000,0 days 01:05:45.012000,313.0,234.0,324.0,318.0,True,MEDIUM,3.0,True,Mercedes,0 days 01:04:30.719000,2021-11-14 17:05:30.729,1,4.0,False,,False,True,74.254,18.781,38.688,16.785,3889.539,3928.227,3945.012,3944.973,3870.719,206.1125648040973,328.0,74.63186978876826,9870.708690829893,11964.0,65.39184341706341,40.90795210433532,0.19135802469135801,124,2.2453703703703702,1455,51.23129925649047,0.226666666660094,5.546296296296297,8,0,-1.4209999999999923,233.02800000000002,0.04225352112676056,28,0.10714285714285714,-25.0,0.08200000000000784,77.676,4.749895472534107,0.0,14.333333333333334,-11.333333333333334,0.019145608365768077,7.025165283314649,605159.127350575,13478.080563958867,25557.958035708067,3.9461504450032403
3,0 days 01:06:59.280000,44,0 days 00:01:14.307000,4.0,,,0 days 00:00:18.913000,0 days 00:00:38.321000,0 days 00:00:17.073000,0 days 01:06:03.925000,0 days 01:06:42.246000,0 days 01:06:59.319000,299.0,249.0,308.0,304.0,False,MEDIUM,4.0,True,Mercedes,0 days 01:05:44.973000,2021-11-14 17:06:44.983,1,4.0,False,,False,True,74.307,18.913,38.321,17.073,3963.925,4002.246,4019.319,4019.28,3944.973,205.61408842782132,329.0,70.03359029096677,9786.289802175072,11878.0,64.69196803673331,41.963312104669086,0.1826625386996904,118,0.3281733746130031,212,74.84098312705416,0.048055555576866,5.639318885448916,8,0,0.05299999999999727,307.33500000000004,0.056338028169014086,28,0.14285714285714285,-24.0,0.13500000000000512,76.83375000000001,4.228302841172411,0.0,14.333333333333334,-10.333333333333334,0.013185483082738123,1.0260674942989678,534612.0725829061,13301.580036474674,24262.462434482914,2.711121084537658
4,0 days 01:08:13.452000,44,0 days 00:01:14.172000,5.0,,,0 days 00:00:19.046000,0 days 00:00:38.191000,0 days 00:00:16.935000,0 days 01:07:18.365000,0 days 01:07:56.556000,0 days 01:08:13.491000,302.0,254.0,305.0,300.0,True,MEDIUM,5.0,True,Mercedes,0 days 01:06:59.280000,2021-11-14 17:07:59.290,1,3.0,False,,False,True,74.172,19.046,38.191,16.935,4038.365,4076.556,4093.491,4093.452,4019.28,205.50575696836572,307.0,69.28368129208303,9885.7274020478,12089.0,66.05647895292678,41.23811508724251,0.19254658385093168,124,0.0,0,75.71373200871773,0.4355555555630417,5.546583850931677,8,0,-0.13500000000000512,381.507,0.07042253521126761,28,0.17857142857142858,-23.0,0.0,76.3014,3.850440403382452,0.0,14.333333333333334,-9.333333333333334,0.013035475837446681,0.0,567502.8683464194,13574.986709886136,25482.71386407735,2.6788653294173215
5,0 days 01:09:41.053000,44,0 days 00:01:27.601000,6.0,,,0 days 00:00:19.163000,0 days 00:00:49.061000,0 days 00:00:19.377000,0 days 01:08:32.654000,0 days 01:09:21.715000,0 days 01:09:41.092000,304.0,199.0,225.0,290.0,False,MEDIUM,6.0,True,Mercedes,0 days 01:08:13.452000,2021-11-14 17:09:13.462,14,3.0,False,,False,False,87.601,19.163,49.061,19.377,4112.654,4161.715,4181.092,4181.053,4093.452,174.184159078996,308.0,77.55710574740178,9082.001536759593,11937.0,48.74386972670132,40.6691886666643,0.1895424836601307,145,0.5450980392156862,417,79.02487019205554,0.7305555556013132,4.701960784313726,8,0,13.429000000000002,469.108,0.08450704225352113,28,0.21428571428571427,-22.0,13.429000000000002,77.2018,5.846442482399017,-1.922200000000001,14.333333333333334,-8.333333333333334,0.012496115240175357,2.3803522087402986,548162.8515450459,8490.4099586016,25256.70306645442,2.1766253248641707
6,0 days 01:11:40.670000,44,0 days 00:01:59.617000,7.0,,0 days 01:11:37.672000,0 days 00:00:25.212000,0 days 00:00:59.672000,0 days 00:00:34.733000,0 days 01:10:06.304000,0 days 01:11:05.976000,0 days 01:11:40.709000,153.0,174.0,0.0,226.0,False,MEDIUM,7.0,True,Mercedes,0 days 01:09:41.053000,2021-11-14 17:10:41.063,4,3.0,False,,False,False,119.617,25.212,59.672,34.733,4206.304,4265.976,4300.709,4300.67,4181.053,127.12877578818266,250.0,49.001354790241734,8340.207117270362,11806.0,28.69401758412055,28.605972721532673,0.1965484180249281,205,1.0,1043,21.10707563289568,0.119722222269047,3.364333652924257,7,1,32.016000000000005,588.725,0.09859154929577464,28,0.25,-21.0,45.44500000000001,85.9902,19.66762414985602,2.377,14.333333333333334,-7.333333333333334,0.04523438633882376,8.140247915302378,288239.37587936985,3647.8353279138323,26061.399036577448,5.750592158784359
7,0 days 01:13:52.407000,44,0 days 00:02:11.737000,8.0,0 days 01:11:57.067000,0 days 01:13:49.545000,0 days 00:00:39.007000,0 days 00:00:59.808000,0 days 00:00:32.922000,0 days 01:12:19.716000,0 days 01:13:19.524000,0 days 01:13:52.446000,173.0,200.0,0.0,226.0,False,MEDIUM,8.0,False,Mercedes,0 days 01:11:40.670000,2021-11-14 17:12:40.680,4,3.0,False,,False,False,131.737,39.007,59.808,32.922,4339.716,4399.524,4432.446,4432.407,4300.67,114.59868317989581,254.0,46.69253555783975,8480.813550152834,12098.0,30.54019438263053,29.8568706069951,0.22667829119442023,260,1.0,1147,16.368112413883836,1.248055555537576,2.6721883173496077,7,1,12.11999999999999,131.737,0.11267605633802817,28,0.2857142857142857,-20.0,0.0,131.737,0.0,0.0,14.333333333333334,-6.333333333333334,0.05757678072146824,9.922258354924573,370759.76916012156,3499.86606030751,29795.65762677291,6.598223252417871
8,0 days 01:16:20.034000,44,0 days 00:02:27.627000,9.0,0 days 01:14:08.533000,,0 days 00:00:44.815000,0 days 00:01:03.122000,0 days 00:00:39.690000,0 days 01:14:37.261000,0 days 01:15:40.383000,0 days 01:16:20.073000,69.0,105.0,218.0,226.0,False,MEDIUM,9.0,False,Mercedes,0 days 01:13:52.407000,2021-11-14 17:14:52.417,41,3.0,False,,False,False,147.627,44.815,63.122,39.69,4477.261,4540.383,4580.073,4580.034,4432.407,102.3706447545127,226.0,31.59523965792607,8228.268311868726,12853.0,27.487171883971882,26.1325421210497,0.296998420221169,376,1.0,1266,8.73814500311906,0.2988888888648944,2.31042654028436,5,0,15.890000000000015,147.627,0.1267605633802817,28,0.32142857142857145,-19.0,73.32700000000001,147.627,0.0,0.0,14.333333333333334,-5.333333333333334,0.1026889617765711,12.24719070879871,326542.3824804548,2813.879508240315,38491.362427696775,10.512335226239093
9,0 days 01:17:36.014000,44,0 days 00:01:15.980000,10.0,,,0 days 00:00:20.405000,0 days 00:00:38.642000,0 days 00:00:16.933000,0 days 01:16:40.478000,0 days 01:17:19.120000,0 days 01:17:36.053000,314.0,249.0,314.0,275.0,False,MEDIUM,10.0,False,Mercedes,0 days 01:16:20.034000,2021-11-14 17:17:20.044,1,3.0,False,,False,True,75.98,20.405,38.642,16.933,4600.478,4639.12,4656.053,4656.014,4580.034,201.9348607503435,315.0,69.78394391694901,9899.557567100503,12230.0,65.46734698702298,40.90483846177856,0.1903323262839879,126,1.0,662,22.584948623318414,0.0430555555722094,5.385196374622357,8,0,-71.647,223.60700000000003,0.14084507042253522,28,0.35714285714285715,-18.0,1.6800000000000068,111.80350000000001,50.662079551672576,0.0,14.333333333333334,-4.333333333333334,0.04239992276308378,3.2621305060760957,575639.7784872653,13220.139597518904,25443.79245454328,8.562022498988643
