Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
0,0 days 00:44:24.903000,1,0 days 00:01:44.415000,1.0,,,,0 days 00:00:29.745000,0 days 00:00:43.526000,,0 days 00:43:41.462000,0 days 00:44:25.051000,106.0,277.0,288.0,314.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:42:40.279000,2022-07-24 13:03:40.570,12,2.0,False,,False,False,104.415,0.0,29.745,43.526,0.0,2621.462,2665.051,2664.903,2560.279,200.64116357785255,321.0,73.33067179815292,10060.989573352605,12186.0,60.42804555547188,44.23586619663096,0.1654228855721393,133.0,1.0,804.0,43.82682606665816,0.0,5.052238805970149,8.0,0,0.0,104.415,0.018867924528301886,28,0.03571428571428571,-27.0,6.298000000000002,104.415,0.0,0.0,17.0,-16.0,0.02230807058507745,3.9872810974410986,589353.4804122748,12124.35337298536,26685.27475585439,4.475917239366806
1,0 days 00:46:03.233000,1,0 days 00:01:38.330000,2.0,,,0 days 00:00:25.101000,0 days 00:00:29.683000,0 days 00:00:43.546000,0 days 00:44:50.080000,0 days 00:45:19.763000,0 days 00:46:03.309000,109.0,276.0,288.0,312.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:44:24.903000,2022-07-24 13:05:25.194,1,2.0,False,,False,True,98.33,25.101,29.683,43.546,2690.08,2719.763,2763.309,2763.233,2664.903,211.54708679929843,319.0,68.84967636656368,10070.000803491284,11925.0,61.49086153696355,43.91808981491603,0.1882673942701228,138.0,1.0,733.0,79.49653104322257,37.90972222221899,5.472032742155525,8.0,0,-6.085000000000008,202.745,0.03773584905660377,28,0.07142857142857142,-26.0,0.21299999999999386,101.3725,4.302744763520147,0.0,17.0,-15.0,0.012422895583699755,3.4486475963424943,584240.3764523144,13008.21262292367,29193.49797830318,2.6280273703435535
2,0 days 00:47:41.350000,1,0 days 00:01:38.117000,3.0,,,0 days 00:00:24.930000,0 days 00:00:29.604000,0 days 00:00:43.583000,0 days 00:46:28.239000,0 days 00:46:57.843000,0 days 00:47:41.426000,107.0,277.0,298.0,331.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 00:46:03.233000,2022-07-24 13:07:03.524,1,2.0,False,,False,True,98.117,24.93,29.604,43.583,2788.239,2817.843,2861.426,2861.35,2763.233,210.87536862209166,337.0,72.42106542707153,10040.336718413671,11931.0,60.48251668627141,44.19718732717551,0.20772303595206393,156.0,2.348868175765646,1764.0,82.73115472138568,53.80944444443412,5.424766977363515,8.0,0,-0.21299999999999386,300.862,0.05660377358490566,28,0.10714285714285714,-25.0,0.0,100.28733333333334,3.5762503174880464,0.0,17.0,-14.0,0.01194298589727428,8.325649231772346,683312.4945083435,12754.273001409292,32896.5575050463,2.518481553536156
3,0 days 00:49:19.740000,1,0 days 00:01:38.390000,4.0,,,0 days 00:00:25.088000,0 days 00:00:29.607000,0 days 00:00:43.695000,0 days 00:48:06.514000,0 days 00:48:36.121000,0 days 00:49:19.816000,105.0,277.0,289.0,329.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:47:41.350000,2022-07-24 13:08:41.641,1,2.0,False,,False,True,98.39,25.088,29.607,43.695,2886.514,2916.121,2959.816,2959.74,2861.35,208.58256245565886,336.0,73.20217165299078,10039.474881620445,12122.0,61.406428239594824,43.92833544055276,0.2051983584131327,150.0,1.4254445964432285,1042.0,96.96181565618836,62.17944444443492,5.341997264021888,8.0,0,0.27299999999999613,399.252,0.07547169811320754,28,0.14285714285714285,-24.0,0.27299999999999613,99.813,3.0702354958537,0.0,17.0,-13.0,0.010208059061600588,4.971787670648672,674262.5850887821,12808.310153464221,31287.38436834883,2.129223116767359
4,0 days 00:50:58.460000,1,0 days 00:01:38.720000,5.0,,,0 days 00:00:25.082000,0 days 00:00:29.713000,0 days 00:00:43.925000,0 days 00:49:44.898000,0 days 00:50:14.611000,0 days 00:50:58.536000,107.0,276.0,298.0,334.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:49:19.740000,2022-07-24 13:10:20.031,1,2.0,False,,False,True,98.72,25.082,29.713,43.925,2984.898,3014.611,3058.536,3058.46,2959.74,207.89864608628264,338.0,72.90923188125156,10048.820524853025,11949.0,59.918326794406234,44.47147127678143,0.21203830369357046,155.0,2.3310533515731873,1704.0,98.1529122822712,71.9308333333247,5.292749658002736,8.0,0,0.3299999999999983,497.972,0.09433962264150944,28,0.17857142857142858,-23.0,0.6029999999999944,99.5944,2.70345876609946,0.0,17.0,-12.0,0.01008543245964549,8.157065792069265,677132.8732394457,12456.939016312488,32224.290143373808,2.096747753554945
5,0 days 00:52:37.094000,1,0 days 00:01:38.634000,6.0,,,0 days 00:00:25.036000,0 days 00:00:29.828000,0 days 00:00:43.770000,0 days 00:51:23.572000,0 days 00:51:53.400000,0 days 00:52:37.170000,106.0,278.0,298.0,333.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 00:50:58.460000,2022-07-24 13:11:58.751,1,2.0,False,,False,True,98.634,25.036,29.828,43.77,3083.572,3113.4,3157.17,3157.094,3058.46,209.49007450047648,338.0,74.66910898469133,10119.93608919814,11941.0,60.8004342739496,44.19388550354999,0.21368715083798884,153.0,2.6983240223463687,1932.0,93.97241113926927,69.28666666665231,5.2974860335195535,8.0,0,-0.08599999999999852,596.606,0.11320754716981132,28,0.21428571428571427,-22.0,0.5169999999999959,98.4382,0.2423575870485859,-1.1330000000000013,17.0,-11.0,0.010529373614971003,9.178580056969036,694606.88072707,12737.087505711024,32051.9813985729,2.2057992630436267
6,0 days 00:54:16.313000,1,0 days 00:01:39.219000,7.0,,,0 days 00:00:25.215000,0 days 00:00:30.021000,0 days 00:00:43.983000,0 days 00:53:02.385000,0 days 00:53:32.406000,0 days 00:54:16.389000,106.0,277.0,299.0,337.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 00:52:37.094000,2022-07-24 13:13:37.385,1,2.0,False,,False,True,99.219,25.215,30.021,43.983,3182.385,3212.406,3256.389,3256.313,3157.094,206.46983233569762,337.0,74.91605001242223,10043.14359810771,12010.0,59.73040003072637,44.297181013056175,0.21074380165289255,153.0,2.6198347107438016,1902.0,111.57649064822527,89.16249999990396,5.246556473829201,8.0,0,0.5849999999999937,695.825,0.1320754716981132,28,0.25,-21.0,1.1019999999999897,98.616,0.41073896820244093,0.12109999999999986,17.0,-10.0,0.008882849289775447,9.167597903691652,684639.1423024741,12332.525679688222,31589.884347361734,1.834040403523207
7,0 days 00:55:55.472000,1,0 days 00:01:39.159000,8.0,,,0 days 00:00:25.264000,0 days 00:00:29.965000,0 days 00:00:43.930000,0 days 00:54:41.653000,0 days 00:55:11.618000,0 days 00:55:55.548000,109.0,278.0,299.0,334.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 00:54:16.313000,2022-07-24 13:15:16.604,1,2.0,False,,False,True,99.159,25.264,29.965,43.93,3281.653,3311.618,3355.548,3355.472,3256.313,207.7868350200309,338.0,74.19651194481324,10073.923072509275,12057.0,59.68288003293253,43.6934417435213,0.21828103683492497,160.0,2.799454297407913,2052.0,132.4007730782286,104.12222222203854,5.257844474761255,8.0,0,-0.05999999999998806,794.984,0.1509433962264151,28,0.2857142857142857,-20.0,1.0420000000000016,98.8244,0.35479613864866216,0.2447999999999979,17.0,-9.0,0.007496208432117422,9.828205881865742,708521.8434022934,12401.316746923249,33245.893603204946,1.5576134247601472
8,0 days 00:57:34.602000,1,0 days 00:01:39.130000,9.0,,,0 days 00:00:25.135000,0 days 00:00:29.977000,0 days 00:00:44.018000,0 days 00:56:20.683000,0 days 00:56:50.660000,0 days 00:57:34.678000,109.0,278.0,299.0,329.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 00:55:55.472000,2022-07-24 13:16:55.763,1,2.0,True,TRACK LIMITS AT TURN 6 LAP 9 ,False,True,99.13,25.135,29.977,44.018,3380.683,3410.66,3454.678,3454.602,3355.472,207.35713552398173,335.0,73.7587229005393,10020.707590263151,11900.0,60.00928554490714,44.66059586007625,0.2236842105263158,170.0,2.6710526315789473,2030.0,144.28728033982964,120.99305555540924,5.307894736842106,8.0,0,-0.029000000000010573,894.114,0.16981132075471697,28,0.32142857142857145,-19.0,1.012999999999991,98.9724,0.273262328175683,0.20370000000000063,17.0,-8.0,0.006882914992014315,9.742886870156404,752455.4048742445,12443.353555432626,35250.713039076894,1.4272215367991579
9,0 days 00:59:13.645000,1,0 days 00:01:39.043000,10.0,,,0 days 00:00:25.203000,0 days 00:00:30.111000,0 days 00:00:43.729000,0 days 00:57:59.881000,0 days 00:58:29.992000,0 days 00:59:13.721000,106.0,277.0,299.0,326.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 00:57:34.602000,2022-07-24 13:18:34.893,1,2.0,False,,False,True,99.043,25.203,30.111,43.729,3479.881,3509.992,3553.721,3553.645,3454.602,209.4259040441849,336.0,73.80787516290204,10064.363746984287,12156.0,61.2680114759479,44.065692122659435,0.21159029649595687,157.0,2.7142857142857144,2014.0,154.9679795677238,128.75555555534083,5.322102425876011,8.0,0,-0.08699999999998909,993.157,0.18867924528301888,28,0.35714285714285715,-18.0,0.9260000000000019,99.03699999999999,0.23404166295766876,0.1344999999999999,17.0,-7.0,0.006411572444366916,9.57106497485739,709963.6935718739,12831.108692339885,32879.86693493703,1.3427493555063257
