Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
0,0 days 01:03:46.121000,1,0 days 00:01:37.167000,1.0,,,,0 days 00:00:38.051000,0 days 00:00:26.073000,,0 days 01:03:20.151000,0 days 01:03:46.213000,300.0,254.0,246.0,296.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:02:08.731000,2023-07-09 14:03:09.767,1,2.0,False,,False,False,97.167,0.0,38.051,26.073,0.0,3800.151,3826.213,3826.121,3728.731,210.6051666022741,304.0,75.45598415820348,10281.013912871991,12158.0,67.68250850799714,41.216500461689336,0.15405046480743692,116.0,1.0,753.0,15.859543027687632,0.0,5.2138114209827355,8.0,0,0.0,97.167,0.019230769230769232,28,0.03571428571428571,-27.0,5.028999999999996,97.167,0.0,0.0,30.5,-29.5,0.05931358865170587,3.5585142465604975,592417.8336129609,14254.285980386572,24430.199325863796,12.491748219771269
1,0 days 01:05:19.554000,1,0 days 00:01:33.433000,2.0,,,0 days 00:00:29.616000,0 days 00:00:38,0 days 00:00:25.817000,0 days 01:04:15.751000,0 days 01:04:53.751000,0 days 01:05:19.568000,290.0,255.0,244.0,291.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:03:46.121000,2023-07-09 14:04:47.157,1,2.0,False,,False,True,93.433,29.616,38.0,25.817,3855.751,3893.751,3919.568,3919.554,3826.121,224.79685722398614,299.0,65.56498334471374,10266.145405870877,11894.0,68.7039124182354,41.833926349570895,0.15921787709497207,114.0,1.0,716.0,59.31442721547222,0.0738888888945439,5.761173184357542,8.0,0,-3.7339999999999947,190.60000000000002,0.038461538461538464,28,0.07142857142857142,-26.0,1.2950000000000017,95.30000000000001,2.64033672095057,0.0,30.5,-28.5,0.01657978109329494,3.170991876515543,513521.07956968347,15444.423590611312,25626.84172353442,3.727082683234367
2,0 days 01:06:52.284000,1,0 days 00:01:32.730000,3.0,,,0 days 00:00:29.380000,0 days 00:00:37.690000,0 days 00:00:25.660000,0 days 01:05:48.948000,0 days 01:06:26.638000,0 days 01:06:52.298000,311.0,259.0,245.0,318.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:05:19.554000,2023-07-09 14:06:20.590,1,2.0,False,,False,True,92.73,29.38,37.69,25.66,3948.948,3986.638,4012.298,4012.284,3919.554,226.4809243439712,318.0,69.1332399802696,10317.899776233586,11878.0,69.23198754652921,41.47293710950754,0.1563380281690141,111.0,2.8380281690140845,2015.0,68.81849140880858,0.1905555555440514,5.725352112676056,8.0,0,-0.703000000000003,283.33000000000004,0.057692307692307696,28,0.10714285714285714,-25.0,0.5919999999999987,94.44333333333334,2.384810754196934,0.0,30.5,-27.5,0.014322853155687577,8.857885582323124,531271.7086395416,15679.724533708239,25139.3826021808,3.2438530219430874
3,0 days 01:08:25.064000,1,0 days 00:01:32.780000,4.0,,,0 days 00:00:29.407000,0 days 00:00:37.650000,0 days 00:00:25.723000,0 days 01:07:21.705000,0 days 01:07:59.355000,0 days 01:08:25.078000,313.0,259.0,245.0,316.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:06:52.284000,2023-07-09 14:07:53.320,1,2.0,False,,False,True,92.78,29.407,37.65,25.723,4041.705,4079.355,4105.078,4105.064,4012.284,223.77097973799616,316.0,70.9231372902903,10248.92345056054,11915.0,68.53809865321804,41.32826888353593,0.1634078212290503,117.0,2.952513966480447,2114.0,32.37866535637424,0.0163888888710062,5.671787709497207,8.0,0,0.04999999999999716,376.11,0.07692307692307693,28,0.14285714285714285,-24.0,0.6419999999999959,94.0275,2.117361014722497,0.0,30.5,-26.5,0.029959256588700977,9.405128733541046,568729.6267065244,15336.837485010037,26181.20462934555,6.704012199075634
4,0 days 01:09:57.646000,1,0 days 00:01:32.582000,5.0,,,0 days 00:00:29.338000,0 days 00:00:37.403000,0 days 00:00:25.841000,0 days 01:08:54.416000,0 days 01:09:31.819000,0 days 01:09:57.660000,320.0,254.0,244.0,288.0,True,MEDIUM,5.0,True,Red Bull Racing,0 days 01:08:25.064000,2023-07-09 14:09:26.100,1,1.0,False,,False,True,92.582,29.338,37.403,25.841,4134.416,4171.819,4197.66,4197.646,4105.064,227.13662678517576,321.0,68.35996608445376,10353.430392660386,11913.0,72.15973798136783,40.34793994471684,0.13748191027496381,95.0,1.5108538350217078,1044.0,30.24553375389726,0.1994444444826513,5.713458755426918,8.0,0,-0.1980000000000075,468.692,0.09615384615384616,28,0.17857142857142858,-23.0,0.4439999999999884,93.7384,1.9443012369486412,0.0,30.5,-25.5,0.032004574089737545,4.576205121955624,468619.5379015906,16390.119474790015,21577.979544591697,7.269411000439222
5,0 days 01:11:30.673000,1,0 days 00:01:33.027000,6.0,,,0 days 00:00:29.667000,0 days 00:00:37.543000,0 days 00:00:25.817000,0 days 01:10:27.327000,0 days 01:11:04.870000,0 days 01:11:30.687000,290.0,255.0,245.0,285.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:09:57.646000,2023-07-09 14:10:58.682,1,1.0,False,,False,True,93.027,29.667,37.543,25.817,4227.327,4264.87,4290.687,4290.673,4197.646,224.2848481591536,296.0,66.64501009788319,10362.26303705808,11933.0,71.37997662809636,40.29538465411722,0.14305555555555555,103.0,0.0,0.0,23.971923736962985,0.0341666668027755,5.604166666666667,7.0,0,0.4450000000000074,561.719,0.11538461538461539,28,0.21428571428571427,-22.0,0.8889999999999958,92.9104,0.33320459180510564,-0.9823000000000022,30.5,-24.5,0.04004497252727944,0.0,489983.2841061132,16009.447219636524,23101.33936039282,8.981480582818346
6,0 days 01:13:03.773000,1,0 days 00:01:33.100000,7.0,,,0 days 00:00:29.726000,0 days 00:00:37.612000,0 days 00:00:25.762000,0 days 01:12:00.413000,0 days 01:12:38.025000,0 days 01:13:03.787000,292.0,255.0,245.0,287.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:11:30.673000,2023-07-09 14:12:31.709,1,1.0,False,,False,True,93.1,29.726,37.612,25.762,4320.413,4358.025,4383.787,4383.773,4290.673,225.1489014101111,296.0,66.87998282403615,10367.84925525525,11937.0,71.16024542559911,40.8215386024007,0.15471167369901548,110.0,0.0,0.0,22.15094058299287,0.1769444446035777,5.621659634317862,7.0,0,0.07299999999999329,654.819,0.1346153846153846,28,0.25,-21.0,0.9619999999999891,92.8438,0.2149190545298486,-0.09600000000000222,30.5,-23.5,0.04319478927498174,0.0,523511.5591000092,16021.651081647526,24766.379155112223,9.72525935190339
7,0 days 01:14:36.657000,1,0 days 00:01:32.884000,8.0,,,0 days 00:00:29.625000,0 days 00:00:37.578000,0 days 00:00:25.681000,0 days 01:13:33.412000,0 days 01:14:10.990000,0 days 01:14:36.671000,293.0,256.0,245.0,287.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:13:03.773000,2023-07-09 14:14:04.809,1,1.0,False,,False,True,92.884,29.625,37.578,25.681,4413.412,4450.99,4476.671,4476.657,4383.773,223.5490430440726,297.0,67.61902784750862,10327.31136537741,11784.0,71.06188554568145,40.76660279841339,0.14432989690721648,98.0,0.0,0.0,15.764180748157509,0.0461111110998899,5.61561119293078,7.0,0,-0.21599999999999397,747.703,0.15384615384615385,28,0.2857142857142857,-20.0,0.7459999999999951,92.87460000000002,0.205355301855115,0.09869999999999807,30.5,-22.5,0.059650991302387775,0.0,470903.29052577063,15885.816510644501,21907.806218319114,13.334922022279084
8,0 days 01:16:09.479000,1,0 days 00:01:32.822000,9.0,,,0 days 00:00:29.780000,0 days 00:00:37.489000,0 days 00:00:25.553000,0 days 01:15:06.451000,0 days 01:15:43.940000,0 days 01:16:09.493000,291.0,257.0,246.0,288.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:14:36.657000,2023-07-09 14:15:37.693,1,1.0,False,,False,True,92.822,29.78,37.489,25.553,4506.451,4543.94,4569.493,4569.479,4476.657,225.81373296669062,296.0,66.58622934792547,10383.30056196312,11942.0,71.68462343101993,41.032234511491836,0.16,108.0,0.0,0.0,21.51256542640656,0.0130555555879254,5.657777777777778,7.0,0,-0.06199999999999761,840.525,0.17307692307692307,28,0.32142857142857145,-19.0,0.6839999999999975,92.883,0.20133802422792807,0.07259999999999991,30.5,-21.5,0.04441963770273068,0.0,515506.547861737,16187.372413270108,24387.883160402587,10.030564206681568
9,0 days 01:17:42.073000,1,0 days 00:01:32.594000,10.0,,,0 days 00:00:29.660000,0 days 00:00:37.373000,0 days 00:00:25.561000,0 days 01:16:39.153000,0 days 01:17:16.526000,0 days 01:17:42.087000,293.0,257.0,245.0,287.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:16:09.479000,2023-07-09 14:17:10.515,1,1.0,False,,False,True,92.594,29.66,37.373,25.561,4599.153,4636.526,4662.087,4662.073,4569.479,224.9801947340193,297.0,66.67605466037588,10341.896762230437,11889.0,70.94972619722266,41.03425736102602,0.14605067064083457,98.0,0.0,0.0,26.86264526789258,0.0113888889100053,5.65424739195231,7.0,0,-0.22800000000000864,933.119,0.19230769230769232,28,0.35714285714285715,-18.0,0.45599999999998886,92.8854,0.1968750873015811,0.03370000000000175,30.5,-20.5,0.035890346748675236,0.0,463603.4865623426,15962.283216176505,22048.05908393389,8.074617200588431
