Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
0,0 days 01:03:28.801000,1,0 days 00:01:23.080000,1.0,,,,0 days 00:00:25.105000,0 days 00:00:31.257000,,0 days 01:02:57.649000,0 days 01:03:28.914000,250.0,267.0,274.0,300.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:02:05.478000,2023-06-18 18:03:05.484,1,1.0,False,,False,False,83.08,0.0,25.105,31.257,0.0,3777.649,3808.914,3808.801,3725.478,187.00023770747327,301.0,72.84776415993879,9873.717278921375,11871.0,66.33565490531888,42.269731016186206,0.16719745222929935,105.0,1.0,628.0,0.961833878135731,0.0,4.697452229299363,8.0,0,0.0,83.08,0.014285714285714285,28,0.03571428571428571,-27.0,5.876999999999995,83.08,0.0,0.0,40.0,-39.0,0.5097271543451317,3.3404213082813357,507402.43511346437,12404.783235775545,19635.024959284692,95.31909902849354
1,0 days 01:04:46.876000,1,0 days 00:01:18.075000,2.0,,,0 days 00:00:21.686000,0 days 00:00:25.051000,0 days 00:00:31.338000,0 days 01:03:50.522000,0 days 01:04:15.573000,0 days 01:04:46.911000,243.0,270.0,275.0,301.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:03:28.801000,2023-06-18 18:04:28.807,1,1.0,False,,False,True,78.075,21.686,25.051,31.338,3830.522,3855.573,3886.911,3886.876,3808.801,198.7892480603662,303.0,67.502179441483,9866.257780173613,11968.0,65.53603818042625,42.97439558997178,0.18072289156626506,105.0,1.0,581.0,0.5651996010021478,0.5469392855848704,5.094664371772805,8.0,0,-5.0049999999999955,161.155,0.02857142857142857,28,0.07142857142857142,-26.0,0.8719999999999999,80.5775,3.5390694398386673,0.0,40.0,-38.0,0.638896150599407,2.908064401065523,464501.6679595963,13027.859750742382,20872.87104633845,127.0056853663186
2,0 days 01:06:04.643000,1,0 days 00:01:17.767000,3.0,,,0 days 00:00:21.626000,0 days 00:00:24.909000,0 days 00:00:31.232000,0 days 01:05:08.537000,0 days 01:05:33.446000,0 days 01:06:04.678000,246.0,271.0,276.0,300.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:04:46.876000,2023-06-18 18:05:46.882,1,1.0,False,,False,True,77.767,21.626,24.909,31.232,3908.537,3933.446,3964.678,3964.643,3886.876,198.6847865239361,302.0,67.71703969939662,9855.042200827256,11739.0,66.12059327810992,42.74183696447181,0.17152658662092624,100.0,0.010291595197255575,6.0,0.6012559320278817,0.5833182784616452,5.099485420240137,8.0,0,-0.30800000000000693,238.922,0.04285714285714286,28,0.10714285714285714,-25.0,0.563999999999993,79.64066666666666,2.982528513414972,0.0,40.0,-37.0,0.6245097863484996,0.030047356658694593,447749.08399614267,13137.155960297276,19868.478652393613,124.0805935827606
3,0 days 01:07:21.846000,1,0 days 00:01:17.203000,4.0,,,0 days 00:00:21.438000,0 days 00:00:24.716000,0 days 00:00:31.049000,0 days 01:06:26.116000,0 days 01:06:50.832000,0 days 01:07:21.881000,250.0,269.0,276.0,301.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 01:06:04.643000,2023-06-18 18:07:04.649,1,1.0,False,,False,True,77.203,21.438,24.716,31.049,3986.116,4010.832,4041.881,4041.846,3964.643,200.9151320611124,302.0,68.05450468839598,9891.785005711185,11684.0,68.02441331909874,42.492892898509076,0.17789291882556132,103.0,0.0,0.0,0.6375821912996151,0.6194745522699611,5.16580310880829,8.0,0,-0.563999999999993,316.125,0.05714285714285714,28,0.14285714285714285,-24.0,0.0,79.03125,2.723209916624127,0.0,40.0,-36.0,0.6106563721277292,0.0,476824.8787804491,13667.133985386416,20694.258602294576,122.69010565000251
4,0 days 01:08:39.217000,1,0 days 00:01:17.371000,5.0,,,0 days 00:00:21.493000,0 days 00:00:24.718000,0 days 00:00:31.160000,0 days 01:07:43.374000,0 days 01:08:08.092000,0 days 01:08:39.252000,250.0,268.0,275.0,302.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:07:21.846000,2023-06-18 18:08:21.852,1,1.0,False,,False,True,77.371,21.493,24.718,31.16,4063.374,4088.092,4119.252,4119.217,4041.846,199.89931158095627,304.0,68.1640605559988,9908.368776914294,11724.0,67.17438307419704,42.82832324292937,0.18416523235800344,107.0,0.0,0.0,0.6733220591441017,0.6553788141983855,5.1411359724612735,8.0,0,0.16799999999999216,393.496,0.07142857142857142,28,0.17857142857142858,-23.0,0.16799999999999216,78.69919999999999,2.4724866430377324,0.0,40.0,-35.0,0.5976135882123591,0.0,489940.0225779128,13428.112932407428,21389.22633916232,119.46254487507565
5,0 days 01:09:56.824000,1,0 days 00:01:17.607000,6.0,,,0 days 00:00:21.609000,0 days 00:00:24.763000,0 days 00:00:31.235000,0 days 01:09:00.861000,0 days 01:09:25.624000,0 days 01:09:56.859000,239.0,272.0,275.0,301.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:08:39.217000,2023-06-18 18:09:39.223,1,1.0,False,,False,True,77.607,21.609,24.763,31.235,4140.861,4165.624,4196.859,4196.824,4119.217,200.71323130615832,304.0,67.60578506670187,9948.954984197595,11920.0,67.14966478603645,42.93778846406448,0.17725752508361203,106.0,0.0,0.0,0.709439256640576,0.6912844709375701,5.138795986622074,8.0,0,0.2360000000000042,471.103,0.08571428571428572,28,0.21428571428571427,-22.0,0.40399999999999636,77.6046,0.3404068154429643,-1.2290000000000008,40.0,-34.0,0.5849871506784159,0.0,481208.81531154114,13477.826200330728,21275.602518452783,117.41466128524739
6,0 days 01:11:14.389000,1,0 days 00:01:17.565000,7.0,,,0 days 00:00:21.600000,0 days 00:00:24.770000,0 days 00:00:31.195000,0 days 01:10:18.459000,0 days 01:10:43.229000,0 days 01:11:14.424000,238.0,272.0,276.0,300.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:09:56.824000,2023-06-18 18:10:56.830,12,1.0,False,,False,True,77.565,21.6,24.77,31.195,4218.459,4243.229,4274.424,4274.389,4196.824,200.10873931233476,302.0,66.00027054549997,9974.533629489999,12174.0,67.16241887032304,42.91090873403447,0.1829059829059829,107.0,0.0,0.0,0.7449865564797301,0.7274212162049309,5.133333333333334,8.0,0,-0.04200000000000159,548.668,0.1,28,0.25,-21.0,0.36199999999999477,77.5026,0.21896301057489403,-0.1332000000000008,40.0,-33.0,0.5730703175257477,0.0,474302.9463046719,13439.786969307306,21411.63510641982,114.67637877739675
7,0 days 01:12:47.044000,1,0 days 00:01:32.655000,8.0,,,0 days 00:00:28.067000,0 days 00:00:33.169000,0 days 00:00:31.419000,0 days 01:11:42.491000,0 days 01:12:15.660000,0 days 01:12:47.079000,172.0,229.0,275.0,302.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:11:14.389000,2023-06-18 18:12:14.395,2671,1.0,False,,False,False,92.655,28.067,33.169,31.419,4302.491,4335.66,4367.079,4367.044,4274.389,168.0938336960791,303.0,70.9875646422188,9581.493923996011,12209.0,53.48057003521315,43.48571301636503,0.2510402219140083,181.0,0.5561719833564494,401.0,0.7846819818900871,0.7634370701360449,4.140083217753121,8.0,0,15.090000000000003,641.323,0.11428571428571428,28,0.2857142857142857,-20.0,15.451999999999998,80.4802,6.8078371895925995,0.0,40.0,-32.0,0.5603239177329168,2.371464359373019,687158.43146841,8989.754045470629,30424.983898990315,94.18699544333242
8,0 days 01:14:04.539000,1,0 days 00:01:17.495000,9.0,,,0 days 00:00:21.715000,0 days 00:00:24.787000,0 days 00:00:30.993000,0 days 01:13:08.794000,0 days 01:13:33.581000,0 days 01:14:04.574000,238.0,269.0,274.0,303.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:12:47.044000,2023-06-18 18:13:47.050,1,1.0,False,,False,True,77.495,21.715,24.787,30.993,4388.794,4413.581,4444.574,4444.539,4367.044,201.12415685368572,304.0,68.29767166115622,9903.430080887285,11901.0,67.27707220776117,42.92185744942305,0.18980667838312829,108.0,0.0,0.0,0.8246983796702863,0.8066148057171614,5.182776801405975,8.0,0,-15.159999999999997,718.818,0.12857142857142856,28,0.32142857142857145,-19.0,0.2920000000000016,80.5386,6.773863653779877,3.1098,40.0,-31.0,0.5480357801275052,0.0,496245.6779007136,13531.044423370497,21721.408940198056,110.22323420379638
9,0 days 01:15:21.898000,1,0 days 00:01:17.359000,10.0,,,0 days 00:00:21.577000,0 days 00:00:24.746000,0 days 00:00:31.036000,0 days 01:14:26.151000,0 days 01:14:50.897000,0 days 01:15:21.933000,239.0,269.0,276.0,302.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:14:04.539000,2023-06-18 18:15:04.545,1,1.0,False,,False,True,77.359,21.577,24.746,31.036,4466.151,4490.897,4521.933,4521.898,4444.539,200.9447503936039,303.0,67.67384548637008,9940.422663452176,12116.0,68.8847360257218,41.95976772087133,0.18090452261306533,108.0,0.0,0.0,0.8606443083474109,0.8425660292502932,5.190954773869347,8.0,0,-0.1360000000000099,796.177,0.14285714285714285,28,0.35714285714285715,-18.0,0.1559999999999917,80.53620000000001,6.775268496524699,1.529600000000002,40.0,-30.0,0.5374482352772633,0.0,503463.0580748016,13842.026086617963,21702.03304250922,107.99740148727255
