Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
0,0 days 01:03:34.672000,1,0 days 00:01:31.585000,1.0,,,,0 days 00:00:28.929000,0 days 00:00:30.478000,,0 days 01:03:06.412000,0 days 01:03:36.927000,266.0,258.0,274.0,205.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:02:04.960000,2023-08-27 13:03:05.334,1,1.0,False,0.0,False,False,91.585,0.0,28.929,30.478,0.0,3786.412,3816.927,3814.672,3724.96,161.6457730505683,279.0,57.73805893870508,9736.948677454897,12364.0,49.01173494093079,40.249694985459556,0.2359882005899705,160.0,1.0,678.0,2.4770853072428007,0.0,3.8805309734513274,7.0,0,0.0,91.585,0.01639344262295082,18,0.05555555555555555,-17.0,0.0,91.585,0.0,0.0,36.333333333333336,-35.333333333333336,0.2875972004244448,4.168568215967117,452774.79051322455,7922.539783076308,25863.323688090928,46.48887178978861
1,0 days 01:05:24.644000,1,0 days 00:01:49.972000,2.0,,0 days 01:05:25.519000,0 days 00:00:36.330000,0 days 00:00:36.685000,0 days 00:00:36.957000,0 days 01:04:13.152000,0 days 01:04:49.837000,0 days 01:05:26.794000,211.0,211.0,0.0,207.0,False,SOFT,2.0,True,Red Bull Racing,0 days 01:03:34.672000,2023-08-27 13:04:35.046,1,2.0,False,0.0,False,False,109.972,36.33,36.685,36.957,3853.152,3889.837,3926.794,3924.644,3814.672,171.5071998480634,307.0,64.36124202179181,9677.12036279517,12619.0,51.15617694093848,42.51613664233358,0.23830168934070864,1594.0,0.900134549259979,6021.0,128.14004529801625,0.0008333333280461,4.203468380923905,8.0,1,18.387,201.557,0.03278688524590164,18,0.1111111111111111,-16.0,18.387,100.7785,13.001572385677049,0.0,36.333333333333336,-34.333333333333336,0.007743531432812353,34.90289104050745,5248205.285498522,8773.652662072429,273382.47655781306,1.328071392977109
11,0 days 01:20:01.927000,1,0 days 00:01:38.034000,12.0,0 days 01:18:43.770000,,0 days 00:00:46.130000,0 days 00:00:27.928000,0 days 00:00:23.976000,0 days 01:19:12.173000,0 days 01:19:40.101000,0 days 01:20:04.077000,281.0,261.0,291.0,285.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:18:23.893000,2023-08-27 13:19:24.267,1,2.0,False,0.0,False,False,98.034,46.13,27.928,23.976,4752.173,4780.101,4804.077,4801.927,4703.893,151.8338609332239,286.0,78.07347555596107,9234.731458693745,12134.0,52.33120828193832,40.36570332776986,0.23601637107776263,173.0,0.0,0.0,762.5395889058642,128.4066666665458,3.630286493860846,7.0,0,-11.937999999999988,98.034,0.19672131147540983,18,0.05555555555555555,-17.0,22.963000000000008,98.034,0.0,0.0,36.333333333333336,-24.333333333333336,0.0013096897849566365,0.0,706822.5207361907,7945.6494007473975,26267.257941447733,0.19885525667476986
12,0 days 01:21:20.702000,1,0 days 00:01:18.775000,13.0,,,0 days 00:00:27.130000,0 days 00:00:28.012000,0 days 00:00:23.633000,0 days 01:20:31.207000,0 days 01:20:59.219000,0 days 01:21:22.852000,282.0,262.0,291.0,283.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:20:01.927000,2023-08-27 13:21:02.301,1,1.0,False,0.0,False,True,78.775,27.13,28.012,23.633,4831.207,4859.219,4882.852,4880.702,4801.927,195.35560515362008,298.0,58.971840080092555,10174.745473768364,11956.0,60.4901954346333,43.10094704078727,0.21649484536082475,126.0,0.0,0.0,4.9423379151857505,3.4027929076182994,4.828178694158075,8.0,0,-19.259,176.80900000000003,0.21311475409836064,18,0.1111111111111111,-16.0,3.7040000000000077,88.40450000000001,13.618169498871724,0.0,36.333333333333336,-23.333333333333336,0.1682839337433979,0.0,449469.4845796772,11817.098734993535,24614.80624935613,32.8752097140732
13,0 days 01:22:38.252000,1,0 days 00:01:17.550000,14.0,,,0 days 00:00:26.683000,0 days 00:00:27.606000,0 days 00:00:23.261000,0 days 01:21:49.535000,0 days 01:22:17.141000,0 days 01:22:40.402000,283.0,263.0,292.0,274.0,True,SOFT,3.0,True,Red Bull Racing,0 days 01:21:20.702000,2023-08-27 13:22:21.076,1,1.0,False,0.0,False,True,77.55,26.683,27.606,23.261,4909.535,4937.141,4960.402,4958.252,4880.702,195.3881936558828,297.0,58.65270806184787,10120.861006166988,11850.0,59.627615313931834,43.49558933322069,0.23011844331641285,136.0,0.0,0.0,3.3229017858920877,3.2419418777157265,4.844331641285956,7.0,0,-1.2250000000000085,254.359,0.22950819672131148,18,0.16666666666666666,-15.0,2.478999999999999,84.78633333333333,11.489154030359831,0.0,36.333333333333336,-22.333333333333336,0.23132609749856645,0.0,475635.671426781,11650.532048196996,26572.79433720006,45.198388335709524
14,0 days 01:23:55.182000,1,0 days 00:01:16.930000,15.0,,,0 days 00:00:26.612000,0 days 00:00:27.153000,0 days 00:00:23.165000,0 days 01:23:07.014000,0 days 01:23:34.167000,0 days 01:23:57.332000,283.0,263.0,292.0,289.0,True,SOFT,4.0,True,Red Bull Racing,0 days 01:22:38.252000,2023-08-27 13:23:38.626,1,1.0,False,0.0,False,True,76.93,26.612,27.153,23.165,4987.014,5014.167,5037.332,5035.182,4958.252,198.89391235700683,300.0,59.01371610888331,10092.716994587981,12049.0,60.974712556621355,43.23786607159155,0.21415929203539824,121.0,0.0,0.0,3.1625192137367244,3.082199163562276,4.978761061946902,8.0,0,-0.6199999999999903,331.289,0.2459016393442623,18,0.2222222222222222,-14.0,1.8590000000000089,82.82225,10.170099979023485,0.0,36.333333333333336,-21.333333333333336,0.2402391313173766,0.0,435399.669573103,12127.499135230331,24066.163395197826,47.78210072896175
15,0 days 01:25:22.097000,1,0 days 00:01:26.915000,16.0,,,0 days 00:00:26.101000,0 days 00:00:28.078000,0 days 00:00:32.736000,0 days 01:24:23.433000,0 days 01:24:51.511000,0 days 01:25:24.247000,283.0,261.0,172.0,289.0,False,SOFT,5.0,True,Red Bull Racing,0 days 01:23:55.182000,2023-08-27 13:24:55.556,124,1.0,False,0.0,False,False,86.915,26.101,28.078,32.736,5063.433,5091.511,5124.247,5122.097,5035.182,176.7515030221103,300.0,59.19756194290578,9757.072997287194,11807.0,48.78838135247536,41.46471147718292,0.21003134796238246,134.0,0.20219435736677116,129.0,2.993033938100124,2.901850913072688,4.398119122257054,8.0,0,9.985,418.204,0.26229508196721313,18,0.2777777777777778,-13.0,11.844000000000008,83.6408,8.995739030229817,0.0,36.333333333333336,-20.333333333333336,0.2504361384105334,0.7257322599626842,387012.5324457741,8623.41973406592,23684.701404962783,44.264963875115036
16,0 days 01:27:24.314000,1,0 days 00:02:02.217000,17.0,,,0 days 00:00:39.497000,0 days 00:00:45.949000,0 days 00:00:36.771000,0 days 01:26:03.744000,0 days 01:26:49.693000,0 days 01:27:26.464000,126.0,144.0,215.0,209.0,False,SOFT,6.0,True,Red Bull Racing,0 days 01:25:22.097000,2023-08-27 13:26:22.471,4,1.0,False,0.0,False,False,122.217,39.497,45.949,36.771,5163.744,5209.693,5246.464,5244.314,5122.097,124.07810073007414,220.0,37.05931629421805,9282.15094600588,12196.0,30.694621666033534,33.9045456062416,0.296137339055794,276.0,1.0,932.0,40.257030985309555,2.774444444672554,2.6909871244635193,5.0,0,35.30199999999999,540.421,0.2786885245901639,18,0.3333333333333333,-12.0,47.146,88.47740000000002,19.28528444954857,-2.4083,36.333333333333336,-19.333333333333336,0.02423829287076114,7.451344356525772,313955.987227399,3808.5303589496248,34245.555801500464,3.0074413443433383
17,0 days 01:29:32.629000,1,0 days 00:02:08.315000,18.0,,,0 days 00:00:44.318000,0 days 00:00:45.019000,0 days 00:00:38.978000,0 days 01:28:10.782000,0 days 01:28:55.801000,0 days 01:29:34.779000,116.0,139.0,163.0,198.0,False,SOFT,7.0,True,Red Bull Racing,0 days 01:27:24.314000,2023-08-27 13:28:24.688,4,1.0,False,0.0,False,False,128.315,44.318,45.019,38.978,5290.782,5335.801,5374.779,5372.629,5244.314,119.73505211656533,217.0,34.09308111436475,9227.110663048403,12082.0,27.79983115275084,31.791069516418407,0.25638406537282943,251.0,1.0,979.0,120.98848285492338,1.3941666670580162,2.5280898876404496,5.0,0,6.097999999999999,668.736,0.29508196721311475,18,0.3888888888888889,-11.0,53.244,98.3854,24.948668667886857,9.6249,36.333333333333336,-18.333333333333336,0.008197495178206822,8.108664243212575,237893.25651255102,3328.6142319063383,30053.498081257898,0.9815275123878868
18,0 days 01:31:32.474000,1,0 days 00:01:59.845000,19.0,,,0 days 00:00:42.928000,0 days 00:00:42.767000,0 days 00:00:34.150000,0 days 01:30:17.707000,0 days 01:31:00.474000,0 days 01:31:34.624000,168.0,241.0,209.0,116.0,False,SOFT,8.0,True,Red Bull Racing,0 days 01:29:32.629000,2023-08-27 13:30:33.003,4,1.0,False,0.0,False,False,119.845,42.928,42.767,34.15,5417.707,5460.474,5494.624,5492.474,5372.629,126.53243803281589,243.0,42.44528520797827,9380.982404997458,12061.0,32.2300425830799,35.606384514955906,0.26519337016574585,240.0,1.0,905.0,132.38320304493797,2.973888889187947,2.6861878453038672,6.0,0,-8.469999999999999,788.581,0.3114754098360656,18,0.4444444444444444,-10.0,44.774,106.8444,23.229137990894085,14.681700000000001,36.333333333333336,-17.333333333333336,0.007497195877528081,7.096233820662401,328323.2039289867,4078.145865938575,30367.785127875813,0.9486384727932047
