Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
0,0 days 01:03:44.135000,1,0 days 00:01:25.653000,1.0,,,,0 days 00:00:32.464000,0 days 00:00:21.265000,,0 days 01:03:22.974000,0 days 01:03:44.256000,275.0,279.0,244.0,308.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:02:18.241000,2023-10-29 20:03:18.322,12,1.0,False,,False,False,85.653,0.0,32.464,21.265,0.0,3802.974,3824.256,3824.135,3738.241,168.09977491491765,312.0,75.47248137063515,9305.854163551878,11917.0,53.434577906234075,42.917662438613014,0.24205748865355523,160.0,1.0,661.0,0.9385740400213425,0.0,4.3252647503782145,8.0,0,0.0,85.653,0.014084507042253521,28,0.03571428571428571,-27.0,2.4350000000000023,85.653,0.0,0.0,10.0,-9.0,0.5158430781364381,3.908934830531746,645254.4296921606,8982.340518711579,26895.96398638682,86.71310532615354
1,0 days 01:05:07.994000,1,0 days 00:01:23.859000,2.0,,,0 days 00:00:29.750000,0 days 00:00:32.647000,0 days 00:00:21.462000,0 days 01:04:13.910000,0 days 01:04:46.557000,0 days 01:05:08.019000,275.0,278.0,243.0,315.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:03:44.135000,2023-10-29 20:04:44.216,1,1.0,False,,False,True,83.859,29.75,32.647,21.462,3853.91,3886.557,3908.019,3907.994,3824.135,180.78195802487662,318.0,78.0497660091629,9357.88460461374,11929.0,52.444562845025025,43.76526049504303,0.23174603174603176,146.0,1.0,630.0,0.8235514162192925,0.5886423392144962,4.7365079365079366,8.0,0,-1.7940000000000111,169.512,0.028169014084507043,28,0.07142857142857142,-26.0,0.6409999999999911,84.756,1.2685495654486743,0.0,10.0,-8.0,0.5483804794894493,3.465690472504347,597619.7353420281,9481.030758882318,26394.165871631987,99.13729682472334
2,0 days 01:06:31.567000,1,0 days 00:01:23.573000,3.0,,,0 days 00:00:29.517000,0 days 00:00:32.562000,0 days 00:00:21.494000,0 days 01:05:37.536000,0 days 01:06:10.098000,0 days 01:06:31.592000,269.0,278.0,244.0,316.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:05:07.994000,2023-10-29 20:06:08.075,1,1.0,False,,False,True,83.573,29.517,32.562,21.494,3937.536,3970.098,3991.592,3991.567,3907.994,182.62748857116978,319.0,77.70239642883439,9407.626367466908,11968.0,53.468225965387305,43.575050775481564,0.22479338842975208,136.0,0.19834710743801653,120.0,1.2955679546076455,1.0614099158583044,4.770247933884297,8.0,0,-0.28600000000000136,253.08499999999998,0.04225352112676056,28,0.10714285714285714,-25.0,0.35499999999998977,84.36166666666666,1.1274330726625634,0.0,10.0,-7.0,0.4356220420279034,0.6534969297556491,565026.8634820268,9764.767826414492,24837.33844567909,79.55655950180056
3,0 days 01:07:55.275000,1,0 days 00:01:23.708000,4.0,,,0 days 00:00:29.481000,0 days 00:00:32.702000,0 days 00:00:21.525000,0 days 01:07:01.073000,0 days 01:07:33.775000,0 days 01:07:55.300000,270.0,279.0,244.0,318.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:06:31.567000,2023-10-29 20:07:31.648,1,1.0,False,,False,True,83.708,29.481,32.702,21.525,4021.073,4053.775,4075.3,4075.275,3991.567,183.0005410314375,321.0,77.72286342570837,9389.367380388892,11886.0,53.345150703229294,43.61002077801156,0.23015873015873015,145.0,0.0,0.0,1.7700810992047638,1.5323803680476804,4.807936507936508,8.0,0,0.13500000000000512,336.793,0.056338028169014086,28,0.14285714285714285,-24.0,0.4899999999999949,84.19825,0.9768436841856246,0.0,10.0,-6.0,0.3610002610707248,0.0,601189.9900669835,9762.19144009453,26535.078449558438,66.06324308843283
4,0 days 01:09:40.094000,1,0 days 00:01:44.819000,5.0,,,0 days 00:00:38.250000,0 days 00:00:41.404000,0 days 00:00:25.165000,0 days 01:08:33.550000,0 days 01:09:14.954000,0 days 01:09:40.119000,221.0,240.0,244.0,291.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:07:55.275000,2023-10-29 20:08:55.356,167,1.0,False,,False,False,104.819,38.25,41.404,25.165,4113.55,4154.954,4180.119,4180.094,4075.275,144.76422937977455,320.0,73.22338215022377,9079.25158934496,11874.0,35.684351721253954,37.6585395182477,0.23067010309278352,179.0,0.8878865979381443,689.0,2.2970943047262393,2.0034634925940398,3.454896907216495,8.0,0,21.111000000000004,441.61199999999997,0.07042253521126761,28,0.17857142857142858,-23.0,21.601,88.32239999999999,9.260601157592308,0.0,10.0,-5.0,0.30329736051727246,4.726811254940177,467714.27719343884,5165.81767784416,25912.797058979642,43.90660866820261
5,0 days 01:11:03.433000,1,0 days 00:01:23.339000,6.0,,,0 days 00:00:29.470000,0 days 00:00:32.504000,0 days 00:00:21.365000,0 days 01:10:09.589000,0 days 01:10:42.093000,0 days 01:11:03.458000,276.0,279.0,244.0,317.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 01:09:40.094000,2023-10-29 20:10:40.175,1,1.0,False,,False,True,83.339,29.47,32.504,21.365,4209.589,4242.093,4263.458,4263.433,4180.094,182.6828224348679,320.0,78.35318242978025,9393.06864091017,11810.0,52.835462375881086,43.96630148276702,0.2288961038961039,141.0,0.0,0.0,2.8284879409575168,2.5947623873418677,4.811688311688312,8.0,0,-21.480000000000004,524.951,0.08450704225352113,28,0.21428571428571427,-22.0,0.12099999999999511,87.8596,9.482518062202677,3.8181,10.0,-4.0,0.2611997256937675,0.0,583715.5537441873,9652.131391477227,25758.277963316374,47.716703108950725
6,0 days 01:12:26.886000,1,0 days 00:01:23.453000,7.0,,,0 days 00:00:29.454000,0 days 00:00:32.574000,0 days 00:00:21.425000,0 days 01:11:32.912000,0 days 01:12:05.486000,0 days 01:12:26.911000,278.0,278.0,243.0,319.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:11:03.433000,2023-10-29 20:12:03.514,1,1.0,False,,False,True,83.453,29.454,32.574,21.425,4292.912,4325.486,4346.911,4346.886,4263.433,181.49022728420712,322.0,78.52395784164338,9354.547859642893,12002.0,54.22043757075403,43.37848138213253,0.2280130293159609,140.0,0.0,0.0,3.2968076134676907,3.0638230441620347,4.749185667752443,8.0,0,0.11400000000000432,608.404,0.09859154929577464,28,0.25,-21.0,0.23499999999999943,87.7784,9.52697422060121,2.0206000000000017,10.0,-3.0,0.23273092257276123,0.0,596064.4695545884,9840.479538165311,25408.631819788996,42.23838803379365
7,0 days 01:13:50.243000,1,0 days 00:01:23.357000,8.0,,,0 days 00:00:29.381000,0 days 00:00:32.474000,0 days 00:00:21.502000,0 days 01:12:56.292000,0 days 01:13:28.766000,0 days 01:13:50.268000,279.0,277.0,243.0,320.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:12:26.886000,2023-10-29 20:13:26.967,12,1.0,False,,False,True,83.357,29.381,32.474,21.502,4376.292,4408.766,4430.268,4430.243,4346.886,182.77777731433346,322.0,79.02808113377469,9372.77312333895,11956.0,53.74431635183886,43.28368836241079,0.22770700636942676,143.0,0.0,0.0,3.7642487505574302,3.5350244743226744,4.777070063694268,8.0,0,-0.09600000000000364,691.761,0.11267605633802817,28,0.2857142857142857,-20.0,0.1389999999999958,87.7352,9.551269664290713,-0.060899999999998046,10.0,-2.0,0.2098966809579364,0.0,607365.3576179297,9823.266686067494,26137.222155949687,38.3644488111474
8,0 days 01:15:13.461000,1,0 days 00:01:23.218000,9.0,,,0 days 00:00:29.260000,0 days 00:00:32.328000,0 days 00:00:21.630000,0 days 01:14:19.528000,0 days 01:14:51.856000,0 days 01:15:13.486000,279.0,279.0,243.0,321.0,True,MEDIUM,9.0,True,Red Bull Racing,0 days 01:13:50.243000,2023-10-29 20:14:50.324,1,1.0,False,,False,True,83.218,29.26,32.328,21.63,4459.528,4491.856,4513.486,4513.461,4430.243,184.9427865337331,322.0,79.61921984395367,9441.572310294672,11809.0,54.99346551151121,43.22519751542492,0.20985691573926868,132.0,0.0,0.0,4.233323659169111,4.003623173758107,4.794912559618442,8.0,0,-0.1389999999999958,774.979,0.1267605633802817,28,0.32142857142857145,-19.0,0.0,87.63719999999999,9.60528168249115,-2.2068,10.0,-1.0,0.19108315577767437,0.0,577966.8603115302,10170.644752845632,24412.44782245277,35.3394512891825
9,0 days 01:16:36.737000,1,0 days 00:01:23.276000,10.0,,,0 days 00:00:29.329000,0 days 00:00:32.415000,0 days 00:00:21.532000,0 days 01:15:42.815000,0 days 01:16:15.230000,0 days 01:16:36.762000,279.0,279.0,243.0,322.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:15:13.461000,2023-10-29 20:16:13.542,1,1.0,False,,False,True,83.276,29.329,32.415,21.532,4542.815,4575.23,4596.762,4596.737,4513.461,186.02999313997617,322.0,79.15255219016765,9479.192870302932,11716.0,55.16911300386963,43.319036626786215,0.2260061919504644,146.0,0.0,0.0,4.703729031809724,4.473128885306704,4.842105263157895,8.0,0,0.057999999999992724,858.255,0.14084507042253522,28,0.35714285714285715,-18.0,0.057999999999992724,83.3286,0.08858498744167614,-4.3184,10.0,0.0,0.1753238967740219,0.0,637549.310063311,10263.109713648439,27160.37899843652,32.61550331414519
