Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
0,0 days 01:03:27.435000,1,0 days 00:01:24.238000,1.0,,,,0 days 00:00:37.420000,0 days 00:00:21.053000,,0 days 01:03:06.559000,0 days 01:03:27.543000,178.0,182.0,255.0,271.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:02:02.950000,2023-05-28 13:03:03.927,12,1.0,False,,False,False,84.238,0.0,37.42,21.053,0.0,3786.559,3807.543,3807.435,3722.95,141.34288418158184,271.0,62.71561970021294,9306.658316546685,12611.0,45.14537081659978,41.76798407962424,0.26993865030674846,176.0,1.0,652.0,2.1719927891838933,0.0,3.3052147239263805,7.0,0,0.0,84.238,0.017857142857142856,28,0.03571428571428571,-27.0,7.634,84.238,0.0,0.0,36.333333333333336,-35.333333333333336,0.3152592286495346,4.580488893060973,498312.3036951776,6380.9769186652275,24876.347615958402,44.559648642186
1,0 days 01:04:46.802000,1,0 days 00:01:19.367000,2.0,,,0 days 00:00:20.954000,0 days 00:00:37.366000,0 days 00:00:21.047000,0 days 01:03:48.412000,0 days 01:04:25.778000,0 days 01:04:46.825000,186.0,182.0,256.0,259.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:03:27.435000,2023-05-28 13:04:28.412,1,1.0,False,,False,True,79.367,20.954,37.366,21.047,3828.412,3865.778,3886.825,3886.802,3807.435,148.7522801050546,265.0,61.44475375018635,9236.86322016095,11840.0,44.27893029414442,42.032470979800664,0.23747980613893377,147.0,1.0,619.0,1.1491200035784157,1.082481770373797,3.5492730210016155,6.0,0,-4.870999999999995,163.60500000000002,0.03571428571428571,28,0.07142857142857142,-26.0,2.7630000000000052,81.80250000000001,3.4443171311596745,0.0,36.333333333333336,-34.333333333333336,0.46530672942178153,4.133492989661042,399944.07133206946,6586.59184186676,21866.585175443026,69.2154369497157
2,0 days 01:06:05.876000,1,0 days 00:01:19.074000,3.0,,,0 days 00:00:20.854000,0 days 00:00:37.288000,0 days 00:00:20.932000,0 days 01:05:07.679000,0 days 01:05:44.967000,0 days 01:06:05.899000,193.0,183.0,255.0,260.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:04:46.802000,2023-05-28 13:05:47.779,1,1.0,False,,False,True,79.074,20.854,37.288,20.932,3907.679,3944.967,3965.899,3965.876,3886.802,150.547932873595,264.0,62.237488823915136,9247.53914580765,11754.0,44.41749395517798,42.93107051647284,0.26677577741407527,163.0,0.09983633387888707,61.0,1.283628134323778,1.217438367785773,3.6546644844517187,7.0,0,-0.29300000000000637,242.679,0.05357142857142857,28,0.10714285714285714,-25.0,2.469999999999999,80.893,2.900557015471342,0.0,36.333333333333336,-33.333333333333336,0.4378996671873275,0.4025129135273633,450602.62523033837,6686.961898377446,24539.313058395983,65.92488970108737
3,0 days 01:07:24.005000,1,0 days 00:01:18.129000,4.0,,,0 days 00:00:20.835000,0 days 00:00:36.637000,0 days 00:00:20.657000,0 days 01:06:26.734000,0 days 01:07:03.371000,0 days 01:07:24.028000,192.0,187.0,256.0,259.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 01:06:05.876000,2023-05-28 13:07:06.853,1,1.0,False,,False,True,78.129,20.835,36.637,20.657,3986.734,4023.371,4044.028,4044.005,3965.876,151.12751809580752,265.0,61.42767168407637,9253.048055647207,11753.0,44.23371909190397,42.34898836466393,0.2559322033898305,151.0,0.0,0.0,1.41853369946758,1.351917113415814,3.683050847457627,7.0,0,-0.9449999999999932,320.808,0.07142857142857142,28,0.14285714285714285,-24.0,1.5250000000000057,80.202,2.7420329441249733,0.0,36.333333333333336,-32.333333333333336,0.4134736680411531,0.0,410293.3304352138,6684.932182506584,22820.255232466934,62.48724924902927
4,0 days 01:08:42.024000,1,0 days 00:01:18.019000,5.0,,,0 days 00:00:20.745000,0 days 00:00:36.734000,0 days 00:00:20.540000,0 days 01:07:44.773000,0 days 01:08:21.507000,0 days 01:08:42.047000,188.0,187.0,256.0,260.0,True,MEDIUM,5.0,True,Red Bull Racing,0 days 01:07:24.005000,2023-05-28 13:08:24.982,1,1.0,False,,False,True,78.019,20.745,36.734,20.54,4064.773,4101.507,4122.047,4122.024,4044.005,151.42070383878848,266.0,61.40904701707576,9324.461514242492,11818.0,45.97014577834629,42.88202414936359,0.23684210526315788,144.0,0.0,0.0,1.5513057012455442,1.4847633401307714,3.6282894736842106,6.0,0,-0.10999999999999943,398.827,0.08928571428571429,28,0.17857142857142858,-23.0,1.4150000000000063,79.7654,2.567519483859859,0.0,36.333333333333336,-31.333333333333336,0.391956165626017,0.0,406509.52946173836,6960.831829328907,21804.581352785543,59.35027847304424
5,0 days 01:09:59.664000,1,0 days 00:01:17.640000,6.0,,,0 days 00:00:20.488000,0 days 00:00:36.550000,0 days 00:00:20.602000,0 days 01:09:02.535000,0 days 01:09:39.085000,0 days 01:09:59.687000,193.0,185.0,255.0,260.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 01:08:42.024000,2023-05-28 13:09:43.001,1,1.0,False,,False,True,77.64,20.488,36.55,20.602,4142.535,4179.085,4199.687,4199.664,4122.024,150.09857186837942,266.0,60.840972165440704,9245.573282967911,11731.0,44.83297970273479,42.41862283573312,0.2698961937716263,156.0,0.0,0.0,1.6822842245857554,1.6176248720370612,3.652249134948097,7.0,0,-0.3790000000000049,476.467,0.10714285714285714,28,0.21428571428571427,-22.0,1.0360000000000014,78.4458,0.7374074179176651,-1.3675999999999988,36.333333333333336,-30.333333333333336,0.37281656836886373,0.0,425518.4029493054,6729.366225984534,23415.37721146719,55.95923448103649
6,0 days 01:11:17.297000,1,0 days 00:01:17.633000,7.0,,,0 days 00:00:20.483000,0 days 00:00:36.479000,0 days 00:00:20.671000,0 days 01:10:20.170000,0 days 01:10:56.649000,0 days 01:11:17.320000,194.0,185.0,256.0,260.0,True,MEDIUM,7.0,True,Red Bull Racing,0 days 01:09:59.664000,2023-05-28 13:11:00.641,1,1.0,False,,False,True,77.633,20.483,36.479,20.671,4220.17,4256.649,4277.32,4277.297,4199.664,152.47252327794894,265.0,61.49463588743593,9258.484756086778,11658.0,45.376868436747316,42.39896915014146,0.2470389170896785,146.0,0.0,0.0,1.2288566980964692,0.1486111111335049,3.747884940778342,7.0,0,-0.007000000000005002,554.1,0.125,28,0.25,-21.0,1.0289999999999964,78.099,0.588591963927474,-0.4509000000000001,36.333333333333336,-29.333333333333336,0.4486605176788796,0.0,407403.36432555964,6918.7256290023815,22260.988398580546,68.40840122568959
7,0 days 01:12:34.694000,1,0 days 00:01:17.397000,8.0,,,0 days 00:00:20.432000,0 days 00:00:36.457000,0 days 00:00:20.508000,0 days 01:11:37.752000,0 days 01:12:14.209000,0 days 01:12:34.717000,195.0,187.0,256.0,260.0,True,MEDIUM,8.0,True,Red Bull Racing,0 days 01:11:17.297000,2023-05-28 13:12:18.274,1,1.0,False,,False,True,77.397,20.432,36.457,20.508,4297.752,4334.209,4354.717,4354.694,4277.297,153.12891602466206,265.0,61.68731842630726,9241.467952472944,11701.0,45.309107309199625,42.872345206201885,0.25254237288135595,149.0,0.0,0.0,1.4617510724964848,0.0802777777862502,3.7542372881355934,7.0,0,-0.23599999999999,631.4970000000001,0.14285714285714285,28,0.2857142857142857,-20.0,0.7930000000000064,77.76360000000001,0.3022727245386314,-0.33710000000000095,36.333333333333336,-28.333333333333336,0.4062149139173079,0.0,416454.6021989541,6938.134488302831,22816.20848767465,62.20324944120877
8,0 days 01:13:51.725000,1,0 days 00:01:17.031000,9.0,,,0 days 00:00:20.438000,0 days 00:00:36.224000,0 days 00:00:20.369000,0 days 01:12:55.155000,0 days 01:13:31.379000,0 days 01:13:51.748000,196.0,191.0,256.0,260.0,True,MEDIUM,9.0,True,Red Bull Racing,0 days 01:12:34.694000,2023-05-28 13:13:35.671,1,1.0,False,,False,True,77.031,20.438,36.224,20.369,4375.155,4411.379,4431.748,4431.725,4354.694,153.98707187823837,263.0,60.90366147683962,9358.666685776949,11799.0,47.099094350843934,43.31686444451223,0.2555746140651801,149.0,0.0,0.0,1.3665046616226821,0.3847222222502751,3.737564322469983,7.0,0,-0.36599999999999966,708.528,0.16071428571428573,28,0.32142857142857145,-19.0,0.4270000000000067,77.54400000000001,0.36315974446517607,-0.18500000000000086,36.333333333333336,-27.333333333333336,0.4225641369809569,0.0,427407.5874332197,7252.651627203336,22944.073709857515,65.06941413445237
9,0 days 01:15:08.809000,1,0 days 00:01:17.084000,10.0,,,0 days 00:00:20.452000,0 days 00:00:36.232000,0 days 00:00:20.400000,0 days 01:14:12.200000,0 days 01:14:48.432000,0 days 01:15:08.832000,196.0,191.0,256.0,260.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:13:51.725000,2023-05-28 13:14:52.702,1,1.0,False,,False,True,77.084,20.452,36.232,20.4,4452.2,4488.432,4508.832,4508.809,4431.725,153.38922162812392,267.0,61.78206360361337,9312.565649554974,11767.0,46.97475024843701,43.0886908272539,0.24615384615384617,144.0,0.0,0.0,1.7179527622230657,1.713770198068613,3.7435897435897436,7.0,0,0.05299999999999727,785.6120000000001,0.17857142857142858,28,0.35714285714285715,-18.0,0.480000000000004,77.357,0.29097680319917707,-0.22189999999999943,36.333333333333336,-26.333333333333336,0.36792398083551714,0.0,417916.3690962416,7205.420376783274,22088.047914449846,56.43557303868076
10,0 days 01:16:25.667000,1,0 days 00:01:16.858000,11.0,,,0 days 00:00:20.311000,0 days 00:00:36.150000,0 days 00:00:20.397000,0 days 01:15:29.143000,0 days 01:16:05.293000,0 days 01:16:25.690000,195.0,190.0,256.0,260.0,True,MEDIUM,11.0,True,Red Bull Racing,0 days 01:15:08.809000,2023-05-28 13:16:09.786,1,1.0,False,,False,True,76.858,20.311,36.15,20.397,4529.143,4565.293,4585.69,4585.667,4508.809,153.70253498398452,266.0,62.17087608799076,9348.9003723619,11822.0,46.963100867483746,43.18389198075511,0.24067796610169492,142.0,0.0,0.0,1.7095594275676325,1.705420647087446,3.730508474576271,7.0,0,-0.2259999999999991,862.47,0.19642857142857142,28,0.39285714285714285,-17.0,0.2540000000000049,77.2006,0.3103535081161648,-0.17139999999999844,36.333333333333336,-25.333333333333336,0.36906368977398607,0.0,414602.67171310034,7218.347654040815,21825.7599677258,56.72602468880451
11,0 days 01:17:42.660000,1,0 days 00:01:16.993000,12.0,,,0 days 00:00:20.386000,0 days 00:00:36.053000,0 days 00:00:20.554000,0 days 01:16:46.076000,0 days 01:17:22.129000,0 days 01:17:42.683000,197.0,189.0,256.0,261.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:16:25.667000,2023-05-28 13:17:26.644,12,1.0,False,,False,True,76.993,20.386,36.053,20.554,4606.076,4642.129,4662.683,4662.66,4585.667,152.40719426325384,267.0,62.35540371892658,9298.440378527615,11702.0,45.19885091369081,42.887122376094176,0.2517241379310345,146.0,0.0,0.0,1.7012387831879319,1.6970551284948188,3.706896551724138,7.0,0,0.1349999999999909,939.463,0.21428571428571427,28,0.42857142857142855,-16.0,0.3889999999999958,77.0726,0.1996779907751751,-0.18629999999999855,36.333333333333336,-24.333333333333336,0.37020051919283714,0.0,411485.3190677956,6888.630051678724,22251.450362435062,56.42122244498016
12,0 days 01:19:00.094000,1,0 days 00:01:17.434000,13.0,,,0 days 00:00:20.811000,0 days 00:00:36.267000,0 days 00:00:20.356000,0 days 01:18:03.494000,0 days 01:18:39.761000,0 days 01:19:00.117000,197.0,187.0,256.0,261.0,False,MEDIUM,13.0,True,Red Bull Racing,0 days 01:17:42.660000,2023-05-28 13:18:43.637,21,1.0,False,,False,True,77.434,20.811,36.267,20.356,4683.494,4719.761,4740.117,4740.094,4662.66,153.09973011559606,266.0,60.19986389096169,9380.906842795262,11857.0,46.25131253278967,42.55858946531763,0.25254237288135595,149.0,0.0,0.0,1.6928760141466517,1.6886434449579744,3.705084745762712,7.0,0,0.4410000000000025,1016.897,0.23214285714285715,28,0.4642857142857143,-15.0,0.8299999999999983,77.08,0.21481736428885506,-0.0981000000000023,36.333333333333336,-23.333333333333336,0.371350182758745,0.0,414864.08516858803,7081.063466262184,22811.859787223813,56.853612758741136
13,0 days 01:20:17.159000,1,0 days 00:01:17.065000,14.0,,,0 days 00:00:20.338000,0 days 00:00:36.223000,0 days 00:00:20.504000,0 days 01:19:20.455000,0 days 01:19:56.678000,0 days 01:20:17.182000,198.0,188.0,257.0,261.0,False,MEDIUM,14.0,True,Red Bull Racing,0 days 01:19:00.094000,2023-05-28 13:20:01.071,12,1.0,False,,False,True,77.065,20.338,36.223,20.504,4760.455,4796.678,4817.182,4817.159,4740.094,153.05895259465302,267.0,61.86619686554641,9297.502966390175,11888.0,45.731462808969646,43.06888468882336,0.23639455782312926,139.0,0.0,0.0,1.6844170024478156,1.6802764056245565,3.7006802721088436,7.0,0,-0.3689999999999998,1093.962,0.25,28,0.5,-14.0,0.4609999999999985,77.0868,0.21341204277174972,0.0714999999999975,36.333333333333336,-22.333333333333336,0.37252036441735353,0.0,393263.2036713891,6999.609798162222,21275.19441065677,57.01757679789858
14,0 days 01:21:34.238000,1,0 days 00:01:17.079000,15.0,,,0 days 00:00:20.271000,0 days 00:00:36.248000,0 days 00:00:20.560000,0 days 01:20:37.453000,0 days 01:21:13.701000,0 days 01:21:34.261000,197.0,190.0,257.0,261.0,False,MEDIUM,15.0,True,Red Bull Racing,0 days 01:20:17.159000,2023-05-28 13:21:18.136,21,1.0,False,,False,True,77.079,20.271,36.248,20.56,4837.453,4873.701,4894.261,4894.238,4817.159,152.69017832022493,268.0,61.79947283461899,9293.103812054887,11780.0,46.10556567338063,42.964151784520716,0.24149659863945577,142.0,0.0,0.0,1.6760718588482493,1.6718994815594197,3.727891156462585,7.0,0,0.013999999999995794,1171.041,0.26785714285714285,28,0.5357142857142857,-13.0,0.4749999999999943,77.08579999999999,0.21344015554719573,0.05379999999999825,36.333333333333336,-21.333333333333336,0.3736820432132897,0.0,404600.5507766696,7039.86704422333,21682.00532147194,57.057577813303205
