Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
0,0 days 00:58:10.830000,1,0 days 00:01:55.490000,1.0,,,,0 days 00:00:44.610000,0 days 00:00:25.791000,,0 days 00:57:45.169000,0 days 00:58:11.002000,182.0,209.0,315.0,319.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:56:15.070000,2024-09-15 11:04:10.845,1,5.0,False,,False,False,115.49,0.0,44.61,25.791,0.0,3465.169,3491.002,3490.83,3375.07,182.22751661846135,325.0,84.18440181962053,9737.261115083335,11914.0,59.086931402412894,44.3026092076446,0.24829931972789115,219.0,1.0,882.0,26.695160830072602,0.0,4.528344671201814,8.0,0,0.0,115.49,0.0196078431372549,28,0.03571428571428571,-27.0,7.042000000000002,115.49,0.0,0.0,12.5,-11.5,0.03610739096752805,4.813687465058034,1089349.356627729,10767.264774067082,39907.82613944304,6.579760187584498
1,0 days 01:00:00.462000,1,0 days 00:01:49.632000,2.0,,,0 days 00:00:39.449000,0 days 00:00:44.481000,0 days 00:00:25.702000,0 days 00:58:50.309000,0 days 00:59:34.790000,0 days 01:00:00.492000,194.0,209.0,323.0,319.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:58:10.830000,2024-09-15 11:06:06.605,1,5.0,False,,False,True,109.632,39.449,44.481,25.702,3530.309,3574.79,3600.492,3600.462,3490.83,195.6892828428024,329.0,82.06891980079666,9771.595909580314,11945.0,59.43356659864352,45.298441615907095,0.2323856613102596,188.0,0.892459826946848,722.0,64.65452991682616,28.08805555555773,5.0333745364647715,8.0,0,-5.85799999999999,225.122,0.0392156862745098,28,0.07142857142857142,-26.0,1.1840000000000117,112.561,4.142231524190794,0.0,12.5,-10.5,0.015231241488848383,3.6707643119378055,916997.938803964,11630.512024478487,36789.58517444685,2.980590723758278
2,0 days 01:01:49.592000,1,0 days 00:01:49.130000,3.0,,,0 days 00:00:39.118000,0 days 00:00:44.415000,0 days 00:00:25.597000,0 days 01:00:39.610000,0 days 01:01:24.025000,0 days 01:01:49.622000,191.0,206.0,318.0,321.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:00:00.462000,2024-09-15 11:07:56.237,1,5.0,False,,False,True,109.13,39.118,44.415,25.597,3639.61,3684.025,3709.622,3709.592,3600.462,197.46384024262127,326.0,80.24601508678032,9852.824999811468,12167.0,61.47604447489467,44.57925763050997,0.24014336917562723,201.0,0.0,0.0,81.77435564491675,45.287777777772135,5.032258064516129,8.0,0,-0.5020000000000095,334.252,0.058823529411764705,28,0.10714285714285714,-25.0,0.6820000000000022,111.41733333333333,3.5359526769080696,0.0,12.5,-9.5,0.012081036357320298,0.0,991574.7260740031,12139.295824938881,39690.23188876687,2.385567833227195
3,0 days 01:03:39.200000,1,0 days 00:01:49.608000,4.0,,,0 days 00:00:39.046000,0 days 00:00:44.387000,0 days 00:00:26.175000,0 days 01:02:28.668000,0 days 01:03:13.055000,0 days 01:03:39.230000,200.0,210.0,317.0,321.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:01:49.592000,2024-09-15 11:09:45.367,1,5.0,False,,False,True,109.608,39.046,44.387,26.175,3748.668,3793.055,3819.23,3819.2,3709.592,195.36841155737937,325.0,81.4371712935935,9791.12567467095,12178.0,60.82425405904571,44.87817150669867,0.2315151515151515,191.0,0.9115151515151515,752.0,103.75124619292612,59.9819444444438,5.00969696969697,8.0,0,0.47800000000000864,443.86,0.0784313725490196,28,0.14285714285714285,-24.0,1.1600000000000108,110.965,3.025513069436874,0.0,12.5,-8.5,0.009546425807271497,3.8295365025156483,946090.842552807,11883.137899678244,37315.36660745946,1.8650700460170053
4,0 days 01:05:28.445000,1,0 days 00:01:49.245000,5.0,,,0 days 00:00:39.312000,0 days 00:00:44.211000,0 days 00:00:25.722000,0 days 01:04:18.542000,0 days 01:05:02.753000,0 days 01:05:28.475000,199.0,205.0,320.0,320.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:03:39.200000,2024-09-15 11:11:34.975,1,5.0,False,,False,True,109.245,39.312,44.211,25.722,3858.542,3902.753,3928.475,3928.445,3819.2,194.46594450652154,327.0,78.90963945633946,9919.965141648716,12226.0,62.45772382825339,44.37916238240445,0.2283653846153846,190.0,0.0,0.0,137.95788112790558,75.29694444439156,4.877403846153846,8.0,0,-0.36299999999999955,553.105,0.09803921568627451,28,0.17857142857142858,-23.0,0.7970000000000113,110.62100000000001,2.7307466012063446,0.0,12.5,-7.5,0.007196425218081276,0.0,936418.1290247084,12145.900255988772,36948.52945623909,1.3994596271047257
5,0 days 01:07:17.240000,1,0 days 00:01:48.795000,6.0,,,0 days 00:00:38.883000,0 days 00:00:44.254000,0 days 00:00:25.658000,0 days 01:06:07.358000,0 days 01:06:51.612000,0 days 01:07:17.270000,199.0,211.0,320.0,318.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 01:05:28.445000,2024-09-15 11:13:24.220,1,5.0,False,,False,True,108.795,38.883,44.254,25.658,3967.358,4011.612,4037.27,4037.24,3928.445,197.45729522380944,326.0,80.08541133845415,9940.261681406624,12240.0,61.887407739647344,44.66137003641202,0.23296158612143741,188.0,0.0,0.0,147.32336891394053,77.43722222225188,4.957868649318463,8.0,0,-0.45000000000000284,661.9,0.11764705882352941,28,0.21428571428571427,-22.0,0.3470000000000084,109.282,0.35014925389047324,-1.2513999999999983,12.5,-6.5,0.006742025935105447,0.0,931780.3590340542,12220.120140683815,37121.97150207617,1.331262205474696
6,0 days 01:09:06.037000,1,0 days 00:01:48.797000,7.0,,,0 days 00:00:38.936000,0 days 00:00:44.131000,0 days 00:00:25.730000,0 days 01:07:56.206000,0 days 01:08:40.337000,0 days 01:09:06.067000,197.0,214.0,319.0,319.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:07:17.240000,2024-09-15 11:15:13.015,1,5.0,False,,False,True,108.797,38.936,44.131,25.73,4076.206,4120.337,4146.067,4146.037,4037.24,196.57916989793682,325.0,80.98234134203713,9947.647081552086,12251.0,63.3765779115658,44.20883374439637,0.2193939393939394,181.0,0.0,0.0,151.56465328615863,68.53194444449036,4.927272727272728,8.0,0,0.001999999999995339,770.697,0.13725490196078433,28,0.25,-21.0,0.34900000000000375,109.11500000000001,0.340476871461275,-0.15589999999999976,12.5,-5.5,0.006554598188115992,0.0,928961.4434599584,12458.515076827523,35580.829751526566,1.2884974708343626
7,0 days 01:10:54.680000,1,0 days 00:01:48.643000,8.0,,,0 days 00:00:38.880000,0 days 00:00:44.103000,0 days 00:00:25.660000,0 days 01:09:44.947000,0 days 01:10:29.050000,0 days 01:10:54.710000,201.0,215.0,320.0,318.0,True,MEDIUM,8.0,True,Red Bull Racing,0 days 01:09:06.037000,2024-09-15 11:17:01.812,1,5.0,False,,False,True,108.643,38.88,44.103,25.66,4184.947,4229.05,4254.71,4254.68,4146.037,195.5443682476684,325.0,79.35791364482694,9987.491234163615,12236.0,63.31770564315344,44.47285678241558,0.22033898305084745,182.0,0.0,0.0,163.87279632347136,90.15333333351008,4.894673123486683,8.0,0,-0.15399999999999636,879.34,0.1568627450980392,28,0.2857142857142857,-20.0,0.1950000000000074,109.01759999999999,0.3996320807943984,-0.14789999999999992,12.5,-4.5,0.006065281976767441,0.0,914506.5050244654,12381.420748882267,35589.075021075645,1.1860317323909584
8,0 days 01:12:43.128000,1,0 days 00:01:48.448000,9.0,,,0 days 00:00:38.680000,0 days 00:00:44.085000,0 days 00:00:25.683000,0 days 01:11:33.390000,0 days 01:12:17.475000,0 days 01:12:43.158000,207.0,209.0,319.0,318.0,True,MEDIUM,9.0,True,Red Bull Racing,0 days 01:10:54.680000,2024-09-15 11:18:50.455,1,5.0,False,,False,True,108.448,38.68,44.085,25.683,4293.39,4337.475,4363.158,4363.128,4254.68,194.08111843606352,324.0,79.48817846287827,9988.69718123909,12207.0,63.00424044136777,44.131106507145766,0.218249075215783,177.0,0.0,0.0,183.30246060103858,102.61000000020432,4.860665844636252,8.0,0,-0.1950000000000074,987.788,0.17647058823529413,28,0.32142857142857145,-19.0,0.0,108.7856,0.2939282225307217,-0.23780000000000145,12.5,-3.5,0.005425863532905892,0.0,886432.3385375114,12227.933451075321,34352.35796318324,1.0530576629478263
9,0 days 01:14:32.576000,1,0 days 00:01:49.448000,10.0,,,0 days 00:00:38.989000,0 days 00:00:44.635000,0 days 00:00:25.824000,0 days 01:13:22.147000,0 days 01:14:06.782000,0 days 01:14:32.606000,200.0,208.0,318.0,317.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:12:43.128000,2024-09-15 11:20:38.903,1,5.0,False,,False,True,109.448,38.989,44.635,25.824,4402.147,4446.782,4472.606,4472.576,4363.128,194.76239269673246,323.0,80.21307290896118,9966.307989001001,12159.0,63.69866971623098,43.83701979622328,0.2084848484848485,172.0,0.0,0.0,234.12991816436974,118.17861111128876,4.907878787878788,8.0,0,1.0,1097.2359999999999,0.19607843137254902,28,0.35714285714285715,-18.0,1.0,108.8262,0.3758519655397115,-0.17460000000000236,12.5,-2.5,0.00425296792431553,0.0,878828.1585621221,12406.105325532038,33499.13154383798,0.8283182090021484
