Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
0,0 days 01:01:37.489000,1,0 days 00:01:37.284000,1.0,,,,0 days 00:00:41.266000,0 days 00:00:23.616000,,0 days 01:01:13.987000,0 days 01:01:37.669000,234.0,250.0,276.0,251.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:59:59.911000,2024-03-02 15:03:42.342,12,1.0,False,,False,False,97.284,0.0,41.266,23.616,0.0,3673.987,3697.669,3697.489,3599.911,189.120876459521,289.0,65.55613001527844,10032.986420502657,12368.0,63.855212829135894,42.96783822138883,0.20995962314939434,156,1.0,743,1.1833682704163713,0.0,4.716016150740242,7,0,0.0,97.284,0.017543859649122806,18,0.2222222222222222,-14.0,0.9879999999999995,97.284,0.0,0.0,14.5,-13.5,0.45800793826196745,3.908040052393686,653031.698963297,12076.35381675543,29502.856727685277,86.61886270952147
1,0 days 01:03:13.785000,1,0 days 00:01:36.296000,2.0,,,0 days 00:00:30.916000,0 days 00:00:41.661000,0 days 00:00:23.719000,0 days 01:02:08.426000,0 days 01:02:50.087000,0 days 01:03:13.806000,232.0,248.0,276.0,287.0,True,SOFT,5.0,False,Red Bull Racing,0 days 01:01:37.489000,2024-03-02 15:05:19.920,1,1.0,False,,False,True,96.296,30.916,41.661,23.719,3728.426,3770.087,3793.806,3793.785,3697.489,199.5003497877195,294.0,64.07830988353008,9898.661153604471,11926.0,65.95662094695606,42.53404017585666,0.1909814323607427,144,0.03713527851458886,28,0.6305247734646973,0.0508333333291375,5.1458885941644565,8,0,-0.9879999999999995,193.58,0.03508771929824561,18,0.2777777777777778,-13.0,0.0,96.79,0.6986214998123086,0.0,14.5,-12.5,0.6132994826414707,0.1396506291866578,608599.9866109798,13158.368949733762,28728.050369431607,122.3534613116008
2,0 days 01:04:50.538000,1,0 days 00:01:36.753000,3.0,,,0 days 00:00:30.999000,0 days 00:00:41.966000,0 days 00:00:23.788000,0 days 01:03:44.805000,0 days 01:04:26.771000,0 days 01:04:50.559000,231.0,243.0,276.0,290.0,False,SOFT,6.0,False,Red Bull Racing,0 days 01:03:13.785000,2024-03-02 15:06:56.216,1,1.0,False,,False,True,96.753,30.999,41.966,23.788,3824.805,3866.771,3890.559,3890.538,3793.785,200.06823270867994,296.0,64.02859563839534,9881.93885699765,11833.0,63.735844373450576,43.425761138674474,0.2062415196743555,152,0.0,0,0.761813060876513,0.7043441815318089,5.169606512890095,8,0,0.45699999999999363,290.333,0.05263157894736842,18,0.3333333333333333,-12.0,0.45699999999999363,96.77766666666668,0.49446166012475967,0.0,14.5,-11.5,0.5675971090272731,0.0,620299.3242730229,12751.517743991719,30410.371371719353,113.55815049364247
3,0 days 01:06:27.185000,1,0 days 00:01:36.647000,4.0,,,0 days 00:00:30.931000,0 days 00:00:41.892000,0 days 00:00:23.824000,0 days 01:05:21.490000,0 days 01:06:03.382000,0 days 01:06:27.206000,233.0,253.0,276.0,290.0,False,SOFT,7.0,False,Red Bull Racing,0 days 01:04:50.538000,2024-03-02 15:08:32.969,1,1.0,False,,False,True,96.647,30.931,41.892,23.824,3921.49,3963.382,3987.206,3987.185,3890.538,199.79808063942616,297.0,64.24377780066487,9902.897212038819,11744.0,64.54587732549739,42.95006456306767,0.18933333333333333,142,0.0,0,1.5494154877948838,0.8195905749517152,5.166666666666667,8,0,-0.10599999999999454,386.98,0.07017543859649122,18,0.3888888888888889,-11.0,0.3509999999999991,96.745,0.40897840203772795,0.0,14.5,-10.5,0.3922467737359475,0.0,588827.2821204482,12896.142402822235,28371.327450798515,78.37015252944958
4,0 days 01:08:04.358000,1,0 days 00:01:37.173000,5.0,,,0 days 00:00:31.255000,0 days 00:00:42.056000,0 days 00:00:23.862000,0 days 01:06:58.461000,0 days 01:07:40.517000,0 days 01:08:04.379000,231.0,245.0,276.0,289.0,False,SOFT,8.0,False,Red Bull Racing,0 days 01:06:27.185000,2024-03-02 15:10:09.616,1,1.0,False,,False,True,97.173,31.255,42.056,23.862,4018.461,4060.517,4084.379,4084.358,3987.185,198.58360441380233,297.0,64.58202738143164,9815.681339714418,11834.0,63.476795381025326,42.98749707254094,0.19591836734693877,144,0.0,0,1.7235048944940665,1.666421513697906,5.148299319727891,8,0,0.5259999999999962,484.153,0.08771929824561403,18,0.4444444444444444,-10.0,0.8769999999999953,96.8306,0.4025969448468277,0.0,14.5,-9.5,0.367173931657562,0.0,590322.2597831392,12605.450823401408,28596.039035587535,72.91472279534578
5,0 days 01:09:41.450000,1,0 days 00:01:37.092000,6.0,,,0 days 00:00:31.041000,0 days 00:00:42.187000,0 days 00:00:23.864000,0 days 01:08:35.420000,0 days 01:09:17.607000,0 days 01:09:41.471000,231.0,247.0,276.0,296.0,False,SOFT,9.0,False,Red Bull Racing,0 days 01:08:04.358000,2024-03-02 15:11:46.789,1,1.0,False,,False,True,97.092,31.041,42.187,23.864,4115.42,4157.607,4181.471,4181.45,4084.358,198.2746317740899,298.0,65.57093077694392,9856.317435102166,11812.0,64.27805727419803,42.58470883288942,0.20445062586926285,147,0.0,0,1.8379873448890327,1.781364376076268,5.104311543810849,8,0,-0.08100000000000307,581.245,0.10526315789473684,18,0.5,-9.0,0.7959999999999923,96.79220000000001,0.35486715824375453,0.012899999999999068,14.5,-8.5,0.3523623887192142,0.0,619571.4904684228,12744.708137195476,29146.370870791216,69.86452287434092
6,0 days 01:11:18.488000,1,0 days 00:01:37.038000,7.0,,,0 days 00:00:31.015000,0 days 00:00:42.118000,0 days 00:00:23.905000,0 days 01:10:12.486000,0 days 01:10:54.604000,0 days 01:11:18.509000,232.0,242.0,277.0,291.0,False,SOFT,10.0,False,Red Bull Racing,0 days 01:09:41.450000,2024-03-02 15:13:23.881,1,1.0,False,,False,True,97.038,31.015,42.118,23.905,4212.486,4254.604,4278.509,4278.488,4181.45,197.64181411571778,298.0,64.84067437225534,9812.020729967926,11837.0,63.7433498450305,42.87177619938879,0.19547872340425532,147,0.0,0,1.9538826744838107,1.8963404000602284,5.150265957446808,8,0,-0.054000000000002046,678.283,0.12280701754385964,18,0.5555555555555556,-8.0,0.7419999999999902,96.94059999999999,0.2279326654957499,0.20119999999999863,14.5,-7.5,0.33853748107133247,0.0,607574.7832326611,12598.351301184686,29053.346675010514,66.90916190510362
7,0 days 01:12:55.512000,1,0 days 00:01:37.024000,8.0,,,0 days 00:00:31.041000,0 days 00:00:42.077000,0 days 00:00:23.906000,0 days 01:11:49.550000,0 days 01:12:31.627000,0 days 01:12:55.533000,231.0,250.0,277.0,291.0,False,SOFT,11.0,False,Red Bull Racing,0 days 01:11:18.488000,2024-03-02 15:15:00.919,1,1.0,False,,False,True,97.024,31.041,42.077,23.906,4309.55,4351.627,4375.533,4375.512,4278.488,199.7745501168087,298.0,65.70245585744217,9883.726395215643,11882.0,66.02751351063263,42.12287288187413,0.18194070080862534,135,0.0,0,2.069579293258313,2.011278525066362,5.175202156334231,8,0,-0.013999999999995794,775.307,0.14035087719298245,18,0.6111111111111112,-7.0,0.7279999999999944,96.9948,0.2030312783784718,0.10149999999999865,14.5,-6.5,0.3257775429343983,0.0,585652.921894216,13190.616806918142,26969.564265769175,65.08206207787876
8,0 days 01:14:32.741000,1,0 days 00:01:37.229000,9.0,,,0 days 00:00:31.100000,0 days 00:00:42.166000,0 days 00:00:23.963000,0 days 01:13:26.633000,0 days 01:14:08.799000,0 days 01:14:32.762000,231.0,243.0,276.0,292.0,False,SOFT,12.0,False,Red Bull Racing,0 days 01:12:55.512000,2024-03-02 15:16:37.943,1,1.0,False,,False,True,97.229,31.1,42.166,23.963,4406.633,4448.799,4472.762,4472.741,4375.512,199.27091020927728,298.0,64.78884670300926,9851.505215219697,11875.0,64.58828671427335,42.62750388966865,0.17881705639614856,130,0.0,0,2.185319667737471,2.1263492964948907,5.15130674002751,8,0,0.2049999999999983,872.5360000000001,0.15789473684210525,18,0.6666666666666666,-6.0,0.9329999999999927,97.1112,0.08807212953025621,0.06189999999999856,14.5,-5.5,0.3139402334178594,0.0,543998.0788763385,12870.566682411021,25905.218327206047,62.55915606448981
9,0 days 01:16:09.701000,1,0 days 00:01:36.960000,10.0,,,0 days 00:00:30.986000,0 days 00:00:42.009000,0 days 00:00:23.965000,0 days 01:15:03.748000,0 days 01:15:45.757000,0 days 01:16:09.722000,232.0,244.0,277.0,293.0,False,SOFT,13.0,False,Red Bull Racing,0 days 01:14:32.741000,2024-03-02 15:18:15.172,12,1.0,False,,False,True,96.96,30.986,42.009,23.965,4503.748,4545.757,4569.722,4569.701,4472.741,198.1021198962242,298.0,65.18702913992037,9853.297600860576,11884.0,64.16907620865871,42.692627025187164,0.1937669376693767,143,0.0,0,2.299528970915908,2.2415858759514147,5.14769647696477,8,0,-0.26900000000000546,969.496,0.17543859649122806,18,0.7222222222222222,-5.0,0.6639999999999873,97.06859999999999,0.10123635710551464,0.004399999999999693,14.5,-4.5,0.30307356256442036,0.0,598167.7760194717,12712.030028717654,28328.60314516006,60.039515228512606
