Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
0,0 days 00:57:07.735000,44,0 days 00:01:52.700000,1.0,,,,0 days 00:00:49.406000,0 days 00:00:29.478000,,0 days 00:56:38.468000,0 days 00:57:07.904000,326.0,204.0,218.0,309.0,False,MEDIUM,1.0,True,Mercedes,0 days 00:55:14.764000,2024-07-28 13:03:52.742,1,2.0,False,,False,False,112.7,0.0,49.406,29.478,0.0,3398.468,3427.904,3427.735,3314.764,217.51653611416802,327.0,79.13417285995557,10239.579056107485,12587.0,70.38036975128928,39.09667497670249,0.15230224321133412,129,1.0,847,27.578129311635223,0.0066666666671153,5.641086186540732,8,0,0.0,112.7,0.022727272727272728,28,0.03571428571428571,-27.0,3.591000000000008,112.7,0.0,0.0,10.5,-9.5,0.03499179351787952,3.876136859306012,718464.5126141487,15308.894238734812,28059.633158727673,7.61129371843135
1,0 days 00:58:57.584000,44,0 days 00:01:49.849000,2.0,,,0 days 00:00:31.284000,0 days 00:00:49.211000,0 days 00:00:29.354000,0 days 00:57:39.019000,0 days 00:58:28.230000,0 days 00:58:57.584000,329.0,202.0,220.0,307.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:57:07.735000,2024-07-28 13:05:45.713,1,2.0,False,,False,True,109.849,31.284,49.211,29.354,3459.019,3508.23,3537.584,3537.584,3427.735,226.95109141557253,334.0,73.32437281443562,10299.341712930393,12320.0,70.6174365715714,40.713943895865334,0.1823671497584541,151,1.6968599033816425,1405,38.59995239992048,3.957499999990432,5.997584541062802,8,0,-2.850999999999999,222.549,0.045454545454545456,28,0.07142857142857142,-26.0,0.7400000000000091,111.2745,2.0159614331628464,0.0,10.5,-8.5,0.025252555606657952,6.163602864434528,781874.8662024229,16026.704302888096,34269.61480375145,5.731095055963458
2,0 days 01:00:46.693000,44,0 days 00:01:49.109000,3.0,,,0 days 00:00:31.215000,0 days 00:00:48.486000,0 days 00:00:29.408000,0 days 00:59:28.799000,0 days 01:00:17.285000,0 days 01:00:46.693000,326.0,204.0,216.0,310.0,True,MEDIUM,3.0,True,Mercedes,0 days 00:58:57.584000,2024-07-28 13:07:35.562,1,1.0,False,,False,True,109.109,31.215,48.486,29.408,3568.799,3617.285,3646.693,3646.693,3537.584,229.34278864984793,331.0,72.62379376061921,10296.330636343479,11998.0,71.28310195694945,40.074757422159344,0.14355828220858896,117,1.796319018404908,1464,7.041707964975781,0.0877777777313895,6.087116564417178,8,0,-0.7400000000000091,331.658,0.06818181818181818,28,0.10714285714285714,-25.0,0.0,110.55266666666667,1.896096077031263,0.0,10.5,-7.5,0.12435169299299612,6.355744881709656,605691.3675312266,16348.26538641822,26833.106272032208,28.519164044343487
3,0 days 01:02:36.501000,44,0 days 00:01:49.808000,4.0,,,0 days 00:00:31.754000,0 days 00:00:48.605000,0 days 00:00:29.449000,0 days 01:01:18.447000,0 days 01:02:07.052000,0 days 01:02:36.501000,305.0,203.0,216.0,305.0,False,MEDIUM,4.0,True,Mercedes,0 days 01:00:46.693000,2024-07-28 13:09:24.671,1,1.0,False,,False,True,109.808,31.754,48.605,29.449,3678.447,3727.052,3756.501,3756.501,3646.693,226.94736569335825,314.0,70.05270400815515,10226.175574745566,11941.0,71.84738428503584,39.503938658044824,0.13716295427901523,117,0.0,0,2.1089097622566677,0.0638888888133806,6.0762016412661195,8,0,0.6990000000000123,441.466,0.09090909090909091,28,0.14285714285714285,-24.0,0.6990000000000123,110.3665,1.5922999089367573,0.0,10.5,-6.5,0.3216561677474128,0.0,588873.1147743358,16305.57459544727,26552.841786122914,72.99901992929628
4,0 days 01:04:25.877000,44,0 days 00:01:49.376000,5.0,,,0 days 00:00:31.592000,0 days 00:00:48.320000,0 days 00:00:29.464000,0 days 01:03:08.093000,0 days 01:03:56.413000,0 days 01:04:25.877000,307.0,201.0,215.0,307.0,False,MEDIUM,5.0,True,Mercedes,0 days 01:02:36.501000,2024-07-28 13:11:14.479,1,1.0,False,,False,True,109.376,31.592,48.32,29.464,3788.093,3836.413,3865.877,3865.877,3756.501,229.39475251358562,315.0,70.40460696348175,10239.187154081334,12426.0,73.87302768714629,38.872043832021866,0.12804878048780488,105,0.0,0,2.1792594310789677,0.0044444444138207,6.1414634146341465,8,0,-0.43200000000000216,550.842,0.11363636363636363,28,0.17857142857142858,-23.0,0.2670000000000101,110.16839999999999,1.4483722933003116,0.0,10.5,-5.5,0.3145386596087325,0.0,546105.1553491737,16946.08490372218,24086.44901392649,72.15351797690015
5,0 days 01:06:15.277000,44,0 days 00:01:49.400000,6.0,,,0 days 00:00:31.618000,0 days 00:00:48.355000,0 days 00:00:29.427000,0 days 01:04:57.495000,0 days 01:05:45.850000,0 days 01:06:15.277000,308.0,204.0,214.0,307.0,False,MEDIUM,6.0,True,Mercedes,0 days 01:04:25.877000,2024-07-28 13:13:03.855,1,1.0,False,,False,True,109.4,31.618,48.355,29.427,3897.495,3945.85,3975.277,3975.277,3865.877,228.0237816279406,318.0,72.1623361752831,10207.766922985882,11960.0,72.82375808505671,38.998227345870184,0.13012048192771083,108,0.0,0,1.5844685135600227,0.3955555555294268,6.137349397590361,8,0,0.02400000000000091,660.242,0.13636363636363635,28,0.21428571428571427,-22.0,0.291000000000011,109.50840000000001,0.3140737174613829,-0.6688999999999994,10.5,-4.5,0.38692674906011215,0.0,567554.3113479861,16605.548710912946,24626.568415817583,88.22850053369199
6,0 days 01:08:04.634000,44,0 days 00:01:49.357000,7.0,,,0 days 00:00:31.662000,0 days 00:00:48.124000,0 days 00:00:29.571000,0 days 01:06:46.939000,0 days 01:07:35.063000,0 days 01:08:04.634000,309.0,202.0,214.0,306.0,False,MEDIUM,7.0,True,Mercedes,0 days 01:06:15.277000,2024-07-28 13:14:53.255,1,1.0,False,,False,True,109.357,31.662,48.124,29.571,4006.939,4055.063,4084.634,4084.634,3975.277,227.80476789316631,317.0,71.89695860153134,10140.487047033504,11975.0,72.9403147114111,39.107594166811715,0.13690476190476192,115,0.0,0,1.7293090008603191,0.1297222221255651,6.140476190476191,8,0,-0.043000000000006366,769.599,0.1590909090909091,28,0.25,-21.0,0.24800000000000466,109.41,0.25153031626429045,-0.0630999999999986,10.5,-3.5,0.366393105245608,0.0,603081.480526734,16616.151462887512,26197.548307714125,83.46609629813217
7,0 days 01:09:54.300000,44,0 days 00:01:49.666000,8.0,,,0 days 00:00:31.646000,0 days 00:00:48.515000,0 days 00:00:29.505000,0 days 01:08:36.280000,0 days 01:09:24.795000,0 days 01:09:54.300000,309.0,200.0,215.0,306.0,False,MEDIUM,8.0,True,Mercedes,0 days 01:08:04.634000,2024-07-28 13:16:42.612,1,1.0,False,,False,True,109.666,31.646,48.515,29.505,4116.28,4164.795,4194.3,4194.3,4084.634,230.9480510281658,317.0,70.79513318797251,10195.627999037122,11940.0,74.31654244823706,38.53317765198375,0.12454655380894801,103,0.0,0,1.3375845785098228,0.1670750545261796,6.239419588875453,8,0,0.3089999999999975,879.265,0.18181818181818182,28,0.2857142857142857,-20.0,0.5570000000000022,109.5214,0.2036879967008634,0.008800000000000807,10.5,-2.5,0.4277920076960321,0.0,541908.7006313332,17163.2606375723,23787.649255901077,98.79773042282471
8,0 days 01:11:44.004000,44,0 days 00:01:49.704000,9.0,,,0 days 00:00:31.616000,0 days 00:00:48.572000,0 days 00:00:29.516000,0 days 01:10:25.916000,0 days 01:11:14.488000,0 days 01:11:44.004000,309.0,200.0,214.0,307.0,False,MEDIUM,9.0,True,Mercedes,0 days 01:09:54.300000,2024-07-28 13:18:32.278,1,1.0,False,,False,True,109.704,31.616,48.572,29.516,4225.916,4274.488,4304.004,4304.004,4194.3,227.4083951161814,318.0,72.55573996359277,10119.259539310522,11878.0,72.11499166584152,39.221222198275534,0.1341317365269461,112,0.0,0,1.3535012420237924,0.3977777776162838,6.167664670658683,8,0,0.0379999999999967,988.969,0.20454545454545456,28,0.32142857142857145,-19.0,0.5949999999999989,109.5006,0.16955471093428662,-0.03030000000000257,10.5,-1.5,0.42489886223305867,0.0,586023.9372717472,16399.554518545814,25469.740253012314,96.62556834711134
9,0 days 01:13:33.955000,44,0 days 00:01:49.951000,10.0,,,0 days 00:00:31.625000,0 days 00:00:48.752000,0 days 00:00:29.574000,0 days 01:12:15.629000,0 days 01:13:04.381000,0 days 01:13:33.955000,309.0,200.0,215.0,307.0,False,MEDIUM,10.0,True,Mercedes,0 days 01:11:44.004000,2024-07-28 13:20:21.982,1,1.0,False,,False,True,109.951,31.625,48.752,29.574,4335.629,4384.381,4413.955,4413.955,4304.004,227.60178517667808,316.0,71.45330616656801,10156.577365420872,11780.0,72.98287104612899,39.084295271386864,0.13122721749696234,108,0.0,0,2.3421522061364572,0.758888888733054,6.157958687727825,8,0,0.2469999999999999,1098.92,0.22727272727272727,28,0.35714285714285715,-18.0,0.8419999999999987,109.6156,0.2430047324642294,0.09219999999999687,10.5,-0.5,0.29920839576483693,0.0,563205.6824156143,16611.03173741825,24580.992799081232,68.1003650159269
