Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
0,0 days 00:56:59.731000,1,0 days 00:01:22.881000,1.0,,,,0 days 00:00:27.949000,0 days 00:00:27,,0 days 00:56:32.802000,0 days 00:56:59.922000,215.0,250.0,277.0,280.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:55:36.608000,2024-05-19 13:03:16.594,1,1.0,False,,False,False,82.881,0.0,27.949,27.0,0.0,3392.802,3419.922,3419.731,3336.608,203.8654680165785,290.0,60.47926964461677,10307.529984323077,12222.0,68.64035795065614,42.72827383833599,0.21711568938193343,137,1.0,631,5.481856821744003,0.0225000000000004,5.0760697305863705,7,0,0.0,82.881,0.015873015873015872,28,0.03571428571428571,-27.0,2.337999999999994,82.881,0.0,0.0,24.0,-23.0,0.15427678017283647,3.08007008750219,568730.6642291024,13993.398698435987,27929.569118271254,31.4517079940261
1,0 days 00:58:20.327000,1,0 days 00:01:20.596000,2.0,,,0 days 00:00:25.604000,0 days 00:00:27.925000,0 days 00:00:27.067000,0 days 00:57:25.376000,0 days 00:57:53.301000,0 days 00:58:20.368000,218.0,251.0,276.0,281.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:56:59.731000,2024-05-19 13:04:39.717,1,1.0,False,,False,True,80.596,25.604,27.925,27.067,3445.376,3473.301,3500.368,3500.327,3419.731,217.97338285660075,308.0,58.68254952257756,10383.520241188087,11999.0,70.2710880505192,42.39606347851186,0.19206349206349208,121,0.15079365079365079,95,6.649753887984957,6.564529785000878,5.519047619047619,8,0,-2.2849999999999966,163.477,0.031746031746031744,28,0.07142857142857142,-26.0,0.05299999999999727,81.7385,1.6157389950112586,0.0,24.0,-22.0,0.13072315980918606,0.43384268334664544,498966.07914813014,15317.226779385723,26374.77932564869,28.49416936131232
2,0 days 00:59:41.199000,1,0 days 00:01:20.872000,3.0,,,0 days 00:00:25.743000,0 days 00:00:28.104000,0 days 00:00:27.025000,0 days 00:58:46.111000,0 days 00:59:14.215000,0 days 00:59:41.240000,216.0,250.0,276.0,281.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:58:20.327000,2024-05-19 13:06:00.313,1,1.0,False,,False,True,80.872,25.743,28.104,27.025,3526.111,3554.215,3581.24,3581.199,3500.327,215.98504211169248,310.0,59.5336365091412,10355.335924110117,12044.0,69.88518464034037,42.51564667571749,0.19395866454689983,122,0.0,0,6.818306552073263,6.733869980283004,5.453100158982512,8,0,0.27599999999999625,244.349,0.047619047619047616,28,0.10714285714285714,-25.0,0.3289999999999935,81.44966666666666,1.2472290620945827,0.0,24.0,-21.0,0.12790493610599335,0.0,507583.3399297735,15094.15454752732,26350.175137626484,27.625553011146312
3,0 days 01:01:01.870000,1,0 days 00:01:20.671000,4.0,,,0 days 00:00:25.651000,0 days 00:00:27.991000,0 days 00:00:27.029000,0 days 01:00:06.891000,0 days 01:00:34.882000,0 days 01:01:01.911000,215.0,251.0,276.0,281.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:59:41.199000,2024-05-19 13:07:21.185,1,1.0,False,,False,True,80.671,25.651,27.991,27.029,3606.891,3634.882,3661.911,3661.87,3581.199,217.27471402174115,310.0,59.35885932641075,10383.172664005582,11988.0,70.4239121780577,42.06439791272097,0.1877076411960133,113,0.0,0,6.989154356380284,6.904155034418424,5.4916943521594686,8,0,-0.2009999999999934,325.02,0.06349206349206349,28,0.14285714285714285,-24.0,0.1280000000000001,81.255,1.09024492661053,0.0,24.0,-20.0,0.1251696932356028,0.0,472371.9898697901,15301.335378779702,24552.04268445675,27.19620930195467
4,0 days 01:02:22.604000,1,0 days 00:01:20.734000,5.0,,,0 days 00:00:25.602000,0 days 00:00:28.041000,0 days 00:00:27.091000,0 days 01:01:27.513000,0 days 01:01:55.554000,0 days 01:02:22.645000,215.0,251.0,276.0,282.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:01:01.870000,2024-05-19 13:08:41.856,1,1.0,False,,False,True,80.734,25.602,28.041,27.091,3687.513,3715.554,3742.645,3742.604,3661.87,217.52687375094013,310.0,59.789379620562066,10329.563308691218,11715.0,70.69799506629639,42.276348354881904,0.17432646592709986,110,0.0,0,7.159653513569656,7.073741440037124,5.518225039619652,8,0,0.06299999999998818,405.754,0.07936507936507936,28,0.17857142857142858,-23.0,0.1909999999999883,81.1508,0.9725038303266487,0.0,24.0,-19.0,0.12255422345286862,0.0,464968.81919745606,15378.713847230842,23927.956112603413,26.658837092676656
5,0 days 01:03:43.472000,1,0 days 00:01:20.868000,6.0,,,0 days 00:00:25.697000,0 days 00:00:28.085000,0 days 00:00:27.086000,0 days 01:02:48.342000,0 days 01:03:16.427000,0 days 01:03:43.513000,212.0,252.0,276.0,284.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:02:22.604000,2024-05-19 13:10:02.590,1,1.0,False,,False,True,80.868,25.697,28.085,27.086,3768.342,3796.427,3823.513,3823.472,3742.604,217.06622766364032,308.0,58.16990781929928,10342.451948719454,11990.0,70.7133915254461,42.25653496908518,0.17828200972447325,110,0.0,0,7.328890430083727,7.243986511140823,5.518638573743922,8,0,0.13400000000000034,486.622,0.09523809523809523,28,0.21428571428571427,-22.0,0.32499999999998863,80.74820000000001,0.12145451823628813,-0.42190000000000083,24.0,-18.0,0.12006401193465421,0.0,452473.0613287741,15349.489143730616,23877.285043000436,26.06184214881768
6,0 days 01:05:04.340000,1,0 days 00:01:20.868000,7.0,,,0 days 00:00:25.734000,0 days 00:00:28.186000,0 days 00:00:26.948000,0 days 01:04:09.247000,0 days 01:04:37.433000,0 days 01:05:04.381000,214.0,250.0,276.0,284.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:03:43.472000,2024-05-19 13:11:23.458,1,1.0,False,,False,True,80.868,25.734,28.186,26.948,3849.247,3877.433,3904.381,3904.34,3823.472,217.1050297009283,310.0,59.04484619911587,10378.712665878033,12053.0,70.2809969256257,42.375914134299,0.19063004846526657,118,0.0,0,7.498229485613673,7.413892779935853,5.516962843295638,8,0,0.0,567.49,0.1111111111111111,28,0.25,-21.0,0.32499999999998863,80.8026,0.09406806046691756,0.04059999999999775,24.0,-17.0,0.11767156931839291,0.0,489668.21719490434,15258.357924948818,25618.39350470954,25.547089551824538
7,0 days 01:06:25.102000,1,0 days 00:01:20.762000,8.0,,,0 days 00:00:25.710000,0 days 00:00:28.135000,0 days 00:00:26.917000,0 days 01:05:30.091000,0 days 01:05:58.226000,0 days 01:06:25.143000,215.0,252.0,276.0,286.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:05:04.340000,2024-05-19 13:12:44.326,1,1.0,False,,False,True,80.762,25.71,28.135,26.917,3930.091,3958.226,3985.143,3985.102,3904.34,216.58697777994982,309.0,59.336971688169236,10324.562842204103,12045.0,69.46428548340268,42.90611293694378,0.19175911251980982,121,0.0,0,7.669945150300393,7.584259904363036,5.502377179080824,8,0,-0.10599999999999454,648.252,0.12698412698412698,28,0.2857142857142857,-20.0,0.2189999999999941,80.7806,0.08632380899849397,0.018899999999997877,24.0,-16.0,0.1153409834392496,0.0,498737.84126917593,15045.059656493826,26207.024311373927,24.981355017274314
8,0 days 01:07:45.645000,1,0 days 00:01:20.543000,9.0,,,0 days 00:00:25.629000,0 days 00:00:27.978000,0 days 00:00:26.936000,0 days 01:06:50.772000,0 days 01:07:18.750000,0 days 01:07:45.686000,219.0,255.0,277.0,287.0,True,MEDIUM,9.0,True,Red Bull Racing,0 days 01:06:25.102000,2024-05-19 13:14:05.088,1,1.0,False,,False,True,80.543,25.629,27.978,26.936,4010.772,4038.75,4065.686,4065.645,3985.102,216.3607621643518,310.0,59.011830794934816,10350.781200512216,11861.0,68.51242438963345,43.03001061963017,0.19402985074626866,117,0.0,0,7.8398340162705535,7.754069372729325,5.485903814262024,8,0,-0.2189999999999941,728.795,0.14285714285714285,28,0.32142857142857145,-19.0,0.0,80.755,0.13320285282233826,0.03159999999999883,24.0,-15.0,0.11312429601725608,0.0,473036.1006655223,14823.40035866862,25314.20917322916,24.475658905599275
9,0 days 01:09:06.738000,1,0 days 00:01:21.093000,10.0,,,0 days 00:00:25.633000,0 days 00:00:28.203000,0 days 00:00:27.257000,0 days 01:08:11.319000,0 days 01:08:39.522000,0 days 01:09:06.779000,218.0,251.0,276.0,283.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:07:45.645000,2024-05-19 13:15:25.631,1,1.0,False,,False,True,81.093,25.633,28.203,27.257,4091.319,4119.522,4146.779,4146.738,4065.645,216.86498553187258,309.0,60.54119417667957,10273.800604075941,11895.0,70.15460739258289,42.461921353679095,0.20193861066235863,125,0.0,0,8.007881550870222,7.923485324540812,5.533117932148627,8,0,0.5499999999999972,809.888,0.15873015873015872,28,0.35714285714285715,-18.0,0.5499999999999972,80.8268,0.19937326801757094,-0.048799999999997117,24.0,-14.0,0.11101389315042595,0.0,530905.463567885,15214.077917186689,27108.123191484072,24.075026331903974
10,0 days 01:10:27.623000,1,0 days 00:01:20.885000,11.0,,,0 days 00:00:25.704000,0 days 00:00:28.030000,0 days 00:00:27.151000,0 days 01:09:32.483000,0 days 01:10:00.513000,0 days 01:10:27.664000,218.0,255.0,277.0,289.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:09:06.738000,2024-05-19 13:16:46.724,1,1.0,True,TRACK LIMITS AT TURN 17 LAP 11 ,False,True,80.885,25.704,28.03,27.151,4172.483,4200.513,4227.664,4227.623,4146.738,216.2814928604652,311.0,60.17023882137209,10299.166067417207,11886.0,68.7059477936797,43.13835563746691,0.18831168831168832,116,0.0,0,8.179080865550642,8.094134433879645,5.488636363636363,8,0,-0.2079999999999984,890.773,0.1746031746031746,28,0.39285714285714285,-17.0,0.34199999999999875,80.8302,0.2003938621814708,0.012500000000002842,24.0,-13.0,0.10894336967364883,0.0,479550.1813145539,14859.82495721023,25088.653171813963,23.5624346302663
