Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
0,0 days 00:58:10.045000,63,0 days 00:01:43.267000,1.0,,,,0 days 00:00:33.383000,0 days 00:00:37.566000,,0 days 00:57:33.060000,0 days 00:58:10.705000,173.0,206.0,305.0,307.0,False,MEDIUM,2.0,False,Mercedes,0 days 00:56:26.961000,2024-11-24 06:03:40.011,1,1.0,False,,False,False,103.267,0.0,33.383,37.566,0.0,3453.06,3490.705,3490.045,3386.961,211.13140385642447,331.0,87.1174220326105,10145.909139404577,12134.0,68.80632694499933,39.920013577279896,0.16182048040455121,128,1.0,791,2.8973262809102573,0.0,5.414664981036663,8,0,0.0,103.267,0.02,28,0.07142857142857142,-26.0,5.131,103.267,0.0,0.0,12.5,-11.5,0.2565861639294005,3.7288208422708005,767261.4173416046,14527.176402101833,27024.819693622332,54.17339700054899
1,0 days 00:59:49.122000,63,0 days 00:01:39.077000,2.0,,,0 days 00:00:28.738000,0 days 00:00:33.235000,0 days 00:00:37.104000,0 days 00:58:38.841000,0 days 00:59:12.076000,0 days 00:59:49.180000,175.0,205.0,317.0,318.0,True,MEDIUM,3.0,False,Mercedes,0 days 00:58:10.045000,2024-11-24 06:05:23.095,1,1.0,False,,False,True,99.077,28.738,33.235,37.104,3518.841,3552.076,3589.18,3589.122,3490.045,223.0199897562231,335.0,83.80271371608708,10249.429883427103,12085.0,69.54567193366007,40.9738518859763,0.19612903225806452,152,0.02838709677419355,22,3.360560454325524,3.266955956713382,5.779354838709677,8,0,-4.189999999999998,202.344,0.04,28,0.10714285714285714,-25.0,0.9410000000000025,101.172,2.9627774131716325,0.0,12.5,-10.5,0.2293283192549331,0.09820552185517122,885873.637357913,15510.075042234523,33899.038442945915,51.144799411047046
2,0 days 01:01:27.986000,63,0 days 00:01:38.864000,3.0,,,0 days 00:00:28.368000,0 days 00:00:33.152000,0 days 00:00:37.344000,0 days 01:00:17.548000,0 days 01:00:50.700000,0 days 01:01:28.044000,178.0,207.0,312.0,320.0,True,MEDIUM,4.0,False,Mercedes,0 days 00:59:49.122000,2024-11-24 06:07:02.172,1,1.0,False,,False,True,98.864,28.368,33.152,37.344,3617.548,3650.7,3688.044,3687.986,3589.122,221.9697482645752,335.0,82.52662965021212,10390.987839275485,12350.0,68.94993700058922,41.09431309350035,0.18850267379679145,141,0.0,0,3.5473112286265285,3.454524887522359,5.652406417112299,8,0,-0.21299999999999386,301.20799999999997,0.06,28,0.14285714285714285,-24.0,0.7280000000000086,100.40266666666666,2.482870583283251,0.0,12.5,-9.5,0.21991017322604514,0.0,802319.0340506848,15304.800158879108,31297.734505305103,48.81340579180437
3,0 days 01:03:06.734000,63,0 days 00:01:38.748000,4.0,,,0 days 00:00:28.229000,0 days 00:00:32.970000,0 days 00:00:37.549000,0 days 01:01:56.273000,0 days 01:02:29.243000,0 days 01:03:06.792000,179.0,206.0,312.0,300.0,True,MEDIUM,5.0,False,Mercedes,0 days 01:01:27.986000,2024-11-24 06:08:41.036,1,1.0,False,,False,True,98.748,28.229,32.97,37.549,3716.273,3749.243,3786.792,3786.734,3687.986,223.14954437785988,333.0,83.11408454343932,10421.107141111033,11976.0,69.52932445380897,41.44143546027491,0.19553805774278216,149,0.0,0,3.734713924865703,3.642214928214021,5.703412073490814,8,0,-0.11599999999999966,399.956,0.08,28,0.17857142857142858,-23.0,0.612000000000009,99.989,2.1895763669410226,0.0,12.5,-8.5,0.2112060022778175,0.0,861051.0564844131,15515.437072767863,33249.28211230112,47.13052317816421
4,0 days 01:04:44.870000,63,0 days 00:01:38.136000,5.0,,,0 days 00:00:28.341000,0 days 00:00:32.594000,0 days 00:00:37.201000,0 days 01:03:35.133000,0 days 01:04:07.727000,0 days 01:04:44.928000,180.0,206.0,308.0,315.0,True,MEDIUM,6.0,False,Mercedes,0 days 01:03:06.734000,2024-11-24 06:10:19.784,1,1.0,False,,False,True,98.136,28.341,32.594,37.201,3815.133,3847.727,3884.928,3884.87,3786.734,223.48144065147176,334.0,82.47319849357089,10301.35368886478,12136.0,69.95989951412521,41.662497710081745,0.19838056680161945,147,0.0,0,3.92063981182098,3.828377849342026,5.794871794871795,8,0,-0.612000000000009,498.092,0.1,28,0.21428571428571427,-22.0,0.0,99.6184,2.0693973277261173,0.0,12.5,-7.5,0.20322560444226667,0.0,848163.0518451522,15634.739131248902,32851.77177576635,45.417150858023895
5,0 days 01:06:23.200000,63,0 days 00:01:38.330000,6.0,,,0 days 00:00:28.217000,0 days 00:00:33.033000,0 days 00:00:37.080000,0 days 01:05:13.145000,0 days 01:05:46.178000,0 days 01:06:23.258000,177.0,206.0,312.0,321.0,False,MEDIUM,7.0,False,Mercedes,0 days 01:04:44.870000,2024-11-24 06:11:57.920,1,1.0,False,,False,True,98.33,28.217,33.033,37.08,3913.145,3946.178,3983.258,3983.2,3884.87,221.99383244187828,334.0,82.20653731430205,10267.41461905614,11979.0,69.5115818985185,40.76851015338919,0.18096514745308312,135,0.0,0,4.10599931122254,4.0139863134405935,5.7922252010723865,8,0,0.19400000000000261,596.422,0.12,28,0.25,-21.0,0.19400000000000261,98.631,0.3881108089193406,-1.0590999999999995,12.5,-6.5,0.19584804835403863,0.0,771431.3709007578,15431.142464749615,29969.16737965357,43.47705883037533
6,0 days 01:08:01.698000,63,0 days 00:01:38.498000,7.0,,,0 days 00:00:28.127000,0 days 00:00:33.232000,0 days 00:00:37.139000,0 days 01:06:51.385000,0 days 01:07:24.617000,0 days 01:08:01.756000,178.0,205.0,312.0,321.0,False,MEDIUM,8.0,False,Mercedes,0 days 01:06:23.200000,2024-11-24 06:13:36.250,1,1.0,False,,False,True,98.498,28.127,33.232,37.139,4011.385,4044.617,4081.756,4081.698,3983.2,224.80602644609732,333.0,82.24319972855255,10326.464909136756,12124.0,71.29399347411794,39.31454554609154,0.16090425531914893,121,0.0,0,4.293690705100603,4.200412270216167,5.816489361702128,8,0,0.16800000000000637,694.92,0.14,28,0.2857142857142857,-20.0,0.362000000000009,98.51520000000001,0.29759233861111073,-0.22220000000000084,12.5,-5.5,0.18890412298483458,0.0,709476.9835132986,16027.319382390448,27201.529199977776,42.46678526750555
7,0 days 01:09:40.051000,63,0 days 00:01:38.353000,8.0,,,0 days 00:00:28.106000,0 days 00:00:33.174000,0 days 00:00:37.073000,0 days 01:08:29.862000,0 days 01:09:03.036000,0 days 01:09:40.109000,177.0,204.0,318.0,323.0,False,MEDIUM,9.0,False,Mercedes,0 days 01:08:01.698000,2024-11-24 06:15:14.748,1,1.0,False,,False,True,98.353,28.106,33.174,37.073,4109.862,4143.036,4180.109,4180.051,4081.698,222.818727846847,334.0,82.91749313224216,10369.111698634937,12182.0,69.05557483989219,40.26117530104736,0.1780821917808219,130,0.0,0,4.479708822771356,4.38662060706574,5.73013698630137,8,0,-0.14500000000001023,793.273,0.16,28,0.32142857142857145,-19.0,0.21699999999999875,98.41299999999998,0.22730376151756654,-0.11500000000000057,12.5,-4.5,0.18249144842229978,0.0,744368.9698288733,15386.875336557512,28966.43462009011,40.66251238038533
8,0 days 01:11:18.802000,63,0 days 00:01:38.751000,9.0,,,0 days 00:00:28.174000,0 days 00:00:33.293000,0 days 00:00:37.284000,0 days 01:10:08.283000,0 days 01:10:41.576000,0 days 01:11:18.860000,178.0,205.0,310.0,321.0,False,MEDIUM,10.0,False,Mercedes,0 days 01:09:40.051000,2024-11-24 06:16:53.101,1,1.0,False,,False,True,98.751,28.174,33.293,37.284,4208.283,4241.576,4278.86,4278.802,4180.051,223.36420138741488,333.0,82.47773596695549,10268.996117608802,12027.0,69.69814072178048,40.20409391773736,0.18157894736842106,138,0.0,0,4.665619519001664,4.573129826401219,5.788157894736842,8,0,0.39800000000001035,892.024,0.18,28,0.35714285714285715,-18.0,0.6150000000000091,98.4136,0.22841037629677458,-0.04280000000000115,12.5,-3.5,0.1765032043973559,0.0,793299.1890017432,15568.069540508157,30824.259791463253,39.42449729253506
9,0 days 01:12:57.483000,63,0 days 00:01:38.681000,10.0,,,0 days 00:00:28.296000,0 days 00:00:33.247000,0 days 00:00:37.138000,0 days 01:11:47.156000,0 days 01:12:20.403000,0 days 01:12:57.541000,177.0,205.0,314.0,321.0,False,MEDIUM,11.0,False,Mercedes,0 days 01:11:18.802000,2024-11-24 06:18:31.852,1,1.0,False,,False,True,98.681,28.296,33.247,37.138,4307.156,4340.403,4377.541,4377.483,4278.802,223.9430058050266,334.0,83.1156487388249,10274.159917223504,11939.0,69.61441486903595,40.08585254017546,0.1891891891891892,140,0.0,0,4.853280994676273,4.759639045736699,5.814864864864865,8,0,-0.07000000000000739,990.705,0.2,28,0.39285714285714285,-17.0,0.5450000000000017,98.5226,0.18955289499246844,0.12530000000000144,12.5,-2.5,0.17084435223757902,0.0,810046.615477907,15589.661313130047,31352.020812703722,38.259397764896164
