Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
0,0 days 01:00:41.446000,81,0 days 00:01:38.344000,1.0,,,,0 days 00:00:28.932000,0 days 00:00:41.859000,,0 days 00:59:59.730000,0 days 01:00:41.583000,277.0,272.0,256.0,308.0,False,MEDIUM,1.0,True,McLaren,0 days 00:59:02.863000,2025-03-23 07:03:38.698,12,1.0,False,,False,False,98.344,0.0,28.932,41.859,0.0,3599.73,3641.583,3641.446,3542.863,190.8155296085619,309.0,74.0805216771407,10250.001785413997,12090.0,61.643070975846584,41.504619417663704,0.18392370572207084,135,1.0,734,3.203945812061713,0.0,4.674386920980926,8,0,0.0,98.344,0.017857142857142856,28,0.03571428571428571,-27.0,0.8049999999999926,98.344,0.0,0.0,14.5,-13.5,0.23787176255480247,3.8265931934597495,616484.365515683,11762.455234954336,25760.096497155853,45.38962635081671
1,0 days 01:02:18.997000,81,0 days 00:01:37.551000,2.0,,,0 days 00:00:26.193000,0 days 00:00:29.261000,0 days 00:00:42.097000,0 days 01:01:07.760000,0 days 01:01:37.021000,0 days 01:02:19.118000,278.0,271.0,255.0,311.0,True,MEDIUM,2.0,True,McLaren,0 days 01:00:41.446000,2025-03-23 07:05:17.281,1,1.0,False,,False,True,97.551,26.193,29.261,42.097,3667.76,3697.021,3739.118,3738.997,3641.446,198.0794631611106,313.0,69.95296620111691,10058.731246962636,11865.0,60.15815133623883,43.208287211579226,0.21370967741935484,159,0.1639784946236559,122,2.560896092948122,0.4058333333414339,5.009408602150538,8,0,-0.7929999999999922,195.89499999999998,0.03571428571428571,28,0.07142857142857142,-26.0,0.012000000000000455,97.94749999999999,0.5607356774809217,0.0,14.5,-12.5,0.2808281887192289,0.6128206197806958,669110.339216149,11916.094321447035,31494.634642616584,55.62629686201191
2,0 days 01:03:56.686000,81,0 days 00:01:37.689000,3.0,,,0 days 00:00:26.011000,0 days 00:00:29.486000,0 days 00:00:42.192000,0 days 01:02:45.129000,0 days 01:03:14.615000,0 days 01:03:56.807000,275.0,272.0,256.0,310.0,False,MEDIUM,3.0,True,McLaren,0 days 01:02:18.997000,2025-03-23 07:06:54.832,12,1.0,False,,False,True,97.689,26.011,29.486,42.192,3765.129,3794.615,3836.807,3836.686,3738.997,199.10420994047254,312.0,71.36356523264435,10093.538396876158,11911.0,58.6797830178934,43.466693629816355,0.201949860724234,145,0.0,0,0.9031461321591387,0.860326635082119,5.012534818941504,8,0,0.13799999999999102,293.584,0.05357142857142857,28,0.10714285714285714,-25.0,0.14999999999999147,97.86133333333333,0.4236582742415477,0.0,14.5,-11.5,0.5254457254238747,0.0,607201.7858690534,11683.391837256022,28870.110441368517,104.61845602711904
3,0 days 01:05:34.490000,81,0 days 00:01:37.804000,4.0,,,0 days 00:00:26.345000,0 days 00:00:29.430000,0 days 00:00:42.029000,0 days 01:04:23.152000,0 days 01:04:52.582000,0 days 01:05:34.611000,271.0,269.0,256.0,313.0,False,MEDIUM,4.0,True,McLaren,0 days 01:03:56.686000,2025-03-23 07:08:32.521,1,1.0,False,,False,True,97.804,26.345,29.43,42.029,3863.152,3892.582,3934.611,3934.49,3836.686,196.7690087086988,313.0,72.39396871645407,10063.768954737681,12188.0,59.60963060272488,42.955940586898826,0.20989304812834225,157,0.0,0,0.990595569266755,0.946968847557144,4.974598930481283,8,0,0.1150000000000091,391.388,0.07142857142857142,28,0.14285714285714285,-24.0,0.26500000000000057,97.847,0.3471013300656285,0.0,14.5,-10.5,0.5023622153285283,0.0,677514.3040893285,11729.32792318989,30892.73436726571,98.84931512290042
4,0 days 01:07:12.572000,81,0 days 00:01:38.082000,5.0,,,0 days 00:00:26.312000,0 days 00:00:29.729000,0 days 00:00:42.041000,0 days 01:06:00.923000,0 days 01:06:30.652000,0 days 01:07:12.693000,273.0,270.0,256.0,313.0,False,MEDIUM,5.0,True,McLaren,0 days 01:05:34.490000,2025-03-23 07:10:10.325,1,1.0,False,,False,True,98.082,26.312,29.729,42.041,3960.923,3990.652,4032.693,4032.572,3934.49,199.4350282546218,313.0,72.18443265848629,10175.872847359804,11946.0,60.46963987346919,41.92596001130459,0.1802168021680217,133,0.0,0,1.0771829104196464,1.0336279148792142,4.94579945799458,8,0,0.2779999999999916,489.46999999999997,0.08928571428571429,28,0.17857142857142858,-23.0,0.5429999999999922,97.89399999999999,0.31844073231921255,0.0,14.5,-9.5,0.4814212532674714,0.0,580540.5640948041,12059.764336712135,26524.858757864702,96.01226124777361
5,0 days 01:08:50.111000,81,0 days 00:01:37.539000,6.0,,,0 days 00:00:26.187000,0 days 00:00:29.451000,0 days 00:00:41.901000,0 days 01:07:38.880000,0 days 01:08:08.331000,0 days 01:08:50.232000,272.0,271.0,257.0,312.0,True,MEDIUM,6.0,True,McLaren,0 days 01:07:12.572000,2025-03-23 07:11:48.407,12,1.0,False,,False,True,97.539,26.187,29.451,41.901,4058.88,4088.331,4130.232,4130.111,4032.572,200.61361125106097,313.0,71.79201438805964,10165.892230146048,12557.0,61.331437048929075,42.586046740740734,0.21418826739427013,157,0.0,0,1.1635298817560813,1.1205965738576422,5.023192360163711,8,0,-0.5429999999999922,587.009,0.10714285714285714,28,0.21428571428571427,-22.0,0.0,97.73299999999999,0.22334838257752154,-0.027100000000000082,14.5,-8.5,0.46220762118077424,0.0,691287.8635359632,12303.921069602775,31496.336966416573,92.7251400328375
6,0 days 01:10:28.009000,81,0 days 00:01:37.898000,7.0,,,0 days 00:00:26.337000,0 days 00:00:29.711000,0 days 00:00:41.850000,0 days 01:09:16.569000,0 days 01:09:46.280000,0 days 01:10:28.130000,272.0,269.0,257.0,314.0,False,MEDIUM,7.0,True,McLaren,0 days 01:08:50.111000,2025-03-23 07:13:25.946,1,1.0,False,,False,True,97.898,26.337,29.711,41.85,4156.569,4186.28,4228.13,4228.009,4130.111,197.61276738627714,314.0,72.18699523026243,10102.244108323624,11846.0,60.10783185355855,42.40385781603582,0.17881705639614856,130,0.0,0,1.25049073999385,1.2072378993071675,4.968363136176066,8,0,0.35899999999999466,684.9069999999999,0.125,28,0.25,-21.0,0.35899999999999466,97.8024,0.20588661928352112,0.03689999999999998,14.5,-7.5,0.44434752928720456,0.0,564070.4902708521,11878.074994170725,25689.65976021603,87.80874494369932
7,0 days 01:12:06.202000,81,0 days 00:01:38.193000,8.0,,,0 days 00:00:26.341000,0 days 00:00:29.696000,0 days 00:00:42.156000,0 days 01:10:54.471000,0 days 01:11:24.167000,0 days 01:12:06.323000,271.0,269.0,256.0,315.0,False,MEDIUM,8.0,True,McLaren,0 days 01:10:28.009000,2025-03-23 07:15:03.844,1,1.0,False,,False,True,98.193,26.341,29.696,42.156,4254.471,4284.167,4326.323,4326.202,4228.009,196.20134431865446,315.0,73.63682926026502,10076.244244075086,11877.0,60.37606768601692,42.40561032224732,0.18523489932885906,138,0.0,0,1.3374422385643856,1.294004303527447,4.923489932885906,8,0,0.2950000000000017,783.1,0.14285714285714285,28,0.2857142857142857,-20.0,0.6539999999999964,97.9032,0.2541961840783683,0.01530000000000058,14.5,-6.5,0.4278180583466233,0.0,613534.5018889976,11845.865644670592,27075.785515974316,83.93847817140404
8,0 days 01:13:44.401000,81,0 days 00:01:38.199000,9.0,,,0 days 00:00:26.468000,0 days 00:00:29.696000,0 days 00:00:42.035000,0 days 01:12:32.791000,0 days 01:13:02.487000,0 days 01:13:44.522000,271.0,267.0,257.0,314.0,False,MEDIUM,9.0,True,McLaren,0 days 01:12:06.202000,2025-03-23 07:16:42.037,1,1.0,False,,False,True,98.199,26.468,29.696,42.035,4352.791,4382.487,4424.522,4424.401,4326.202,197.443867283396,315.0,73.1346578608582,10067.29768206134,12133.0,60.25516184733174,42.70588736686728,0.2,149,0.0,0,1.424440646286122,1.3811157826949876,4.993288590604027,8,0,0.006000000000000227,881.299,0.16071428571428573,28,0.32142857142857145,-19.0,0.6599999999999966,97.9822,0.27609545450805323,0.05939999999999941,14.5,-5.5,0.41246627403803404,0.0,656604.3562622312,11897.012178924115,29419.136225226004,81.43893627004243
9,0 days 01:15:22.395000,81,0 days 00:01:37.994000,10.0,,,0 days 00:00:26.314000,0 days 00:00:29.785000,0 days 00:00:41.895000,0 days 01:14:10.836000,0 days 01:14:40.621000,0 days 01:15:22.516000,272.0,270.0,256.0,316.0,False,MEDIUM,10.0,True,McLaren,0 days 01:13:44.401000,2025-03-23 07:18:20.236,1,1.0,False,,False,True,97.994,26.314,29.785,41.895,4450.836,4480.621,4522.516,4522.395,4424.401,196.9521360438247,316.0,73.98712156353132,10065.648054350406,11997.0,60.77784918474034,42.44048653670559,0.18758434547908232,139,0.0,0,1.5116527810885019,1.468299115469834,4.920377867746288,8,0,-0.2049999999999983,979.293,0.17857142857142858,28,0.35714285714285715,-18.0,0.4549999999999983,97.96459999999999,0.2708990586916239,0.08880000000000053,14.5,-4.5,0.398144205094551,0.0,625052.1581241885,11970.32722108404,27376.346910091634,78.41535164684245
10,0 days 01:17:00.519000,81,0 days 00:01:38.124000,11.0,,,0 days 00:00:26.314000,0 days 00:00:29.718000,0 days 00:00:42.092000,,0 days 01:16:18.548000,0 days 01:17:00.640000,273.0,270.0,257.0,315.0,False,MEDIUM,11.0,True,McLaren,0 days 01:15:22.395000,2025-03-23 07:19:58.230,1,1.0,False,,False,True,98.124,26.314,29.718,42.092,0.0,4578.548,4620.64,4620.519,4522.395,199.68441415669432,316.0,72.87867975816573,10153.821201209632,12080.0,61.08425128510723,42.95810742049476,0.18679775280898878,133,0.0,0,1.5991052124845564,1.5552766453845344,5.054775280898877,8,0,0.12999999999999545,1077.417,0.19642857142857142,28,0.39285714285714285,-17.0,0.5849999999999937,98.08160000000001,0.13169396341524225,0.12109999999999986,14.5,-3.5,0.38474779520143876,0.0,592081.3651607288,12197.57293206694,26558.027082840345,76.8281380828791
11,0 days 01:18:38.632000,81,0 days 00:01:38.113000,12.0,,,0 days 00:00:26.340000,0 days 00:00:29.782000,0 days 00:00:41.991000,0 days 01:17:26.980000,0 days 01:17:56.762000,0 days 01:18:38.753000,272.0,271.0,258.0,314.0,False,MEDIUM,12.0,True,McLaren,0 days 01:17:00.519000,2025-03-23 07:21:36.354,1,1.0,False,,False,True,98.113,26.34,29.782,41.991,4646.98,4676.762,4718.753,4718.632,4620.519,197.00993589164938,315.0,72.79572768177215,10042.978520472201,12090.0,60.0770989670632,42.77485989554541,0.18463611859838275,137,0.0,0,1.6857707538784228,1.642239094730281,4.966307277628032,8,0,-0.01099999999999568,1175.53,0.21428571428571427,28,0.42857142857142855,-16.0,0.5739999999999981,98.1246,0.08277258000097083,0.025300000000000013,14.5,-2.5,0.37233259709747635,0.0,599149.7906754575,11835.785416057397,26990.361217155965,73.35322108454513
12,0 days 01:20:16.587000,81,0 days 00:01:37.955000,13.0,,,0 days 00:00:26.160000,0 days 00:00:29.706000,0 days 00:00:42.089000,0 days 01:19:04.913000,0 days 01:19:34.619000,0 days 01:20:16.708000,273.0,270.0,258.0,314.0,False,MEDIUM,13.0,True,McLaren,0 days 01:18:38.632000,2025-03-23 07:23:14.467,1,1.0,False,,False,True,97.955,26.16,29.706,42.089,4744.913,4774.619,4816.708,4816.587,4718.632,197.27013841596013,314.0,72.41709881432436,10119.148460036402,12140.0,59.68149910710683,42.644894987929106,0.2063273727647868,150,0.0,0,1.7726074948033417,1.729180254101486,4.927097661623109,8,0,-0.15800000000000125,1273.485,0.23214285714285715,28,0.4642857142857143,-15.0,0.4159999999999968,98.077,0.10020229538295831,-0.023499999999999945,14.5,-1.5,0.3606713181993072,0.0,648294.152733955,11773.377589730966,29590.52076239402,71.14968086384413
