Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
0,0 days 00:57:41.632000,1,0 days 00:01:34.725000,1.0,,,,0 days 00:00:41.962000,0 days 00:00:18.147000,,0 days 00:57:23.704000,0 days 00:57:41.736000,281.0,295.0,262.0,293.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:56:06.651000,2025-04-06 05:03:47.081,1,1.0,False,,False,False,94.725,0.0,41.962,18.147,0.0,3443.704,3461.736,3461.632,3366.651,208.41723238005954,301.0,64.43224153523768,10319.528510827437,11968.0,66.32579574331785,42.28482791553673,0.1673525377229081,122,1.0,729,2.567028617820418,0.0,5.142661179698217,8,0,0.0,94.725,0.018867924528301886,28,0.03571428571428571,-27.0,1.6610000000000014,94.725,0.0,0.0,22.0,-21.0,0.28034538186885527,3.481088885163848,521369.40234473604,13823.438784227441,25426.902350367265,58.42880859963773
1,0 days 00:59:15.575000,1,0 days 00:01:33.943000,2.0,,,0 days 00:00:33.894000,0 days 00:00:42.026000,0 days 00:00:18.023000,0 days 00:58:15.547000,0 days 00:58:57.573000,0 days 00:59:15.596000,279.0,296.0,262.0,295.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:57:41.632000,2025-04-06 05:05:22.062,1,1.0,False,,False,True,93.943,33.894,42.026,18.023,3495.547,3537.573,3555.596,3555.575,3461.632,221.99628277326485,302.0,60.01121505261582,10323.749577689181,11935.0,66.99295679154852,42.88975340849885,0.13263785394932937,89,0.14307004470938897,96,1.8964220146542303,1.464354488709885,5.61698956780924,8,0,-0.7819999999999965,188.668,0.03773584905660377,28,0.07142857142857142,-26.0,0.8790000000000049,94.334,0.5529575028878827,0.0,22.0,-20.0,0.3452535559185005,0.4305004496313043,357809.2575955114,14872.18737971372,19757.66916682057,76.64500602815863
2,0 days 01:00:49.214000,1,0 days 00:01:33.639000,3.0,,,0 days 00:00:33.567000,0 days 00:00:42.027000,0 days 00:00:18.045000,0 days 00:59:49.163000,0 days 01:00:31.190000,0 days 01:00:49.235000,282.0,296.0,262.0,296.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 00:59:15.575000,2025-04-06 05:06:56.005,1,1.0,False,,False,True,93.639,33.567,42.027,18.045,3589.163,3631.19,3649.235,3649.214,3555.575,221.4743885585247,304.0,60.21517010798262,10348.058134985336,12028.0,68.25621380164779,42.21713646955438,0.14,98,0.0,0,1.033530479169071,0.6037948065393889,5.5928571428571425,8,0,-0.30400000000000205,282.307,0.05660377358490566,28,0.10714285714285714,-25.0,0.5750000000000028,94.10233333333333,0.5602582737749958,0.0,22.0,-19.0,0.4917555995564001,0.0,402785.8334493192,15117.003217039879,21704.49007873542,108.91127073198443
3,0 days 01:02:22.958000,1,0 days 00:01:33.744000,4.0,,,0 days 00:00:33.570000,0 days 00:00:42.140000,0 days 00:00:18.034000,0 days 01:01:22.805000,0 days 01:02:04.945000,0 days 01:02:22.979000,283.0,296.0,263.0,296.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:00:49.214000,2025-04-06 05:08:29.644,1,1.0,False,,False,True,93.744,33.57,42.14,18.034,3682.805,3724.945,3742.979,3742.958,3649.214,221.84621499785925,304.0,61.81999446528961,10285.580560712564,12042.0,67.11877918834494,42.42571364167102,0.14051841746248295,103,0.0,0,0.43821394861337615,0.1608333333606424,5.656207366984993,8,0,0.10500000000000398,376.051,0.07547169811320754,28,0.14285714285714285,-24.0,0.6800000000000068,94.01275,0.49128428633531823,0.0,22.0,-18.0,0.6953068428825413,0.0,427376.1034678694,14890.047118211414,22850.160144779504,154.251191355603
4,0 days 01:03:56.734000,1,0 days 00:01:33.776000,5.0,,,0 days 00:00:33.486000,0 days 00:00:42.157000,0 days 00:00:18.133000,0 days 01:02:56.465000,0 days 01:03:38.622000,0 days 01:03:56.755000,283.0,297.0,263.0,298.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:02:22.958000,2025-04-06 05:10:03.388,1,1.0,False,,False,True,93.776,33.486,42.157,18.133,3776.465,3818.622,3836.755,3836.734,3742.958,222.99148802739353,305.0,60.43110155936769,10347.972426930719,12032.0,68.25318816743653,42.07098294598158,0.155049786628734,109,0.0,0,0.6823615129706938,0.5930555556260515,5.684210526315789,8,0,0.031999999999996476,469.827,0.09433962264150944,28,0.17857142857142858,-23.0,0.7120000000000033,93.9654,0.4384407599665006,0.0,22.0,-17.0,0.5944025658517426,0.0,449583.0727027719,15219.879992070362,24306.072194985896,132.54671264658086
5,0 days 01:05:30.380000,1,0 days 00:01:33.646000,6.0,,,0 days 00:00:33.319000,0 days 00:00:42.252000,0 days 00:00:18.075000,0 days 01:04:30.074000,0 days 01:05:12.326000,0 days 01:05:30.401000,283.0,297.0,263.0,297.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:03:56.734000,2025-04-06 05:11:37.164,1,1.0,False,,False,True,93.646,33.319,42.252,18.075,3870.074,3912.326,3930.401,3930.38,3836.734,221.17886227174503,306.0,61.311066687611806,10306.200214727893,11862.0,67.65143125014522,41.791045841954535,0.1596045197740113,113,0.0,0,0.6127107230222643,0.6027100639008094,5.6440677966101696,8,0,-0.12999999999999545,563.473,0.11320754716981132,28,0.21428571428571427,-22.0,0.5820000000000078,93.74959999999999,0.12358923901378853,-0.20969999999999944,22.0,-16.0,0.6200740069030933,0.0,468699.2996565744,14963.066594962298,24993.211436707188,137.14726337110835
6,0 days 01:07:03.906000,1,0 days 00:01:33.526000,7.0,,,0 days 00:00:33.193000,0 days 00:00:42.278000,0 days 00:00:18.055000,0 days 01:06:03.594000,0 days 01:06:45.872000,0 days 01:07:03.927000,281.0,296.0,263.0,297.0,True,MEDIUM,7.0,True,Red Bull Racing,0 days 01:05:30.380000,2025-04-06 05:13:10.810,1,1.0,False,,False,True,93.526,33.193,42.278,18.055,3963.594,4005.872,4023.927,4023.906,3930.38,222.4841629095863,307.0,61.154907820145525,10306.359993244725,11993.0,68.16941546901944,42.02790858167252,0.13904494382022473,99,0.0,0,0.632598335457653,0.6227889996028116,5.658707865168539,8,0,-0.12000000000000455,656.999,0.1320754716981132,28,0.25,-21.0,0.4620000000000033,93.66619999999999,0.09863163792621629,-0.045699999999999366,22.0,-15.0,0.6125205314016678,0.0,412720.5375969476,15166.615336660594,22025.932128049044,136.27611769383503
7,0 days 01:08:37.442000,1,0 days 00:01:33.536000,8.0,,,0 days 00:00:33.130000,0 days 00:00:42.336000,0 days 00:00:18.070000,0 days 01:07:37.057000,0 days 01:08:19.393000,0 days 01:08:37.463000,284.0,296.0,263.0,297.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:07:03.906000,2025-04-06 05:14:44.336,1,1.0,False,,False,True,93.536,33.13,42.336,18.07,4057.057,4099.393,4117.463,4117.442,4023.906,223.76308349925955,307.0,60.8978201815614,10327.893880139396,11890.0,67.88058626823427,42.10224488557256,0.1558073654390935,110,0.0,0,0.6526125210994921,0.6427846256191565,5.720963172804533,8,0,0.010000000000005116,750.535,0.1509433962264151,28,0.2857142857142857,-20.0,0.4720000000000084,93.6456,0.11511211925773995,-0.03239999999999981,22.0,-14.0,0.6051025193338694,0.0,454715.77100200864,15189.169293117595,24613.939184918552,135.39960555931694
8,0 days 01:10:10.971000,1,0 days 00:01:33.529000,9.0,,,0 days 00:00:33.067000,0 days 00:00:42.336000,0 days 00:00:18.126000,0 days 01:09:10.530000,0 days 01:09:52.866000,0 days 01:10:10.992000,282.0,297.0,262.0,297.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:08:37.442000,2025-04-06 05:16:17.872,1,1.0,False,,False,True,93.529,33.067,42.336,18.126,4150.53,4192.866,4210.992,4210.971,4117.442,221.4557978928534,306.0,61.81384709218235,10242.628667588935,11951.0,68.0012470736357,41.882486456843885,0.16853932584269662,120,0.0,0,0.6729794487410299,0.662811519536396,5.717696629213483,8,0,-0.007000000000005002,844.064,0.16981132075471697,28,0.32142857142857145,-19.0,0.4650000000000034,93.6026,0.10916867682631765,-0.06659999999999969,22.0,-13.0,0.5977359738355015,0.0,504410.24264249153,15059.270428401056,26574.69574714241,132.37209701500274
9,0 days 01:11:44.526000,1,0 days 00:01:33.555000,10.0,,,0 days 00:00:33.118000,0 days 00:00:42.367000,0 days 00:00:18.070000,0 days 01:10:44.110000,0 days 01:11:26.477000,0 days 01:11:44.547000,282.0,297.0,262.0,298.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:10:10.971000,2025-04-06 05:17:51.401,1,1.0,False,,False,True,93.555,33.118,42.367,18.07,4244.11,4286.477,4304.547,4304.526,4210.971,223.97569363939786,307.0,60.954645523056016,10304.359888085635,11964.0,69.44852825123881,41.25653607747112,0.14747191011235955,105,0.0,0,0.6928293202485203,0.682852762393315,5.693820224719101,8,0,0.02600000000001046,937.619,0.18867924528301888,28,0.35714285714285715,-18.0,0.49100000000001387,93.55839999999999,0.05025236312862074,-0.060399999999999926,22.0,-12.0,0.590727008351434,0.0,444487.0942734813,15554.78228730653,23517.447832136775,132.30849144703882
