Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
24,0 days 01:36:50.319000,1,0 days 00:01:32.523000,25.0,,,0 days 00:00:30.940000,0 days 00:00:35.338000,0 days 00:00:26.245000,0 days 01:35:48.765000,0 days 01:36:24.103000,0 days 01:36:50.348000,207.0,183.0,277.0,311.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:35:17.796000,2025-05-04 20:41:44.637,1,3.0,False,,False,True,92.523,30.94,35.338,26.245,5748.765,5784.103,5810.348,5810.319,5717.796,206.74961452042217,316.0,81.0695331597262,9883.717141796025,11865.0,64.87926719609568,42.84755867536606,0.19313304721030042,135.0,0.0,0.0,262.3402845436737,1.1338888886966745,5.370529327610873,8.0,0,0.0,92.523,0.43859649122807015,28,0.03571428571428571,-27.0,1.4979999999999905,92.523,0.0,0.0,26.5,-1.5,0.003797368115299332,0.0,710063.806949903,13413.763483160254,27911.19796025699,0.7851043940302789
25,0 days 01:38:27.254000,1,0 days 00:01:36.935000,26.0,,0 days 01:38:21.934000,0 days 00:00:30.974000,0 days 00:00:35.241000,0 days 00:00:30.720000,0 days 01:37:21.322000,0 days 01:37:56.563000,0 days 01:38:27.283000,208.0,183.0,0.0,309.0,False,MEDIUM,2.0,True,Red Bull Racing,0 days 01:36:50.319000,2025-05-04 20:43:17.160,1,4.0,False,,False,False,96.935,30.974,35.241,30.72,5841.322,5876.563,5907.283,5907.254,5810.319,197.65257175902556,316.0,84.79137754429678,9713.09170224974,12011.0,62.713122003034805,42.11537392927617,0.20798898071625344,151.0,0.0,0.0,292.57434130458864,12.172222221881384,5.099173553719008,8.0,1,4.412000000000006,189.458,0.45614035087719296,28,0.07142857142857142,-26.0,5.909999999999997,94.729,3.119755118595052,0.0,26.5,-0.5,0.003406292237789549,0.0,802947.3327158713,12395.409846937362,29845.53833561286,0.6732624209619106
26,0 days 01:40:12.765000,1,0 days 00:01:45.511000,27.0,0 days 01:38:44.374000,,0 days 00:00:45.272000,0 days 00:00:34.872000,0 days 00:00:25.367000,0 days 01:39:12.555000,0 days 01:39:47.427000,0 days 01:40:12.794000,215.0,188.0,278.0,328.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 01:38:27.254000,2025-05-04 20:44:54.095,1,5.0,False,,False,False,105.511,45.272,34.872,25.367,5952.555,5987.427,6012.794,6012.765,5907.254,180.72219984423273,336.0,96.30465513847665,9706.348532567758,11864.0,59.72301398723071,41.48606701456797,0.21563682219419925,171.0,2.4665825977301385,1956.0,180.97644482567307,0.5241666668152902,4.427490542244641,8.0,0,8.575999999999993,294.969,0.47368421052631576,28,0.10714285714285714,-25.0,14.48599999999999,98.323,6.604312530460685,0.0,26.5,0.5,0.005495216707623694,10.763682157032159,983524.3294638847,10793.274469100215,30903.496173363797,0.9931076520225359
27,0 days 01:41:49.377000,1,0 days 00:01:36.612000,28.0,,,0 days 00:00:30.252000,0 days 00:00:34.876000,0 days 00:00:31.484000,0 days 01:40:43.046000,0 days 01:41:17.922000,0 days 01:41:49.406000,214.0,186.0,102.0,307.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:40:12.765000,2025-05-04 20:46:39.606,16,5.0,False,,False,False,96.612,30.252,34.876,31.484,6043.046,6077.922,6109.406,6109.377,6012.765,200.66528434567175,314.0,83.52197968091214,9876.509276089826,11785.0,58.74000433904844,44.6188176371914,0.20509383378016086,153.0,0.11528150134048257,86.0,156.32580598800865,0.60305555575178,5.103217158176943,8.0,0,-8.899000000000001,391.581,0.49122807017543857,28,0.14285714285714285,-24.0,5.586999999999989,97.89525,5.4598390925618565,0.0,26.5,1.5,0.006356236306688426,0.4264492040810979,750630.4616759924,11787.079673161148,30701.788504887776,1.2754759658499155
28,0 days 01:43:54.081000,1,0 days 00:02:04.704000,29.0,,,0 days 00:00:40.474000,0 days 00:00:48.161000,0 days 00:00:36.069000,0 days 01:42:29.880000,0 days 01:43:18.041000,0 days 01:43:54.110000,155.0,137.0,257.0,200.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:41:49.377000,2025-05-04 20:48:16.218,67,5.0,False,,False,False,124.704,40.474,48.161,36.069,6149.88,6198.041,6234.11,6234.081,6109.377,154.169862189296,277.0,57.675616951869664,9630.634541441013,12551.0,38.19032671016414,35.69976051052229,0.22532188841201717,210.0,1.0,932.0,337.3265592987656,0.1724999999569263,3.563304721030043,7.0,0,28.092,516.285,0.5087719298245614,28,0.17857142857142858,-23.0,33.67899999999999,103.25699999999999,12.887947761377683,0.0,26.5,2.5,0.0029557242034815583,6.0063209881763475,462556.6374664586,5887.797405870196,32375.67105975216,0.4556835931203185
29,0 days 01:45:25.980000,1,0 days 00:01:31.899000,30.0,,,0 days 00:00:31.616000,0 days 00:00:34.486000,0 days 00:00:25.797000,0 days 01:44:25.726000,0 days 01:45:00.212000,0 days 01:45:26.009000,209.0,186.0,279.0,309.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 01:43:54.081000,2025-05-04 20:50:20.922,71,4.0,False,,False,False,91.899,31.616,34.486,25.797,6265.726,6300.212,6326.009,6325.98,6234.081,207.95390450833966,317.0,77.20493835325482,10102.612231232206,12267.0,63.97323653660832,43.09982047696851,0.20538243626062322,145.0,0.05807365439093484,41.0,98.75406791084723,0.968888889241498,5.260623229461756,8.0,0,-32.80499999999999,608.184,0.5263157894736842,28,0.21428571428571427,-22.0,0.8739999999999952,103.13219999999998,13.020218151014213,6.403899999999999,26.5,3.5,0.010024653840620571,0.19621552464631561,716162.2185447199,13303.484321823273,30153.31615370925,2.084665907501571
30,0 days 01:46:57.005000,1,0 days 00:01:31.025000,31.0,,,0 days 00:00:30.488000,0 days 00:00:34.641000,0 days 00:00:25.896000,0 days 01:45:56.497000,0 days 01:46:31.138000,0 days 01:46:57.034000,210.0,186.0,279.0,309.0,True,MEDIUM,7.0,True,Red Bull Racing,0 days 01:45:25.980000,2025-05-04 20:51:52.821,1,4.0,False,,False,True,91.025,30.488,34.641,25.896,6356.497,6391.138,6417.034,6417.005,6325.98,210.6757576492223,316.0,80.55877057795323,9985.962621483237,11856.0,65.15216091214828,42.908417915382024,0.17018072289156627,113.0,0.0,0.0,157.20006787249307,1.255555555864703,5.423192771084337,8.0,0,-0.8739999999999952,699.209,0.543859649122807,28,0.25,-21.0,0.0,101.95020000000001,13.957952095490223,0.9120999999999996,26.5,4.5,0.006321109803859157,0.0,593089.3121444999,13725.980862650884,23806.360614362122,1.331704597111955
31,0 days 01:48:28.786000,1,0 days 00:01:31.781000,32.0,,,0 days 00:00:30.464000,0 days 00:00:34.720000,0 days 00:00:26.597000,0 days 01:47:27.498000,0 days 01:48:02.218000,0 days 01:48:28.815000,214.0,187.0,280.0,304.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:46:57.005000,2025-05-04 20:53:23.846,1,4.0,False,,False,True,91.781,30.464,34.72,26.597,6447.498,6482.218,6508.815,6508.786,6417.005,209.3154605847023,318.0,79.96648418222615,9942.280935405153,12006.0,63.477921237879244,43.36983015406985,0.1729106628242075,120.0,0.0,0.0,204.12804148420557,2.66388888907386,5.393371757925072,8.0,0,0.7560000000000002,790.99,0.5614035087719298,28,0.2857142857142857,-20.0,0.7560000000000002,99.2042,14.4250516359561,-3.3684999999999974,26.5,5.5,0.004875003889105029,0.0,609132.7421507362,13286.910320866149,25117.855270164277,1.0204136844002343
32,0 days 01:50:27.863000,1,0 days 00:01:59.077000,33.0,,,0 days 00:00:39.579000,0 days 00:00:46.708000,0 days 00:00:32.790000,0 days 01:49:08.394000,0 days 01:49:55.102000,0 days 01:50:27.892000,174.0,134.0,278.0,300.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:48:28.786000,2025-05-04 20:54:55.627,167,4.0,False,,False,False,119.077,39.579,46.708,32.79,6548.394,6595.102,6627.892,6627.863,6508.786,161.87768453000825,301.0,71.4050571099705,9366.652612540553,12435.0,43.51471576732558,42.239266856169365,0.2085747392815759,180.0,0.8099652375434531,699.0,257.63846354886897,3.195833333418705,3.9687137891077637,8.0,0,27.295999999999992,119.077,0.5789473684210527,40,0.025,-39.0,28.611000000000004,119.077,0.0,0.0,0.0,0.0,0.0038664009454690137,4.291563954982536,559290.7376082031,7044.061431396107,29137.983215401484,0.6258840325171586
33,0 days 01:51:58.742000,1,0 days 00:01:30.879000,34.0,,,0 days 00:00:30.357000,0 days 00:00:34.612000,0 days 00:00:25.910000,0 days 01:50:58.249000,0 days 01:51:32.861000,0 days 01:51:58.771000,212.0,186.0,279.0,311.0,True,HARD,2.0,True,Red Bull Racing,0 days 01:50:27.863000,2025-05-04 20:56:54.704,1,4.0,False,,False,True,90.879,30.357,34.612,25.91,6658.249,6692.861,6718.771,6718.742,6627.863,211.57359731953355,317.0,81.5435511858539,9906.092423734783,11867.0,65.52174226566464,43.04285466640349,0.17820324005891017,121.0,0.0,0.0,264.0800716958386,2.0438888887001667,5.511045655375552,8.0,0,-28.197999999999993,209.95600000000002,0.5964912280701754,40,0.05,-38.0,0.4130000000000109,104.97800000000001,19.938997015898266,0.0,0.0,0.0,0.0037724450336931855,0.0,646487.9408514127,13862.670713789992,25600.40527566356,0.7981497664686762
