Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
0,0 days 01:00:10.717000,1,0 days 00:01:28.940000,1.0,,,,0 days 00:00:29.257000,0 days 00:00:25.647000,,0 days 00:59:45.186000,0 days 01:00:10.905000,242.0,284.0,277.0,243.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:58:41.498000,2025-11-30 16:03:27.173,1,2.0,False,,False,False,88.94,0.0,29.257,25.647,0.0,3585.186,3610.905,3610.717,3521.498,205.22506551787757,289.0,57.658650811570325,10461.024543852389,12103.0,68.5569724581433,40.13637196478033,0.14903129657228018,100.0,1.0,671.0,59.593492431359486,0.0133333333333212,5.022354694485842,7.0,0,0.0,88.94,0.017543859649122806,28,0.03571428571428571,-27.0,2.096999999999994,88.94,0.0,0.0,19.5,-18.5,0.0165034223952812,3.253726690860628,395290.25356625294,14069.609164429789,20522.506551787756,3.386915942340792
1,0 days 01:01:38.066000,1,0 days 00:01:27.349000,2.0,,,0 days 00:00:32.280000,0 days 00:00:29.444000,0 days 00:00:25.625000,0 days 01:00:43.023000,0 days 01:01:12.467000,0 days 01:01:38.092000,236.0,284.0,277.0,303.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:00:10.717000,2025-11-30 16:04:56.392,1,2.0,False,,False,True,87.349,32.28,29.444,25.625,3643.023,3672.467,3698.092,3698.066,3610.717,221.20105427274788,304.0,50.2379927053357,10479.148583693433,11903.0,68.16661172431664,41.11374741995701,0.14893617021276595,98.0,0.2933130699088146,193.0,124.55768398081425,62.11527777777792,5.531914893617022,8.0,0,-1.590999999999994,176.289,0.03508771929824561,28,0.07142857142857142,-26.0,0.5060000000000002,88.1445,1.1250068888677878,0.0,19.5,-17.5,0.007964466755796517,0.8685827375197595,335606.26677025965,15078.526379619896,21677.70331872929,1.7617484431024417
2,0 days 01:03:05.577000,1,0 days 00:01:27.511000,3.0,,,0 days 00:00:32.250000,0 days 00:00:29.509000,0 days 00:00:25.752000,0 days 01:02:10.342000,0 days 01:02:39.851000,0 days 01:03:05.603000,237.0,284.0,276.0,306.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 01:01:38.066000,2025-11-30 16:06:23.741,1,2.0,False,,False,True,87.511,32.25,29.509,25.752,3730.342,3759.851,3785.603,3785.577,3698.066,219.93542519775863,307.0,51.25672600117437,10464.717425541268,12061.0,67.98217829792019,41.018990462565455,0.14814814814814814,96.0,0.0,0.0,162.4799596904367,92.52416666665704,5.520061728395062,8.0,0,0.16199999999999193,263.8,0.05263157894736842,28,0.10714285714285714,-25.0,0.6679999999999922,87.93333333333334,0.8755537295525161,0.0,19.5,-16.5,0.0061169577108630665,0.0,334516.21305402985,14951.689289822916,21113.80081898483,1.345335695055377
3,0 days 01:04:32.901000,1,0 days 00:01:27.324000,4.0,,,0 days 00:00:32.285000,0 days 00:00:29.460000,0 days 00:00:25.579000,0 days 01:03:37.888000,0 days 01:04:07.348000,0 days 01:04:32.927000,237.0,284.0,277.0,306.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 01:03:05.577000,2025-11-30 16:07:51.252,1,2.0,False,,False,True,87.324,32.285,29.46,25.579,3817.888,3847.348,3872.927,3872.901,3785.577,220.99587844044592,307.0,50.25748466864246,10497.859157517225,12274.0,68.83887517637548,40.65451175163095,0.14992272024729522,97.0,0.0,0.0,197.93358704526923,118.00083333332076,5.530139103554869,8.0,0,-0.1869999999999976,351.124,0.07017543859649122,28,0.14285714285714285,-24.0,0.48099999999999454,87.781,0.7771001651438864,0.0,19.5,-15.5,0.005026803240482667,0.0,335587.86523697845,15213.107690455307,21436.600208723255,1.110902797877747
4,0 days 01:05:59.744000,1,0 days 00:01:26.843000,5.0,,,0 days 00:00:32.064000,0 days 00:00:29.529000,0 days 00:00:25.250000,0 days 01:05:04.991000,0 days 01:05:34.520000,0 days 01:05:59.770000,238.0,285.0,278.0,307.0,True,MEDIUM,5.0,True,Red Bull Racing,0 days 01:04:32.901000,2025-11-30 16:09:18.576,1,2.0,False,,False,True,86.843,32.064,29.529,25.25,3904.991,3934.52,3959.77,3959.744,3872.901,222.50461122711909,308.0,51.49303638031956,10545.719955437145,12190.0,70.34509529379417,40.512101061744126,0.1461187214611872,96.0,0.0,0.0,217.03502368765695,136.63083333335453,5.535768645357686,8.0,0,-0.48099999999999454,437.967,0.08771929824561403,28,0.17857142857142858,-23.0,0.0,87.5934,0.7930209959389385,0.0,19.5,-14.5,0.004586419113254649,0.0,347739.1249094774,15652.108080080317,21360.442677803432,1.020499401719354
5,0 days 01:07:26.867000,1,0 days 00:01:27.123000,6.0,,,0 days 00:00:32.053000,0 days 00:00:29.565000,0 days 00:00:25.505000,0 days 01:06:31.823000,0 days 01:07:01.388000,0 days 01:07:26.893000,238.0,284.0,277.0,307.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:05:59.744000,2025-11-30 16:10:45.419,1,2.0,False,,False,True,87.123,32.053,29.565,25.505,3991.823,4021.388,4046.893,4046.867,3959.744,221.19842375157276,308.0,51.19423746809173,10484.010006123393,12052.0,68.36017828199763,40.75099409553603,0.14837712519319937,96.0,0.0,0.0,234.17203886834966,144.51833333336253,5.544049459041731,8.0,0,0.28000000000000114,525.09,0.10526315789473684,28,0.21428571428571427,-22.0,0.28000000000000114,87.22999999999999,0.2565034112833116,-0.42189999999999944,19.5,-13.5,0.004252206192589946,0.0,335966.1312316487,15121.163683354374,21235.048680150983,0.9405813072675728
6,0 days 01:09:09.078000,1,0 days 00:01:42.211000,7.0,,0 days 01:09:05.045000,0 days 00:00:32.127000,0 days 00:00:35.587000,0 days 00:00:34.497000,0 days 01:07:59.020000,0 days 01:08:34.607000,0 days 01:09:09.104000,238.0,261.0,0.0,308.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:07:26.867000,2025-11-30 16:12:12.542,124,3.0,False,,False,False,102.211,32.127,35.587,34.497,4079.02,4114.607,4149.104,4149.078,4046.867,187.4241974815882,309.0,62.52790705271012,9982.260966146756,12108.0,55.94294550545796,42.49610972157518,0.19451697127937337,149.0,0.5274151436031331,404.0,272.9418793280218,5.087777777916926,4.5835509138381205,8.0,1,15.087999999999994,627.301,0.12280701754385964,28,0.25,-21.0,15.367999999999995,90.2024,6.717580799662932,-0.11199999999999904,19.5,-12.5,0.0036504093585580837,2.1440982920438163,521201.2992261953,10485.06166611668,27926.205424756645,0.684175044507028
7,0 days 01:11:34.838000,1,0 days 00:02:25.760000,8.0,0 days 01:09:34.951000,,0 days 00:01:06.261000,0 days 00:00:36.680000,0 days 00:00:42.819000,0 days 01:10:15.365000,0 days 01:10:52.045000,0 days 01:11:34.864000,219.0,186.0,133.0,168.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:09:09.078000,2025-11-30 16:13:54.753,4,3.0,False,,False,False,145.76,66.261,36.68,42.819,4215.365,4252.045,4294.864,4294.838,4149.078,131.52714075839395,247.0,53.965227879143995,9571.118677001416,12732.0,42.03501116882642,37.79318798475283,0.30934579439252335,331.0,1.0,1070.0,287.78248116073945,0.7552777778255404,2.8710280373831774,6.0,0,43.54899999999999,145.76,0.14035087719298245,28,0.03571428571428571,-27.0,60.400999999999996,145.76,0.0,0.0,19.5,-11.5,0.003462813935182547,8.073817890259047,750849.9846438947,5528.7448307828945,43535.4835910284,0.455454015872883
8,0 days 01:13:56.282000,1,0 days 00:02:21.444000,9.0,,,0 days 00:00:52.743000,0 days 00:00:44.665000,0 days 00:00:44.036000,0 days 01:12:27.607000,0 days 01:13:12.272000,0 days 01:13:56.308000,188.0,210.0,205.0,249.0,False,MEDIUM,2.0,True,Red Bull Racing,0 days 01:11:34.838000,2025-11-30 16:16:20.513,4,3.0,False,,False,False,141.444,52.743,44.665,44.036,4347.607,4392.272,4436.308,4436.282,4294.838,136.5785585788416,259.0,48.84424546255096,9697.748488007353,12513.0,39.524147507816316,40.025633538075624,0.33365019011406843,351.0,1.0,1052.0,44.786883726118404,11.305000000131258,2.900190114068441,7.0,0,-4.3160000000000025,287.20399999999995,0.15789473684210525,28,0.07142857142857142,-26.0,56.084999999999994,143.60199999999998,3.051872867601131,0.0,19.5,-10.5,0.02184031579833344,7.646540353867238,677615.034062018,5398.151095675067,47939.07406117341,2.9829188506430833
9,0 days 01:16:14.912000,1,0 days 00:02:18.630000,10.0,,,0 days 00:00:49.229000,0 days 00:00:43.932000,0 days 00:00:45.469000,0 days 01:14:45.537000,0 days 01:15:29.469000,0 days 01:16:14.938000,157.0,174.0,280.0,263.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 01:13:56.282000,2025-11-30 16:18:41.957,41,3.0,False,,False,False,138.63,49.229,43.932,45.469,4485.537,4529.469,4574.938,4574.912,4436.282,141.0998095310128,284.0,70.15776589894718,9466.812087976443,12877.0,43.3048976997921,44.31272587312276,0.3148496240601504,335.0,1.0,1064.0,61.48714344883082,0.0138888888832298,3.042293233082707,7.0,0,-2.813999999999993,425.83399999999995,0.17543859649122806,28,0.10714285714285714,-25.0,53.271,141.94466666666665,3.5912707128999957,0.0,19.5,-9.5,0.016003291954270166,7.487694765472473,1017788.5831584565,6110.312817200659,47268.43619288928,2.25806144661671
