Unnamed: 0,Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_Seconds,Sector1Time_Seconds,Sector2Time_Seconds,Sector3Time_Seconds,Sector1SessionTime_Seconds,Sector2SessionTime_Seconds,Sector3SessionTime_Seconds,Time_Seconds,LapStartTime_Seconds,Speed_mean,Speed_max,Speed_std,RPM_mean,RPM_max,Throttle_mean,Throttle_std,Brake_mean,Brake_sum,DRS_mean,DRS_sum,DistanceToDriverAhead_mean,DistanceToDriverAhead_min,nGear_mean,nGear_max,HasPitStop,delta_laptime,CumulativeTimeStint,race_progress_fraction,expected_tyre_life,relative_tire_age,tire_compound_age_delta,tire_performance_decay,rolling_pace_mean_5,pace_std_5,pace_degradation_slope,historical_pit_lap,pit_window_delta,traffic_pressure,drs_dependency,thermal_stress_proxy,high_speed_stress,brake_aggression,pace_vs_ahead
0,0 days 00:59:02.420000,81,0 days 00:02:04.986000,1.0,,,,0 days 00:00:29.518000,0 days 00:00:58.921000,,0 days 00:58:03.499000,0 days 00:59:02.497000,287.0,304.0,163.0,145.0,False,MEDIUM,1.0,True,McLaren,0 days 00:56:57.036000,2025-04-20 17:03:55.450,124,2.0,False,,False,False,124.986,0.0,29.518,58.921,0.0,3483.499,3542.497,3542.42,3417.036,168.49541016493825,312.0,71.31620378618473,9603.153959092744,11978.0,45.403871314681105,39.95957001550366,0.1486910994764398,142.0,1.0,955.0,28.34448927418625,0.0,4.181151832460733,8.0,0,0.0,124.986,0.02,28,0.03571428571428571,-27.0,31.567999999999998,124.986,0.0,0.0,19.0,-18.0,0.0340779486961349,5.634370860371244,459800.5069890497,7650.343920243266,23926.34824342123,5.741977943134973
1,0 days 01:01:46.365000,81,,2.0,,,0 days 00:01:08.447000,0 days 00:00:49.209000,0 days 00:00:46.412000,0 days 01:00:10.825000,0 days 01:00:59.953000,0 days 01:01:46.419000,143.0,175.0,269.0,226.0,False,MEDIUM,2.0,True,McLaren,0 days 00:59:02.420000,2025-04-20 17:06:00.834,4,2.0,False,,False,False,0.0,68.447,49.209,46.412,3610.825,3659.953,3706.419,3706.365,3542.42,134.8830760345913,272.04090996363635,50.38302325316009,9584.281618433828,12164.0,34.665755373253006,32.790384178690324,0.156957928802589,194.0,1.0,1236.0,35.092231061369745,0.7141666666793753,2.941747572815534,7.0,0,0.0,0.0,0.04,28,0.07142857142857142,-26.0,0.0,124.986,0.0,0.0,19.0,-17.0,0.02770679369473284,9.096055491747594,338833.71845743933,4675.823717807028,26167.316750710714,3.737177560601385
2,0 days 01:04:41.597000,81,,3.0,,,0 days 00:00:56.071000,0 days 00:00:46.270000,0 days 00:01:12.862000,0 days 01:02:42.523000,0 days 01:03:28.735000,0 days 01:04:41.814000,238.0,145.0,295.0,82.0,False,MEDIUM,3.0,True,McLaren,0 days 01:01:46.365000,2025-04-20 17:08:44.779,41,3.0,False,,False,False,0.0,56.071,46.27,72.862,3762.523,3808.735,3881.814,3881.597,3706.365,127.19095258416087,297.1571437714286,57.70171659374081,8896.09471437652,12172.0,29.062970832473336,32.32169735934125,0.1344286781179985,180.0,1.0,1339.0,39.0563998601572,0.0458333333262999,2.9492158327109785,8.0,0,0.0,0.0,0.06,28,0.10714285714285714,-25.0,0.0,124.986,0.0,0.0,19.0,-16.0,0.024964799719673948,10.44535494126163,301856.99514255574,3696.5469451079666,22894.371465148957,3.1752966574181216
3,0 days 01:06:15.844000,81,0 days 00:01:34.247000,4.0,,,0 days 00:00:34.829000,0 days 00:00:29.607000,0 days 00:00:29.811000,0 days 01:05:16.426000,0 days 01:05:46.033000,0 days 01:06:15.844000,287.0,300.0,294.0,307.0,True,MEDIUM,4.0,True,McLaren,0 days 01:04:41.597000,2025-04-20 17:11:40.011,1,2.0,False,,False,True,94.247,34.829,29.607,29.811,3916.426,3946.033,3975.844,3975.844,3881.597,233.9038970993658,312.0,61.9774754466763,10720.264372266261,11990.0,74.67943593530929,38.436686029810275,0.11814345991561181,84.0,1.0,711.0,79.02989632839676,0.1986111110891215,5.864978902953586,8.0,0,0.0,219.233,0.08,28,0.14285714285714285,-24.0,0.8289999999999935,109.6165,21.73575534689329,0.0,19.0,-15.0,0.012495330443720356,3.026769707865862,388789.20419239043,17467.811098451264,19647.927356346725,2.9227064863305388
4,0 days 01:07:49.262000,81,0 days 00:01:33.418000,5.0,,,0 days 00:00:34.522000,0 days 00:00:29.411000,0 days 00:00:29.485000,0 days 01:06:50.366000,0 days 01:07:19.777000,0 days 01:07:49.262000,289.0,303.0,304.0,325.0,True,MEDIUM,5.0,True,McLaren,0 days 01:06:15.844000,2025-04-20 17:13:14.258,1,2.0,False,,False,True,93.418,34.522,29.411,29.485,4010.366,4039.777,4069.262,4069.262,3975.844,234.7790769853483,327.0,62.79130295545382,10547.97542596096,11996.0,73.02798763070606,39.244294039307185,0.15417867435158503,107.0,1.7276657060518732,1199.0,88.13874159735455,42.92638888890724,6.044668587896253,8.0,0,-0.8289999999999935,312.651,0.1,28,0.17857142857142858,-23.0,0.0,104.217,17.991257071144304,0.0,19.0,-14.0,0.01121846665187472,5.085268868341985,490650.90702350746,17145.4435300346,25121.36123743227,2.6338612457180575
5,0 days 01:09:23.179000,81,0 days 00:01:33.917000,6.0,,,0 days 00:00:34.783000,0 days 00:00:29.453000,0 days 00:00:29.681000,0 days 01:08:24.045000,0 days 01:08:53.498000,0 days 01:09:23.179000,289.0,301.0,296.0,308.0,False,MEDIUM,6.0,True,McLaren,0 days 01:07:49.262000,2025-04-20 17:14:47.676,1,2.0,False,,False,True,93.917,34.783,29.453,29.681,4104.045,4133.498,4163.179,4163.179,4069.262,234.0948737383852,319.0,62.264409506952354,10533.4597753371,12036.0,72.79929114780835,39.57802803944484,0.14777618364418937,103.0,0.48206599713055953,336.0,101.61919137261849,42.87444444443827,6.010043041606886,8.0,0,0.4989999999999952,406.568,0.12,28,0.21428571428571427,-22.0,0.4989999999999952,93.86066666666666,0.417361154556971,0.0,19.0,-13.0,0.00974476593144181,1.4292102360934613,466878.902211828,17041.940869490136,24111.771995053674,2.281199750330988
6,0 days 01:10:56.702000,81,0 days 00:01:33.523000,7.0,,,0 days 00:00:34.373000,0 days 00:00:29.422000,0 days 00:00:29.728000,0 days 01:09:57.552000,0 days 01:10:26.974000,0 days 01:10:56.702000,290.0,300.0,296.0,306.0,False,MEDIUM,7.0,True,McLaren,0 days 01:09:23.179000,2025-04-20 17:16:21.593,1,2.0,False,,False,True,93.523,34.373,29.422,29.728,4197.552,4226.974,4256.702,4256.702,4163.179,235.0393859516263,312.0,61.19584199756774,10504.28932338335,11932.0,74.12542006714838,39.13600055158883,0.1484593837535014,106.0,0.0,0.0,112.69042561866925,57.919722222170094,6.068627450980392,8.0,0,-0.39400000000000546,500.091,0.14,28,0.25,-21.0,0.10499999999998977,93.77625,0.3803045928373669,0.0,19.0,-12.0,0.008795815430879948,0.0,480833.7544098503,17422.393215988912,24914.174910872385,2.0673630578178623
7,0 days 01:12:30.595000,81,0 days 00:01:33.893000,8.0,,,0 days 00:00:34.442000,0 days 00:00:29.510000,0 days 00:00:29.941000,0 days 01:11:31.144000,0 days 01:12:00.654000,0 days 01:12:30.595000,289.0,300.0,296.0,307.0,False,MEDIUM,8.0,True,McLaren,0 days 01:10:56.702000,2025-04-20 17:17:55.116,1,2.0,False,,False,True,93.893,34.442,29.51,29.941,4291.144,4320.654,4350.595,4350.595,4256.702,233.90145193774543,312.0,61.90628358166006,10498.341987079377,11959.0,74.12842254283493,38.96631307098594,0.1494413407821229,107.0,0.0,0.0,113.65190799852284,65.43777777771902,6.083798882681564,8.0,0,0.37000000000000455,593.984,0.16,28,0.2857142857142857,-20.0,0.4749999999999943,93.79960000000001,0.33346634013029997,0.0,19.0,-11.0,0.00872205284200664,0.0,491024.6207715712,17338.745662623787,25027.45535733876,2.040100823623092
8,0 days 01:14:04.095000,81,0 days 00:01:33.500000,9.0,,,0 days 00:00:34.313000,0 days 00:00:29.439000,0 days 00:00:29.748000,0 days 01:13:04.908000,0 days 01:13:34.347000,0 days 01:14:04.095000,290.0,300.0,305.0,308.0,False,MEDIUM,9.0,True,McLaren,0 days 01:12:30.595000,2025-04-20 17:19:29.009,1,2.0,False,,False,True,93.5,34.313,29.439,29.748,4384.908,4414.347,4444.095,4444.095,4350.595,234.3006979332072,313.0,61.92348426141112,10515.13657084652,11940.0,74.88372425586978,38.646318854004406,0.14203730272596843,99.0,0.5624103299856528,392.0,121.19198072908668,74.92611111101724,6.050215208034433,8.0,0,-0.3930000000000007,687.484,0.18,28,0.32142857142857145,-19.0,0.08199999999999363,93.6502,0.23600360166721118,-0.06030000000000087,19.0,-10.0,0.008183843113380019,1.665953409586884,459069.050919026,17545.308856988126,23195.769095387514,1.91748015324081
9,0 days 01:15:38.140000,81,0 days 00:01:34.045000,10.0,,,0 days 00:00:34.605000,0 days 00:00:29.507000,0 days 00:00:29.933000,0 days 01:14:38.700000,0 days 01:15:08.207000,0 days 01:15:38.140000,289.0,300.0,296.0,308.0,False,MEDIUM,10.0,True,McLaren,0 days 01:14:04.095000,2025-04-20 17:21:02.509,1,2.0,False,,False,True,94.045,34.605,29.507,29.933,4478.7,4508.207,4538.14,4538.14,4444.095,233.6536585402787,317.0,64.28802173022851,10525.206838891869,12008.0,74.54924264404653,38.6753356951394,0.13199426111908177,92.0,0.49928263988522237,348.0,137.07161444570735,80.59333333314862,6.017216642754663,8.0,0,0.5450000000000017,781.529,0.2,28,0.35714285714285715,-18.0,0.6269999999999953,93.7756,0.24804999496048794,0.013999999999998637,19.0,-9.0,0.007242618289172108,1.4830367536769735,440921.34645867377,17418.703285188432,21496.13658570564,1.6922642606757974
