RaceYear,RaceName,Compound,lap_samples,driver_laps
2018,Abu Dhabi Grand Prix,HYPERSOFT,50,18
2018,Abu Dhabi Grand Prix,SUPERSOFT,625,55
2018,Abu Dhabi Grand Prix,ULTRASOFT,268,55
2018,Australian Grand Prix,SOFT,385,57
2018,Australian Grand Prix,SUPERSOFT,164,58
2018,Australian Grand Prix,ULTRASOFT,371,57
2018,Australian Grand Prix,UNKNOWN,20,2
2018,Austrian Grand Prix,SOFT,791,70
2018,Austrian Grand Prix,SUPERSOFT,316,70
2018,Austrian Grand Prix,ULTRASOFT,117,36
2018,Austrian Grand Prix,UNKNOWN,20,2
2018,Azerbaijan Grand Prix,SOFT,294,40
2018,Azerbaijan Grand Prix,SUPERSOFT,292,51
2018,Azerbaijan Grand Prix,ULTRASOFT,248,51
2018,Azerbaijan Grand Prix,UNKNOWN,14,2
2018,Bahrain Grand Prix,MEDIUM,272,54
2018,Bahrain Grand Prix,SOFT,331,56
2018,Bahrain Grand Prix,SUPERSOFT,373,56
2018,Bahrain Grand Prix,UNKNOWN,22,2
2018,Belgian Grand Prix,MEDIUM,55,28
2018,Belgian Grand Prix,SOFT,274,44
2018,Belgian Grand Prix,SUPERSOFT,363,44
2018,Belgian Grand Prix,UNKNOWN,1,1
2018,Brazilian Grand Prix,MEDIUM,538,71
2018,Brazilian Grand Prix,SOFT,383,71
2018,Brazilian Grand Prix,SUPERSOFT,397,70
2018,British Grand Prix,HARD,47,35
2018,British Grand Prix,MEDIUM,356,51
2018,British Grand Prix,SOFT,478,47
2018,British Grand Prix,UNKNOWN,21,2
2018,Canadian Grand Prix,HYPERSOFT,117,43
2018,Canadian Grand Prix,SUPERSOFT,821,69
2018,Canadian Grand Prix,ULTRASOFT,264,68
2018,Canadian Grand Prix,UNKNOWN,17,2
2018,Chinese Grand Prix,MEDIUM,142,55
2018,Chinese Grand Prix,SOFT,606,55
2018,Chinese Grand Prix,ULTRASOFT,346,55
2018,Chinese Grand Prix,UNKNOWN,21,2
2018,French Grand Prix,SOFT,358,52
2018,French Grand Prix,SUPERSOFT,245,53
2018,French Grand Prix,ULTRASOFT,303,53
2018,French Grand Prix,UNKNOWN,14,2
2018,German Grand Prix,INTERMEDIATE,32,13
2018,German Grand Prix,MEDIUM,256,51
2018,German Grand Prix,SOFT,493,66
2018,German Grand Prix,ULTRASOFT,447,57
2018,German Grand Prix,UNKNOWN,21,2
2018,German Grand Prix,WET,3,3
2018,Hungarian Grand Prix,MEDIUM,301,68
2018,Hungarian Grand Prix,SOFT,592,70
2018,Hungarian Grand Prix,ULTRASOFT,320,62
2018,Hungarian Grand Prix,UNKNOWN,20,2
2018,Japanese Grand Prix,MEDIUM,423,52
2018,Japanese Grand Prix,SOFT,342,52
2018,Japanese Grand Prix,SUPERSOFT,191,42
2018,Japanese Grand Prix,UNKNOWN,21,2
2018,Mexican Grand Prix,HYPERSOFT,73,26
2018,Mexican Grand Prix,SUPERSOFT,867,71
2018,Mexican Grand Prix,ULTRASOFT,305,65
2018,Monaco Grand Prix,HYPERSOFT,329,77
2018,Monaco Grand Prix,SUPERSOFT,585,69
2018,Monaco Grand Prix,ULTRASOFT,581,77
2018,Monaco Grand Prix,UNKNOWN,21,2
2018,Russian Grand Prix,HYPERSOFT,56,11
2018,Russian Grand Prix,SOFT,715,52
2018,Russian Grand Prix,ULTRASOFT,156,38
2018,Russian Grand Prix,UNKNOWN,21,2
2018,Singapore Grand Prix,HYPERSOFT,262,51
2018,Singapore Grand Prix,SOFT,397,60
2018,Singapore Grand Prix,ULTRASOFT,467,60
2018,Singapore Grand Prix,UNKNOWN,20,2
2018,Spanish Grand Prix,MEDIUM,580,65
2018,Spanish Grand Prix,SOFT,381,63
2018,Spanish Grand Prix,SUPERSOFT,42,42
2018,Spanish Grand Prix,UNKNOWN,18,2
2018,United States Grand Prix,SOFT,501,56
2018,United States Grand Prix,SUPERSOFT,268,56
2018,United States Grand Prix,ULTRASOFT,130,44
2018,United States Grand Prix,UNKNOWN,33,33
2019,Abu Dhabi Grand Prix,HARD,588,55
2019,Abu Dhabi Grand Prix,MEDIUM,367,55
2019,Abu Dhabi Grand Prix,SOFT,120,50
2019,Australian Grand Prix,HARD,264,58
2019,Australian Grand Prix,MEDIUM,472,58
2019,Australian Grand Prix,SOFT,305,57
2019,Austrian Grand Prix,HARD,758,60
2019,Austrian Grand Prix,MEDIUM,440,70
2019,Austrian Grand Prix,SOFT,203,50
2019,Azerbaijan Grand Prix,MEDIUM,724,51
2019,Azerbaijan Grand Prix,SOFT,224,31
2019,Bahrain Grand Prix,HARD,16,16
2019,Bahrain Grand Prix,MEDIUM,615,57
2019,Bahrain Grand Prix,SOFT,452,57
2019,Belgian Grand Prix,MEDIUM,417,44
2019,Belgian Grand Prix,SOFT,370,44
2019,Brazilian Grand Prix,HARD,100,28
2019,Brazilian Grand Prix,MEDIUM,526,71
2019,Brazilian Grand Prix,SOFT,759,71
2019,British Grand Prix,HARD,445,48
2019,British Grand Prix,MEDIUM,324,52
2019,British Grand Prix,SOFT,145,48
2019,Canadian Grand Prix,HARD,944,70
2019,Canadian Grand Prix,MEDIUM,310,70
2019,Canadian Grand Prix,SOFT,58,28
2019,Chinese Grand Prix,HARD,432,54
2019,Chinese Grand Prix,MEDIUM,458,56
2019,Chinese Grand Prix,SOFT,156,45
2019,French Grand Prix,HARD,615,53
2019,French Grand Prix,MEDIUM,396,46
2019,French Grand Prix,SOFT,26,19
2019,German Grand Prix,INTERMEDIATE,685,45
2019,German Grand Prix,MEDIUM,15,5
2019,German Grand Prix,SOFT,282,28
2019,German Grand Prix,WET,77,8
2019,Hungarian Grand Prix,HARD,669,70
2019,Hungarian Grand Prix,MEDIUM,445,70
2019,Hungarian Grand Prix,SOFT,244,63
2019,Italian Grand Prix,HARD,126,47
2019,Italian Grand Prix,MEDIUM,457,53
2019,Italian Grand Prix,SOFT,408,53
2019,Japanese Grand Prix,HARD,182,37
2019,Japanese Grand Prix,MEDIUM,443,53
2019,Japanese Grand Prix,SOFT,380,53
2019,Mexican Grand Prix,HARD,799,71
2019,Mexican Grand Prix,MEDIUM,525,71
2019,Mexican Grand Prix,SOFT,46,15
2019,Monaco Grand Prix,HARD,501,69
2019,Monaco Grand Prix,MEDIUM,606,78
2019,Monaco Grand Prix,SOFT,383,78
2019,Russian Grand Prix,HARD,53,27
2019,Russian Grand Prix,MEDIUM,436,53
2019,Russian Grand Prix,SOFT,412,53
2019,Singapore Grand Prix,HARD,617,61
2019,Singapore Grand Prix,MEDIUM,299,61
2019,Singapore Grand Prix,SOFT,249,52
2019,Spanish Grand Prix,HARD,94,40
2019,Spanish Grand Prix,MEDIUM,553,66
2019,Spanish Grand Prix,SOFT,629,66
2019,United States Grand Prix,HARD,464,56
2019,United States Grand Prix,MEDIUM,331,56
2019,United States Grand Prix,SOFT,237,48
2020,70th Anniversary Grand Prix,HARD,686,52
2020,70th Anniversary Grand Prix,MEDIUM,331,52
2020,70th Anniversary Grand Prix,SOFT,8,8
2020,Abu Dhabi Grand Prix,HARD,758,55
2020,Abu Dhabi Grand Prix,MEDIUM,231,51
2020,Abu Dhabi Grand Prix,SOFT,55,15
2020,Austrian Grand Prix,HARD,456,49
2020,Austrian Grand Prix,MEDIUM,328,67
2020,Austrian Grand Prix,SOFT,277,45
2020,Bahrain Grand Prix,HARD,540,57
2020,Bahrain Grand Prix,MEDIUM,436,57
