RaceYear,RaceName,Driver,pit_stops,completed_laps,pit_stop_bucket,Abbreviation,GridPosition,Position,TeamName,Status,places_gained_from_grid,finished_ahead_of_grid
2018,Abu Dhabi Grand Prix,ALO,1,54,1,ALO,15.0,11.0,McLaren,+1 Lap,4.0,True
2018,Abu Dhabi Grand Prix,BOT,2,55,2,BOT,2.0,5.0,Mercedes,Finished,-3.0,False
2018,Abu Dhabi Grand Prix,ERI,0,25,0,ERI,12.0,18.0,Sauber,Power loss,-6.0,False
2018,Abu Dhabi Grand Prix,GAS,1,47,1,GAS,17.0,16.0,Toro Rosso,Engine,1.0,True
2018,Abu Dhabi Grand Prix,GRO,1,54,1,GRO,7.0,9.0,Haas F1 Team,+1 Lap,-2.0,False
2018,Abu Dhabi Grand Prix,HAM,1,55,1,HAM,1.0,1.0,Mercedes,Finished,0.0,False
2018,Abu Dhabi Grand Prix,HAR,1,54,1,HAR,16.0,12.0,Toro Rosso,+1 Lap,4.0,True
2018,Abu Dhabi Grand Prix,HUL,0,1,0,HUL,10.0,20.0,Renault,Collision,-10.0,False
2018,Abu Dhabi Grand Prix,LEC,1,55,1,LEC,8.0,7.0,Sauber,Finished,1.0,True
2018,Abu Dhabi Grand Prix,MAG,1,54,1,MAG,13.0,10.0,Haas F1 Team,+1 Lap,3.0,True
2018,Abu Dhabi Grand Prix,OCO,2,45,2,OCO,9.0,17.0,Racing Point,Engine,-8.0,False
2018,Abu Dhabi Grand Prix,PER,1,55,1,PER,14.0,8.0,Racing Point,Finished,6.0,True
2018,Abu Dhabi Grand Prix,RAI,1,7,1,RAI,4.0,19.0,Ferrari,Power loss,-15.0,False
2018,Abu Dhabi Grand Prix,RIC,1,55,1,RIC,5.0,4.0,Red Bull Racing,Finished,1.0,True
2018,Abu Dhabi Grand Prix,SAI,1,55,1,SAI,11.0,6.0,Renault,Finished,5.0,True
2018,Abu Dhabi Grand Prix,SIR,1,54,1,SIR,19.0,15.0,Williams,+1 Lap,4.0,True
2018,Abu Dhabi Grand Prix,STR,1,54,1,STR,20.0,13.0,Williams,+1 Lap,7.0,True
2018,Abu Dhabi Grand Prix,VAN,1,54,1,VAN,18.0,14.0,McLaren,+1 Lap,4.0,True
2018,Abu Dhabi Grand Prix,VER,1,55,1,VER,6.0,3.0,Red Bull Racing,Finished,3.0,True
2018,Abu Dhabi Grand Prix,VET,1,55,1,VET,3.0,2.0,Ferrari,Finished,1.0,True
2018,Australian Grand Prix,ALO,1,58,1,ALO,10.0,5.0,McLaren,Finished,5.0,True
2018,Australian Grand Prix,BOT,1,58,1,BOT,15.0,8.0,Mercedes,Finished,7.0,True
2018,Australian Grand Prix,ERI,1,6,1,ERI,17.0,19.0,Sauber,Steering,-2.0,False
2018,Australian Grand Prix,GAS,1,14,1,GAS,20.0,18.0,Toro Rosso,Engine,2.0,True
2018,Australian Grand Prix,GRO,1,24,1,GRO,6.0,16.0,Haas F1 Team,Wheel,-10.0,False
2018,Australian Grand Prix,HAM,1,58,1,HAM,1.0,2.0,Mercedes,Finished,-1.0,False
2018,Australian Grand Prix,HAR,2,57,2,HAR,16.0,15.0,Toro Rosso,+1 Lap,1.0,True
2018,Australian Grand Prix,HUL,1,58,1,HUL,7.0,7.0,Renault,Finished,0.0,False
2018,Australian Grand Prix,LEC,2,58,2,LEC,18.0,13.0,Sauber,Finished,5.0,True
2018,Australian Grand Prix,MAG,1,22,1,MAG,5.0,17.0,Haas F1 Team,Wheel,-12.0,False
2018,Australian Grand Prix,OCO,1,58,1,OCO,14.0,12.0,Force India,Finished,2.0,True
2018,Australian Grand Prix,PER,1,58,1,PER,12.0,11.0,Force India,Finished,1.0,True
2018,Australian Grand Prix,RAI,1,58,1,RAI,2.0,3.0,Ferrari,Finished,-1.0,False
2018,Australian Grand Prix,RIC,1,58,1,RIC,8.0,4.0,Red Bull Racing,Finished,4.0,True
2018,Australian Grand Prix,SAI,1,58,1,SAI,9.0,10.0,Renault,Finished,-1.0,False
2018,Australian Grand Prix,SIR,0,5,0,SIR,19.0,20.0,Williams,Brakes,-1.0,False
2018,Australian Grand Prix,STR,2,58,2,STR,13.0,14.0,Williams,Finished,-1.0,False
2018,Australian Grand Prix,VAN,1,58,1,VAN,11.0,9.0,McLaren,Finished,2.0,True
2018,Australian Grand Prix,VER,1,58,1,VER,4.0,6.0,Red Bull Racing,Finished,-2.0,False
2018,Australian Grand Prix,VET,1,58,1,VET,3.0,1.0,Ferrari,Finished,2.0,True
2018,Austrian Grand Prix,ALO,1,70,1,ALO,13.0,8.0,McLaren,+1 Lap,5.0,True
2018,Austrian Grand Prix,BOT,0,14,0,BOT,1.0,19.0,Mercedes,Hydraulics,-18.0,False
2018,Austrian Grand Prix,ERI,1,70,1,ERI,20.0,10.0,Sauber,+1 Lap,10.0,True
2018,Austrian Grand Prix,GAS,1,70,1,GAS,12.0,11.0,Toro Rosso,+1 Lap,1.0,True
2018,Austrian Grand Prix,GRO,1,70,1,GRO,5.0,4.0,Haas F1 Team,+1 Lap,1.0,True
2018,Austrian Grand Prix,HAM,2,63,2,HAM,2.0,16.0,Mercedes,Fuel pressure,-14.0,False
2018,Austrian Grand Prix,HAR,0,55,0,HAR,19.0,17.0,Toro Rosso,Hydraulics,2.0,True
2018,Austrian Grand Prix,HUL,0,12,0,HUL,10.0,20.0,Renault,Engine,-10.0,False
2018,Austrian Grand Prix,LEC,1,70,1,LEC,18.0,9.0,Sauber,+1 Lap,9.0,True
2018,Austrian Grand Prix,MAG,1,70,1,MAG,8.0,5.0,Haas F1 Team,+1 Lap,3.0,True
2018,Austrian Grand Prix,OCO,1,70,1,OCO,11.0,6.0,Force India,+1 Lap,5.0,True
2018,Austrian Grand Prix,PER,1,70,1,PER,16.0,7.0,Force India,+1 Lap,9.0,True
2018,Austrian Grand Prix,RAI,1,71,1,RAI,3.0,2.0,Ferrari,Finished,1.0,True
2018,Austrian Grand Prix,RIC,2,54,2,RIC,7.0,18.0,Red Bull Racing,Exhaust,-11.0,False
2018,Austrian Grand Prix,SAI,2,70,2,SAI,9.0,12.0,Renault,+1 Lap,-3.0,False
