Compound,stint_phase,median_loss,n
HARD,early,0.8289999999999935,14462
HARD,middle,0.796999999999997,24309
HARD,late,0.6709999999999923,21990
HYPERSOFT,early,1.1700000000000017,231
HYPERSOFT,middle,0.9299999999999997,424
HYPERSOFT,late,0.9884999999999948,74
INTERMEDIATE,early,2.828000000000003,2073
INTERMEDIATE,middle,2.0080000000000027,3286
INTERMEDIATE,late,1.0220000000000056,1751
MEDIUM,early,0.7179999999999893,16657
MEDIUM,middle,0.7160000000000082,25388
MEDIUM,late,0.6080000000000041,12952
SOFT,early,0.695999999999998,7725
SOFT,middle,0.715999999999994,13351
SOFT,late,0.6140000000000043,5757
SUPERSOFT,early,1.0879999999999939,975
SUPERSOFT,middle,1.070999999999998,1946
SUPERSOFT,late,0.9735000000000014,1992
ULTRASOFT,early,1.2289999999999992,744
ULTRASOFT,middle,0.9699999999999989,1398
ULTRASOFT,late,0.9240000000000066,1047
WET,early,4.939,224
WET,middle,2.2860000000000014,215
