Compound,PitInLap,Count
HYPERSOFT,7,2
HYPERSOFT,17,1
HYPERSOFT,18,1
SUPERSOFT,29,1
SUPERSOFT,35,2
SUPERSOFT,40,2
SUPERSOFT,41,1
SUPERSOFT,45,1
ULTRASOFT,1,1
ULTRASOFT,7,2
ULTRASOFT,15,1
ULTRASOFT,16,1
ULTRASOFT,26,1
ULTRASOFT,27,1
ULTRASOFT,33,1
ULTRASOFT,37,1
SOFT,22,1
SOFT,27,1
SOFT,29,1
SUPERSOFT,1,1
SUPERSOFT,6,1
SUPERSOFT,20,1
SUPERSOFT,21,1
SUPERSOFT,25,1
SUPERSOFT,26,1
ULTRASOFT,14,1
ULTRASOFT,18,1
ULTRASOFT,19,1
ULTRASOFT,22,2
ULTRASOFT,23,1
ULTRASOFT,24,3
ULTRASOFT,25,2
ULTRASOFT,26,2
SOFT,34,1
SOFT,38,1
SOFT,40,1
SOFT,45,1
SOFT,52,1
SOFT,60,1
SOFT,65,2
SUPERSOFT,1,1
SUPERSOFT,15,6
SUPERSOFT,24,1
SUPERSOFT,25,1
SUPERSOFT,27,1
ULTRASOFT,15,5
ULTRASOFT,28,1
SOFT,1,1
SOFT,2,1
SOFT,18,1
SOFT,25,1
SOFT,39,2
SOFT,40,8
SUPERSOFT,1,3
SUPERSOFT,17,1
SUPERSOFT,22,1
SUPERSOFT,23,1
SUPERSOFT,24,1
SUPERSOFT,30,1
SUPERSOFT,37,1
SUPERSOFT,38,1
SUPERSOFT,39,1
SUPERSOFT,40,2
ULTRASOFT,1,1
ULTRASOFT,2,1
ULTRASOFT,12,1
ULTRASOFT,15,1
ULTRASOFT,22,1
ULTRASOFT,36,1
ULTRASOFT,39,2
ULTRASOFT,46,1
MEDIUM,32,1
MEDIUM,34,1
MEDIUM,35,1
MEDIUM,39,1
MEDIUM,40,1
SOFT,2,1
SOFT,3,1
SOFT,9,1
SOFT,10,1
SOFT,14,1
SOFT,22,1
SOFT,23,1
SOFT,25,1
SOFT,28,1
SOFT,30,1
SOFT,34,2
SOFT,39,1
SOFT,42,1
SUPERSOFT,10,1
SUPERSOFT,13,1
SUPERSOFT,15,3
SUPERSOFT,16,1
SUPERSOFT,17,1
SUPERSOFT,18,2
SUPERSOFT,19,1
SUPERSOFT,20,1
SUPERSOFT,26,1
SUPERSOFT,27,1
SUPERSOFT,29,1
SUPERSOFT,45,1
MEDIUM,1,1
MEDIUM,7,1
MEDIUM,8,1
MEDIUM,22,1
MEDIUM,28,1
SOFT,1,6
SOFT,2,2
SOFT,23,1
SOFT,24,1
SOFT,26,1
SOFT,28,1
SOFT,31,1
SUPERSOFT,1,9
SUPERSOFT,21,1
SUPERSOFT,22,1
SUPERSOFT,23,1
SUPERSOFT,24,1
SUPERSOFT,25,2
SUPERSOFT,26,2
SUPERSOFT,29,1
UNKNOWN,1,1
MEDIUM,20,1
MEDIUM,48,1
MEDIUM,49,1
MEDIUM,53,1
MEDIUM,54,1
MEDIUM,59,1
MEDIUM,65,1
SOFT,15,1
SOFT,16,1
SOFT,17,1
SOFT,25,1
SOFT,27,1
SOFT,28,1
SOFT,31,1
SOFT,32,1
SOFT,40,1
SOFT,41,1
SUPERSOFT,18,2
SUPERSOFT,19,1
SUPERSOFT,22,1
SUPERSOFT,32,1
SUPERSOFT,35,2
SUPERSOFT,39,2
SUPERSOFT,57,1
HARD,32,1
MEDIUM,17,1
MEDIUM,20,1
MEDIUM,30,2
MEDIUM,32,3
MEDIUM,33,4
SOFT,13,3
SOFT,17,1
SOFT,18,2
SOFT,19,1
SOFT,20,2
SOFT,21,3
SOFT,24,1
SOFT,25,2
SOFT,26,1
UNKNOWN,1,1
HYPERSOFT,9,1
HYPERSOFT,11,1
HYPERSOFT,13,1
HYPERSOFT,14,1
HYPERSOFT,16,1
HYPERSOFT,17,1
HYPERSOFT,23,1
SUPERSOFT,26,1
SUPERSOFT,41,1
SUPERSOFT,44,1
SUPERSOFT,48,1
ULTRASOFT,1,2
ULTRASOFT,16,1
ULTRASOFT,18,1
ULTRASOFT,19,1
ULTRASOFT,22,1
ULTRASOFT,32,1
ULTRASOFT,36,1
ULTRASOFT,37,1
ULTRASOFT,48,1
MEDIUM,20,1
MEDIUM,31,1
SOFT,11,1
SOFT,18,1
SOFT,19,1
SOFT,20,1
SOFT,21,1
SOFT,22,1
SOFT,23,1
SOFT,24,1
SOFT,27,1
SOFT,28,1
SOFT,29,2
SOFT,31,1
SOFT,33,1
SOFT,51,1
ULTRASOFT,10,1
ULTRASOFT,12,2
ULTRASOFT,13,1
ULTRASOFT,16,1
ULTRASOFT,17,2
ULTRASOFT,30,1
ULTRASOFT,31,4
ULTRASOFT,32,1
ULTRASOFT,46,1
SOFT,28,1
SOFT,37,1
SOFT,39,1
SOFT,40,1
SOFT,46,1
SUPERSOFT,1,2
SUPERSOFT,25,1
SUPERSOFT,28,1
SUPERSOFT,33,1
SUPERSOFT,35,1
SUPERSOFT,40,1
ULTRASOFT,1,3
ULTRASOFT,26,1
ULTRASOFT,28,1
ULTRASOFT,31,1
ULTRASOFT,34,2
ULTRASOFT,38,1
ULTRASOFT,51,1
INTERMEDIATE,46,1
INTERMEDIATE,47,1
INTERMEDIATE,48,1
INTERMEDIATE,53,1
INTERMEDIATE,55,3
INTERMEDIATE,56,1
MEDIUM,43,1
MEDIUM,50,2
MEDIUM,51,4
MEDIUM,52,2
SOFT,27,1
SOFT,28,2
SOFT,29,1
