RaceYear,RaceName,Driver,pit_stops,completed_laps,pit_stop_bucket
2018,Abu Dhabi Grand Prix,ALO,1,54,1
2018,Abu Dhabi Grand Prix,BOT,2,55,2
2018,Abu Dhabi Grand Prix,ERI,0,25,0
2018,Abu Dhabi Grand Prix,GAS,1,47,1
2018,Abu Dhabi Grand Prix,GRO,1,54,1
2018,Abu Dhabi Grand Prix,HAM,1,55,1
2018,Abu Dhabi Grand Prix,HAR,1,54,1
2018,Abu Dhabi Grand Prix,HUL,0,1,0
2018,Abu Dhabi Grand Prix,LEC,1,55,1
2018,Abu Dhabi Grand Prix,MAG,1,54,1
2018,Abu Dhabi Grand Prix,OCO,2,45,2
2018,Abu Dhabi Grand Prix,PER,1,55,1
2018,Abu Dhabi Grand Prix,RAI,1,7,1
2018,Abu Dhabi Grand Prix,RIC,1,55,1
2018,Abu Dhabi Grand Prix,SAI,1,55,1
2018,Abu Dhabi Grand Prix,SIR,1,54,1
2018,Abu Dhabi Grand Prix,STR,1,54,1
2018,Abu Dhabi Grand Prix,VAN,1,54,1
2018,Abu Dhabi Grand Prix,VER,1,55,1
2018,Abu Dhabi Grand Prix,VET,1,55,1
2018,Australian Grand Prix,ALO,1,58,1
2018,Australian Grand Prix,BOT,1,58,1
2018,Australian Grand Prix,ERI,1,6,1
2018,Australian Grand Prix,GAS,1,14,1
2018,Australian Grand Prix,GRO,1,24,1
2018,Australian Grand Prix,HAM,1,58,1
2018,Australian Grand Prix,HAR,2,57,2
2018,Australian Grand Prix,HUL,1,58,1
2018,Australian Grand Prix,LEC,2,58,2
2018,Australian Grand Prix,MAG,1,22,1
2018,Australian Grand Prix,OCO,1,58,1
2018,Australian Grand Prix,PER,1,58,1
2018,Australian Grand Prix,RAI,1,58,1
2018,Australian Grand Prix,RIC,1,58,1
2018,Australian Grand Prix,SAI,1,58,1
2018,Australian Grand Prix,SIR,0,5,0
2018,Australian Grand Prix,STR,2,58,2
2018,Australian Grand Prix,VAN,1,58,1
2018,Australian Grand Prix,VER,1,58,1
2018,Australian Grand Prix,VET,1,58,1
2018,Austrian Grand Prix,ALO,1,70,1
2018,Austrian Grand Prix,BOT,0,14,0
2018,Austrian Grand Prix,ERI,1,70,1
2018,Austrian Grand Prix,GAS,1,70,1
2018,Austrian Grand Prix,GRO,1,70,1
2018,Austrian Grand Prix,HAM,2,63,2
2018,Austrian Grand Prix,HAR,0,55,0
2018,Austrian Grand Prix,HUL,0,12,0
2018,Austrian Grand Prix,LEC,1,70,1
2018,Austrian Grand Prix,MAG,1,70,1
2018,Austrian Grand Prix,OCO,1,70,1
2018,Austrian Grand Prix,PER,1,70,1
2018,Austrian Grand Prix,RAI,1,71,1
2018,Austrian Grand Prix,RIC,2,54,2
2018,Austrian Grand Prix,SAI,2,70,2
2018,Austrian Grand Prix,SIR,2,69,2
2018,Austrian Grand Prix,STR,2,69,2
2018,Austrian Grand Prix,VAN,3,65,3
2018,Austrian Grand Prix,VER,1,71,1
2018,Austrian Grand Prix,VET,1,71,1
2018,Azerbaijan Grand Prix,ALO,2,51,2
2018,Azerbaijan Grand Prix,BOT,1,49,1
2018,Azerbaijan Grand Prix,ERI,4,51,4+
2018,Azerbaijan Grand Prix,GAS,2,51,2
2018,Azerbaijan Grand Prix,GRO,2,43,2
2018,Azerbaijan Grand Prix,HAM,2,51,2
2018,Azerbaijan Grand Prix,HAR,3,51,3
2018,Azerbaijan Grand Prix,HUL,0,11,0
2018,Azerbaijan Grand Prix,LEC,2,51,2
2018,Azerbaijan Grand Prix,MAG,2,51,2
2018,Azerbaijan Grand Prix,OCO,0,1,0
2018,Azerbaijan Grand Prix,PER,2,51,2
2018,Azerbaijan Grand Prix,RAI,2,51,2
2018,Azerbaijan Grand Prix,RIC,1,40,1
2018,Azerbaijan Grand Prix,SAI,2,51,2
2018,Azerbaijan Grand Prix,SIR,0,1,0
2018,Azerbaijan Grand Prix,STR,2,51,2
2018,Azerbaijan Grand Prix,VAN,4,51,4+
2018,Azerbaijan Grand Prix,VER,1,40,1
2018,Azerbaijan Grand Prix,VET,2,51,2
2018,Bahrain Grand Prix,ALO,2,56,2
2018,Bahrain Grand Prix,BOT,1,57,1
2018,Bahrain Grand Prix,ERI,1,56,1
2018,Bahrain Grand Prix,GAS,2,57,2
2018,Bahrain Grand Prix,GRO,3,56,3
2018,Bahrain Grand Prix,HAM,1,57,1
2018,Bahrain Grand Prix,HAR,2,56,2
2018,Bahrain Grand Prix,HUL,2,57,2
2018,Bahrain Grand Prix,LEC,2,56,2
2018,Bahrain Grand Prix,MAG,2,57,2
2018,Bahrain Grand Prix,OCO,2,56,2
2018,Bahrain Grand Prix,PER,2,56,2
2018,Bahrain Grand Prix,RAI,2,34,2
2018,Bahrain Grand Prix,RIC,0,2,0
2018,Bahrain Grand Prix,SAI,2,56,2
2018,Bahrain Grand Prix,SIR,2,56,2
2018,Bahrain Grand Prix,STR,2,56,2
2018,Bahrain Grand Prix,VAN,2,56,2
2018,Bahrain Grand Prix,VER,1,4,1
2018,Bahrain Grand Prix,VET,1,57,1
2018,Belgian Grand Prix,ALO,0,1,0
2018,Belgian Grand Prix,BOT,3,44,3
2018,Belgian Grand Prix,ERI,2,43,2
2018,Belgian Grand Prix,GAS,2,44,2
2018,Belgian Grand Prix,GRO,2,44,2
2018,Belgian Grand Prix,HAM,2,44,2
2018,Belgian Grand Prix,HAR,2,43,2
2018,Belgian Grand Prix,HUL,0,1,0
2018,Belgian Grand Prix,LEC,0,1,0
2018,Belgian Grand Prix,MAG,2,44,2
2018,Belgian Grand Prix,OCO,2,44,2
2018,Belgian Grand Prix,PER,2,44,2
2018,Belgian Grand Prix,RAI,3,8,3
2018,Belgian Grand Prix,RIC,2,28,2
2018,Belgian Grand Prix,SAI,2,43,2
2018,Belgian Grand Prix,SIR,2,43,2
2018,Belgian Grand Prix,STR,2,43,2
2018,Belgian Grand Prix,VAN,3,43,3
2018,Belgian Grand Prix,VER,2,44,2
2018,Belgian Grand Prix,VET,2,44,2
2018,Brazilian Grand Prix,ALO,2,69,2
2018,Brazilian Grand Prix,BOT,2,71,2
2018,Brazilian Grand Prix,ERI,2,20,2
2018,Brazilian Grand Prix,GAS,1,70,1
2018,Brazilian Grand Prix,GRO,1,71,1
2018,Brazilian Grand Prix,HAM,1,71,1
2018,Brazilian Grand Prix,HAR,1,70,1
2018,Brazilian Grand Prix,HUL,1,32,1
2018,Brazilian Grand Prix,LEC,1,71,1
2018,Brazilian Grand Prix,MAG,1,71,1
2018,Brazilian Grand Prix,OCO,2,70,2
2018,Brazilian Grand Prix,PER,1,70,1
2018,Brazilian Grand Prix,RAI,1,71,1
2018,Brazilian Grand Prix,RIC,1,71,1
2018,Brazilian Grand Prix,SAI,2,70,2
2018,Brazilian Grand Prix,SIR,1,69,1
2018,Brazilian Grand Prix,STR,2,69,2
2018,Brazilian Grand Prix,VAN,1,70,1
2018,Brazilian Grand Prix,VER,1,71,1
2018,Brazilian Grand Prix,VET,2,71,2
2018,British Grand Prix,ALO,2,52,2
2018,British Grand Prix,BOT,1,52,1
2018,British Grand Prix,ERI,1,32,1
2018,British Grand Prix,GAS,2,52,2
2018,British Grand Prix,GRO,1,38,1
2018,British Grand Prix,HAM,1,52,1
2018,British Grand Prix,HAR,1,1,1
2018,British Grand Prix,HUL,1,52,1
2018,British Grand Prix,LEC,1,18,1
2018,British Grand Prix,MAG,1,52,1
2018,British Grand Prix,OCO,1,52,1
2018,British Grand Prix,PER,2,52,2
2018,British Grand Prix,RAI,2,52,2
2018,British Grand Prix,RIC,2,52,2
2018,British Grand Prix,SAI,2,38,2
2018,British Grand Prix,SIR,1,52,1
2018,British Grand Prix,STR,1,52,1
2018,British Grand Prix,VAN,2,52,2
2018,British Grand Prix,VER,2,47,2
2018,British Grand Prix,VET,2,52,2
2018,Canadian Grand Prix,ALO,2,41,2
2018,Canadian Grand Prix,BOT,1,70,1
2018,Canadian Grand Prix,ERI,1,68,1
2018,Canadian Grand Prix,GAS,1,69,1
2018,Canadian Grand Prix,GRO,1,69,1
2018,Canadian Grand Prix,HAM,1,70,1
2018,Canadian Grand Prix,HAR,0,1,0
2018,Canadian Grand Prix,HUL,1,69,1
2018,Canadian Grand Prix,LEC,1,69,1
2018,Canadian Grand Prix,MAG,1,69,1
2018,Canadian Grand Prix,OCO,1,69,1
2018,Canadian Grand Prix,PER,2,69,2
2018,Canadian Grand Prix,RAI,1,70,1
2018,Canadian Grand Prix,RIC,1,70,1
2018,Canadian Grand Prix,SAI,1,69,1
2018,Canadian Grand Prix,SIR,1,68,1
2018,Canadian Grand Prix,STR,0,1,0
2018,Canadian Grand Prix,VAN,2,68,2
2018,Canadian Grand Prix,VER,1,70,1
2018,Canadian Grand Prix,VET,1,70,1
2018,Chinese Grand Prix,ALO,1,56,1
2018,Chinese Grand Prix,BOT,1,56,1
2018,Chinese Grand Prix,ERI,1,56,1
2018,Chinese Grand Prix,GAS,2,56,2
2018,Chinese Grand Prix,GRO,2,56,2
2018,Chinese Grand Prix,HAM,1,56,1
2018,Chinese Grand Prix,HAR,3,51,3
2018,Chinese Grand Prix,HUL,2,56,2
2018,Chinese Grand Prix,LEC,1,56,1
2018,Chinese Grand Prix,MAG,1,56,1
2018,Chinese Grand Prix,OCO,2,56,2
2018,Chinese Grand Prix,PER,2,56,2
2018,Chinese Grand Prix,RAI,1,56,1
2018,Chinese Grand Prix,RIC,2,56,2
2018,Chinese Grand Prix,SAI,2,56,2
2018,Chinese Grand Prix,SIR,2,56,2
2018,Chinese Grand Prix,STR,1,56,1
2018,Chinese Grand Prix,VAN,1,56,1
