RaceYear,RaceName,Driver,PitInLap,pit_in_compound,pit_out_compound,position_before_pit,next_position,position_delta_after_pit,pit_lane_time_seconds,LapTimeSeconds,next_lap_time_seconds,tyre_life_at_pit
2018,Abu Dhabi Grand Prix,ALO,27,ULTRASOFT,SUPERSOFT,10.0,17.0,7.0,21.63500000000022,109.095,124.097,27.0
2018,Abu Dhabi Grand Prix,BOT,16,ULTRASOFT,SUPERSOFT,1.0,4.0,3.0,21.605000000000018,106.227,124.439,19.0
2018,Abu Dhabi Grand Prix,BOT,40,SUPERSOFT,ULTRASOFT,5.0,5.0,0.0,21.286999999999352,105.486,122.431,24.0
2018,Abu Dhabi Grand Prix,GAS,29,SUPERSOFT,ULTRASOFT,7.0,16.0,9.0,22.519000000000233,106.692,126.614,29.0
2018,Abu Dhabi Grand Prix,GRO,7,HYPERSOFT,SUPERSOFT,7.0,18.0,11.0,22.286000000000058,133.568,144.915,10.0
2018,Abu Dhabi Grand Prix,HAM,7,ULTRASOFT,SUPERSOFT,1.0,5.0,4.0,21.278999999999996,128.384,147.462,10.0
2018,Abu Dhabi Grand Prix,HAR,1,ULTRASOFT,ULTRASOFT,19.0,19.0,0.0,41.00500000000011,167.566,,1.0
2018,Abu Dhabi Grand Prix,LEC,7,HYPERSOFT,SUPERSOFT,4.0,14.0,10.0,21.940000000000055,131.538,146.003,10.0
2018,Abu Dhabi Grand Prix,MAG,41,SUPERSOFT,ULTRASOFT,9.0,12.0,3.0,21.673999999999978,106.505,123.475,41.0
2018,Abu Dhabi Grand Prix,OCO,18,HYPERSOFT,SUPERSOFT,8.0,18.0,10.0,21.927999999999884,108.526,124.792,21.0
2018,Abu Dhabi Grand Prix,OCO,45,SUPERSOFT,,9.0,,,,,,27.0
2018,Abu Dhabi Grand Prix,PER,26,ULTRASOFT,SUPERSOFT,7.0,9.0,2.0,22.10900000000038,108.456,124.774,26.0
2018,Abu Dhabi Grand Prix,RAI,7,ULTRASOFT,,19.0,,,,,,11.0
2018,Abu Dhabi Grand Prix,RIC,33,ULTRASOFT,SUPERSOFT,1.0,5.0,4.0,21.125,104.613,121.418,37.0
2018,Abu Dhabi Grand Prix,SAI,37,ULTRASOFT,SUPERSOFT,6.0,6.0,0.0,21.98700000000008,106.098,123.274,37.0
2018,Abu Dhabi Grand Prix,SIR,35,SUPERSOFT,ULTRASOFT,17.0,17.0,0.0,22.861000000000786,108.908,128.251,35.0
2018,Abu Dhabi Grand Prix,STR,40,SUPERSOFT,ULTRASOFT,12.0,15.0,3.0,22.324000000000524,107.905,125.942,40.0
2018,Abu Dhabi Grand Prix,VAN,35,SUPERSOFT,ULTRASOFT,15.0,16.0,1.0,22.179000000000087,109.18,126.769,35.0
2018,Abu Dhabi Grand Prix,VER,17,HYPERSOFT,SUPERSOFT,2.0,5.0,3.0,21.065000000000055,106.678,121.596,20.0
2018,Abu Dhabi Grand Prix,VET,15,ULTRASOFT,SUPERSOFT,3.0,5.0,2.0,22.682000000000244,107.097,125.214,18.0
2018,Australian Grand Prix,ALO,26,ULTRASOFT,SOFT,5.0,6.0,1.0,22.22499999999991,140.53,130.157,25.0
2018,Australian Grand Prix,BOT,25,ULTRASOFT,SUPERSOFT,9.0,9.0,0.0,21.77200000000039,106.549,128.176,27.0
2018,Australian Grand Prix,ERI,6,SUPERSOFT,,18.0,,,,,,5.0
2018,Australian Grand Prix,GAS,14,ULTRASOFT,,18.0,,,,,,13.0
2018,Australian Grand Prix,GRO,24,ULTRASOFT,,7.0,,,,109.039,,26.0
2018,Australian Grand Prix,HAM,19,ULTRASOFT,SOFT,2.0,2.0,0.0,22.085999999999785,105.05,92.966,20.0
2018,Australian Grand Prix,HAR,1,SUPERSOFT,SOFT,20.0,20.0,0.0,21.866999999999962,125.584,97.241,1.0
2018,Australian Grand Prix,HAR,22,SOFT,SOFT,17.0,16.0,-1.0,22.29399999999987,121.527,98.833,21.0
2018,Australian Grand Prix,HUL,24,ULTRASOFT,SOFT,10.0,8.0,-2.0,22.743000000000393,108.142,103.87,26.0
2018,Australian Grand Prix,LEC,20,SUPERSOFT,SOFT,17.0,17.0,0.0,22.266999999999825,108.767,94.359,19.0
2018,Australian Grand Prix,LEC,27,SOFT,ULTRASOFT,14.0,14.0,0.0,23.588000000000193,139.646,129.67,7.0
2018,Australian Grand Prix,MAG,22,ULTRASOFT,,9.0,,,,107.39,,24.0
2018,Australian Grand Prix,OCO,23,ULTRASOFT,SOFT,14.0,14.0,0.0,21.33100000000013,107.849,94.226,22.0
2018,Australian Grand Prix,PER,24,ULTRASOFT,SOFT,13.0,11.0,-2.0,22.88899999999967,108.875,110.397,23.0
2018,Australian Grand Prix,RAI,18,ULTRASOFT,SOFT,3.0,3.0,0.0,21.357999999999947,105.858,92.537,20.0
2018,Australian Grand Prix,RIC,26,SUPERSOFT,SOFT,4.0,4.0,0.0,21.453999999999724,137.173,129.56,28.0
2018,Australian Grand Prix,SAI,22,ULTRASOFT,SOFT,15.0,13.0,-2.0,23.773999999999887,115.942,94.136,24.0
2018,Australian Grand Prix,STR,25,SUPERSOFT,SOFT,13.0,13.0,0.0,25.416000000000167,120.771,128.343,24.0
2018,Australian Grand Prix,STR,29,SOFT,ULTRASOFT,13.0,13.0,0.0,21.440000000000055,112.536,97.353,4.0
2018,Australian Grand Prix,VAN,25,ULTRASOFT,SUPERSOFT,7.0,8.0,1.0,21.253000000000156,108.016,127.933,24.0
2018,Australian Grand Prix,VER,21,SUPERSOFT,SOFT,13.0,13.0,0.0,21.135999999999967,106.361,93.466,23.0
2018,Australian Grand Prix,VET,26,ULTRASOFT,SOFT,1.0,1.0,0.0,21.81399999999985,125.108,129.347,28.0
2018,Austrian Grand Prix,ALO,15,SUPERSOFT,SOFT,17.0,17.0,0.0,21.5329999999999,93.71,87.388,14.0
2018,Austrian Grand Prix,ERI,45,SOFT,SUPERSOFT,10.0,14.0,4.0,21.51700000000028,73.355,86.022,44.0
2018,Austrian Grand Prix,GAS,15,SUPERSOFT,SOFT,12.0,15.0,3.0,22.008000000000038,94.972,87.79,14.0
2018,Austrian Grand Prix,GRO,15,ULTRASOFT,SOFT,6.0,8.0,2.0,22.103000000000065,93.593,92.147,17.0
2018,Austrian Grand Prix,HAM,25,SUPERSOFT,SOFT,1.0,4.0,3.0,21.142999999999574,72.25,85.039,26.0
2018,Austrian Grand Prix,HAM,52,SOFT,SUPERSOFT,4.0,5.0,1.0,20.861999999999625,71.638,84.07,27.0
2018,Austrian Grand Prix,LEC,15,SUPERSOFT,SOFT,14.0,16.0,2.0,21.392000000000053,94.254,86.56,14.0
2018,Austrian Grand Prix,MAG,28,ULTRASOFT,SOFT,6.0,9.0,3.0,22.048999999999978,73.016,86.358,30.0
2018,Austrian Grand Prix,OCO,15,SUPERSOFT,SOFT,8.0,9.0,1.0,22.534999999999854,95.36,88.772,14.0
2018,Austrian Grand Prix,PER,27,SUPERSOFT,SOFT,8.0,11.0,3.0,22.846000000000004,72.843,87.041,26.0
2018,Austrian Grand Prix,RAI,15,ULTRASOFT,SOFT,3.0,3.0,0.0,21.432000000000016,88.35,93.64,17.0
2018,Austrian Grand Prix,RIC,15,SUPERSOFT,SOFT,4.0,4.0,0.0,21.798999999999978,88.735,93.13,17.0
2018,Austrian Grand Prix,RIC,38,SOFT,SUPERSOFT,5.0,5.0,0.0,21.26800000000003,74.63,86.081,23.0
2018,Austrian Grand Prix,SAI,15,ULTRASOFT,SOFT,9.0,10.0,1.0,23.205000000000155,95.806,88.431,17.0
2018,Austrian Grand Prix,SAI,34,SOFT,SUPERSOFT,12.0,17.0,5.0,26.333000000000084,75.982,91.46,19.0
2018,Austrian Grand Prix,SIR,24,SUPERSOFT,SOFT,13.0,17.0,4.0,22.922999999999774,73.715,88.563,23.0
2018,Austrian Grand Prix,SIR,60,SOFT,ULTRASOFT,15.0,15.0,0.0,24.283000000000357,74.381,90.963,36.0
2018,Austrian Grand Prix,STR,15,ULTRASOFT,SOFT,11.0,14.0,3.0,22.189999999999827,98.829,87.716,14.0
2018,Austrian Grand Prix,STR,65,SOFT,SUPERSOFT,13.0,13.0,0.0,22.26800000000003,73.806,87.563,50.0
2018,Austrian Grand Prix,VAN,1,SUPERSOFT,SOFT,20.0,20.0,0.0,46.50700000000006,93.639,113.141,1.0
