RaceYear,RaceName,Driver,Compound,delta_position,pit_between,LapNumber,gain
2018,Abu Dhabi Grand Prix,ALO,ULTRASOFT,0.0,False,1,False
2018,Abu Dhabi Grand Prix,ALO,ULTRASOFT,0.0,False,2,False
2018,Abu Dhabi Grand Prix,ALO,ULTRASOFT,0.0,False,3,False
2018,Abu Dhabi Grand Prix,ALO,ULTRASOFT,0.0,False,4,False
2018,Abu Dhabi Grand Prix,ALO,ULTRASOFT,0.0,False,5,False
2018,Abu Dhabi Grand Prix,ALO,ULTRASOFT,-1.0,False,6,True
2018,Abu Dhabi Grand Prix,ALO,ULTRASOFT,-2.0,False,7,True
2018,Abu Dhabi Grand Prix,ALO,ULTRASOFT,0.0,False,8,False
2018,Abu Dhabi Grand Prix,ALO,ULTRASOFT,0.0,False,9,False
2018,Abu Dhabi Grand Prix,ALO,ULTRASOFT,0.0,False,10,False
2018,Abu Dhabi Grand Prix,ALO,ULTRASOFT,0.0,False,11,False
2018,Abu Dhabi Grand Prix,ALO,ULTRASOFT,0.0,False,12,False
2018,Abu Dhabi Grand Prix,ALO,ULTRASOFT,0.0,False,13,False
2018,Abu Dhabi Grand Prix,ALO,ULTRASOFT,0.0,False,14,False
2018,Abu Dhabi Grand Prix,ALO,ULTRASOFT,0.0,False,15,False
2018,Abu Dhabi Grand Prix,ALO,ULTRASOFT,0.0,False,16,False
2018,Abu Dhabi Grand Prix,ALO,ULTRASOFT,0.0,False,17,False
2018,Abu Dhabi Grand Prix,ALO,ULTRASOFT,-1.0,False,18,True
2018,Abu Dhabi Grand Prix,ALO,ULTRASOFT,0.0,False,19,False
2018,Abu Dhabi Grand Prix,ALO,ULTRASOFT,0.0,False,20,False
2018,Abu Dhabi Grand Prix,ALO,ULTRASOFT,0.0,False,21,False
2018,Abu Dhabi Grand Prix,ALO,ULTRASOFT,0.0,False,22,False
2018,Abu Dhabi Grand Prix,ALO,ULTRASOFT,0.0,False,23,False
2018,Abu Dhabi Grand Prix,ALO,ULTRASOFT,-1.0,False,24,True
2018,Abu Dhabi Grand Prix,ALO,ULTRASOFT,1.0,False,25,False
2018,Abu Dhabi Grand Prix,ALO,ULTRASOFT,0.0,True,26,False
2018,Abu Dhabi Grand Prix,ALO,ULTRASOFT,7.0,False,27,False
2018,Abu Dhabi Grand Prix,ALO,SUPERSOFT,0.0,False,28,False
2018,Abu Dhabi Grand Prix,ALO,SUPERSOFT,0.0,False,29,False
2018,Abu Dhabi Grand Prix,ALO,SUPERSOFT,0.0,False,30,False
2018,Abu Dhabi Grand Prix,ALO,SUPERSOFT,-1.0,False,31,True
2018,Abu Dhabi Grand Prix,ALO,SUPERSOFT,0.0,False,32,False
2018,Abu Dhabi Grand Prix,ALO,SUPERSOFT,-1.0,False,33,True
2018,Abu Dhabi Grand Prix,ALO,SUPERSOFT,-1.0,False,34,True
2018,Abu Dhabi Grand Prix,ALO,SUPERSOFT,0.0,False,35,False
2018,Abu Dhabi Grand Prix,ALO,SUPERSOFT,0.0,False,36,False
2018,Abu Dhabi Grand Prix,ALO,SUPERSOFT,0.0,False,37,False
2018,Abu Dhabi Grand Prix,ALO,SUPERSOFT,0.0,False,38,False
2018,Abu Dhabi Grand Prix,ALO,SUPERSOFT,0.0,False,39,False
2018,Abu Dhabi Grand Prix,ALO,SUPERSOFT,-1.0,False,40,True
2018,Abu Dhabi Grand Prix,ALO,SUPERSOFT,0.0,False,41,False
2018,Abu Dhabi Grand Prix,ALO,SUPERSOFT,0.0,False,42,False
2018,Abu Dhabi Grand Prix,ALO,SUPERSOFT,0.0,False,43,False
2018,Abu Dhabi Grand Prix,ALO,SUPERSOFT,0.0,False,44,False
2018,Abu Dhabi Grand Prix,ALO,SUPERSOFT,-1.0,False,45,True
2018,Abu Dhabi Grand Prix,ALO,SUPERSOFT,-1.0,False,46,True
2018,Abu Dhabi Grand Prix,ALO,SUPERSOFT,0.0,False,47,False
2018,Abu Dhabi Grand Prix,ALO,SUPERSOFT,0.0,False,48,False
2018,Abu Dhabi Grand Prix,ALO,SUPERSOFT,0.0,False,49,False
2018,Abu Dhabi Grand Prix,ALO,SUPERSOFT,0.0,False,50,False
2018,Abu Dhabi Grand Prix,ALO,SUPERSOFT,0.0,False,51,False
2018,Abu Dhabi Grand Prix,ALO,SUPERSOFT,0.0,False,52,False
2018,Abu Dhabi Grand Prix,ALO,SUPERSOFT,0.0,False,53,False
2018,Abu Dhabi Grand Prix,BOT,ULTRASOFT,0.0,False,1,False
2018,Abu Dhabi Grand Prix,BOT,ULTRASOFT,0.0,False,2,False
2018,Abu Dhabi Grand Prix,BOT,ULTRASOFT,0.0,False,3,False
2018,Abu Dhabi Grand Prix,BOT,ULTRASOFT,0.0,False,4,False
2018,Abu Dhabi Grand Prix,BOT,ULTRASOFT,0.0,False,5,False
2018,Abu Dhabi Grand Prix,BOT,ULTRASOFT,0.0,False,6,False
2018,Abu Dhabi Grand Prix,BOT,ULTRASOFT,-1.0,False,7,True
2018,Abu Dhabi Grand Prix,BOT,ULTRASOFT,0.0,False,8,False
2018,Abu Dhabi Grand Prix,BOT,ULTRASOFT,0.0,False,9,False
2018,Abu Dhabi Grand Prix,BOT,ULTRASOFT,0.0,False,10,False
2018,Abu Dhabi Grand Prix,BOT,ULTRASOFT,0.0,False,11,False
2018,Abu Dhabi Grand Prix,BOT,ULTRASOFT,0.0,False,12,False
2018,Abu Dhabi Grand Prix,BOT,ULTRASOFT,0.0,False,13,False
2018,Abu Dhabi Grand Prix,BOT,ULTRASOFT,0.0,False,14,False
2018,Abu Dhabi Grand Prix,BOT,ULTRASOFT,0.0,True,15,False
2018,Abu Dhabi Grand Prix,BOT,ULTRASOFT,3.0,False,16,False
2018,Abu Dhabi Grand Prix,BOT,SUPERSOFT,-1.0,False,17,True
2018,Abu Dhabi Grand Prix,BOT,SUPERSOFT,0.0,False,18,False
2018,Abu Dhabi Grand Prix,BOT,SUPERSOFT,0.0,False,19,False
2018,Abu Dhabi Grand Prix,BOT,SUPERSOFT,0.0,False,20,False
2018,Abu Dhabi Grand Prix,BOT,SUPERSOFT,0.0,False,21,False
2018,Abu Dhabi Grand Prix,BOT,SUPERSOFT,0.0,False,22,False
2018,Abu Dhabi Grand Prix,BOT,SUPERSOFT,0.0,False,23,False
2018,Abu Dhabi Grand Prix,BOT,SUPERSOFT,0.0,False,24,False
2018,Abu Dhabi Grand Prix,BOT,SUPERSOFT,0.0,False,25,False
2018,Abu Dhabi Grand Prix,BOT,SUPERSOFT,0.0,False,26,False
2018,Abu Dhabi Grand Prix,BOT,SUPERSOFT,0.0,False,27,False
2018,Abu Dhabi Grand Prix,BOT,SUPERSOFT,0.0,False,28,False
2018,Abu Dhabi Grand Prix,BOT,SUPERSOFT,0.0,False,29,False
2018,Abu Dhabi Grand Prix,BOT,SUPERSOFT,0.0,False,30,False
2018,Abu Dhabi Grand Prix,BOT,SUPERSOFT,0.0,False,31,False
2018,Abu Dhabi Grand Prix,BOT,SUPERSOFT,0.0,False,32,False
2018,Abu Dhabi Grand Prix,BOT,SUPERSOFT,-1.0,False,33,True
2018,Abu Dhabi Grand Prix,BOT,SUPERSOFT,1.0,False,34,False
2018,Abu Dhabi Grand Prix,BOT,SUPERSOFT,0.0,False,35,False
2018,Abu Dhabi Grand Prix,BOT,SUPERSOFT,0.0,False,36,False
2018,Abu Dhabi Grand Prix,BOT,SUPERSOFT,1.0,False,37,False
2018,Abu Dhabi Grand Prix,BOT,SUPERSOFT,1.0,False,38,False
2018,Abu Dhabi Grand Prix,BOT,SUPERSOFT,0.0,True,39,False
2018,Abu Dhabi Grand Prix,BOT,SUPERSOFT,0.0,False,40,False
2018,Abu Dhabi Grand Prix,BOT,ULTRASOFT,0.0,False,41,False
2018,Abu Dhabi Grand Prix,BOT,ULTRASOFT,0.0,False,42,False
2018,Abu Dhabi Grand Prix,BOT,ULTRASOFT,0.0,False,43,False
2018,Abu Dhabi Grand Prix,BOT,ULTRASOFT,0.0,False,44,False
2018,Abu Dhabi Grand Prix,BOT,ULTRASOFT,0.0,False,45,False
2018,Abu Dhabi Grand Prix,BOT,ULTRASOFT,0.0,False,46,False
2018,Abu Dhabi Grand Prix,BOT,ULTRASOFT,0.0,False,47,False
2018,Abu Dhabi Grand Prix,BOT,ULTRASOFT,0.0,False,48,False
2018,Abu Dhabi Grand Prix,BOT,ULTRASOFT,0.0,False,49,False
2018,Abu Dhabi Grand Prix,BOT,ULTRASOFT,0.0,False,50,False
2018,Abu Dhabi Grand Prix,BOT,ULTRASOFT,0.0,False,51,False
2018,Abu Dhabi Grand Prix,BOT,ULTRASOFT,0.0,False,52,False
2018,Abu Dhabi Grand Prix,BOT,ULTRASOFT,0.0,False,53,False
2018,Abu Dhabi Grand Prix,BOT,ULTRASOFT,0.0,False,54,False
2018,Abu Dhabi Grand Prix,ERI,SUPERSOFT,0.0,False,1,False
2018,Abu Dhabi Grand Prix,ERI,SUPERSOFT,0.0,False,2,False
2018,Abu Dhabi Grand Prix,ERI,SUPERSOFT,0.0,False,3,False
2018,Abu Dhabi Grand Prix,ERI,SUPERSOFT,0.0,False,4,False
2018,Abu Dhabi Grand Prix,ERI,SUPERSOFT,-1.0,False,5,True
2018,Abu Dhabi Grand Prix,ERI,SUPERSOFT,-1.0,False,6,True
2018,Abu Dhabi Grand Prix,ERI,SUPERSOFT,-2.0,False,7,True
2018,Abu Dhabi Grand Prix,ERI,SUPERSOFT,0.0,False,8,False
2018,Abu Dhabi Grand Prix,ERI,SUPERSOFT,0.0,False,9,False
2018,Abu Dhabi Grand Prix,ERI,SUPERSOFT,0.0,False,10,False
2018,Abu Dhabi Grand Prix,ERI,SUPERSOFT,0.0,False,11,False
2018,Abu Dhabi Grand Prix,ERI,SUPERSOFT,0.0,False,12,False
2018,Abu Dhabi Grand Prix,ERI,SUPERSOFT,1.0,False,13,False
2018,Abu Dhabi Grand Prix,ERI,SUPERSOFT,0.0,False,14,False
2018,Abu Dhabi Grand Prix,ERI,SUPERSOFT,0.0,False,15,False
2018,Abu Dhabi Grand Prix,ERI,SUPERSOFT,0.0,False,16,False
2018,Abu Dhabi Grand Prix,ERI,SUPERSOFT,0.0,False,17,False
2018,Abu Dhabi Grand Prix,ERI,SUPERSOFT,-1.0,False,18,True
2018,Abu Dhabi Grand Prix,ERI,SUPERSOFT,0.0,False,19,False
2018,Abu Dhabi Grand Prix,ERI,SUPERSOFT,0.0,False,20,False
2018,Abu Dhabi Grand Prix,ERI,SUPERSOFT,0.0,False,21,False
2018,Abu Dhabi Grand Prix,ERI,SUPERSOFT,0.0,False,22,False
2018,Abu Dhabi Grand Prix,ERI,SUPERSOFT,0.0,False,23,False
2018,Abu Dhabi Grand Prix,GAS,SUPERSOFT,0.0,False,1,False
2018,Abu Dhabi Grand Prix,GAS,SUPERSOFT,0.0,False,2,False
2018,Abu Dhabi Grand Prix,GAS,SUPERSOFT,0.0,False,3,False
2018,Abu Dhabi Grand Prix,GAS,SUPERSOFT,0.0,False,4,False
2018,Abu Dhabi Grand Prix,GAS,SUPERSOFT,0.0,False,5,False
2018,Abu Dhabi Grand Prix,GAS,SUPERSOFT,-1.0,False,6,True
2018,Abu Dhabi Grand Prix,GAS,SUPERSOFT,-2.0,False,7,True
2018,Abu Dhabi Grand Prix,GAS,SUPERSOFT,0.0,False,8,False
2018,Abu Dhabi Grand Prix,GAS,SUPERSOFT,0.0,False,9,False
2018,Abu Dhabi Grand Prix,GAS,SUPERSOFT,0.0,False,10,False
2018,Abu Dhabi Grand Prix,GAS,SUPERSOFT,0.0,False,11,False
2018,Abu Dhabi Grand Prix,GAS,SUPERSOFT,0.0,False,12,False
2018,Abu Dhabi Grand Prix,GAS,SUPERSOFT,0.0,False,13,False
2018,Abu Dhabi Grand Prix,GAS,SUPERSOFT,0.0,False,14,False
2018,Abu Dhabi Grand Prix,GAS,SUPERSOFT,0.0,False,15,False
2018,Abu Dhabi Grand Prix,GAS,SUPERSOFT,0.0,False,16,False
2018,Abu Dhabi Grand Prix,GAS,SUPERSOFT,0.0,False,17,False
2018,Abu Dhabi Grand Prix,GAS,SUPERSOFT,-1.0,False,18,True
