RaceYear,RaceName,Driver,starting_compound,starting_lap_position,LapNumber
2018,Abu Dhabi Grand Prix,ALO,ULTRASOFT,14.0,1
2018,Abu Dhabi Grand Prix,BOT,ULTRASOFT,2.0,1
2018,Abu Dhabi Grand Prix,ERI,SUPERSOFT,12.0,1
2018,Abu Dhabi Grand Prix,GAS,SUPERSOFT,13.0,1
2018,Abu Dhabi Grand Prix,GRO,HYPERSOFT,7.0,1
2018,Abu Dhabi Grand Prix,HAM,ULTRASOFT,1.0,1
2018,Abu Dhabi Grand Prix,HAR,ULTRASOFT,19.0,1
2018,Abu Dhabi Grand Prix,HUL,HYPERSOFT,,1
2018,Abu Dhabi Grand Prix,LEC,HYPERSOFT,5.0,1
2018,Abu Dhabi Grand Prix,MAG,SUPERSOFT,16.0,1
2018,Abu Dhabi Grand Prix,OCO,HYPERSOFT,8.0,1
2018,Abu Dhabi Grand Prix,PER,ULTRASOFT,10.0,1
2018,Abu Dhabi Grand Prix,RAI,ULTRASOFT,4.0,1
2018,Abu Dhabi Grand Prix,RIC,ULTRASOFT,6.0,1
2018,Abu Dhabi Grand Prix,SAI,ULTRASOFT,11.0,1
2018,Abu Dhabi Grand Prix,SIR,SUPERSOFT,18.0,1
2018,Abu Dhabi Grand Prix,STR,SUPERSOFT,15.0,1
2018,Abu Dhabi Grand Prix,VAN,SUPERSOFT,17.0,1
2018,Abu Dhabi Grand Prix,VER,HYPERSOFT,9.0,1
2018,Abu Dhabi Grand Prix,VET,ULTRASOFT,3.0,1
2018,Australian Grand Prix,ALO,UNKNOWN,10.0,1
2018,Australian Grand Prix,BOT,UNKNOWN,15.0,1
2018,Australian Grand Prix,ERI,UNKNOWN,16.0,1
2018,Australian Grand Prix,GAS,UNKNOWN,17.0,1
2018,Australian Grand Prix,GRO,UNKNOWN,6.0,1
2018,Australian Grand Prix,HAM,UNKNOWN,1.0,1
2018,Australian Grand Prix,HAR,SUPERSOFT,20.0,1
2018,Australian Grand Prix,HUL,UNKNOWN,7.0,1
2018,Australian Grand Prix,LEC,UNKNOWN,18.0,1
2018,Australian Grand Prix,MAG,UNKNOWN,4.0,1
2018,Australian Grand Prix,OCO,UNKNOWN,13.0,1
