RaceYear,RaceName,Driver,Stint,Compound,stint_laps,first_lap,last_lap
2018,Abu Dhabi Grand Prix,ALO,1,ULTRASOFT,27,1,27
2018,Abu Dhabi Grand Prix,ALO,2,SUPERSOFT,27,28,54
2018,Abu Dhabi Grand Prix,BOT,1,ULTRASOFT,16,1,16
2018,Abu Dhabi Grand Prix,BOT,2,SUPERSOFT,24,17,40
2018,Abu Dhabi Grand Prix,BOT,3,ULTRASOFT,15,41,55
2018,Abu Dhabi Grand Prix,ERI,1,SUPERSOFT,25,1,25
2018,Abu Dhabi Grand Prix,GAS,1,SUPERSOFT,29,1,29
2018,Abu Dhabi Grand Prix,GAS,2,ULTRASOFT,18,30,47
2018,Abu Dhabi Grand Prix,GRO,1,HYPERSOFT,7,1,7
2018,Abu Dhabi Grand Prix,GRO,2,SUPERSOFT,47,8,54
2018,Abu Dhabi Grand Prix,HAM,1,ULTRASOFT,7,1,7
2018,Abu Dhabi Grand Prix,HAM,2,SUPERSOFT,48,8,55
2018,Abu Dhabi Grand Prix,HAR,1,ULTRASOFT,2,1,2
2018,Abu Dhabi Grand Prix,HAR,2,SUPERSOFT,52,3,54
2018,Abu Dhabi Grand Prix,HUL,1,HYPERSOFT,1,1,1
2018,Abu Dhabi Grand Prix,LEC,1,HYPERSOFT,7,1,7
2018,Abu Dhabi Grand Prix,LEC,2,SUPERSOFT,48,8,55
2018,Abu Dhabi Grand Prix,MAG,1,SUPERSOFT,41,1,41
2018,Abu Dhabi Grand Prix,MAG,2,ULTRASOFT,13,42,54
2018,Abu Dhabi Grand Prix,OCO,1,HYPERSOFT,18,1,18
2018,Abu Dhabi Grand Prix,OCO,2,SUPERSOFT,27,19,45
2018,Abu Dhabi Grand Prix,PER,1,ULTRASOFT,26,1,26
2018,Abu Dhabi Grand Prix,PER,2,SUPERSOFT,29,27,55
2018,Abu Dhabi Grand Prix,RAI,1,ULTRASOFT,7,1,7
2018,Abu Dhabi Grand Prix,RIC,1,ULTRASOFT,33,1,33
2018,Abu Dhabi Grand Prix,RIC,2,SUPERSOFT,22,34,55
2018,Abu Dhabi Grand Prix,SAI,1,ULTRASOFT,37,1,37
2018,Abu Dhabi Grand Prix,SAI,2,SUPERSOFT,18,38,55
2018,Abu Dhabi Grand Prix,SIR,1,SUPERSOFT,35,1,35
2018,Abu Dhabi Grand Prix,SIR,2,ULTRASOFT,19,36,54
2018,Abu Dhabi Grand Prix,STR,1,SUPERSOFT,40,1,40
2018,Abu Dhabi Grand Prix,STR,2,ULTRASOFT,14,41,54
2018,Abu Dhabi Grand Prix,VAN,1,SUPERSOFT,35,1,35
2018,Abu Dhabi Grand Prix,VAN,2,ULTRASOFT,19,36,54
2018,Abu Dhabi Grand Prix,VER,1,HYPERSOFT,17,1,17
2018,Abu Dhabi Grand Prix,VER,2,SUPERSOFT,38,18,55
2018,Abu Dhabi Grand Prix,VET,1,ULTRASOFT,15,1,15
2018,Abu Dhabi Grand Prix,VET,2,SUPERSOFT,40,16,55
2018,Australian Grand Prix,ALO,1,ULTRASOFT,25,2,26
2018,Australian Grand Prix,ALO,2,SOFT,32,27,58
2018,Australian Grand Prix,BOT,1,ULTRASOFT,24,2,25
2018,Australian Grand Prix,BOT,2,SUPERSOFT,33,26,58
2018,Australian Grand Prix,ERI,1,SUPERSOFT,5,2,6
2018,Australian Grand Prix,GAS,1,ULTRASOFT,13,2,14
2018,Australian Grand Prix,GRO,1,ULTRASOFT,23,2,24
2018,Australian Grand Prix,HAM,1,ULTRASOFT,17,3,19
2018,Australian Grand Prix,HAM,2,SOFT,39,20,58
2018,Australian Grand Prix,HAR,1,SUPERSOFT,1,1,1
2018,Australian Grand Prix,HAR,2,SOFT,23,2,24
2018,Australian Grand Prix,HAR,3,ULTRASOFT,33,25,57
2018,Australian Grand Prix,HUL,1,ULTRASOFT,23,2,24
2018,Australian Grand Prix,HUL,2,SOFT,34,25,58
2018,Australian Grand Prix,LEC,1,SUPERSOFT,19,2,20
2018,Australian Grand Prix,LEC,2,SOFT,7,21,27
2018,Australian Grand Prix,LEC,3,ULTRASOFT,31,28,58
2018,Australian Grand Prix,MAG,1,ULTRASOFT,21,2,22
2018,Australian Grand Prix,OCO,1,ULTRASOFT,22,2,23
2018,Australian Grand Prix,OCO,2,SOFT,35,24,58
2018,Australian Grand Prix,PER,1,ULTRASOFT,23,2,24
2018,Australian Grand Prix,PER,2,SOFT,34,25,58
2018,Australian Grand Prix,RAI,1,ULTRASOFT,17,2,18
2018,Australian Grand Prix,RAI,2,SOFT,40,19,58
2018,Australian Grand Prix,RIC,1,SUPERSOFT,25,2,26
2018,Australian Grand Prix,RIC,2,SOFT,32,27,58
2018,Australian Grand Prix,SAI,1,ULTRASOFT,21,2,22
2018,Australian Grand Prix,SAI,2,SOFT,36,23,58
2018,Australian Grand Prix,SIR,1,SUPERSOFT,4,2,5
2018,Australian Grand Prix,STR,1,SUPERSOFT,24,2,25
2018,Australian Grand Prix,STR,2,SOFT,4,26,29
2018,Australian Grand Prix,STR,3,ULTRASOFT,29,30,58
2018,Australian Grand Prix,VAN,1,ULTRASOFT,24,2,25
2018,Australian Grand Prix,VAN,2,SUPERSOFT,33,26,58
2018,Australian Grand Prix,VER,1,SUPERSOFT,20,2,21
2018,Australian Grand Prix,VER,2,SOFT,37,22,58
2018,Australian Grand Prix,VET,1,ULTRASOFT,25,2,26
2018,Australian Grand Prix,VET,2,SOFT,32,27,58
2018,Austrian Grand Prix,ALO,1,SUPERSOFT,14,2,15
2018,Austrian Grand Prix,ALO,2,SOFT,55,16,70
2018,Austrian Grand Prix,BOT,1,SUPERSOFT,13,2,14
2018,Austrian Grand Prix,ERI,1,SOFT,44,2,45
2018,Austrian Grand Prix,ERI,2,SUPERSOFT,25,46,70
2018,Austrian Grand Prix,GAS,1,SUPERSOFT,14,2,15
2018,Austrian Grand Prix,GAS,2,SOFT,55,16,70
2018,Austrian Grand Prix,GRO,1,ULTRASOFT,14,2,15
2018,Austrian Grand Prix,GRO,2,SOFT,55,16,70
2018,Austrian Grand Prix,HAM,1,SUPERSOFT,23,3,25
2018,Austrian Grand Prix,HAM,2,SOFT,27,26,52
2018,Austrian Grand Prix,HAM,3,SUPERSOFT,11,53,63
2018,Austrian Grand Prix,HAR,1,SUPERSOFT,54,2,55
2018,Austrian Grand Prix,HUL,1,ULTRASOFT,11,2,12
2018,Austrian Grand Prix,LEC,1,SUPERSOFT,14,2,15
2018,Austrian Grand Prix,LEC,2,SOFT,55,16,70
2018,Austrian Grand Prix,MAG,1,ULTRASOFT,27,2,28
2018,Austrian Grand Prix,MAG,2,SOFT,42,29,70
2018,Austrian Grand Prix,OCO,1,SUPERSOFT,14,2,15
2018,Austrian Grand Prix,OCO,2,SOFT,55,16,70
2018,Austrian Grand Prix,PER,1,SUPERSOFT,26,2,27
2018,Austrian Grand Prix,PER,2,SOFT,43,28,70
2018,Austrian Grand Prix,RAI,1,ULTRASOFT,14,2,15
2018,Austrian Grand Prix,RAI,2,SOFT,56,16,71
2018,Austrian Grand Prix,RIC,1,SUPERSOFT,14,2,15
2018,Austrian Grand Prix,RIC,2,SOFT,23,16,38
2018,Austrian Grand Prix,RIC,3,SUPERSOFT,16,39,54
2018,Austrian Grand Prix,SAI,1,ULTRASOFT,14,2,15
2018,Austrian Grand Prix,SAI,2,SOFT,19,16,34
2018,Austrian Grand Prix,SAI,3,SUPERSOFT,36,35,70
2018,Austrian Grand Prix,SIR,1,SUPERSOFT,23,2,24
2018,Austrian Grand Prix,SIR,2,SOFT,36,25,60
2018,Austrian Grand Prix,SIR,3,ULTRASOFT,9,61,69
2018,Austrian Grand Prix,STR,1,ULTRASOFT,14,2,15
2018,Austrian Grand Prix,STR,2,SOFT,50,16,65
2018,Austrian Grand Prix,STR,3,SUPERSOFT,4,66,69
2018,Austrian Grand Prix,VAN,1,SUPERSOFT,1,1,1
2018,Austrian Grand Prix,VAN,2,SOFT,39,2,40
2018,Austrian Grand Prix,VAN,3,SOFT,25,41,65
2018,Austrian Grand Prix,VER,1,SUPERSOFT,14,2,15
2018,Austrian Grand Prix,VER,2,SOFT,56,16,71
2018,Austrian Grand Prix,VET,1,ULTRASOFT,14,2,15
2018,Austrian Grand Prix,VET,2,SOFT,56,16,71
2018,Azerbaijan Grand Prix,ALO,1,SUPERSOFT,1,1,1
2018,Azerbaijan Grand Prix,ALO,2,SOFT,39,2,40
2018,Azerbaijan Grand Prix,ALO,3,ULTRASOFT,11,41,51
2018,Azerbaijan Grand Prix,BOT,1,SUPERSOFT,39,2,40
2018,Azerbaijan Grand Prix,BOT,2,ULTRASOFT,9,41,49
2018,Azerbaijan Grand Prix,ERI,1,SUPERSOFT,1,1,1
2018,Azerbaijan Grand Prix,ERI,2,SOFT,17,2,18
2018,Azerbaijan Grand Prix,ERI,3,ULTRASOFT,18,19,36
2018,Azerbaijan Grand Prix,ERI,4,ULTRASOFT,3,37,39
2018,Azerbaijan Grand Prix,ERI,5,ULTRASOFT,12,40,51
2018,Azerbaijan Grand Prix,GAS,1,ULTRASOFT,11,2,12
2018,Azerbaijan Grand Prix,GAS,2,SOFT,27,13,39
2018,Azerbaijan Grand Prix,GAS,3,ULTRASOFT,12,40,51
2018,Azerbaijan Grand Prix,GRO,1,SOFT,1,2,2
2018,Azerbaijan Grand Prix,GRO,2,SUPERSOFT,38,3,40
2018,Azerbaijan Grand Prix,GRO,3,ULTRASOFT,3,41,43
2018,Azerbaijan Grand Prix,HAM,1,SUPERSOFT,21,2,22
2018,Azerbaijan Grand Prix,HAM,2,SOFT,18,23,40
2018,Azerbaijan Grand Prix,HAM,3,ULTRASOFT,11,41,51
2018,Azerbaijan Grand Prix,HAR,1,SOFT,1,1,1
2018,Azerbaijan Grand Prix,HAR,2,ULTRASOFT,21,2,22
2018,Azerbaijan Grand Prix,HAR,3,SUPERSOFT,17,23,39
2018,Azerbaijan Grand Prix,HAR,4,ULTRASOFT,12,40,51
2018,Azerbaijan Grand Prix,HUL,1,ULTRASOFT,10,2,11
2018,Azerbaijan Grand Prix,LEC,1,SUPERSOFT,23,2,24
2018,Azerbaijan Grand Prix,LEC,2,SOFT,16,25,40
2018,Azerbaijan Grand Prix,LEC,3,ULTRASOFT,11,41,51
2018,Azerbaijan Grand Prix,MAG,1,SUPERSOFT,1,1,1
2018,Azerbaijan Grand Prix,MAG,2,SOFT,38,2,39
2018,Azerbaijan Grand Prix,MAG,3,ULTRASOFT,12,40,51
2018,Azerbaijan Grand Prix,OCO,1,ULTRASOFT,1,1,1
2018,Azerbaijan Grand Prix,PER,1,ULTRASOFT,1,2,2
2018,Azerbaijan Grand Prix,PER,2,SOFT,38,3,40
2018,Azerbaijan Grand Prix,PER,3,SUPERSOFT,11,41,51
2018,Azerbaijan Grand Prix,RAI,1,ULTRASOFT,1,1,1
2018,Azerbaijan Grand Prix,RAI,2,SOFT,39,2,40
2018,Azerbaijan Grand Prix,RAI,3,ULTRASOFT,11,41,51
2018,Azerbaijan Grand Prix,RIC,1,SUPERSOFT,36,2,37
2018,Azerbaijan Grand Prix,RIC,2,ULTRASOFT,3,38,40
2018,Azerbaijan Grand Prix,SAI,1,ULTRASOFT,14,2,15
2018,Azerbaijan Grand Prix,SAI,2,SOFT,25,16,40
2018,Azerbaijan Grand Prix,SAI,3,ULTRASOFT,11,41,51
2018,Azerbaijan Grand Prix,SIR,1,SUPERSOFT,1,1,1
2018,Azerbaijan Grand Prix,STR,1,SUPERSOFT,22,2,23
2018,Azerbaijan Grand Prix,STR,2,SOFT,17,24,40
2018,Azerbaijan Grand Prix,STR,3,ULTRASOFT,11,41,51
2018,Azerbaijan Grand Prix,VAN,1,SUPERSOFT,16,2,17
2018,Azerbaijan Grand Prix,VAN,2,SOFT,8,18,25
2018,Azerbaijan Grand Prix,VAN,3,ULTRASOFT,14,26,39
2018,Azerbaijan Grand Prix,VAN,4,ULTRASOFT,7,40,46
2018,Azerbaijan Grand Prix,VAN,5,ULTRASOFT,5,47,51
2018,Azerbaijan Grand Prix,VER,1,SUPERSOFT,37,2,38
2018,Azerbaijan Grand Prix,VER,2,ULTRASOFT,2,39,40
2018,Azerbaijan Grand Prix,VET,1,SUPERSOFT,28,3,30
2018,Azerbaijan Grand Prix,VET,2,SOFT,10,31,40
2018,Azerbaijan Grand Prix,VET,3,ULTRASOFT,11,41,51
2018,Bahrain Grand Prix,ALO,1,SOFT,13,2,14
2018,Bahrain Grand Prix,ALO,2,MEDIUM,25,15,39
2018,Bahrain Grand Prix,ALO,3,SUPERSOFT,17,40,56
2018,Bahrain Grand Prix,BOT,1,SUPERSOFT,19,2,20
2018,Bahrain Grand Prix,BOT,2,MEDIUM,37,21,57
2018,Bahrain Grand Prix,ERI,1,SOFT,22,2,23
2018,Bahrain Grand Prix,ERI,2,MEDIUM,33,24,56
2018,Bahrain Grand Prix,GAS,1,SUPERSOFT,14,2,15
2018,Bahrain Grand Prix,GAS,2,SOFT,19,16,34
2018,Bahrain Grand Prix,GAS,3,SUPERSOFT,23,35,57
2018,Bahrain Grand Prix,GRO,1,SUPERSOFT,17,2,18
2018,Bahrain Grand Prix,GRO,2,SOFT,12,19,30
2018,Bahrain Grand Prix,GRO,3,SUPERSOFT,15,31,45
2018,Bahrain Grand Prix,GRO,4,SUPERSOFT,11,46,56
2018,Bahrain Grand Prix,HAM,1,SOFT,25,2,26
