RaceYear,RaceName,driver_entries,unique_strategy_sequences,strategy_entropy,top_strategy_share
2018,Abu Dhabi Grand Prix,20,7,2.3588718484453604,0.35
2018,Australian Grand Prix,20,6,2.3464393446710154,0.4
2018,Austrian Grand Prix,20,9,2.8464393446710154,0.3
2018,Azerbaijan Grand Prix,20,9,2.8709505944546687,0.3
2018,Bahrain Grand Prix,19,11,3.2608281712244547,0.21052631578947367
2018,Belgian Grand Prix,20,9,2.9037016960573485,0.25
2018,Brazilian Grand Prix,20,9,2.8659573209491747,0.25
2018,British Grand Prix,19,6,1.9504809632118367,0.42105263157894735
2018,Canadian Grand Prix,20,7,2.119973094021975,0.45
2018,Chinese Grand Prix,20,6,1.8854752972273343,0.5
2018,French Grand Prix,20,12,3.3464393446710154,0.2
2018,German Grand Prix,20,11,3.2841837197791888,0.2
2018,Hungarian Grand Prix,20,9,2.8086949695628425,0.3
2018,Japanese Grand Prix,20,6,2.1149798205164814,0.45
2018,Mexican Grand Prix,20,12,3.3219280948873626,0.2
2018,Monaco Grand Prix,20,7,2.5282129458410014,0.3
2018,Russian Grand Prix,20,5,1.9464393446710153,0.4
2018,Singapore Grand Prix,20,9,2.9037016960573485,0.25
2018,Spanish Grand Prix,20,8,2.2609640474436814,0.5
2018,United States Grand Prix,20,9,2.8609640474436815,0.25
2019,Abu Dhabi Grand Prix,20,7,2.319973094021975,0.45
2019,Australian Grand Prix,20,7,2.341446071165522,0.4
2019,Austrian Grand Prix,20,6,1.7709505944546686,0.6
2019,Azerbaijan Grand Prix,20,7,1.9332062193464952,0.6
2019,Bahrain Grand Prix,20,7,2.465957320949175,0.3
2019,Belgian Grand Prix,20,6,2.2037016960573483,0.4
2019,Brazilian Grand Prix,20,9,2.595461844238322,0.45
2019,British Grand Prix,20,10,2.908694969562842,0.3
2019,Canadian Grand Prix,20,6,2.2219280948873625,0.4
2019,Chinese Grand Prix,20,9,2.9282129458410013,0.25
2019,French Grand Prix,20,6,1.838758680915008,0.55
2019,German Grand Prix,20,12,3.4464393446710155,0.15
2019,Hungarian Grand Prix,20,7,2.4464393446710155,0.4
2019,Italian Grand Prix,20,10,3.065957320949175,0.25
2019,Japanese Grand Prix,20,11,3.1037016960573482,0.25
2019,Mexican Grand Prix,20,6,1.9814963295286754,0.55
2019,Monaco Grand Prix,20,7,2.2149798205164815,0.45
2019,Russian Grand Prix,20,9,2.765957320949175,0.3
2019,Singapore Grand Prix,20,7,2.439353872167201,0.35
2019,Spanish Grand Prix,20,9,2.8016094970590277,0.35
2019,United States Grand Prix,20,9,2.941446071165522,0.25
2020,70th Anniversary Grand Prix,20,9,2.7219280948873625,0.4
2020,Abu Dhabi Grand Prix,20,7,2.2149798205164815,0.45
2020,Austrian Grand Prix,20,10,3.246439344671016,0.15
2020,Bahrain Grand Prix,20,15,3.721928094887362,0.2
2020,Belgian Grand Prix,19,9,2.9000516989995426,0.2631578947368421
2020,British Grand Prix,19,6,2.2081965922770874,0.42105263157894735
2020,Eifel Grand Prix,20,6,2.3016094970590273,0.35
2020,Emilia Romagna Grand Prix,20,9,2.8609640474436815,0.25
2020,Hungarian Grand Prix,20,10,2.8219280948873626,0.4
2020,Italian Grand Prix,20,14,3.446439344671015,0.3
2020,Portuguese Grand Prix,20,7,2.341446071165522,0.4
2020,Russian Grand Prix,20,8,2.6016094970590276,0.35
2020,Sakhir Grand Prix,20,13,3.5219280948873624,0.2
2020,Spanish Grand Prix,20,9,2.9282129458410013,0.25
2020,Styrian Grand Prix,20,8,2.395461844238322,0.45
2020,Turkish Grand Prix,20,5,1.8192407046368488,0.55
2020,Tuscan Grand Prix,20,12,3.2414460711655217,0.25
2021,Abu Dhabi Grand Prix,19,9,2.9053077763737467,0.3157894736842105
2021,Austrian Grand Prix,20,5,1.9954618442383218,0.45
2021,Azerbaijan Grand Prix,20,11,2.7954618442383223,0.45
2021,Bahrain Grand Prix,20,10,2.9393538721672012,0.35
2021,Belgian Grand Prix,20,1,-0.0,1.0
2021,British Grand Prix,20,4,0.8475846798245739,0.85
2021,Dutch Grand Prix,20,9,2.9219280948873623,0.2
2021,Emilia Romagna Grand Prix,20,11,3.308694969562842,0.15
2021,French Grand Prix,20,4,1.490468570732828,0.6
2021,Hungarian Grand Prix,20,8,2.395461844238322,0.45
2021,Italian Grand Prix,19,5,1.6679511971986447,0.631578947368421
2021,Mexico City Grand Prix,20,6,1.7709505944546686,0.6
2021,Monaco Grand Prix,19,7,2.2200683022340693,0.47368421052631576
2021,Portuguese Grand Prix,20,6,2.077235445408308,0.45
2021,Qatar Grand Prix,20,10,3.1037016960573482,0.25
2021,Russian Grand Prix,20,4,1.5783898247235197,0.5
2021,Saudi Arabian Grand Prix,20,10,3.1464393446710153,0.2
2021,São Paulo Grand Prix,20,9,2.823219672335508,0.25
2021,Spanish Grand Prix,20,6,1.7709505944546686,0.6
2021,Styrian Grand Prix,20,8,2.395461844238322,0.45
2021,Turkish Grand Prix,20,3,0.5689955935892812,0.9
2021,United States Grand Prix,20,7,2.341446071165522,0.4
2022,Abu Dhabi Grand Prix,20,6,2.3332062193464953,0.3
2022,Australian Grand Prix,20,7,1.8166422780956524,0.65
2022,Austrian Grand Prix,20,8,2.219240704636849,0.55
2022,Azerbaijan Grand Prix,20,7,2.3588718484453604,0.35
2022,Bahrain Grand Prix,20,9,2.8016094970590277,0.35
2022,Belgian Grand Prix,20,11,2.9393538721672012,0.35
2022,British Grand Prix,20,15,3.6414460711655217,0.25
2022,Canadian Grand Prix,20,7,2.223219672335508,0.5
2022,Dutch Grand Prix,20,12,3.208694969562842,0.3
2022,Emilia Romagna Grand Prix,20,5,1.578897902987479,0.65
2022,French Grand Prix,20,7,1.9332062193464952,0.6
