strategy_sequence,mean_places_gained,gain_rate,n
HARD -> MEDIUM,3.251851851851852,0.762962962962963,135
HARD -> MEDIUM -> HARD,2.8,0.76,25
ULTRASOFT -> SUPERSOFT,1.7241379310344827,0.6206896551724138,29
MEDIUM -> SOFT,1.7191011235955056,0.6179775280898876,89
SOFT -> MEDIUM -> MEDIUM,1.2833333333333334,0.5833333333333334,60
MEDIUM -> MEDIUM -> MEDIUM -> HARD,1.1111111111111112,0.5185185185185185,27
INTERMEDIATE -> MEDIUM,1.1025641025641026,0.6666666666666666,39
SUPERSOFT -> SOFT,1.0,0.6428571428571429,28
MEDIUM -> MEDIUM -> HARD,0.6363636363636364,0.5324675324675324,77
SOFT -> MEDIUM -> SOFT,0.6194690265486725,0.5663716814159292,113
SOFT -> HARD -> HARD,0.5476190476190477,0.5476190476190477,42
ULTRASOFT -> SOFT,0.15217391304347827,0.5217391304347826,46
