RaceYear,RaceName,Driver,strategy_sequence,n_stints,starting_compound,final_compound,first_stint_laps,total_laps_in_stints
2018,Abu Dhabi Grand Prix,ALO,ULTRASOFT -> SUPERSOFT,2,ULTRASOFT,SUPERSOFT,27,54
2018,Abu Dhabi Grand Prix,BOT,ULTRASOFT -> SUPERSOFT -> ULTRASOFT,3,ULTRASOFT,ULTRASOFT,16,55
2018,Abu Dhabi Grand Prix,ERI,SUPERSOFT,1,SUPERSOFT,SUPERSOFT,25,25
2018,Abu Dhabi Grand Prix,GAS,SUPERSOFT -> ULTRASOFT,2,SUPERSOFT,ULTRASOFT,29,47
2018,Abu Dhabi Grand Prix,GRO,HYPERSOFT -> SUPERSOFT,2,HYPERSOFT,SUPERSOFT,7,54
2018,Abu Dhabi Grand Prix,HAM,ULTRASOFT -> SUPERSOFT,2,ULTRASOFT,SUPERSOFT,7,55
2018,Abu Dhabi Grand Prix,HAR,ULTRASOFT -> SUPERSOFT,2,ULTRASOFT,SUPERSOFT,2,54
2018,Abu Dhabi Grand Prix,HUL,HYPERSOFT,1,HYPERSOFT,HYPERSOFT,1,1
2018,Abu Dhabi Grand Prix,LEC,HYPERSOFT -> SUPERSOFT,2,HYPERSOFT,SUPERSOFT,7,55
2018,Abu Dhabi Grand Prix,MAG,SUPERSOFT -> ULTRASOFT,2,SUPERSOFT,ULTRASOFT,41,54
2018,Abu Dhabi Grand Prix,OCO,HYPERSOFT -> SUPERSOFT,2,HYPERSOFT,SUPERSOFT,18,45
2018,Abu Dhabi Grand Prix,PER,ULTRASOFT -> SUPERSOFT,2,ULTRASOFT,SUPERSOFT,26,55
2018,Abu Dhabi Grand Prix,RAI,ULTRASOFT,1,ULTRASOFT,ULTRASOFT,7,7
2018,Abu Dhabi Grand Prix,RIC,ULTRASOFT -> SUPERSOFT,2,ULTRASOFT,SUPERSOFT,33,55
2018,Abu Dhabi Grand Prix,SAI,ULTRASOFT -> SUPERSOFT,2,ULTRASOFT,SUPERSOFT,37,55
2018,Abu Dhabi Grand Prix,SIR,SUPERSOFT -> ULTRASOFT,2,SUPERSOFT,ULTRASOFT,35,54
2018,Abu Dhabi Grand Prix,STR,SUPERSOFT -> ULTRASOFT,2,SUPERSOFT,ULTRASOFT,40,54
2018,Abu Dhabi Grand Prix,VAN,SUPERSOFT -> ULTRASOFT,2,SUPERSOFT,ULTRASOFT,35,54
2018,Abu Dhabi Grand Prix,VER,HYPERSOFT -> SUPERSOFT,2,HYPERSOFT,SUPERSOFT,17,55
2018,Abu Dhabi Grand Prix,VET,ULTRASOFT -> SUPERSOFT,2,ULTRASOFT,SUPERSOFT,15,55
2018,Australian Grand Prix,ALO,ULTRASOFT -> SOFT,2,ULTRASOFT,SOFT,25,57
2018,Australian Grand Prix,BOT,ULTRASOFT -> SUPERSOFT,2,ULTRASOFT,SUPERSOFT,24,57
2018,Australian Grand Prix,ERI,SUPERSOFT,1,SUPERSOFT,SUPERSOFT,5,5
2018,Australian Grand Prix,GAS,ULTRASOFT,1,ULTRASOFT,ULTRASOFT,13,13
2018,Australian Grand Prix,GRO,ULTRASOFT,1,ULTRASOFT,ULTRASOFT,23,23
2018,Australian Grand Prix,HAM,ULTRASOFT -> SOFT,2,ULTRASOFT,SOFT,17,56
2018,Australian Grand Prix,HAR,SUPERSOFT -> SOFT -> ULTRASOFT,3,SUPERSOFT,ULTRASOFT,1,57
2018,Australian Grand Prix,HUL,ULTRASOFT -> SOFT,2,ULTRASOFT,SOFT,23,57
2018,Australian Grand Prix,LEC,SUPERSOFT -> SOFT -> ULTRASOFT,3,SUPERSOFT,ULTRASOFT,19,57
2018,Australian Grand Prix,MAG,ULTRASOFT,1,ULTRASOFT,ULTRASOFT,21,21
2018,Australian Grand Prix,OCO,ULTRASOFT -> SOFT,2,ULTRASOFT,SOFT,22,57
2018,Australian Grand Prix,PER,ULTRASOFT -> SOFT,2,ULTRASOFT,SOFT,23,57
2018,Australian Grand Prix,RAI,ULTRASOFT -> SOFT,2,ULTRASOFT,SOFT,17,57
2018,Australian Grand Prix,RIC,SUPERSOFT -> SOFT,2,SUPERSOFT,SOFT,25,57
2018,Australian Grand Prix,SAI,ULTRASOFT -> SOFT,2,ULTRASOFT,SOFT,21,57
2018,Australian Grand Prix,SIR,SUPERSOFT,1,SUPERSOFT,SUPERSOFT,4,4
2018,Australian Grand Prix,STR,SUPERSOFT -> SOFT -> ULTRASOFT,3,SUPERSOFT,ULTRASOFT,24,57
2018,Australian Grand Prix,VAN,ULTRASOFT -> SUPERSOFT,2,ULTRASOFT,SUPERSOFT,24,57
2018,Australian Grand Prix,VER,SUPERSOFT -> SOFT,2,SUPERSOFT,SOFT,20,57
2018,Australian Grand Prix,VET,ULTRASOFT -> SOFT,2,ULTRASOFT,SOFT,25,57
2018,Austrian Grand Prix,ALO,SUPERSOFT -> SOFT,2,SUPERSOFT,SOFT,14,69
