RaceYear,RaceName,Driver,stop_number,PitInLap,pit_in_compound,pit_out_compound,tyre_life_at_pit,pre_change_lap_time_seconds,post_change_lap_time_seconds,pace_delta_after_change,pre_window_laps,post_window_laps
2018,Abu Dhabi Grand Prix,ALO,1,27,ULTRASOFT,SUPERSOFT,27.0,107.727,105.182,-2.5450000000000017,3,3
2018,Abu Dhabi Grand Prix,BOT,1,16,ULTRASOFT,SUPERSOFT,19.0,104.854,103.615,-1.2390000000000043,3,3
2018,Abu Dhabi Grand Prix,BOT,2,40,SUPERSOFT,ULTRASOFT,24.0,105.475,101.955,-3.519999999999996,3,3
2018,Abu Dhabi Grand Prix,GAS,1,29,SUPERSOFT,ULTRASOFT,29.0,106.386,105.746,-0.6400000000000006,3,3
2018,Abu Dhabi Grand Prix,GRO,1,7,HYPERSOFT,SUPERSOFT,10.0,106.875,107.224,0.34900000000000375,2,3
2018,Abu Dhabi Grand Prix,HAM,1,7,ULTRASOFT,SUPERSOFT,10.0,104.334,104.924,0.5900000000000034,2,3
2018,Abu Dhabi Grand Prix,LEC,1,7,HYPERSOFT,SUPERSOFT,10.0,106.133,106.556,0.4230000000000018,2,3
2018,Abu Dhabi Grand Prix,MAG,1,41,SUPERSOFT,ULTRASOFT,41.0,104.967,103.828,-1.1389999999999958,3,3
2018,Abu Dhabi Grand Prix,OCO,1,18,HYPERSOFT,SUPERSOFT,21.0,108.494,106.608,-1.8859999999999957,3,3
2018,Abu Dhabi Grand Prix,PER,1,26,ULTRASOFT,SUPERSOFT,26.0,106.238,104.354,-1.8840000000000003,3,3
2018,Abu Dhabi Grand Prix,RIC,1,33,ULTRASOFT,SUPERSOFT,37.0,103.267,102.691,-0.5759999999999934,3,3
2018,Abu Dhabi Grand Prix,SAI,1,37,ULTRASOFT,SUPERSOFT,37.0,103.852,103.228,-0.6240000000000094,3,3
2018,Abu Dhabi Grand Prix,SIR,1,35,SUPERSOFT,ULTRASOFT,35.0,106.686,105.063,-1.6230000000000047,3,3
2018,Abu Dhabi Grand Prix,STR,1,40,SUPERSOFT,ULTRASOFT,40.0,106.433,104.888,-1.5450000000000017,3,3
2018,Abu Dhabi Grand Prix,VAN,1,35,SUPERSOFT,ULTRASOFT,35.0,106.99,105.115,-1.875,3,3
2018,Abu Dhabi Grand Prix,VER,1,17,HYPERSOFT,SUPERSOFT,20.0,105.1,103.715,-1.384999999999991,3,3
2018,Abu Dhabi Grand Prix,VET,1,15,ULTRASOFT,SUPERSOFT,18.0,105.257,103.602,-1.6550000000000011,3,3
2018,Australian Grand Prix,ALO,1,26,ULTRASOFT,SOFT,25.0,89.137,89.205,0.06799999999999784,3,3
2018,Australian Grand Prix,BOT,1,25,ULTRASOFT,SUPERSOFT,27.0,91.157,89.773,-1.3840000000000003,3,3
2018,Australian Grand Prix,HAM,1,19,ULTRASOFT,SOFT,20.0,87.852,88.228,0.37599999999999056,3,3
2018,Australian Grand Prix,HAR,2,22,SOFT,SOFT,21.0,91.105,90.72,-0.3850000000000051,3,3
2018,Australian Grand Prix,HUL,1,24,ULTRASOFT,SOFT,26.0,89.833,89.359,-0.47400000000000375,3,3
2018,Australian Grand Prix,LEC,1,20,SUPERSOFT,SOFT,19.0,90.386,89.968,-0.41799999999999216,3,3
2018,Australian Grand Prix,LEC,2,27,SOFT,ULTRASOFT,7.0,89.968,90.999,1.0309999999999917,3,3
2018,Australian Grand Prix,OCO,1,23,ULTRASOFT,SOFT,22.0,90.231,90.518,0.28700000000000614,3,3
2018,Australian Grand Prix,PER,1,24,ULTRASOFT,SOFT,23.0,90.665,90.401,-0.26400000000001,3,3
2018,Australian Grand Prix,RAI,1,18,ULTRASOFT,SOFT,20.0,88.216,88.763,0.5470000000000113,3,3
2018,Australian Grand Prix,RIC,1,26,SUPERSOFT,SOFT,28.0,89.301,87.984,-1.3170000000000073,3,3
2018,Australian Grand Prix,SAI,1,22,ULTRASOFT,SOFT,24.0,90.127,90.151,0.02400000000000091,3,3
2018,Australian Grand Prix,STR,1,25,SUPERSOFT,ULTRASOFT,24.0,90.969,90.979,0.010000000000005116,3,3
2018,Australian Grand Prix,STR,2,29,SOFT,ULTRASOFT,4.0,90.969,90.979,0.010000000000005116,3,3
2018,Australian Grand Prix,VAN,1,25,ULTRASOFT,SUPERSOFT,24.0,90.471,89.575,-0.8960000000000008,3,3
2018,Australian Grand Prix,VER,1,21,SUPERSOFT,SOFT,23.0,90.015,88.436,-1.5789999999999935,3,3
2018,Australian Grand Prix,VET,1,26,ULTRASOFT,SOFT,28.0,88.954,87.889,-1.0649999999999977,3,3
2018,Austrian Grand Prix,ALO,1,15,SUPERSOFT,SOFT,14.0,71.183,70.238,-0.9450000000000074,3,3
2018,Austrian Grand Prix,ERI,1,45,SOFT,SUPERSOFT,44.0,69.382,68.795,-0.5870000000000033,3,3
2018,Austrian Grand Prix,GAS,1,15,SUPERSOFT,SOFT,14.0,70.902,69.872,-1.0300000000000011,3,3
2018,Austrian Grand Prix,GRO,1,15,ULTRASOFT,SOFT,17.0,70.223,69.688,-0.5349999999999966,3,3
2018,Austrian Grand Prix,HAM,1,25,SUPERSOFT,SOFT,26.0,68.607,68.209,-0.39799999999999613,3,3
2018,Austrian Grand Prix,HAM,2,52,SOFT,SUPERSOFT,27.0,68.496,67.571,-0.9249999999999972,3,3
2018,Austrian Grand Prix,LEC,1,15,SUPERSOFT,SOFT,14.0,70.845,69.675,-1.1700000000000017,3,3
2018,Austrian Grand Prix,MAG,1,28,ULTRASOFT,SOFT,30.0,69.349,68.867,-0.4819999999999993,3,3
2018,Austrian Grand Prix,OCO,1,15,SUPERSOFT,SOFT,14.0,70.42,69.803,-0.6170000000000044,3,3
2018,Austrian Grand Prix,PER,1,27,SUPERSOFT,SOFT,26.0,69.436,69.291,-0.14500000000001023,3,3
2018,Austrian Grand Prix,RAI,1,15,ULTRASOFT,SOFT,17.0,69.238,68.409,-0.8289999999999935,3,3
2018,Austrian Grand Prix,RIC,1,15,SUPERSOFT,SOFT,17.0,69.365,68.319,-1.0459999999999923,3,3
2018,Austrian Grand Prix,RIC,2,38,SOFT,SUPERSOFT,23.0,68.816,68.628,-0.1880000000000024,3,3
2018,Austrian Grand Prix,SAI,1,15,ULTRASOFT,SOFT,17.0,70.65,69.629,-1.0210000000000008,3,3
2018,Austrian Grand Prix,SAI,2,34,SOFT,SUPERSOFT,19.0,71.344,69.165,-2.178999999999988,3,3
2018,Austrian Grand Prix,SIR,1,24,SUPERSOFT,SOFT,23.0,70.444,69.392,-1.0520000000000067,3,3
2018,Austrian Grand Prix,SIR,2,60,SOFT,ULTRASOFT,36.0,70.674,69.197,-1.4770000000000039,3,3
2018,Austrian Grand Prix,STR,1,15,ULTRASOFT,SOFT,14.0,70.866,70.321,-0.5450000000000017,3,3
2018,Austrian Grand Prix,STR,2,65,SOFT,SUPERSOFT,50.0,70.232,69.229,-1.0030000000000001,3,3
2018,Austrian Grand Prix,VAN,2,40,SOFT,SOFT,39.0,69.871,69.303,-0.5679999999999978,3,3
2018,Austrian Grand Prix,VER,1,15,SUPERSOFT,SOFT,17.0,69.306,68.687,-0.6189999999999998,3,3
2018,Austrian Grand Prix,VET,1,15,ULTRASOFT,SOFT,17.0,69.329,68.495,-0.833999999999989,3,3
2018,Azerbaijan Grand Prix,ALO,2,40,SOFT,ULTRASOFT,39.0,107.922,109.24,1.3179999999999978,3,3
2018,Azerbaijan Grand Prix,ERI,2,18,SOFT,ULTRASOFT,17.0,110.741,109.886,-0.855000000000004,3,3
2018,Azerbaijan Grand Prix,ERI,3,36,ULTRASOFT,ULTRASOFT,18.0,109.308,110.531,1.222999999999999,3,3
2018,Azerbaijan Grand Prix,ERI,4,39,ULTRASOFT,ULTRASOFT,3.0,109.308,110.531,1.222999999999999,3,3
2018,Azerbaijan Grand Prix,GAS,1,12,ULTRASOFT,SOFT,11.0,113.062,111.018,-2.043999999999997,3,3
2018,Azerbaijan Grand Prix,GAS,2,39,SOFT,ULTRASOFT,27.0,109.082,112.559,3.477000000000004,3,3
2018,Azerbaijan Grand Prix,HAM,1,22,SUPERSOFT,SOFT,26.0,106.315,106.582,0.2669999999999959,3,3
2018,Azerbaijan Grand Prix,HAM,2,40,SOFT,ULTRASOFT,18.0,105.578,107.735,2.1569999999999965,3,3
2018,Azerbaijan Grand Prix,HAR,2,22,ULTRASOFT,SUPERSOFT,21.0,110.915,109.538,-1.3770000000000095,3,3
2018,Azerbaijan Grand Prix,HAR,3,39,SUPERSOFT,ULTRASOFT,17.0,108.521,111.14,2.6189999999999998,3,3
2018,Azerbaijan Grand Prix,LEC,1,24,SUPERSOFT,SOFT,23.0,108.211,107.749,-0.4620000000000033,3,3
2018,Azerbaijan Grand Prix,LEC,2,40,SOFT,ULTRASOFT,16.0,107.574,109.087,1.5130000000000052,3,3
2018,Azerbaijan Grand Prix,MAG,2,39,SOFT,ULTRASOFT,38.0,108.658,112.037,3.379000000000005,3,3
2018,Azerbaijan Grand Prix,PER,2,40,SOFT,SUPERSOFT,38.0,107.0,107.872,0.8719999999999999,3,3
