transition,median_pace_delta,mean_pace_delta,n
INTERMEDIATE -> SOFT,-9.071000000000005,-8.511901785714286,56
INTERMEDIATE -> MEDIUM,-6.628,-6.958233944954129,109
WET -> INTERMEDIATE,-6.294750000000008,-4.584556818181818,44
INTERMEDIATE -> HARD,-3.5519999999999925,-5.077959999999998,25
MEDIUM -> SOFT,-1.3810000000000002,-1.436434837092732,399
ULTRASOFT -> SUPERSOFT,-1.3770000000000095,-1.3581025641025655,39
HARD -> MEDIUM,-1.3065000000000069,-1.3003399209486166,506
HARD -> SOFT,-1.2959999999999994,-0.7817057291666666,192
SOFT -> MEDIUM,-1.2580000000000027,-1.2986672932330832,532
SOFT -> SUPERSOFT,-1.23899999999999,-1.3091428571428587,21
MEDIUM -> MEDIUM,-1.2120000000000033,-1.2172878338278936,337
SUPERSOFT -> SOFT,-1.1809999999999974,-1.2507358490566045,53
HARD -> HARD,-1.0770000000000124,-0.9512554479418888,413
SOFT -> HARD,-1.0349999999999966,-0.9395805243445697,267
MEDIUM -> HARD,-1.0139999999999958,-0.9816738197424892,1398
