Compound,TyreLifeInt,median_loss,mean_loss,n
HARD,2,0.7519999999999953,1.1252432741843161,1747
HARD,3,0.7909999999999968,1.153405935613682,1988
HARD,4,0.8284999999999982,1.1497046556741028,2062
HARD,5,0.8359999999999985,1.1430582386363635,2112
HARD,6,0.8539999999999992,1.123053878309336,2153
HARD,7,0.8359999999999985,1.0931399176954735,2187
HARD,8,0.855000000000004,1.1012672413793105,2204
HARD,9,0.8309999999999889,1.0863467998184297,2203
HARD,10,0.8185000000000002,1.0449608655616942,2172
HARD,11,0.8160000000000025,1.0375690376569038,2151
HARD,12,0.8174999999999955,1.034652919369787,2158
HARD,13,0.7885000000000062,1.0313900943396228,2120
HARD,14,0.7809999999999917,1.0187283126787416,2098
HARD,15,0.8010000000000019,1.0243347889374093,2061
HARD,16,0.7824999999999918,0.9860569306930693,2020
HARD,17,0.7749999999999915,0.9753057978450488,1949
HARD,18,0.7870000000000061,0.9627598488936858,1853
HARD,19,0.7860000000000014,0.9630033204205867,1807
HARD,20,0.7620000000000005,0.9693407105416425,1717
HARD,21,0.7630000000000052,0.9643808955223881,1675
HARD,22,0.7680000000000007,0.9966771159874609,1595
HARD,23,0.7409999999999997,0.975164791528789,1511
HARD,24,0.7309999999999945,0.9727651245551603,1405
HARD,25,0.6809999999999974,0.9456410635155097,1354
HARD,26,0.7004999999999981,0.9260147975077881,1284
HARD,27,0.7309999999999945,1.0136365853658538,1230
HARD,28,0.6479999999999961,0.9232239583333336,1152
HARD,29,0.6100000000000136,0.8580894687791242,1073
HARD,30,0.6140000000000043,0.8526434262948209,1004
HARD,31,0.6019999999999897,0.861874587458746,909
HARD,32,0.6059999999999945,0.8779017543859652,855
HARD,33,0.5750000000000028,0.8645725094577553,793
HARD,34,0.5649999999999906,0.8753669467787114,714
HARD,35,0.5669999999999931,0.8985565891472868,645
HARD,36,0.5810000000000031,0.8980418848167537,573
HARD,37,0.583000000000002,0.9131781609195401,522
HARD,38,0.5019999999999953,0.8612205567451817,467
HARD,39,0.5160000000000053,0.8748289156626506,415
